=== economy-table90.xlsx ===
Cell A1 | value='Direct Loan Portfolio by Repayment Plan' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21] | col_header=True | row_header=True | metadata=True
Cell H18 | value='2.56' | fill=7 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='12.4' | fill=None | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='0.28' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='22.5' | fill=7 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='0.6' | fill=7 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='171.7' | fill=None | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='3.05' | fill=None | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='38.2' | fill=7 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='0.91' | fill=7 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='0.1' | fill=None | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='0' | fill=None | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='6.1' | fill=7 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='0.31' | fill=7 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='33.6' | fill=7 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V18 | value='0.29' | fill=7 | rows=[17] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Q2' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='197.9' | fill=7 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='11.27' | fill=7 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='73.2' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='1.67' | fill=None | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='67.9' | fill=7 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='2.63' | fill=7 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='12.7' | fill=None | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='0.28' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='22.8' | fill=7 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='0.6' | fill=7 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='175.1' | fill=None | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='3.1' | fill=None | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='41.2' | fill=7 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='0.96' | fill=7 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='8.1' | fill=None | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='0.19' | fill=None | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='6.2' | fill=7 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='0.31' | fill=7 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='45.5' | fill=7 | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V19 | value='0.45' | fill=7 | rows=[18] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Q3' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='197.8' | fill=7 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='11.26' | fill=7 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='72.6' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='1.65' | fill=None | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='69.2' | fill=7 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='2.68' | fill=7 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='12.8' | fill=None | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='0.28' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='23.5' | fill=7 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='0.6' | fill=7 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='174.3' | fill=None | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='3.1' | fill=None | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='44.3' | fill=7 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='1' | fill=7 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='26.9' | fill=None | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='0.57' | fill=None | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='5.9' | fill=7 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='0.3' | fill=7 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='45.3' | fill=7 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='0.4' | fill=7 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Q4' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='188.9' | fill=7 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='10.95' | fill=7 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='72.5' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='1.65' | fill=None | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='70.1' | fill=7 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='2.71' | fill=7 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='12.9' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='0.28' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='24' | fill=7 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='0.6' | fill=7 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='173.1' | fill=None | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='3.07' | fill=None | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='46.7' | fill=7 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='1.02' | fill=7 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='43.6' | fill=None | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='0.89' | fill=None | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='5.6' | fill=7 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='0.29' | fill=7 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='44.7' | fill=7 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='0.37' | fill=7 | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell A22 | value='2017' | fill=00000000 | rows=[21, 22, 23, 24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Q1' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='205.8' | fill=7 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='11.37' | fill=7 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='74.6' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='1.67' | fill=None | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='74.2' | fill=7 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='2.79' | fill=7 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='13.3' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='0.29' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='24.7' | fill=7 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='0.6' | fill=7 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='172.5' | fill=None | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='3.04' | fill=None | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='52.3' | fill=7 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='1.06' | fill=7 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='61.8' | fill=None | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='1.23' | fill=None | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='5.5' | fill=7 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='0.28' | fill=7 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='36.9' | fill=7 | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V22 | value='0.15' | fill=7 | rows=[21] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Q2' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='199.6' | fill=7 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='11.15' | fill=7 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='74.9' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='1.68' | fill=None | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='75.4' | fill=7 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='2.83' | fill=7 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='13.6' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='0.29' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='25.5' | fill=7 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='0.61' | fill=7 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='171.6' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='3.01' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='56.1' | fill=7 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='1.1' | fill=7 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='77' | fill=None | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='1.52' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='7' | fill=7 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='0.32' | fill=7 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='48' | fill=7 | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='0.34' | fill=7 | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Q3' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='207.2' | fill=7 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='11.34' | fill=7 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='77' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='1.71' | fill=None | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='77.1' | fill=7 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='2.87' | fill=7 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='13.7' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='0.3' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='26.1' | fill=7 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='0.62' | fill=7 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='169.6' | fill=None | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='2.96' | fill=None | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='58.5' | fill=7 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='1.11' | fill=7 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='82.6' | fill=None | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='1.59' | fill=None | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='14.4' | fill=7 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='0.5' | fill=7 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='41.8' | fill=7 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V24 | value='0.18' | fill=7 | rows=[23] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Q4' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='197.5' | fill=7 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='10.99' | fill=7 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='76.4' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='1.7' | fill=None | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='77.7' | fill=7 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='2.89' | fill=7 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='13.8' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='0.3' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='26.8' | fill=7 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='0.62' | fill=7 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='169.1' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='2.94' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='61.6' | fill=7 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='1.14' | fill=7 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='95' | fill=None | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='1.79' | fill=None | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='17.5' | fill=7 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='0.59' | fill=7 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U25 | value='39' | fill=7 | rows=[24] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V25 | value='0.16' | fill=7 | rows=[24] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell A26 | value='2018' | fill=00000000 | rows=[25, 26, 27, 28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Q1' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='211.8' | fill=7 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='11.35' | fill=7 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='76.9' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='1.7' | fill=None | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='81.6' | fill=7 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='2.98' | fill=7 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='14.3' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='0.3' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='27.7' | fill=7 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='0.63' | fill=7 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='169' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='2.91' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='68.3' | fill=7 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='1.19' | fill=7 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='108.8' | fill=None | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='2' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='20.9' | fill=7 | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='0.69' | fill=7 | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='31.8' | fill=7 | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V26 | value='NA***' | fill=7 | rows=[25] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Q2' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='205.7' | fill=7 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='11.1' | fill=7 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='77.1' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='1.7' | fill=None | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='82.8' | fill=7 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='3' | fill=7 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='14.7' | fill=None | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='0.31' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='28.3' | fill=7 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='0.64' | fill=7 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='168.8' | fill=None | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='2.88' | fill=None | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='72.5' | fill=7 | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='1.22' | fill=7 | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='119' | fill=None | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='2.17' | fill=None | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='24.7' | fill=7 | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T27 | value='0.78' | fill=7 | rows=[26] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U27 | value='42.5' | fill=7 | rows=[26] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V27 | value='0.17' | fill=7 | rows=[26] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Q3' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='205.1' | fill=7 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='11.12' | fill=7 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='76.4' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='1.69' | fill=None | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='83.8' | fill=7 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='3.02' | fill=7 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='14.9' | fill=None | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='0.31' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='29.2' | fill=7 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='0.65' | fill=7 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='168.5' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='2.85' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='75.8' | fill=7 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='1.24' | fill=7 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='129.2' | fill=None | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='2.34' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='27.3' | fill=7 | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='0.86' | fill=7 | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U28 | value='43' | fill=7 | rows=[27] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V28 | value='0.13' | fill=7 | rows=[27] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Q4' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='196.2' | fill=7 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='10.83' | fill=7 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='76.5' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='1.69' | fill=None | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='84.2' | fill=7 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='3.03' | fill=7 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='15.1' | fill=None | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='0.32' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='29.9' | fill=7 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='0.66' | fill=7 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='168.5' | fill=None | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='2.83' | fill=None | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='78.9' | fill=7 | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='1.27' | fill=7 | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='136.7' | fill=None | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='2.45' | fill=None | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='31.8' | fill=7 | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='0.96' | fill=7 | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U29 | value='41.3' | fill=7 | rows=[28] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V29 | value='0.12' | fill=7 | rows=[28] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell A30 | value='2019' | fill=00000000 | rows=[29, 30, 31, 32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Q1' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='219.9' | fill=7 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='11.4' | fill=7 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='78.2' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='1.72' | fill=None | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='88.3' | fill=7 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='3.11' | fill=7 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='15.75' | fill=None | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='0.32' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='30.9' | fill=7 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='0.68' | fill=7 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='169.8' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='2.82' | fill=None | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='85.3' | fill=7 | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='1.31' | fill=7 | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='144.8' | fill=None | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='2.56' | fill=None | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S30 | value='36.6' | fill=7 | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=False
