=== environment-table12.xlsx ===
Cell A1 | value='June 2008 Agricultural and Horticultural Survey - England' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell AQ29 | value='-' | fill=44 | rows=[28] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR29 | value='#' | fill=44 | rows=[28] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS29 | value='#' | fill=44 | rows=[28] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT29 | value='-' | fill=44 | rows=[28] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU29 | value='17' | fill=46 | rows=[28] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV29 | value='15' | fill=46 | rows=[28] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW29 | value='-11.76470588235294' | fill=46 | rows=[28] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A30 | value='SEFTON' | fill=00000000 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='#' | fill=43 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='14' | fill=43 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='-' | fill=43 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='20' | fill=43 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='18' | fill=43 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='-10' | fill=43 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='19' | fill=43 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='18' | fill=43 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='-5.263157894736842' | fill=43 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='#' | fill=43 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='#' | fill=43 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='-' | fill=43 | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='#' | fill=43 | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='#' | fill=43 | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='-' | fill=43 | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='0' | fill=43 | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='0' | fill=43 | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S30 | value='0' | fill=43 | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T30 | value='0' | fill=43 | rows=[29] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U30 | value='0' | fill=43 | rows=[29] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V30 | value='0' | fill=43 | rows=[29] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W30 | value='10' | fill=43 | rows=[29] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X30 | value='12' | fill=43 | rows=[29] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y30 | value='20' | fill=43 | rows=[29] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z30 | value='#' | fill=43 | rows=[29] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA30 | value='#' | fill=43 | rows=[29] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB30 | value='-' | fill=43 | rows=[29] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC30 | value='65' | fill=43 | rows=[29] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD30 | value='66' | fill=43 | rows=[29] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE30 | value='1.5384615384615385' | fill=43 | rows=[29] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF30 | value='73' | fill=44 | rows=[29] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG30 | value='75' | fill=44 | rows=[29] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH30 | value='2.73972602739726' | fill=44 | rows=[29] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI30 | value='19' | fill=44 | rows=[29] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ30 | value='20' | fill=44 | rows=[29] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK30 | value='5.263157894736842' | fill=44 | rows=[29] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL30 | value='14' | fill=44 | rows=[29] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM30 | value='#' | fill=44 | rows=[29] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN30 | value='-' | fill=44 | rows=[29] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO30 | value='#' | fill=44 | rows=[29] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP30 | value='#' | fill=44 | rows=[29] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ30 | value='-' | fill=44 | rows=[29] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR30 | value='#' | fill=44 | rows=[29] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS30 | value='#' | fill=44 | rows=[29] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT30 | value='-' | fill=44 | rows=[29] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU30 | value='132' | fill=46 | rows=[29] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV30 | value='135' | fill=46 | rows=[29] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW30 | value='2.272727272727273' | fill=46 | rows=[29] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A31 | value='WIRRAL' | fill=00000000 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='13' | fill=43 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='#' | fill=43 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='-' | fill=43 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='#' | fill=43 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='#' | fill=43 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='-' | fill=43 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='13' | fill=43 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='#' | fill=43 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='-' | fill=43 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='0' | fill=43 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='0' | fill=43 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='0' | fill=43 | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='5' | fill=43 | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='6' | fill=43 | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='20' | fill=43 | rows=[30] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='12' | fill=43 | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R31 | value='11' | fill=43 | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S31 | value='-8.333333333333332' | fill=43 | rows=[30] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T31 | value='0' | fill=43 | rows=[30] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U31 | value='0' | fill=43 | rows=[30] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V31 | value='0' | fill=43 | rows=[30] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W31 | value='17' | fill=43 | rows=[30] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X31 | value='18' | fill=43 | rows=[30] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y31 | value='5.88235294117647' | fill=43 | rows=[30] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z31 | value='#' | fill=43 | rows=[30] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA31 | value='6' | fill=43 | rows=[30] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB31 | value='-' | fill=43 | rows=[30] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC31 | value='87' | fill=43 | rows=[30] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD31 | value='83' | fill=43 | rows=[30] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE31 | value='-4.597701149425287' | fill=43 | rows=[30] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF31 | value='78' | fill=44 | rows=[30] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG31 | value='78' | fill=44 | rows=[30] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH31 | value='0' | fill=44 | rows=[30] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI31 | value='34' | fill=44 | rows=[30] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ31 | value='30' | fill=44 | rows=[30] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK31 | value='-11.76470588235294' | fill=44 | rows=[30] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL31 | value='16' | fill=44 | rows=[30] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM31 | value='18' | fill=44 | rows=[30] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN31 | value='12.5' | fill=44 | rows=[30] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO31 | value='21' | fill=44 | rows=[30] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP31 | value='20' | fill=44 | rows=[30] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ31 | value='-4.761904761904762' | fill=44 | rows=[30] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR31 | value='10' | fill=44 | rows=[30] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS31 | value='11' | fill=44 | rows=[30] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT31 | value='10' | fill=44 | rows=[30] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU31 | value='159' | fill=46 | rows=[30] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV31 | value='157' | fill=46 | rows=[30] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW31 | value='-1.257861635220126' | fill=46 | rows=[30] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A32 | value='NORTH WEST REGION' | fill=00000000 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='769' | fill=43 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='814' | fill=43 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='5.851755526657997' | fill=43 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='594' | fill=43 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='591' | fill=43 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='-0.5050505050505051' | fill=43 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='761' | fill=43 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='746' | fill=43 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='-1.971090670170828' | fill=43 | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='186' | fill=43 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='206' | fill=43 | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='10.75268817204301' | fill=43 | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='636' | fill=43 | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O32 | value='717' | fill=43 | rows=[31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P32 | value='12.735849056603774' | fill=43 | rows=[31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q32 | value='2529' | fill=43 | rows=[31] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R32 | value='2403' | fill=43 | rows=[31] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S32 | value='-4.98220640569395' | fill=43 | rows=[31] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T32 | value='3652' | fill=43 | rows=[31] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U32 | value='3680' | fill=43 | rows=[31] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V32 | value='0.7667031763417306' | fill=43 | rows=[31] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W32 | value='3307' | fill=43 | rows=[31] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X32 | value='3340' | fill=43 | rows=[31] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y32 | value='0.9978832778953735' | fill=43 | rows=[31] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z32 | value='715' | fill=43 | rows=[31] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA32 | value='753' | fill=43 | rows=[31] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB32 | value='5.314685314685315' | fill=43 | rows=[31] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC32 | value='10935' | fill=43 | rows=[31] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD32 | value='11180' | fill=43 | rows=[31] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE32 | value='2.240512117055327' | fill=43 | rows=[31] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF32 | value='10895' | fill=44 | rows=[31] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG32 | value='11209' | fill=44 | rows=[31] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH32 | value='2.882055988985773' | fill=44 | rows=[31] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI32 | value='4317' | fill=44 | rows=[31] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ32 | value='4344' | fill=44 | rows=[31] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK32 | value='0.6254343293954135' | fill=44 | rows=[31] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL32 | value='3323' | fill=44 | rows=[31] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM32 | value='3294' | fill=44 | rows=[31] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN32 | value='-0.8727053866987663' | fill=44 | rows=[31] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO32 | value='2958' | fill=44 | rows=[31] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP32 | value='2940' | fill=44 | rows=[31] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ32 | value='-0.6085192697768762' | fill=44 | rows=[31] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR32 | value='2591' | fill=44 | rows=[31] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS32 | value='2643' | fill=44 | rows=[31] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT32 | value='2.0069471246622927' | fill=44 | rows=[31] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU32 | value='24084' | fill=46 | rows=[31] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV32 | value='24430' | fill=46 | rows=[31] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW32 | value='1.4366384321541272' | fill=46 | rows=[31] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A34 | value='KINGSTON UPON HULL, CITY OF' | fill=00000000 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='#' | fill=43 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='#' | fill=43 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='-' | fill=43 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='#' | fill=43 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='#' | fill=43 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='-' | fill=43 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='0' | fill=43 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='0' | fill=43 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='0' | fill=43 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='0' | fill=43 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='#' | fill=43 | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='-' | fill=43 | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N34 | value='0' | fill=43 | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O34 | value='0' | fill=43 | rows=[33] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P34 | value='0' | fill=43 | rows=[33] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q34 | value='0' | fill=43 | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R34 | value='0' | fill=43 | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S34 | value='0' | fill=43 | rows=[33] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T34 | value='0' | fill=43 | rows=[33] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U34 | value='0' | fill=43 | rows=[33] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V34 | value='0' | fill=43 | rows=[33] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W34 | value='0' | fill=43 | rows=[33] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X34 | value='0' | fill=43 | rows=[33] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y34 | value='0' | fill=43 | rows=[33] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z34 | value='#' | fill=43 | rows=[33] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA34 | value='#' | fill=43 | rows=[33] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB34 | value='-' | fill=43 | rows=[33] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC34 | value='12' | fill=43 | rows=[33] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD34 | value='14' | fill=43 | rows=[33] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE34 | value='16.666666666666664' | fill=43 | rows=[33] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF34 | value='11' | fill=44 | rows=[33] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG34 | value='13' | fill=44 | rows=[33] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH34 | value='18.181818181818183' | fill=44 | rows=[33] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI34 | value='#' | fill=44 | rows=[33] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ34 | value='#' | fill=44 | rows=[33] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK34 | value='-' | fill=44 | rows=[33] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL34 | value='#' | fill=44 | rows=[33] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM34 | value='#' | fill=44 | rows=[33] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN34 | value='-' | fill=44 | rows=[33] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO34 | value='0' | fill=44 | rows=[33] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP34 | value='#' | fill=44 | rows=[33] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ34 | value='-' | fill=44 | rows=[33] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR34 | value='0' | fill=44 | rows=[33] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS34 | value='0' | fill=44 | rows=[33] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT34 | value='-' | fill=44 | rows=[33] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU34 | value='17' | fill=46 | rows=[33] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV34 | value='19' | fill=46 | rows=[33] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW34 | value='11.76470588235294' | fill=46 | rows=[33] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A35 | value='EAST RIDING OF YORKSHIRE' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='840' | fill=43 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='873' | fill=43 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='3.9285714285714284' | fill=43 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='448' | fill=43 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='410' | fill=43 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='-8.482142857142858' | fill=43 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='127' | fill=43 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='128' | fill=43 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='0.7874015748031495' | fill=43 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='161' | fill=43 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='146' | fill=43 | rows=[34] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M35 | value='-9.316770186335404' | fill=43 | rows=[34] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N35 | value='93' | fill=43 | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='112' | fill=43 | rows=[34] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='20.43010752688172' | fill=43 | rows=[34] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='38' | fill=43 | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R35 | value='41' | fill=43 | rows=[34] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S35 | value='7.894736842105263' | fill=43 | rows=[34] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T35 | value='0' | fill=43 | rows=[34] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U35 | value='0' | fill=43 | rows=[34] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V35 | value='0' | fill=43 | rows=[34] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W35 | value='351' | fill=43 | rows=[34] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X35 | value='347' | fill=43 | rows=[34] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y35 | value='-1.1396011396011396' | fill=43 | rows=[34] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z35 | value='192' | fill=43 | rows=[34] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA35 | value='191' | fill=43 | rows=[34] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB35 | value='-0.5208333333333333' | fill=43 | rows=[34] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC35 | value='965' | fill=43 | rows=[34] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD35 | value='994' | fill=43 | rows=[34] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE35 | value='3.005181347150259' | fill=43 | rows=[34] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF35 | value='1290' | fill=44 | rows=[34] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG35 | value='1312' | fill=44 | rows=[34] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH35 | value='1.7054263565891472' | fill=44 | rows=[34] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI35 | value='459' | fill=44 | rows=[34] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ35 | value='449' | fill=44 | rows=[34] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK35 | value='-2.178649237472767' | fill=44 | rows=[34] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL35 | value='389' | fill=44 | rows=[34] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM35 | value='406' | fill=44 | rows=[34] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN35 | value='4.370179948586118' | fill=44 | rows=[34] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO35 | value='431' | fill=44 | rows=[34] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP35 | value='430' | fill=44 | rows=[34] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ35 | value='-0.23201856148491878' | fill=44 | rows=[34] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR35 | value='646' | fill=44 | rows=[34] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS35 | value='645' | fill=44 | rows=[34] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT35 | value='-0.15479876160990713' | fill=44 | rows=[34] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU35 | value='3215' | fill=46 | rows=[34] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV35 | value='3242' | fill=46 | rows=[34] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW35 | value='0.8398133748055987' | fill=46 | rows=[34] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A36 | value='NORTH AND NORTH EAST LINCOLNSHIRE' | fill=00000000 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='292' | fill=43 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='302' | fill=43 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='3.4246575342465753' | fill=43 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='137' | fill=43 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='124' | fill=43 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='-9.48905109489051' | fill=43 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='52' | fill=43 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='56' | fill=43 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='7.6923076923076925' | fill=43 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='23' | fill=43 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L36 | value='25' | fill=43 | rows=[35] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M36 | value='8.695652173913043' | fill=43 | rows=[35] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N36 | value='43' | fill=43 | rows=[35] | cols=[13] | col_header=False | row_header=False | metadata=False
