=== economy-table106.xlsx ===
Cell A1 | value='Table 8. Digital Economy Current-Dollar Value Added by Industry' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | col_header=True | row_header=True | metadata=True
Cell AA25 | value='0.01461268065' | fill=None | rows=[24] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E26 | value='Paper products' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G26 | value='0.366440781536704' | fill=None | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0.27833688715377' | fill=None | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='0.239089878525136' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='0.136720984250783' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='0.170840115218998' | fill=None | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='0.0839077829577239' | fill=None | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='0.0586735288191092' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='0.10471803859333' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='0.0897636792838289' | fill=None | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='0.0342393364081834' | fill=None | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='0.0755984772387203' | fill=None | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='0.143664689655035' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='0.155897220555334' | fill=None | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='0.104178110049601' | fill=None | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='0.0781576621923993' | fill=None | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V26 | value='0.187370527992965' | fill=None | rows=[25] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W26 | value='0.27059428076059' | fill=None | rows=[25] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X26 | value='0.30821388980988' | fill=None | rows=[25] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y26 | value='0.406739170677597' | fill=None | rows=[25] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z26 | value='0.289287689652812' | fill=None | rows=[25] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA26 | value='0.254809899361205' | fill=None | rows=[25] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Printing and related support activities' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='0.143322952967052' | fill=None | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='0.140466821649639' | fill=None | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='0.237444343348621' | fill=None | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='0.188077245850452' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='0.244725482336416' | fill=None | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='0.288708071608881' | fill=None | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='0.260689812462131' | fill=None | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='0.242860731313257' | fill=None | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='0.259611428301016' | fill=None | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='0.306325466476834' | fill=None | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='0.237491229320711' | fill=None | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='0.270592870246386' | fill=None | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='0.244314716402119' | fill=None | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T27 | value='0.215385608436277' | fill=None | rows=[26] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U27 | value='0.215823662054004' | fill=None | rows=[26] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V27 | value='0.230682081608521' | fill=None | rows=[26] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W27 | value='0.246327173116216' | fill=None | rows=[26] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X27 | value='0.227504507412248' | fill=None | rows=[26] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y27 | value='0.242132066491451' | fill=None | rows=[26] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z27 | value='0.237829225402208' | fill=None | rows=[26] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA27 | value='0.230642655147451' | fill=None | rows=[26] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E28 | value='Petroleum and coal products' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G28 | value='0.286' | fill=None | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='0.166' | fill=None | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='0.109' | fill=None | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='0.107' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='0.033' | fill=None | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='0.006007783' | fill=None | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='0.006751143' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='0.0419783269999999' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='0.03903448' | fill=None | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='0.037064172' | fill=None | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='0.039791172' | fill=None | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='0.04523311185' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='0.04328644645' | fill=None | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='0.0430014298500001' | fill=None | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U28 | value='0.0380662021578947' | fill=None | rows=[27] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V28 | value='0.0399219308227545' | fill=None | rows=[27] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W28 | value='0.0407239226801887' | fill=None | rows=[27] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X28 | value='0.0434394396796875' | fill=None | rows=[27] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y28 | value='0.0405213456' | fill=None | rows=[27] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z28 | value='0.0310094935548821' | fill=None | rows=[27] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA28 | value='0.03032622795' | fill=None | rows=[27] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Chemical products' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='1.20960969200887' | fill=None | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0.956310579722126' | fill=None | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='1.07880101010889' | fill=None | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='0.748579735817922' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='0.583168199698608' | fill=None | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='0.458958187050701' | fill=None | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='0.476344943207457' | fill=None | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='0.533536584122949' | fill=None | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='0.586990194153105' | fill=None | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='0.844727958836008' | fill=None | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='0.550576124953771' | fill=None | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='0.696613570628218' | fill=None | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='0.598013889324386' | fill=None | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='0.545920617264581' | fill=None | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U29 | value='0.523021025126326' | fill=None | rows=[28] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V29 | value='0.749115213561485' | fill=None | rows=[28] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W29 | value='0.687974090829181' | fill=None | rows=[28] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X29 | value='0.652260928441042' | fill=None | rows=[28] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y29 | value='0.668847226926228' | fill=None | rows=[28] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z29 | value='0.624350386805459' | fill=None | rows=[28] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA29 | value='0.6850215807298' | fill=None | rows=[28] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Plastics and rubber products' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='0.212919837189005' | fill=None | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='0.220961138506948' | fill=None | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='0.27536468788874' | fill=None | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='0.236814262368993' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='0.260148769886343' | fill=None | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='0.224562947496802' | fill=None | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='0.171941022961231' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='0.18162930573256' | fill=None | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='0.146468491391916' | fill=None | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='0.207127037087368' | fill=None | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='0.19805906642834' | fill=None | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='0.210460226424298' | fill=None | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S30 | value='0.0986848371006809' | fill=None | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T30 | value='0.0767279748175832' | fill=None | rows=[29] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U30 | value='0.0925732178573419' | fill=None | rows=[29] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V30 | value='0.134211488681766' | fill=None | rows=[29] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W30 | value='0.148720329255446' | fill=None | rows=[29] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X30 | value='0.141242958970912' | fill=None | rows=[29] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y30 | value='0.130324255473461' | fill=None | rows=[29] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z30 | value='0.160260752186559' | fill=None | rows=[29] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA30 | value='0.173568263605324' | fill=None | rows=[29] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C31 | value='Wholesale trade' | fill=None | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G31 | value='13.7293924618272' | fill=None | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='14.5192595690693' | fill=None | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='16.048221540602' | fill=None | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='16.8459059925076' | fill=None | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='15.5181053119411' | fill=None | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='14.891750131049' | fill=None | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='14.7794770506648' | fill=None | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='16.4946174153321' | fill=None | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='16.8617821896649' | fill=None | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='18.4146009734012' | fill=None | rows=[30] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='20.7363820755089' | fill=None | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R31 | value='21.7595997239473' | fill=None | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S31 | value='22.280695448072' | fill=None | rows=[30] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T31 | value='23.1973829062798' | fill=None | rows=[30] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U31 | value='23.892504198064' | fill=None | rows=[30] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V31 | value='25.7657612872648' | fill=None | rows=[30] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W31 | value='26.54210386637' | fill=None | rows=[30] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X31 | value='27.3655034660709' | fill=None | rows=[30] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y31 | value='27.2596933086926' | fill=None | rows=[30] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z31 | value='27.9504881218107' | fill=None | rows=[30] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA31 | value='30.7079303589341' | fill=None | rows=[30] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Retail trade' | fill=None | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G32 | value='5.48216053873421' | fill=None | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='6.69071311227915' | fill=None | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='7.2958577156895' | fill=None | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='9.95515327764204' | fill=None | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='8.95287630826015' | fill=None | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='11.0751844371726' | fill=None | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='12.4645639232393' | fill=None | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='15.364954769311' | fill=None | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O32 | value='19.7971645701734' | fill=None | rows=[31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P32 | value='25.2505372465682' | fill=None | rows=[31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q32 | value='29.8501181298131' | fill=None | rows=[31] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R32 | value='31.0701705320574' | fill=None | rows=[31] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S32 | value='34.7506876696706' | fill=None | rows=[31] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T32 | value='39.9216150822125' | fill=None | rows=[31] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U32 | value='45.5520936061869' | fill=None | rows=[31] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V32 | value='54.7003727678558' | fill=None | rows=[31] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W32 | value='60.2067846350167' | fill=None | rows=[31] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X32 | value='64.5716778348268' | fill=None | rows=[31] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y32 | value='72.9648607596263' | fill=None | rows=[31] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z32 | value='81.005284957866' | fill=None | rows=[31] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA32 | value='89.1714977575322' | fill=None | rows=[31] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D33 | value='Motor vehicle and parts dealers' | fill=None | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G33 | value='0.00573949984821149' | fill=None | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='0.00877081746241434' | fill=None | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='0.0133870371794745' | fill=None | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='0.0196123706294263' | fill=None | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='0.0214961964824436' | fill=None | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='0.024711266' | fill=None | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='0.0200687771552115' | fill=None | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='0.024395439' | fill=None | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='0.0331240609999999' | fill=None | rows=[32] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P33 | value='0.0437122290852705' | fill=None | rows=[32] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q33 | value='0.043849655' | fill=None | rows=[32] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R33 | value='0.03465141906' | fill=None | rows=[32] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S33 | value='0.026063784305' | fill=None | rows=[32] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T33 | value='0.0146968344' | fill=None | rows=[32] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U33 | value='0' | fill=None | rows=[32] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V33 | value='0.0059816415' | fill=None | rows=[32] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W33 | value='0.0042593931' | fill=None | rows=[32] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X33 | value='0.0036101295' | fill=None | rows=[32] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y33 | value='0.0062561067' | fill=None | rows=[32] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z33 | value='0.00593344425' | fill=None | rows=[32] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA33 | value='0.0049720905' | fill=None | rows=[32] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D34 | value='Food and beverage stores' | fill=None | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G34 | value='0.00246532520884835' | fill=None | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='0.00376738704837415' | fill=None | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='0.00575022233699212' | fill=None | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='-0.00470204041539455' | fill=None | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='0.00923340299399771' | fill=None | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='0.010614393' | fill=None | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='0.00469145' | fill=None | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N34 | value='0.009122724' | fill=None | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O34 | value='0.010428755' | fill=None | rows=[33] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P34 | value='0.012661764' | fill=None | rows=[33] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q34 | value='0.007634287' | fill=None | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R34 | value='0.0053880399' | fill=None | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S34 | value='0' | fill=None | rows=[33] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T34 | value='0' | fill=None | rows=[33] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U34 | value='0' | fill=None | rows=[33] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V34 | value='0' | fill=None | rows=[33] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W34 | value='0' | fill=None | rows=[33] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X34 | value='0' | fill=None | rows=[33] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y34 | value='0' | fill=None | rows=[33] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z34 | value='0.0027919164' | fill=None | rows=[33] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA34 | value='0.002993412' | fill=None | rows=[33] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D35 | value='General merchandise stores' | fill=None | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G35 | value='0.311887419166189' | fill=None | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='0.363885518665484' | fill=None | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='0.436272406801114' | fill=None | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='0.503683061666646' | fill=None | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='0.544408027107055' | fill=None | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='0.575521114273579' | fill=None | rows=[34] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M35 | value='0.422257878919739' | fill=None | rows=[34] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N35 | value='0.357852012853076' | fill=None | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='0.30108060001503' | fill=None | rows=[34] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='0.240189047943768' | fill=None | rows=[34] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='0.173919986993023' | fill=None | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R35 | value='0.171714468759475' | fill=None | rows=[34] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S35 | value='0.15736550906761' | fill=None | rows=[34] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T35 | value='0.142966263425471' | fill=None | rows=[34] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U35 | value='0.119625328042053' | fill=None | rows=[34] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V35 | value='0.111744537316374' | fill=None | rows=[34] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W35 | value='0.11104714726968' | fill=None | rows=[34] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X35 | value='0.112574157030107' | fill=None | rows=[34] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y35 | value='0.111110608105972' | fill=None | rows=[34] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z35 | value='0.10294090425252' | fill=None | rows=[34] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA35 | value='0.113863644262618' | fill=None | rows=[34] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D36 | value='Other retail' | fill=None | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G36 | value='5.16206829451096' | fill=None | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='6.31428938910287' | fill=None | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='6.84044804937192' | fill=None | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='9.43655988576136' | fill=None | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='8.37773868167665' | fill=None | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L36 | value='10.464337663899' | fill=None | rows=[35] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M36 | value='12.0175458171644' | fill=None | rows=[35] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N36 | value='14.9735845934579' | fill=None | rows=[35] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O36 | value='19.4525311541584' | fill=None | rows=[35] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P36 | value='24.9539742055391' | fill=None | rows=[35] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q36 | value='29.6247142008201' | fill=None | rows=[35] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R36 | value='30.858416604338' | fill=None | rows=[35] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S36 | value='34.5672583762979' | fill=None | rows=[35] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T36 | value='39.7639519843871' | fill=None | rows=[35] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U36 | value='45.4324682781449' | fill=None | rows=[35] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V36 | value='54.5826465890394' | fill=None | rows=[35] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W36 | value='60.091478094647' | fill=None | rows=[35] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X36 | value='64.4554935482967' | fill=None | rows=[35] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y36 | value='72.8474940448204' | fill=None | rows=[35] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z36 | value='80.8936186929635' | fill=None | rows=[35] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA36 | value='89.0496686107696' | fill=None | rows=[35] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C37 | value='Transportation and warehousing' | fill=None | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G37 | value='1.412' | fill=None | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='1.175' | fill=None | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='1.282' | fill=None | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J37 | value='1.656' | fill=None | rows=[36] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K37 | value='1.24' | fill=None | rows=[36] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L37 | value='0.413671962' | fill=None | rows=[36] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M37 | value='0.364845524705711' | fill=None | rows=[36] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N37 | value='0.60812251788471' | fill=None | rows=[36] | cols=[13] | col_header=False | row_header=False | metadata=False
