=== environment-table19.xlsx ===
Cell A1 | value='Table 3 Scientific procedures by species of animal, primary purpose and genetic status' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell F55 | value='285' | fill=00000000 | rows=[54] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Applied studies' | fill=47 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C56 | value='5317' | fill=47 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D56 | value='-' | fill=47 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='-' | fill=47 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F56 | value='5317' | fill=47 | rows=[55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B57 | value='Safety' | fill=00000000 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='93' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D57 | value='-' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='-' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F57 | value='93' | fill=00000000 | rows=[56] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B58 | value='Other  uses' | fill=47 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='-' | fill=47 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D58 | value='-' | fill=47 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E58 | value='-' | fill=47 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F58 | value='0' | fill=47 | rows=[57] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B59 | value='Breeding of GM or HM' | fill=00000000 | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C59 | value='-' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D59 | value='-' | fill=00000000 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='-' | fill=00000000 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F59 | value='0' | fill=00000000 | rows=[58] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B60 | value='Total' | fill=43 | rows=[59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C60 | value='5695' | fill=43 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D60 | value='0' | fill=43 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E60 | value='0' | fill=43 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F60 | value='5695' | fill=43 | rows=[59] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A61 | value='Dog - Greyhound' | fill=43 | rows=[60] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Fundamental biological research' | fill=00000000 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Applied studies' | fill=00000000 | rows=[61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B63 | value='Safety' | fill=00000000 | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B64 | value='Other  uses' | fill=00000000 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B65 | value='Breeding' | fill=00000000 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B66 | value='Total' | fill=00000000 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A67 | value='Dog - Other' | fill=43 | rows=[66] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B67 | value='Fundamental biological research' | fill=00000000 | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='-' | fill=00000000 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D67 | value='-' | fill=00000000 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E67 | value='-' | fill=00000000 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F67 | value='0' | fill=00000000 | rows=[66] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Applied studies' | fill=47 | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C68 | value='86' | fill=47 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D68 | value='-' | fill=47 | rows=[67] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E68 | value='-' | fill=47 | rows=[67] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F68 | value='86' | fill=47 | rows=[67] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B69 | value='Safety' | fill=00000000 | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C69 | value='1' | fill=00000000 | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D69 | value='-' | fill=00000000 | rows=[68] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E69 | value='-' | fill=00000000 | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F69 | value='1' | fill=00000000 | rows=[68] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B70 | value='Other  uses' | fill=47 | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C70 | value='-' | fill=47 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D70 | value='-' | fill=47 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='-' | fill=47 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F70 | value='0' | fill=47 | rows=[69] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B71 | value='Breeding of GM or HM' | fill=00000000 | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C71 | value='-' | fill=00000000 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D71 | value='-' | fill=00000000 | rows=[70] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E71 | value='-' | fill=00000000 | rows=[70] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F71 | value='0' | fill=00000000 | rows=[70] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B72 | value='Total' | fill=43 | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C72 | value='87' | fill=43 | rows=[71] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D72 | value='0' | fill=43 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E72 | value='0' | fill=43 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F72 | value='87' | fill=43 | rows=[71] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A73 | value='Ferret' | fill=43 | rows=[72] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B73 | value='Fundamental biological research' | fill=00000000 | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C73 | value='317' | fill=00000000 | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D73 | value='-' | fill=00000000 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='-' | fill=00000000 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F73 | value='317' | fill=00000000 | rows=[72] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B74 | value='Applied studies' | fill=47 | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C74 | value='456' | fill=47 | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D74 | value='-' | fill=47 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E74 | value='-' | fill=47 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F74 | value='456' | fill=47 | rows=[73] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B75 | value='Safety' | fill=00000000 | rows=[74] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C75 | value='-' | fill=00000000 | rows=[74] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D75 | value='-' | fill=00000000 | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E75 | value='-' | fill=00000000 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F75 | value='0' | fill=00000000 | rows=[74] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B76 | value='Other  uses' | fill=47 | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C76 | value='19' | fill=47 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D76 | value='-' | fill=47 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='-' | fill=47 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F76 | value='19' | fill=47 | rows=[75] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B77 | value='Breeding of GM or HM' | fill=00000000 | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C77 | value='-' | fill=00000000 | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D77 | value='-' | fill=00000000 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='-' | fill=00000000 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F77 | value='0' | fill=00000000 | rows=[76] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Total' | fill=43 | rows=[77] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C78 | value='792' | fill=43 | rows=[77] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D78 | value='0' | fill=43 | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='0' | fill=43 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F78 | value='792' | fill=43 | rows=[77] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A79 | value='Table 3 Scientific procedures by species of animal, primary purpose and genetic status' | fill=00000000 | rows=[78] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A81 | value='Great Britain 2010' | fill=00000000 | rows=[80] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell F81 | value='Number of procedures' | fill=00000000 | rows=[80] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A82 | value='Species of animal' | fill=43 | rows=[81] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B82 | value='Primary purpose of procedure' | fill=43 | rows=[81, 82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C82 | value='Genetic status' | fill=43 | rows=[81] | cols=[2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell F82 | value='Total' | fill=43 | rows=[81] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C83 | value='Normal animal' | fill=43 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D83 | value='Animal with harmful genetic defect' | fill=43 | rows=[82] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E83 | value='Genetically modified animal' | fill=43 | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A84 | value='Other carnivore' | fill=43 | rows=[83] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B84 | value='Fundamental biological research' | fill=00000000 | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C84 | value='374' | fill=00000000 | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D84 | value='-' | fill=00000000 | rows=[83] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E84 | value='-' | fill=00000000 | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='374' | fill=00000000 | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B85 | value='Applied studies' | fill=47 | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C85 | value='75' | fill=47 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D85 | value='-' | fill=47 | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='-' | fill=47 | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='75' | fill=47 | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B86 | value='Safety' | fill=00000000 | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C86 | value='322' | fill=00000000 | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D86 | value='-' | fill=00000000 | rows=[85] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E86 | value='-' | fill=00000000 | rows=[85] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F86 | value='322' | fill=00000000 | rows=[85] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B87 | value='Other  uses' | fill=47 | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C87 | value='-' | fill=47 | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D87 | value='-' | fill=47 | rows=[86] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E87 | value='-' | fill=47 | rows=[86] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F87 | value='0' | fill=47 | rows=[86] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B88 | value='Breeding of GM or HM' | fill=00000000 | rows=[87] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C88 | value='-' | fill=00000000 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D88 | value='-' | fill=00000000 | rows=[87] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E88 | value='-' | fill=00000000 | rows=[87] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F88 | value='0' | fill=00000000 | rows=[87] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Total' | fill=43 | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C89 | value='771' | fill=43 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D89 | value='0' | fill=43 | rows=[88] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E89 | value='0' | fill=43 | rows=[88] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F89 | value='771' | fill=43 | rows=[88] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A90 | value='Horse, Donkey etc' | fill=43 | rows=[89] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B90 | value='Fundamental biological research' | fill=00000000 | rows=[89] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C90 | value='130' | fill=00000000 | rows=[89] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D90 | value='-' | fill=00000000 | rows=[89] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E90 | value='-' | fill=00000000 | rows=[89] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F90 | value='130' | fill=00000000 | rows=[89] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B91 | value='Applied studies' | fill=47 | rows=[90] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C91 | value='153' | fill=47 | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D91 | value='-' | fill=47 | rows=[90] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E91 | value='-' | fill=47 | rows=[90] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F91 | value='153' | fill=47 | rows=[90] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B92 | value='Safety' | fill=00000000 | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C92 | value='32' | fill=00000000 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D92 | value='-' | fill=00000000 | rows=[91] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E92 | value='-' | fill=00000000 | rows=[91] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F92 | value='32' | fill=00000000 | rows=[91] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B93 | value='Other  uses' | fill=47 | rows=[92] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C93 | value='8009' | fill=47 | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D93 | value='-' | fill=47 | rows=[92] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E93 | value='-' | fill=47 | rows=[92] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F93 | value='8009' | fill=47 | rows=[92] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B94 | value='Breeding of GM or HM' | fill=00000000 | rows=[93] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C94 | value='-' | fill=00000000 | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D94 | value='-' | fill=00000000 | rows=[93] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E94 | value='-' | fill=00000000 | rows=[93] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F94 | value='0' | fill=00000000 | rows=[93] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B95 | value='Total' | fill=43 | rows=[94] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C95 | value='8324' | fill=43 | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D95 | value='0' | fill=43 | rows=[94] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E95 | value='0' | fill=43 | rows=[94] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F95 | value='8324' | fill=43 | rows=[94] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A96 | value='Pig' | fill=43 | rows=[95] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B96 | value='Fundamental biological research' | fill=00000000 | rows=[95] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C96 | value='923' | fill=00000000 | rows=[95] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D96 | value='-' | fill=00000000 | rows=[95] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E96 | value='-' | fill=00000000 | rows=[95] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F96 | value='923' | fill=00000000 | rows=[95] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B97 | value='Applied studies' | fill=47 | rows=[96] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C97 | value='2243' | fill=47 | rows=[96] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D97 | value='-' | fill=47 | rows=[96] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E97 | value='-' | fill=47 | rows=[96] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F97 | value='2243' | fill=47 | rows=[96] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B98 | value='Safety' | fill=00000000 | rows=[97] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C98 | value='9' | fill=00000000 | rows=[97] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D98 | value='-' | fill=00000000 | rows=[97] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E98 | value='-' | fill=00000000 | rows=[97] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F98 | value='9' | fill=00000000 | rows=[97] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B99 | value='Other  uses' | fill=47 | rows=[98] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C99 | value='-' | fill=47 | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D99 | value='-' | fill=47 | rows=[98] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E99 | value='-' | fill=47 | rows=[98] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F99 | value='0' | fill=47 | rows=[98] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B100 | value='Breeding of GM or HM' | fill=00000000 | rows=[99] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C100 | value='-' | fill=00000000 | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D100 | value='-' | fill=00000000 | rows=[99] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E100 | value='-' | fill=00000000 | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F100 | value='0' | fill=00000000 | rows=[99] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B101 | value='Total' | fill=43 | rows=[100] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C101 | value='3175' | fill=43 | rows=[100] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D101 | value='0' | fill=43 | rows=[100] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E101 | value='0' | fill=43 | rows=[100] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F101 | value='3175' | fill=43 | rows=[100] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A102 | value='Goat' | fill=43 | rows=[101] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B102 | value='Fundamental biological research' | fill=00000000 | rows=[101] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C102 | value='1' | fill=00000000 | rows=[101] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D102 | value='-' | fill=00000000 | rows=[101] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E102 | value='-' | fill=00000000 | rows=[101] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F102 | value='1' | fill=00000000 | rows=[101] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B103 | value='Applied studies' | fill=47 | rows=[102] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C103 | value='6' | fill=47 | rows=[102] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D103 | value='-' | fill=47 | rows=[102] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E103 | value='-' | fill=47 | rows=[102] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F103 | value='6' | fill=47 | rows=[102] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B104 | value='Safety' | fill=00000000 | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C104 | value='10' | fill=00000000 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D104 | value='-' | fill=00000000 | rows=[103] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E104 | value='-' | fill=00000000 | rows=[103] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F104 | value='10' | fill=00000000 | rows=[103] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B105 | value='Other  uses' | fill=47 | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C105 | value='10' | fill=47 | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D105 | value='-' | fill=47 | rows=[104] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E105 | value='-' | fill=47 | rows=[104] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F105 | value='10' | fill=47 | rows=[104] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B106 | value='Breeding of GM or HM' | fill=00000000 | rows=[105] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C106 | value='-' | fill=00000000 | rows=[105] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D106 | value='-' | fill=00000000 | rows=[105] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E106 | value='-' | fill=00000000 | rows=[105] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F106 | value='0' | fill=00000000 | rows=[105] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B107 | value='Total' | fill=43 | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C107 | value='27' | fill=43 | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D107 | value='0' | fill=43 | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E107 | value='0' | fill=43 | rows=[106] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F107 | value='27' | fill=43 | rows=[106] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A108 | value='Sheep' | fill=43 | rows=[107, 108, 109, 110, 111, 112] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B108 | value='Fundamental biological research' | fill=00000000 | rows=[107] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C108 | value='4304' | fill=00000000 | rows=[107] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D108 | value='0' | fill=00000000 | rows=[107] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E108 | value='2' | fill=00000000 | rows=[107] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F108 | value='4306' | fill=00000000 | rows=[107] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B109 | value='Applied studies' | fill=47 | rows=[108] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C109 | value='1962' | fill=47 | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D109 | value='0' | fill=47 | rows=[108] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E109 | value='0' | fill=47 | rows=[108] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F109 | value='1962' | fill=47 | rows=[108] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B110 | value='Safety' | fill=00000000 | rows=[109] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C110 | value='82' | fill=00000000 | rows=[109] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D110 | value='0' | fill=00000000 | rows=[109] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E110 | value='0' | fill=00000000 | rows=[109] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F110 | value='82' | fill=00000000 | rows=[109] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B111 | value='Other  uses' | fill=47 | rows=[110] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C111 | value='31183' | fill=47 | rows=[110] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D111 | value='0' | fill=47 | rows=[110] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E111 | value='0' | fill=47 | rows=[110] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F111 | value='31183' | fill=47 | rows=[110] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B112 | value='Breeding of GM or HM' | fill=00000000 | rows=[111] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C112 | value='177' | fill=00000000 | rows=[111] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D112 | value='0' | fill=00000000 | rows=[111] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E112 | value='4' | fill=00000000 | rows=[111] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F112 | value='181' | fill=00000000 | rows=[111] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B113 | value='Total' | fill=43 | rows=[112] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C113 | value='37708' | fill=43 | rows=[112] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D113 | value='0' | fill=43 | rows=[112] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E113 | value='6' | fill=43 | rows=[112] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F113 | value='37714' | fill=43 | rows=[112] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A114 | value='Cattle' | fill=43 | rows=[113] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B114 | value='Fundamental biological research' | fill=00000000 | rows=[113] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C114 | value='2433' | fill=00000000 | rows=[113] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D114 | value='-' | fill=00000000 | rows=[113] | cols=[3] | col_header=False | row_header=False | metadata=False
