=== economy-table20.xlsx ===
Cell A1 | value='Table 3a: Number of debt relief orders by location, England and Wales, 2011 to 2021 [r][note 10]' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell K97 | value='179' | fill=00000000 | rows=[96] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L97 | value='182' | fill=00000000 | rows=[96] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M97 | value='143' | fill=00000000 | rows=[96] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N97 | value='159' | fill=00000000 | rows=[96] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A98 | value='E10000007' | fill=00000000 | rows=[97] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B98 | value='Derbyshire' | fill=00000000 | rows=[97] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C98 | value='County' | fill=00000000 | rows=[97] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D98 | value='359' | fill=00000000 | rows=[97] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E98 | value='355' | fill=00000000 | rows=[97] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F98 | value='349' | fill=00000000 | rows=[97] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G98 | value='302' | fill=00000000 | rows=[97] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H98 | value='305' | fill=00000000 | rows=[97] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I98 | value='326' | fill=00000000 | rows=[97] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J98 | value='289' | fill=00000000 | rows=[97] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K98 | value='355' | fill=00000000 | rows=[97] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L98 | value='414' | fill=00000000 | rows=[97] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M98 | value='308' | fill=00000000 | rows=[97] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N98 | value='266' | fill=00000000 | rows=[97] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A99 | value='E07000032' | fill=00000000 | rows=[98] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B99 | value='Amber Valley' | fill=00000000 | rows=[98] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C99 | value='Non-metropolitan District' | fill=00000000 | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D99 | value='49' | fill=00000000 | rows=[98] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E99 | value='27' | fill=00000000 | rows=[98] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F99 | value='48' | fill=00000000 | rows=[98] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G99 | value='37' | fill=00000000 | rows=[98] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H99 | value='38' | fill=00000000 | rows=[98] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I99 | value='40' | fill=00000000 | rows=[98] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J99 | value='27' | fill=00000000 | rows=[98] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K99 | value='43' | fill=00000000 | rows=[98] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L99 | value='52' | fill=00000000 | rows=[98] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M99 | value='49' | fill=00000000 | rows=[98] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N99 | value='18' | fill=00000000 | rows=[98] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A100 | value='E07000033' | fill=00000000 | rows=[99] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B100 | value='Bolsover' | fill=00000000 | rows=[99] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C100 | value='Non-metropolitan District' | fill=00000000 | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D100 | value='46' | fill=00000000 | rows=[99] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E100 | value='41' | fill=00000000 | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F100 | value='38' | fill=00000000 | rows=[99] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G100 | value='32' | fill=00000000 | rows=[99] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H100 | value='41' | fill=00000000 | rows=[99] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I100 | value='46' | fill=00000000 | rows=[99] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J100 | value='31' | fill=00000000 | rows=[99] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K100 | value='46' | fill=00000000 | rows=[99] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L100 | value='39' | fill=00000000 | rows=[99] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M100 | value='35' | fill=00000000 | rows=[99] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N100 | value='28' | fill=00000000 | rows=[99] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A101 | value='E07000034' | fill=00000000 | rows=[100] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B101 | value='Chesterfield' | fill=00000000 | rows=[100] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C101 | value='Non-metropolitan District' | fill=00000000 | rows=[100] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D101 | value='79' | fill=00000000 | rows=[100] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E101 | value='82' | fill=00000000 | rows=[100] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F101 | value='70' | fill=00000000 | rows=[100] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G101 | value='60' | fill=00000000 | rows=[100] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H101 | value='67' | fill=00000000 | rows=[100] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I101 | value='57' | fill=00000000 | rows=[100] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J101 | value='70' | fill=00000000 | rows=[100] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K101 | value='107' | fill=00000000 | rows=[100] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L101 | value='88' | fill=00000000 | rows=[100] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M101 | value='47' | fill=00000000 | rows=[100] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N101 | value='76' | fill=00000000 | rows=[100] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A102 | value='E07000035' | fill=00000000 | rows=[101] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B102 | value='Derbyshire Dales' | fill=00000000 | rows=[101] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C102 | value='Non-metropolitan District' | fill=00000000 | rows=[101] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D102 | value='25' | fill=00000000 | rows=[101] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E102 | value='15' | fill=00000000 | rows=[101] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F102 | value='27' | fill=00000000 | rows=[101] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G102 | value='24' | fill=00000000 | rows=[101] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H102 | value='16' | fill=00000000 | rows=[101] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I102 | value='19' | fill=00000000 | rows=[101] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J102 | value='19' | fill=00000000 | rows=[101] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K102 | value='27' | fill=00000000 | rows=[101] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L102 | value='27' | fill=00000000 | rows=[101] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M102 | value='17' | fill=00000000 | rows=[101] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N102 | value='14' | fill=00000000 | rows=[101] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A103 | value='E07000036' | fill=00000000 | rows=[102] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B103 | value='Erewash' | fill=00000000 | rows=[102] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C103 | value='Non-metropolitan District' | fill=00000000 | rows=[102] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D103 | value='39' | fill=00000000 | rows=[102] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E103 | value='36' | fill=00000000 | rows=[102] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F103 | value='42' | fill=00000000 | rows=[102] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G103 | value='42' | fill=00000000 | rows=[102] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H103 | value='24' | fill=00000000 | rows=[102] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I103 | value='35' | fill=00000000 | rows=[102] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J103 | value='40' | fill=00000000 | rows=[102] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K103 | value='40' | fill=00000000 | rows=[102] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L103 | value='59' | fill=00000000 | rows=[102] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M103 | value='42' | fill=00000000 | rows=[102] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N103 | value='29' | fill=00000000 | rows=[102] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A104 | value='E07000037' | fill=00000000 | rows=[103] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B104 | value='High Peak' | fill=00000000 | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C104 | value='Non-metropolitan District' | fill=00000000 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D104 | value='55' | fill=00000000 | rows=[103] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E104 | value='74' | fill=00000000 | rows=[103] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F104 | value='58' | fill=00000000 | rows=[103] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G104 | value='48' | fill=00000000 | rows=[103] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H104 | value='45' | fill=00000000 | rows=[103] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I104 | value='54' | fill=00000000 | rows=[103] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J104 | value='28' | fill=00000000 | rows=[103] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K104 | value='24' | fill=00000000 | rows=[103] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L104 | value='41' | fill=00000000 | rows=[103] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M104 | value='43' | fill=00000000 | rows=[103] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N104 | value='28' | fill=00000000 | rows=[103] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A105 | value='E07000038' | fill=00000000 | rows=[104] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B105 | value='North East Derbyshire' | fill=00000000 | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C105 | value='Non-metropolitan District' | fill=00000000 | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D105 | value='36' | fill=00000000 | rows=[104] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E105 | value='44' | fill=00000000 | rows=[104] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F105 | value='41' | fill=00000000 | rows=[104] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G105 | value='36' | fill=00000000 | rows=[104] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H105 | value='42' | fill=00000000 | rows=[104] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I105 | value='53' | fill=00000000 | rows=[104] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J105 | value='57' | fill=00000000 | rows=[104] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K105 | value='46' | fill=00000000 | rows=[104] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L105 | value='80' | fill=00000000 | rows=[104] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M105 | value='49' | fill=00000000 | rows=[104] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N105 | value='47' | fill=00000000 | rows=[104] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A106 | value='E07000039' | fill=00000000 | rows=[105] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B106 | value='South Derbyshire' | fill=00000000 | rows=[105] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C106 | value='Non-metropolitan District' | fill=00000000 | rows=[105] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D106 | value='30' | fill=00000000 | rows=[105] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E106 | value='36' | fill=00000000 | rows=[105] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F106 | value='25' | fill=00000000 | rows=[105] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G106 | value='23' | fill=00000000 | rows=[105] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H106 | value='32' | fill=00000000 | rows=[105] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I106 | value='22' | fill=00000000 | rows=[105] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J106 | value='17' | fill=00000000 | rows=[105] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K106 | value='22' | fill=00000000 | rows=[105] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L106 | value='28' | fill=00000000 | rows=[105] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M106 | value='26' | fill=00000000 | rows=[105] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N106 | value='26' | fill=00000000 | rows=[105] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A107 | value='E10000018' | fill=00000000 | rows=[106] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B107 | value='Leicestershire' | fill=00000000 | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C107 | value='County' | fill=00000000 | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D107 | value='400' | fill=00000000 | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E107 | value='345' | fill=00000000 | rows=[106] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F107 | value='299' | fill=00000000 | rows=[106] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G107 | value='264' | fill=00000000 | rows=[106] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H107 | value='190' | fill=00000000 | rows=[106] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I107 | value='222' | fill=00000000 | rows=[106] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J107 | value='224' | fill=00000000 | rows=[106] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K107 | value='281' | fill=00000000 | rows=[106] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L107 | value='305' | fill=00000000 | rows=[106] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M107 | value='281' | fill=00000000 | rows=[106] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N107 | value='275' | fill=00000000 | rows=[106] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A108 | value='E07000129' | fill=00000000 | rows=[107] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B108 | value='Blaby' | fill=00000000 | rows=[107] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C108 | value='Non-metropolitan District' | fill=00000000 | rows=[107] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D108 | value='36' | fill=00000000 | rows=[107] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E108 | value='21' | fill=00000000 | rows=[107] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F108 | value='28' | fill=00000000 | rows=[107] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G108 | value='20' | fill=00000000 | rows=[107] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H108 | value='19' | fill=00000000 | rows=[107] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I108 | value='19' | fill=00000000 | rows=[107] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J108 | value='22' | fill=00000000 | rows=[107] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K108 | value='30' | fill=00000000 | rows=[107] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L108 | value='37' | fill=00000000 | rows=[107] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M108 | value='32' | fill=00000000 | rows=[107] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N108 | value='28' | fill=00000000 | rows=[107] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A109 | value='E07000130' | fill=00000000 | rows=[108] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B109 | value='Charnwood' | fill=00000000 | rows=[108] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C109 | value='Non-metropolitan District' | fill=00000000 | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D109 | value='171' | fill=00000000 | rows=[108] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E109 | value='170' | fill=00000000 | rows=[108] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F109 | value='136' | fill=00000000 | rows=[108] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G109 | value='159' | fill=00000000 | rows=[108] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H109 | value='110' | fill=00000000 | rows=[108] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I109 | value='113' | fill=00000000 | rows=[108] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J109 | value='101' | fill=00000000 | rows=[108] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K109 | value='118' | fill=00000000 | rows=[108] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L109 | value='88' | fill=00000000 | rows=[108] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M109 | value='88' | fill=00000000 | rows=[108] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N109 | value='76' | fill=00000000 | rows=[108] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A110 | value='E07000131' | fill=00000000 | rows=[109] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B110 | value='Harborough' | fill=00000000 | rows=[109] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C110 | value='Non-metropolitan District' | fill=00000000 | rows=[109] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D110 | value='40' | fill=00000000 | rows=[109] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E110 | value='36' | fill=00000000 | rows=[109] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F110 | value='23' | fill=00000000 | rows=[109] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G110 | value='24' | fill=00000000 | rows=[109] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H110 | value='10' | fill=00000000 | rows=[109] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I110 | value='11' | fill=00000000 | rows=[109] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J110 | value='16' | fill=00000000 | rows=[109] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K110 | value='14' | fill=00000000 | rows=[109] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L110 | value='35' | fill=00000000 | rows=[109] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M110 | value='21' | fill=00000000 | rows=[109] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N110 | value='31' | fill=00000000 | rows=[109] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A111 | value='E07000132' | fill=00000000 | rows=[110] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B111 | value='Hinckley and Bosworth' | fill=00000000 | rows=[110] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C111 | value='Non-metropolitan District' | fill=00000000 | rows=[110] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D111 | value='65' | fill=00000000 | rows=[110] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E111 | value='45' | fill=00000000 | rows=[110] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F111 | value='45' | fill=00000000 | rows=[110] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G111 | value='19' | fill=00000000 | rows=[110] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H111 | value='12' | fill=00000000 | rows=[110] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I111 | value='28' | fill=00000000 | rows=[110] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J111 | value='27' | fill=00000000 | rows=[110] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K111 | value='30' | fill=00000000 | rows=[110] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L111 | value='49' | fill=00000000 | rows=[110] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M111 | value='30' | fill=00000000 | rows=[110] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N111 | value='30' | fill=00000000 | rows=[110] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A112 | value='E07000133' | fill=00000000 | rows=[111] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B112 | value='Melton' | fill=00000000 | rows=[111] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C112 | value='Non-metropolitan District' | fill=00000000 | rows=[111] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D112 | value='29' | fill=00000000 | rows=[111] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E112 | value='13' | fill=00000000 | rows=[111] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F112 | value='17' | fill=00000000 | rows=[111] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G112 | value='15' | fill=00000000 | rows=[111] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H112 | value='8' | fill=00000000 | rows=[111] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I112 | value='11' | fill=00000000 | rows=[111] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J112 | value='16' | fill=00000000 | rows=[111] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K112 | value='37' | fill=00000000 | rows=[111] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L112 | value='49' | fill=00000000 | rows=[111] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M112 | value='56' | fill=00000000 | rows=[111] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N112 | value='50' | fill=00000000 | rows=[111] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A113 | value='E07000134' | fill=00000000 | rows=[112] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B113 | value='North West Leicestershire' | fill=00000000 | rows=[112] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C113 | value='Non-metropolitan District' | fill=00000000 | rows=[112] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D113 | value='37' | fill=00000000 | rows=[112] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E113 | value='39' | fill=00000000 | rows=[112] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F113 | value='39' | fill=00000000 | rows=[112] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G113 | value='20' | fill=00000000 | rows=[112] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H113 | value='21' | fill=00000000 | rows=[112] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I113 | value='34' | fill=00000000 | rows=[112] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J113 | value='33' | fill=00000000 | rows=[112] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K113 | value='34' | fill=00000000 | rows=[112] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L113 | value='40' | fill=00000000 | rows=[112] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M113 | value='41' | fill=00000000 | rows=[112] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N113 | value='47' | fill=00000000 | rows=[112] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A114 | value='E07000135' | fill=00000000 | rows=[113] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B114 | value='Oadby and Wigston' | fill=00000000 | rows=[113] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C114 | value='Non-metropolitan District' | fill=00000000 | rows=[113] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D114 | value='22' | fill=00000000 | rows=[113] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E114 | value='21' | fill=00000000 | rows=[113] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F114 | value='11' | fill=00000000 | rows=[113] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G114 | value='7' | fill=00000000 | rows=[113] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H114 | value='10' | fill=00000000 | rows=[113] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I114 | value='6' | fill=00000000 | rows=[113] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J114 | value='9' | fill=00000000 | rows=[113] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K114 | value='18' | fill=00000000 | rows=[113] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L114 | value='7' | fill=00000000 | rows=[113] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M114 | value='13' | fill=00000000 | rows=[113] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N114 | value='13' | fill=00000000 | rows=[113] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A115 | value='E10000019' | fill=00000000 | rows=[114] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B115 | value='Lincolnshire' | fill=00000000 | rows=[114] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C115 | value='County' | fill=00000000 | rows=[114] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D115 | value='405' | fill=00000000 | rows=[114] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E115 | value='432' | fill=00000000 | rows=[114] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F115 | value='397' | fill=00000000 | rows=[114] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G115 | value='431' | fill=00000000 | rows=[114] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H115 | value='386' | fill=00000000 | rows=[114] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I115 | value='355' | fill=00000000 | rows=[114] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J115 | value='312' | fill=00000000 | rows=[114] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K115 | value='345' | fill=00000000 | rows=[114] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L115 | value='333' | fill=00000000 | rows=[114] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M115 | value='289' | fill=00000000 | rows=[114] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N115 | value='284' | fill=00000000 | rows=[114] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A116 | value='E07000136' | fill=00000000 | rows=[115] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B116 | value='Boston' | fill=00000000 | rows=[115] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C116 | value='Non-metropolitan District' | fill=00000000 | rows=[115] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D116 | value='13' | fill=00000000 | rows=[115] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E116 | value='6' | fill=00000000 | rows=[115] | cols=[4] | col_header=False | row_header=False | metadata=False
