=== health-table07.xlsx ===
Cell B1 | value='Physicians by categories' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell G121 | value='0.02' | fill=00000000 | rows=[120] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H121 | value='0.02' | fill=00000000 | rows=[120] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I121 | value='0.02' | fill=00000000 | rows=[120] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J121 | value='0.02' | fill=00000000 | rows=[120] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K121 | value='0.02' | fill=00000000 | rows=[120] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B122 | value='·  Croatia' | fill=FFE2F2FB | rows=[121] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D122 | value='0.22' | fill=00000000 | rows=[121] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E122 | value='0.26' | fill=00000000 | rows=[121] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F122 | value='0.25' | fill=00000000 | rows=[121] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G122 | value='0.25' | fill=00000000 | rows=[121] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H122 | value='0.26' | fill=00000000 | rows=[121] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I122 | value='0.2' | fill=00000000 | rows=[121] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J122 | value='0.23' | fill=00000000 | rows=[121] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K122 | value='0.19' | fill=00000000 | rows=[121] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B123 | value='·  Cyprus' | fill=FFE2F2FB | rows=[122] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D123 | value='0' | fill=00000000 | rows=[122] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E123 | value='0' | fill=00000000 | rows=[122] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F123 | value='0' | fill=00000000 | rows=[122] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G123 | value='0' | fill=00000000 | rows=[122] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H123 | value='0' | fill=00000000 | rows=[122] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I123 | value='0' | fill=00000000 | rows=[122] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J123 | value='0' | fill=00000000 | rows=[122] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K123 | value='0' | fill=00000000 | rows=[122] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B124 | value='·  Romania' | fill=FFE2F2FB | rows=[123] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D124 | value='0.15' | fill=00000000 | rows=[123] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E124 | value='0.15' | fill=00000000 | rows=[123] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F124 | value='0.14' | fill=00000000 | rows=[123] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G124 | value='0.15' | fill=00000000 | rows=[123] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H124 | value='0.15' | fill=00000000 | rows=[123] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I124 | value='0.14' | fill=00000000 | rows=[123] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J124 | value='0.14' | fill=00000000 | rows=[123] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K124 | value='0.14' | fill=00000000 | rows=[123] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B125 | value='Health profession: Specialist medical practitioners' | fill=FFB7DEF6 | rows=[124] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=False | row_header=False | metadata=False
Cell B126 | value='Australia' | fill=FFE2F2FB | rows=[125] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D126 | value='1.72' | fill=00000000 | rows=[125] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E126 | value='1.78' | fill=00000000 | rows=[125] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F126 | value='1.8' | fill=00000000 | rows=[125] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G126 | value='1.84' | fill=00000000 | rows=[125] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H126 | value='1.85' | fill=00000000 | rows=[125] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I126 | value='1.89' | fill=00000000 | rows=[125] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J126 | value='1.96' | fill=00000000 | rows=[125] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K126 | value='1.98' | fill=00000000 | rows=[125] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B127 | value='Austria' | fill=FFE2F2FB | rows=[126] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D127 | value='2.72' | fill=00000000 | rows=[126] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E127 | value='2.7' | fill=00000000 | rows=[126] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F127 | value='2.73' | fill=00000000 | rows=[126] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H127 | value='2.86' | fill=00000000 | rows=[126] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I127 | value='2.93' | fill=00000000 | rows=[126] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J127 | value='3.01' | fill=00000000 | rows=[126] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K127 | value='3.03' | fill=00000000 | rows=[126] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L127 | value='3.11' | fill=00000000 | rows=[126] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B128 | value='Belgium' | fill=FFE2F2FB | rows=[127] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D128 | value='1.86' | fill=00000000 | rows=[127] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E128 | value='1.9' | fill=00000000 | rows=[127] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F128 | value='1.91' | fill=00000000 | rows=[127] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G128 | value='1.93' | fill=00000000 | rows=[127] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H128 | value='1.96' | fill=00000000 | rows=[127] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I128 | value='1.99' | fill=00000000 | rows=[127] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J128 | value='2' | fill=00000000 | rows=[127] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K128 | value='2.02' | fill=00000000 | rows=[127] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B129 | value='Canada' | fill=FFE2F2FB | rows=[128] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D129 | value='1.41' | fill=00000000 | rows=[128] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E129 | value='1.42' | fill=00000000 | rows=[128] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F129 | value='1.43' | fill=00000000 | rows=[128] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G129 | value='1.46' | fill=00000000 | rows=[128] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H129 | value='1.46' | fill=00000000 | rows=[128] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I129 | value='1.45' | fill=00000000 | rows=[128] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J129 | value='1.48' | fill=00000000 | rows=[128] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K129 | value='1.48' | fill=00000000 | rows=[128] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B130 | value='Chile' | fill=FFE2F2FB | rows=[129] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D130 | value='1.1' | fill=00000000 | rows=[129] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E130 | value='1.15' | fill=00000000 | rows=[129] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F130 | value='1.2' | fill=00000000 | rows=[129] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G130 | value='1.25' | fill=00000000 | rows=[129] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H130 | value='1.39' | fill=00000000 | rows=[129] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I130 | value='1.45' | fill=00000000 | rows=[129] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J130 | value='1.51' | fill=00000000 | rows=[129] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K130 | value='1.64' | fill=00000000 | rows=[129] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L130 | value='1.65' | fill=00000000 | rows=[129] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B131 | value='Colombia' | fill=FFE2F2FB | rows=[130] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D131 | value='0.48' | fill=00000000 | rows=[130] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E131 | value='0.5' | fill=00000000 | rows=[130] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F131 | value='0.53' | fill=00000000 | rows=[130] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G131 | value='0.56' | fill=00000000 | rows=[130] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H131 | value='0.58' | fill=00000000 | rows=[130] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I131 | value='0.59' | fill=00000000 | rows=[130] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B132 | value='Czechia' | fill=FFE2F2FB | rows=[131] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell H132 | value='3.24' | fill=00000000 | rows=[131] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I132 | value='3.31' | fill=00000000 | rows=[131] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J132 | value='3.38' | fill=00000000 | rows=[131] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K132 | value='3.25' | fill=00000000 | rows=[131] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B133 | value='Denmark' | fill=FFE2F2FB | rows=[132] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D133 | value='1.74' | fill=00000000 | rows=[132] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E133 | value='1.76' | fill=00000000 | rows=[132] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F133 | value='1.8' | fill=00000000 | rows=[132] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G133 | value='1.82' | fill=00000000 | rows=[132] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H133 | value='1.86' | fill=00000000 | rows=[132] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I133 | value='1.9' | fill=00000000 | rows=[132] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J133 | value='1.94' | fill=00000000 | rows=[132] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B134 | value='Estonia' | fill=FFE2F2FB | rows=[133] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D134 | value='2.62' | fill=00000000 | rows=[133] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E134 | value='2.65' | fill=00000000 | rows=[133] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F134 | value='2.67' | fill=00000000 | rows=[133] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G134 | value='2.65' | fill=00000000 | rows=[133] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H134 | value='2.64' | fill=00000000 | rows=[133] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I134 | value='2.67' | fill=00000000 | rows=[133] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J134 | value='2.56' | fill=00000000 | rows=[133] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K134 | value='2.6' | fill=00000000 | rows=[133] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B135 | value='Finland' | fill=FFE2F2FB | rows=[134] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D135 | value='2.05' | fill=00000000 | rows=[134] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E135 | value='2.07' | fill=00000000 | rows=[134] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F135 | value='2.11' | fill=00000000 | rows=[134] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G135 | value='2.11' | fill=00000000 | rows=[134] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H135 | value='2.14' | fill=00000000 | rows=[134] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I135 | value='2.2' | fill=00000000 | rows=[134] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J135 | value='2.15' | fill=00000000 | rows=[134] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B136 | value='France' | fill=FFE2F2FB | rows=[135] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D136 | value='1.7' | fill=00000000 | rows=[135] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E136 | value='1.72' | fill=00000000 | rows=[135] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F136 | value='1.73' | fill=00000000 | rows=[135] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G136 | value='1.73' | fill=00000000 | rows=[135] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H136 | value='1.76' | fill=00000000 | rows=[135] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I136 | value='1.78' | fill=00000000 | rows=[135] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J136 | value='1.8' | fill=00000000 | rows=[135] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K136 | value='1.82' | fill=00000000 | rows=[135] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B137 | value='Germany' | fill=FFE2F2FB | rows=[136] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D137 | value='3.18' | fill=00000000 | rows=[136] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E137 | value='3.23' | fill=00000000 | rows=[136] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F137 | value='3.28' | fill=00000000 | rows=[136] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G137 | value='3.33' | fill=00000000 | rows=[136] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H137 | value='3.4' | fill=00000000 | rows=[136] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I137 | value='3.44' | fill=00000000 | rows=[136] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J137 | value='3.49' | fill=00000000 | rows=[136] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K137 | value='3.5' | fill=00000000 | rows=[136] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B138 | value='Greece' | fill=FFE2F2FB | rows=[137] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D138 | value='4.77' | fill=00000000 | rows=[137] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E138 | value='4.9' | fill=00000000 | rows=[137] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F138 | value='4.95' | fill=00000000 | rows=[137] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G138 | value='5.14' | fill=00000000 | rows=[137] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H138 | value='5.04' | fill=00000000 | rows=[137] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I138 | value='5.03' | fill=00000000 | rows=[137] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J138 | value='5.18' | fill=00000000 | rows=[137] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K138 | value='5.32' | fill=00000000 | rows=[137] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B139 | value='Hungary' | fill=FFE2F2FB | rows=[138] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F139 | value='2.62' | fill=00000000 | rows=[138] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G139 | value='2.65' | fill=00000000 | rows=[138] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H139 | value='2.74' | fill=00000000 | rows=[138] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I139 | value='2.47' | fill=00000000 | rows=[138] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J139 | value='2.62' | fill=00000000 | rows=[138] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K139 | value='2.77' | fill=00000000 | rows=[138] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B140 | value='Iceland' | fill=FFE2F2FB | rows=[139] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D140 | value='2.19' | fill=00000000 | rows=[139] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E140 | value='2.44' | fill=00000000 | rows=[139] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F140 | value='2.32' | fill=00000000 | rows=[139] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G140 | value='2.27' | fill=00000000 | rows=[139] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H140 | value='2.26' | fill=00000000 | rows=[139] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I140 | value='2.25' | fill=00000000 | rows=[139] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J140 | value='2.23' | fill=00000000 | rows=[139] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K140 | value='2.25' | fill=00000000 | rows=[139] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L140 | value='2.3' | fill=00000000 | rows=[139] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B141 | value='Ireland' | fill=FFE2F2FB | rows=[140] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D141 | value='1.28' | fill=00000000 | rows=[140] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E141 | value='1.4' | fill=00000000 | rows=[140] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F141 | value='1.43' | fill=00000000 | rows=[140] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G141 | value='1.44' | fill=00000000 | rows=[140] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H141 | value='1.48' | fill=00000000 | rows=[140] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I141 | value='1.58' | fill=00000000 | rows=[140] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J141 | value='1.7' | fill=00000000 | rows=[140] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K141 | value='1.58' | fill=00000000 | rows=[140] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L141 | value='1.77' | fill=00000000 | rows=[140] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B142 | value='Israel' | fill=FFE2F2FB | rows=[141] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D142 | value='2.17' | fill=00000000 | rows=[141] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E142 | value='2.18' | fill=00000000 | rows=[141] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F142 | value='2.21' | fill=00000000 | rows=[141] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G142 | value='2.23' | fill=00000000 | rows=[141] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H142 | value='2.25' | fill=00000000 | rows=[141] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I142 | value='2.3' | fill=00000000 | rows=[141] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J142 | value='2.34' | fill=00000000 | rows=[141] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K142 | value='2.39' | fill=00000000 | rows=[141] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B143 | value='Italy' | fill=FFE2F2FB | rows=[142] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D143 | value='2.98' | fill=00000000 | rows=[142] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E143 | value='3.09' | fill=00000000 | rows=[142] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F143 | value='3.13' | fill=00000000 | rows=[142] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G143 | value='3.13' | fill=00000000 | rows=[142] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H143 | value='3.17' | fill=00000000 | rows=[142] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I143 | value='3.15' | fill=00000000 | rows=[142] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J143 | value='3.28' | fill=00000000 | rows=[142] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K143 | value='3.44' | fill=00000000 | rows=[142] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B144 | value='Korea' | fill=FFE2F2FB | rows=[143] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D144 | value='1.64' | fill=00000000 | rows=[143] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E144 | value='1.67' | fill=00000000 | rows=[143] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F144 | value='1.71' | fill=00000000 | rows=[143] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G144 | value='1.74' | fill=00000000 | rows=[143] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H144 | value='1.79' | fill=00000000 | rows=[143] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I144 | value='1.82' | fill=00000000 | rows=[143] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J144 | value='1.87' | fill=00000000 | rows=[143] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K144 | value='1.91' | fill=00000000 | rows=[143] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B145 | value='Latvia' | fill=FFE2F2FB | rows=[144] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D145 | value='2.5' | fill=00000000 | rows=[144] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E145 | value='2.49' | fill=00000000 | rows=[144] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F145 | value='2.48' | fill=00000000 | rows=[144] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G145 | value='2.57' | fill=00000000 | rows=[144] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H145 | value='2.55' | fill=00000000 | rows=[144] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I145 | value='2.59' | fill=00000000 | rows=[144] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J145 | value='2.59' | fill=00000000 | rows=[144] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K145 | value='2.64' | fill=00000000 | rows=[144] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B146 | value='Lithuania' | fill=FFE2F2FB | rows=[145] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D146 | value='3.37' | fill=00000000 | rows=[145] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E146 | value='3.47' | fill=00000000 | rows=[145] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F146 | value='3.51' | fill=00000000 | rows=[145] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G146 | value='3.57' | fill=00000000 | rows=[145] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H146 | value='3.54' | fill=00000000 | rows=[145] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I146 | value='3.51' | fill=00000000 | rows=[145] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J146 | value='3.44' | fill=00000000 | rows=[145] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K146 | value='3.4' | fill=00000000 | rows=[145] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B147 | value='Luxembourg' | fill=FFE2F2FB | rows=[146] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D147 | value='2.03' | fill=00000000 | rows=[146] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E147 | value='2.02' | fill=00000000 | rows=[146] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F147 | value='2.09' | fill=00000000 | rows=[146] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B148 | value='Mexico' | fill=FFE2F2FB | rows=[147] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D148 | value='1.5' | fill=00000000 | rows=[147] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E148 | value='1.47' | fill=00000000 | rows=[147] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F148 | value='1.53' | fill=00000000 | rows=[147] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G148 | value='1.58' | fill=00000000 | rows=[147] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H148 | value='1.56' | fill=00000000 | rows=[147] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I148 | value='1.53' | fill=00000000 | rows=[147] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J148 | value='1.62' | fill=00000000 | rows=[147] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K148 | value='1.69' | fill=00000000 | rows=[147] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B149 | value='Netherlands' | fill=FFE2F2FB | rows=[148] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D149 | value='1.93' | fill=00000000 | rows=[148] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E149 | value='1.95' | fill=00000000 | rows=[148] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F149 | value='1.98' | fill=00000000 | rows=[148] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G149 | value='2' | fill=00000000 | rows=[148] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H149 | value='2.02' | fill=00000000 | rows=[148] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I149 | value='2.06' | fill=00000000 | rows=[148] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J149 | value='2.1' | fill=00000000 | rows=[148] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K149 | value='2.09' | fill=00000000 | rows=[148] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B150 | value='New Zealand' | fill=FFE2F2FB | rows=[149] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D150 | value='1.65' | fill=00000000 | rows=[149] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E150 | value='1.74' | fill=00000000 | rows=[149] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F150 | value='1.83' | fill=00000000 | rows=[149] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G150 | value='1.85' | fill=00000000 | rows=[149] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H150 | value='1.96' | fill=00000000 | rows=[149] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I150 | value='2.15' | fill=00000000 | rows=[149] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J150 | value='2.22' | fill=00000000 | rows=[149] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K150 | value='2.29' | fill=00000000 | rows=[149] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L150 | value='2.35' | fill=00000000 | rows=[149] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B151 | value='Norway' | fill=FFE2F2FB | rows=[150] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D151 | value='1.62' | fill=00000000 | rows=[150] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E151 | value='1.67' | fill=00000000 | rows=[150] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F151 | value='1.78' | fill=00000000 | rows=[150] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G151 | value='1.83' | fill=00000000 | rows=[150] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H151 | value='1.89' | fill=00000000 | rows=[150] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I151 | value='1.93' | fill=00000000 | rows=[150] | cols=[8] | col_header=False | row_header=False | metadata=False
