=== economy-table88.xlsx ===
Cell A1 | value='Direct Loan Portfolio by Deferment Type' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=True | metadata=True
Cell F21 | value='0.16' | fill=None | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='6.8' | fill=7 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='0.17' | fill=7 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='3.2' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='0.09' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='0.2' | fill=7 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='0.01' | fill=7 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='N/A' | fill=None | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='N/A' | fill=None | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='0.6' | fill=7 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='0' | fill=7 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='0' | fill=None | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='0' | fill=None | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Q3' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='93' | fill=7 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='2.93' | fill=7 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='13.3' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='0.27' | fill=None | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='6.7' | fill=7 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='0.17' | fill=7 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='3.3' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='0.09' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='0.2' | fill=7 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='0.01' | fill=7 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='N/A' | fill=None | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='N/A' | fill=None | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='0.6' | fill=7 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='0' | fill=7 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='0' | fill=None | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='0' | fill=None | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Q4' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='98.4' | fill=7 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='3.12' | fill=7 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='15.5' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='0.32' | fill=None | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='6.3' | fill=7 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='0.15' | fill=7 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='3.4' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='0.09' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='0.2' | fill=7 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='0.01' | fill=7 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='N/A' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='N/A' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='0.4' | fill=7 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='0' | fill=7 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='0' | fill=None | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='0' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A24 | value='2019' | fill=00000000 | rows=[23, 24, 25, 26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Q1' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='93.8' | fill=7 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='2.96' | fill=7 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='6.1' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='0.15' | fill=None | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='6.2' | fill=7 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0.15' | fill=7 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='3.5' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='0.1' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='0.2' | fill=7 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='0.01' | fill=7 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='N/A' | fill=None | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='N/A' | fill=None | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='0.6' | fill=7 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='0' | fill=7 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='0' | fill=None | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='0' | fill=None | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Q2' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='111.5' | fill=7 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='3.27' | fill=7 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='5.6' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='0.16' | fill=None | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='6.5' | fill=7 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0.16' | fill=7 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='3.5' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='0.1' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='0.2' | fill=7 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='0.01' | fill=7 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='N/A' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='N/A' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='0.6' | fill=7 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='0' | fill=7 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='0' | fill=None | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='0' | fill=None | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Q3' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='98.3' | fill=7 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='2.92' | fill=7 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='13.8' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='0.26' | fill=None | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='6.5' | fill=7 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0.15' | fill=7 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='3.7' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='0.1' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='0.2' | fill=7 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='0.01' | fill=7 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='N/A' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='N/A' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='0.6' | fill=7 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='0' | fill=7 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='0' | fill=None | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='0' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Q4' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='101.1' | fill=7 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='3.03' | fill=7 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='17' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='0.34' | fill=None | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='6.1' | fill=7 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='0.14' | fill=7 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='3.6' | fill=None | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='0.09' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='0.2' | fill=7 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='0.01' | fill=7 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='N/A' | fill=None | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='N/A' | fill=None | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='0.4' | fill=7 | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='0' | fill=7 | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='0' | fill=None | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='0' | fill=None | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A28 | value='2020' | fill=00000000 | rows=[27, 28, 29, 30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Q1' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='97.9' | fill=7 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='2.92' | fill=7 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='6.6' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='0.16' | fill=None | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='6.1' | fill=7 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='0.14' | fill=7 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='3.5' | fill=None | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='0.09' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='0.2' | fill=7 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='0.01' | fill=7 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='0.1' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='0' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='0.5' | fill=7 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='0' | fill=7 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='0' | fill=None | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='0' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Q2*' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='115.7' | fill=7 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='3.21' | fill=7 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='6.6' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='0.17' | fill=None | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='6.9' | fill=7 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0.16' | fill=7 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='3.5' | fill=None | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='0.09' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='0.2' | fill=7 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='0.01' | fill=7 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='0.2' | fill=None | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='0' | fill=None | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='0.6' | fill=7 | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='0' | fill=7 | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='0' | fill=None | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='0' | fill=None | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Q3*' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='101' | fill=7 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='2.865' | fill=7 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='9.77' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='0.194' | fill=None | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='0.005' | fill=7 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='0' | fill=7 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='0.005' | fill=None | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='0' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='0' | fill=7 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='0' | fill=7 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='0' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='0' | fill=None | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='0.188' | fill=7 | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='0' | fill=7 | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='0.04' | fill=None | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='0' | fill=None | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Q4*' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='102.3' | fill=7 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='2.95' | fill=7 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='12' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='0.25' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='0' | fill=7 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='0' | fill=7 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='0' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='0' | fill=None | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='0' | fill=7 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='0' | fill=7 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='0' | fill=00000000 | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='0' | fill=None | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='0.1' | fill=7 | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='0' | fill=7 | rows=[30] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='0' | fill=None | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R31 | value='0' | fill=None | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A32 | value='2021' | fill=00000000 | rows=[31, 32, 33, 34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Q1*' | fill=00000000 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='100.2' | fill=7 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='2.91' | fill=7 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='4.8' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='0.12' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='0' | fill=7 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='0' | fill=7 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='0' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='0' | fill=None | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='0' | fill=7 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='0' | fill=7 | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='0' | fill=00000000 | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='0' | fill=None | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O32 | value='0.1' | fill=7 | rows=[31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P32 | value='0' | fill=7 | rows=[31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q32 | value='0' | fill=None | rows=[31] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R32 | value='0' | fill=None | rows=[31] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Q2*' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='115.2' | fill=7 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='3.17' | fill=7 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='4.7' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='0.13' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='0' | fill=7 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='0' | fill=7 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='0' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='0' | fill=None | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='0' | fill=7 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='0' | fill=7 | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='0' | fill=00000000 | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='0' | fill=None | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='0.1' | fill=7 | rows=[32] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P33 | value='0' | fill=7 | rows=[32] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q33 | value='0' | fill=None | rows=[32] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R33 | value='0' | fill=None | rows=[32] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Q3*' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='99.1' | fill=7 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='2.79' | fill=7 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='9.6' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='0.19' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='0.01' | fill=7 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='0' | fill=7 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='0' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='0' | fill=None | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='0' | fill=7 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='0' | fill=7 | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='0' | fill=00000000 | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N34 | value='0' | fill=00000000 | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O34 | value='0.1' | fill=7 | rows=[33] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P34 | value='0' | fill=7 | rows=[33] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q34 | value='0' | fill=None | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R34 | value='0' | fill=00000000 | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Q4*' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='101.1' | fill=7 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='2.9' | fill=7 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='11.7' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='0.24' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='0.01' | fill=7 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='0' | fill=7 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='0' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='0' | fill=None | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='0' | fill=7 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='0' | fill=7 | rows=[34] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M35 | value='0' | fill=00000000 | rows=[34] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N35 | value='0' | fill=00000000 | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='0.1' | fill=7 | rows=[34] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='0' | fill=7 | rows=[34] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='0.1' | fill=None | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R35 | value='0' | fill=00000000 | rows=[34] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A36 | value='2022' | fill=00000000 | rows=[35, 36, 37, 38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Q1*' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='95.1' | fill=7 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='2.75' | fill=7 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='5.05' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='0.13' | fill=00000000 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='0' | fill=7 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='0' | fill=7 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='0' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='0' | fill=None | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='0' | fill=7 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L36 | value='0' | fill=7 | rows=[35] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M36 | value='0' | fill=00000000 | rows=[35] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N36 | value='0' | fill=00000000 | rows=[35] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O36 | value='0' | fill=7 | rows=[35] | cols=[14] | col_header=False | row_header=False | metadata=False
