=== society-table28.xlsx ===
Cell A1 | value='Number and Share of Lives Saved by Mitigation Strategy' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell AV6 | value='Hib - Three doses' | fill=7 | rows=[5] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW6 | value='HepB - Three doses' | fill=7 | rows=[5] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX6 | value='Pneumococcal - Three doses' | fill=7 | rows=[5] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY6 | value='Rotavirus - Two doses' | fill=7 | rows=[5] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ6 | value='Meningococcal A - Single dose' | fill=7 | rows=[5] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA6 | value='Malaria vaccine - Three doses' | fill=7 | rows=[5] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB6 | value='Measles - Single dose' | fill=7 | rows=[5] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC6 | value='Vitamin A supplementation' | fill=5 | rows=[5] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD6 | value='Zinc supplementation' | fill=5 | rows=[5] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE6 | value='ORS - Oral Rehydration Solution' | fill=5 | rows=[5] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF6 | value='Antibiotics for treatment of dysentery' | fill=5 | rows=[5] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG6 | value='Zinc for treatment of diarrhea' | fill=5 | rows=[5] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH6 | value='Oral antibiotics for pneumonia' | fill=5 | rows=[5] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI6 | value='Vitamin A for treatment of measles' | fill=5 | rows=[5] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ6 | value='ACTs - Artemisinin compounds for treatment of malaria' | fill=5 | rows=[5] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK6 | value='SAM - treatment for severe acute malnutrition' | fill=8 | rows=[5] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL6 | value='MAM - treatment for moderate acute malnutrition' | fill=8 | rows=[5] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM6 | value='ITN/IRS - Households protected from malaria' | fill=4 | rows=[5] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Maternal Lives Saved' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='4' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='0' | fill=5 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='0' | fill=5 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='1' | fill=5 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0' | fill=5 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0' | fill=5 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0' | fill=5 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0' | fill=5 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0' | fill=5 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0' | fill=5 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='3' | fill=5 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0' | fill=5 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='1' | fill=5 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='7' | fill=5 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0' | fill=2 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='1' | fill=2 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='2' | fill=2 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='0' | fill=2 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='1' | fill=2 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='3' | fill=2 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='0' | fill=2 | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='27' | fill=2 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='2' | fill=2 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='0' | fill=2 | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='0' | fill=2 | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='0' | fill=2 | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='1' | fill=2 | rows=[6] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC7 | value='0' | fill=2 | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='1' | fill=2 | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE7 | value='0' | fill=2 | rows=[6] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF7 | value='0' | fill=2 | rows=[6] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG7 | value='0' | fill=9 | rows=[6] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH7 | value='0' | fill=9 | rows=[6] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI7 | value='0' | fill=9 | rows=[6] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ7 | value='0' | fill=9 | rows=[6] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK7 | value='0' | fill=9 | rows=[6] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL7 | value='0' | fill=9 | rows=[6] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM7 | value='0' | fill=9 | rows=[6] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN7 | value='0' | fill=9 | rows=[6] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO7 | value='0' | fill=9 | rows=[6] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP7 | value='0' | fill=None | rows=[6] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ7 | value='0' | fill=None | rows=[6] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR7 | value='0' | fill=None | rows=[6] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS7 | value='0' | fill=7 | rows=[6] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT7 | value='0' | fill=7 | rows=[6] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU7 | value='0' | fill=7 | rows=[6] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV7 | value='0' | fill=7 | rows=[6] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW7 | value='0' | fill=7 | rows=[6] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX7 | value='0' | fill=7 | rows=[6] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY7 | value='0' | fill=7 | rows=[6] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ7 | value='0' | fill=7 | rows=[6] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA7 | value='0' | fill=7 | rows=[6] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB7 | value='0' | fill=7 | rows=[6] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC7 | value='0' | fill=5 | rows=[6] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD7 | value='0' | fill=5 | rows=[6] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE7 | value='0' | fill=5 | rows=[6] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF7 | value='0' | fill=5 | rows=[6] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG7 | value='0' | fill=5 | rows=[6] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH7 | value='0' | fill=5 | rows=[6] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI7 | value='0' | fill=5 | rows=[6] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ7 | value='0' | fill=5 | rows=[6] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK7 | value='0' | fill=8 | rows=[6] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL7 | value='0' | fill=8 | rows=[6] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM7 | value='0' | fill=4 | rows=[6] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN7 | value='4' | fill=9 | rows=[6] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO7 | value='12' | fill=5 | rows=[6] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP7 | value='38' | fill=None | rows=[6] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ7 | value='0' | fill=9 | rows=[6] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR7 | value='0' | fill=None | rows=[6] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS7 | value='0' | fill=7 | rows=[6] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT7 | value='0' | fill=5 | rows=[6] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU7 | value='0' | fill=4 | rows=[6] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BV7 | value='0' | fill=8 | rows=[6] | cols=[73] | col_header=False | row_header=False | metadata=False
Cell BW7 | value='54' | fill=9 | rows=[6] | cols=[74] | col_header=False | row_header=False | metadata=False
Cell BX7 | value='0.0165137614678899' | fill=9 | rows=[6] | cols=[75] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Children's Lives Saved' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='3' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='0' | fill=5 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='0' | fill=5 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='80' | fill=5 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0' | fill=5 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0' | fill=5 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0' | fill=5 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0' | fill=5 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0' | fill=5 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0' | fill=5 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0' | fill=5 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='0' | fill=5 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0' | fill=5 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0' | fill=5 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0' | fill=2 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='38' | fill=2 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='0' | fill=2 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='0' | fill=2 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='21' | fill=2 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='21' | fill=2 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='26' | fill=2 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='0' | fill=2 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='0' | fill=2 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='0' | fill=2 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='0' | fill=2 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='0' | fill=2 | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='0' | fill=2 | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC8 | value='0' | fill=2 | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD8 | value='48' | fill=2 | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE8 | value='0' | fill=2 | rows=[7] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF8 | value='0' | fill=2 | rows=[7] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG8 | value='209' | fill=9 | rows=[7] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH8 | value='350' | fill=9 | rows=[7] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI8 | value='290' | fill=9 | rows=[7] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ8 | value='237' | fill=9 | rows=[7] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK8 | value='0' | fill=9 | rows=[7] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL8 | value='0' | fill=9 | rows=[7] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM8 | value='0' | fill=9 | rows=[7] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN8 | value='1220' | fill=FF9999FF | rows=[7] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO8 | value='0' | fill=9 | rows=[7] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP8 | value='419' | fill=None | rows=[7] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ8 | value='6' | fill=None | rows=[7] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR8 | value='0' | fill=None | rows=[7] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS8 | value='0' | fill=7 | rows=[7] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT8 | value='0' | fill=7 | rows=[7] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU8 | value='60' | fill=7 | rows=[7] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV8 | value='63' | fill=7 | rows=[7] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW8 | value='0' | fill=7 | rows=[7] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX8 | value='66' | fill=7 | rows=[7] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY8 | value='9' | fill=7 | rows=[7] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ8 | value='0' | fill=7 | rows=[7] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA8 | value='0' | fill=7 | rows=[7] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB8 | value='16' | fill=7 | rows=[7] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC8 | value='0' | fill=5 | rows=[7] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD8 | value='0' | fill=5 | rows=[7] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE8 | value='9' | fill=5 | rows=[7] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF8 | value='0' | fill=5 | rows=[7] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG8 | value='0' | fill=5 | rows=[7] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH8 | value='25' | fill=5 | rows=[7] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI8 | value='0' | fill=5 | rows=[7] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ8 | value='0' | fill=5 | rows=[7] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK8 | value='0' | fill=8 | rows=[7] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL8 | value='0' | fill=8 | rows=[7] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM8 | value='0' | fill=4 | rows=[7] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN8 | value='3' | fill=9 | rows=[7] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO8 | value='80' | fill=5 | rows=[7] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP8 | value='154' | fill=None | rows=[7] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ8 | value='2306' | fill=9 | rows=[7] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR8 | value='425' | fill=None | rows=[7] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS8 | value='214' | fill=7 | rows=[7] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT8 | value='34' | fill=5 | rows=[7] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU8 | value='0' | fill=4 | rows=[7] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BV8 | value='0' | fill=8 | rows=[7] | cols=[73] | col_header=False | row_header=False | metadata=False
Cell BW8 | value='3216' | fill=9 | rows=[7] | cols=[74] | col_header=False | row_header=False | metadata=False
Cell BX8 | value='0.98348623853211' | fill=9 | rows=[7] | cols=[75] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Total Number of Lives Saved' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='7' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='0' | fill=5 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='0' | fill=5 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='81' | fill=5 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0' | fill=5 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0' | fill=5 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0' | fill=5 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0' | fill=5 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0' | fill=5 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0' | fill=5 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='3' | fill=5 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='0' | fill=5 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='1' | fill=5 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='7' | fill=5 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='0' | fill=2 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='39' | fill=2 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='2' | fill=2 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='0' | fill=2 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='22' | fill=2 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='24' | fill=2 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='26' | fill=2 | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='27' | fill=2 | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='2' | fill=2 | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y9 | value='0' | fill=2 | rows=[8] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z9 | value='0' | fill=2 | rows=[8] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA9 | value='0' | fill=2 | rows=[8] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB9 | value='1' | fill=2 | rows=[8] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC9 | value='0' | fill=2 | rows=[8] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD9 | value='49' | fill=2 | rows=[8] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE9 | value='0' | fill=2 | rows=[8] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF9 | value='0' | fill=2 | rows=[8] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG9 | value='209' | fill=9 | rows=[8] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH9 | value='350' | fill=9 | rows=[8] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI9 | value='290' | fill=9 | rows=[8] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ9 | value='237' | fill=9 | rows=[8] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK9 | value='0' | fill=9 | rows=[8] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL9 | value='0' | fill=9 | rows=[8] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM9 | value='0' | fill=9 | rows=[8] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN9 | value='1220' | fill=FF9999FF | rows=[8] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO9 | value='0' | fill=9 | rows=[8] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP9 | value='419' | fill=None | rows=[8] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ9 | value='6' | fill=None | rows=[8] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR9 | value='0' | fill=None | rows=[8] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS9 | value='0' | fill=7 | rows=[8] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT9 | value='0' | fill=7 | rows=[8] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU9 | value='60' | fill=7 | rows=[8] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV9 | value='63' | fill=7 | rows=[8] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW9 | value='0' | fill=7 | rows=[8] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX9 | value='66' | fill=7 | rows=[8] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY9 | value='9' | fill=7 | rows=[8] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ9 | value='0' | fill=7 | rows=[8] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA9 | value='0' | fill=7 | rows=[8] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB9 | value='16' | fill=7 | rows=[8] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC9 | value='0' | fill=5 | rows=[8] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD9 | value='0' | fill=5 | rows=[8] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE9 | value='9' | fill=5 | rows=[8] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF9 | value='0' | fill=5 | rows=[8] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG9 | value='0' | fill=5 | rows=[8] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH9 | value='25' | fill=5 | rows=[8] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI9 | value='0' | fill=5 | rows=[8] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ9 | value='0' | fill=5 | rows=[8] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK9 | value='0' | fill=8 | rows=[8] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL9 | value='0' | fill=8 | rows=[8] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM9 | value='0' | fill=4 | rows=[8] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN9 | value='7' | fill=9 | rows=[8] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO9 | value='92' | fill=5 | rows=[8] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP9 | value='192' | fill=None | rows=[8] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ9 | value='2306' | fill=9 | rows=[8] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR9 | value='425' | fill=None | rows=[8] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS9 | value='214' | fill=7 | rows=[8] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT9 | value='34' | fill=5 | rows=[8] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU9 | value='0' | fill=4 | rows=[8] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BV9 | value='0' | fill=8 | rows=[8] | cols=[73] | col_header=False | row_header=False | metadata=False
Cell BW9 | value='3270' | fill=9 | rows=[8] | cols=[74] | col_header=False | row_header=False | metadata=False
Cell BX9 | value='1' | fill=9 | rows=[8] | cols=[75] | col_header=False | row_header=False | metadata=False
Cell A10 | value='General' | fill=FFBFBFBF | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Ensuring sustainability of essential medicines & supplies' | fill=9 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='0.660377358490566' | fill=None | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='0' | fill=None | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='0' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='9.41860465116279' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='0' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0' | fill=None | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0.348837209302326' | fill=None | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='0' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='0.131578947368421' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0.813953488372093' | fill=None | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0' | fill=None | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='5.90909090909091' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0.303030303030303' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='0' | fill=None | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='2.89473684210526' | fill=None | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
