=== society-table69.xlsx ===
Cell B1 | value='GREAT BRITAIN' | fill=9 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell G20 | value='-' | fill=9 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='-' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='-' | fill=9 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='-' | fill=9 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='-' | fill=9 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='5' | fill=9 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='5' | fill=9 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='5' | fill=9 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='15' | fill=9 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Refusal or failure to apply for, or accept if offered, a job which an employment officer has informed him/her is vacant or about to become vacant without good reason' | fill=9 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='2019' | fill=9 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='5164' | fill=9 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='2504' | fill=9 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='1681' | fill=9 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='1223' | fill=9 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='1367' | fill=9 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='1446' | fill=9 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='1508' | fill=9 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='1213' | fill=9 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='1992' | fill=9 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='1664' | fill=9 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='1576' | fill=9 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='23345' | fill=9 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Failure to participate in Mandatory Work Activity without good reason' | fill=9 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='267' | fill=9 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='823' | fill=9 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='1003' | fill=9 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='794' | fill=9 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='767' | fill=9 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='1027' | fill=9 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='858' | fill=9 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='746' | fill=9 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='925' | fill=9 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='1268' | fill=9 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='1209' | fill=9 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='1114' | fill=9 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='10809' | fill=9 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Total' | fill=22 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='3494' | fill=22 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='9351' | fill=22 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='6039' | fill=22 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='6163' | fill=22 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='5585' | fill=22 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='5938' | fill=22 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='6059' | fill=22 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='5790' | fill=22 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='5238' | fill=22 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='6786' | fill=22 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='6122' | fill=22 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='6340' | fill=22 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='72908' | fill=22 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Level not applicable / not recorded' | fill=9 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C24 | value='30' | fill=9 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='82' | fill=9 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='55' | fill=9 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='74' | fill=9 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='71' | fill=9 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='58' | fill=9 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='57' | fill=9 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='63' | fill=9 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='46' | fill=9 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='48' | fill=9 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='46' | fill=9 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='55' | fill=9 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='684' | fill=9 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A25 | value='TOTAL' | fill=FF00B050 | rows=[24] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='28250' | fill=22 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='75592' | fill=22 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='58538' | fill=22 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='74712' | fill=22 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='61050' | fill=22 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='64003' | fill=22 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='73811' | fill=22 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='76961' | fill=22 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='67844' | fill=22 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='83559' | fill=22 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='76697' | fill=22 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='76524' | fill=22 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='817541' | fill=22 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.' | fill=FF00B0F0 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A31 | value='Figures for October 2012 only reflect sanction decisions made between 22nd and 31st October' | fill=FF00B0F0 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A32 | value='"-" dernotes a nil or negligible value' | fill=FF00B0F0 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=True

