=== society-table78.xlsx ===
Cell A1 | value='Table 2. The pooled age-standardized musculoskeletal disorders mortality rates (95% CI) per million person-years and women to men rate ratio (95% CI), 1986-2011' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20] | col_header=True | row_header=True | metadata=True
Cell C27 | value='12.91' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='11.89' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='13.92' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='22.62' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='21.48' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='23.77' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='1.75279446348486' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='1.59654531211648' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='1.92433525557151' | fill=00000000 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Norway' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='22.55' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='21.55' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='23.54' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='31.76' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='30.72' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='32.8' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='1.40877404963287' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='1.3335540521157' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='1.48823688081509' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Sweden' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='16.37' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='15.81' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='16.94' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='25.71' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='25.06' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='26.35' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='1.56997159686748' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='1.50426469798409' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='1.63854860003947' | fill=00000000 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B30 | value='England & Wales' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='27.97' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='27.65' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='28.29' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='45.03' | fill=00000000 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='44.69' | fill=00000000 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='45.37' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='1.60989326722474' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='1.58789459896699' | fill=00000000 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='1.63219670470673' | fill=00000000 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Northern Ireland' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='16.72' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='15.17' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='18.28' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='25.62' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='24.03' | fill=00000000 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='27.22' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='1.53225768377191' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='1.37003416525016' | fill=00000000 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='1.71368982542809' | fill=00000000 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Scotland' | fill=00000000 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='22.8' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='21.82' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='23.77' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='37.8' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='36.77' | fill=00000000 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='38.83' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='1.65806448472569' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='1.57624521005498' | fill=00000000 | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='1.74413081034058' | fill=00000000 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Southern Europe' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='17' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='16.83' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='17.15' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='24.89' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='24.73' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='25.05' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='1.4651989417356' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='1.44849368203208' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='1.48209686068592' | fill=00000000 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Croatia' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='5.13' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='4.61' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='5.66' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='12.29' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='11.55' | fill=00000000 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='13.03' | fill=00000000 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='2.39355030760247' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='2.12416565624035' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='2.69709806209937' | fill=00000000 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Greece' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='11.52' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='11.07' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='11.97' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='11.25' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='10.85' | fill=00000000 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='11.64' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='0.976359268441691' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='0.926448386891278' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='1.02895901656296' | fill=00000000 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Italy' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='12.75' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='12.55' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='12.95' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='21.5' | fill=00000000 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='21.27' | fill=00000000 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='21.72' | fill=00000000 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='1.6857080702325' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='1.65378360844919' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='1.71824879840939' | fill=00000000 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Portugal' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='10.72' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='10.24' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='11.2' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='14.79' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='14.26' | fill=00000000 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='15.31' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='1.37944821396152' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J37 | value='1.30280305338767' | fill=00000000 | rows=[36] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K37 | value='1.46060248327911' | fill=00000000 | rows=[36] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Slovenia' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='10.52' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='9.37' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='11.67' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='18.17' | fill=00000000 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='16.9' | fill=00000000 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='19.44' | fill=00000000 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='1.72742171731824' | fill=00000000 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J38 | value='1.51722185958878' | fill=00000000 | rows=[37] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K38 | value='1.96674320937575' | fill=00000000 | rows=[37] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B39 | value='Spain' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='27.37' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='27.01' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='27.72' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='37.17' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='36.84' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='37.5' | fill=00000000 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='1.35815683348004' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J39 | value='1.33700241664251' | fill=00000000 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K39 | value='1.3796459612696' | fill=00000000 | rows=[38] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Western Europe' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='17.35' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='17.21' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='17.49' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='21.17' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='21.05' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='21.3' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='1.22064735830445' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J40 | value='1.20847190639838' | fill=00000000 | rows=[39] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K40 | value='1.23294547887028' | fill=00000000 | rows=[39] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B41 | value='Austria' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='9.13' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='8.63' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='9.63' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='14.95' | fill=00000000 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='14.42' | fill=00000000 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='15.49' | fill=00000000 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='1.63782407806312' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J41 | value='1.53402773845611' | fill=00000000 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K41 | value='1.74864355020271' | fill=00000000 | rows=[40] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Belgium' | fill=00000000 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='16.68' | fill=00000000 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='16.11' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='17.24' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='21.74' | fill=00000000 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='21.21' | fill=00000000 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='22.28' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='1.30389619455667' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='1.25010114336075' | fill=00000000 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K42 | value='1.36000618446659' | fill=00000000 | rows=[41] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B43 | value='France' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='22.41' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='22.14' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='22.68' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='25.06' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='24.82' | fill=00000000 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='25.3' | fill=00000000 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='1.11838636149633' | fill=00000000 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J43 | value='1.10133900751331' | fill=00000000 | rows=[42] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K43 | value='1.13569758725347' | fill=00000000 | rows=[42] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Germany' | fill=00000000 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='12.45' | fill=00000000 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='12.27' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='12.63' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='16.18' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='16.02' | fill=00000000 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='16.35' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='1.29957546092412' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J44 | value='1.27674964034652' | fill=00000000 | rows=[43] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K44 | value='1.32280936314011' | fill=00000000 | rows=[43] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Netherlands' | fill=00000000 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='23.72' | fill=00000000 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='23.14' | fill=00000000 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='24.31' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='33.73' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='33.15' | fill=00000000 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='34.3' | fill=00000000 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='1.42160521164886' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J45 | value='1.37973144213221' | fill=00000000 | rows=[44] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K45 | value='1.46474981730071' | fill=00000000 | rows=[44] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B46 | value='Switzerland' | fill=00000000 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='21.86' | fill=00000000 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='21.09' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='22.63' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='31.01' | fill=00000000 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G46 | value='30.26' | fill=00000000 | rows=[45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H46 | value='31.76' | fill=00000000 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I46 | value='1.41856659147847' | fill=00000000 | rows=[45] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J46 | value='1.35929356413204' | fill=00000000 | rows=[45] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K46 | value='1.48042426416092' | fill=00000000 | rows=[45] | cols=[10] | col_header=False | row_header=False | metadata=False

