=== society-table54.xlsx ===
Cell C2 | value='Table 3. Temporal changes in age-standardized MSD mortality rates based on Joinpoint regression analysis 1986-2011, stratified by sex' | fill=FF00B0F0 | rows=[1] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22] | col_header=False | row_header=False | metadata=True
Cell E24 | value='5.0*' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='1994-1998' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='-6.2' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='1998-2004' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='3.7' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='2004-2011' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='-4.8*' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N24 | value='1986-1993' | fill=00000000 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='6.3*' | fill=00000000 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='1993-1997' | fill=00000000 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='-6.6*' | fill=00000000 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='1997-2003' | fill=00000000 | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='1.2' | fill=00000000 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='2003-2011' | fill=00000000 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='-4.2*' | fill=00000000 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C25 | value='Northern Europe (n=11)' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='1986-1990' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='0.1' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='1990-1994' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='-9.0*' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='1994-2002' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='2.9*' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='2002-2011' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='-1' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N25 | value='1986-1991' | fill=00000000 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='-0.8' | fill=00000000 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='1991-1995' | fill=00000000 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='-8.9*' | fill=00000000 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='1995-2002' | fill=00000000 | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='2.0*' | fill=00000000 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='2002-2011' | fill=00000000 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U25 | value='-2.8*' | fill=00000000 | rows=[24] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C26 | value='Denmark' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='1986-1993' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='1.4' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='1993-1998' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='17.0*' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='1998-2002' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='-8.2' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='2002-2007' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='5.4' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='2007-2011' | fill=00000000 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='-4.4' | fill=00000000 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='1986-1994' | fill=00000000 | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='-0.5' | fill=00000000 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='1994-1999' | fill=00000000 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='15.8*' | fill=00000000 | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='1999-2011' | fill=00000000 | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='-3.9*' | fill=00000000 | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C27 | value='Estonia' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='1986-2011' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='0.01' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N27 | value='1986-2011' | fill=00000000 | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='-1.2' | fill=00000000 | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C28 | value='Finland' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='1986-2001' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='-0.1' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='2001-2011' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='-4.7*' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N28 | value='1986-1993' | fill=00000000 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='1' | fill=00000000 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='1993-2011' | fill=00000000 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='-4.1*' | fill=00000000 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C29 | value='Ireland' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='1986-2011' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='-1.8*' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N29 | value='1986-1997' | fill=00000000 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='-0.2' | fill=00000000 | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='1997-2003' | fill=00000000 | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='-4.9' | fill=00000000 | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='2003-2007' | fill=00000000 | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='7.1' | fill=00000000 | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='2007-2011' | fill=00000000 | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U29 | value='-9.2*' | fill=00000000 | rows=[28] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C30 | value='Latvia' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='1986-2011' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='1.9*' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N30 | value='1986-2011' | fill=00000000 | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='-1.2*' | fill=00000000 | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C31 | value='Lithuania' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='1986-2011' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='0.6' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N31 | value='1986-2011' | fill=00000000 | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='-1.7*' | fill=00000000 | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Norway' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='1986-2003' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='0.2' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='2003-2007' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='-10.5' | fill=00000000 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='2007-2011' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='9.8*' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N32 | value='1986-1998' | fill=00000000 | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O32 | value='0.4' | fill=00000000 | rows=[31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P32 | value='1998-2011' | fill=00000000 | rows=[31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q32 | value='-3.7*' | fill=00000000 | rows=[31] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C33 | value='Sweden' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='1986-2011' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='-0.1' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N33 | value='1986-1999' | fill=00000000 | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='1.5*' | fill=00000000 | rows=[32] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P33 | value='1999-2011' | fill=00000000 | rows=[32] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q33 | value='-3.0*' | fill=00000000 | rows=[32] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C34 | value='England & Wales' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='1986-1998' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='-5.7*' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='1998-2002' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='9.6' | fill=00000000 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='2002-2011' | fill=00000000 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='-1.6' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N34 | value='1986-1991' | fill=00000000 | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O34 | value='-1' | fill=00000000 | rows=[33] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P34 | value='1991-1995' | fill=00000000 | rows=[33] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q34 | value='-12.8*' | fill=00000000 | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R34 | value='19995-2003' | fill=00000000 | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S34 | value='2.5' | fill=00000000 | rows=[33] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T34 | value='2003-2011' | fill=00000000 | rows=[33] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U34 | value='-2.9*' | fill=00000000 | rows=[33] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C35 | value='Northern Ireland' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='1986-1990' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='21.5' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='1990-1997' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='-14.0*' | fill=00000000 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='1997-2001' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='25.5' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='2001-2011' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='1.3' | fill=00000000 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N35 | value='1986-1996' | fill=00000000 | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='-5.6*' | fill=00000000 | rows=[34] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='1996-2001' | fill=00000000 | rows=[34] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='18.1' | fill=00000000 | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R35 | value='2001-2011' | fill=00000000 | rows=[34] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S35 | value='-1' | fill=00000000 | rows=[34] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C36 | value='Scotland' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='1986-2011' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='0.8*' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N36 | value='1986-1998' | fill=00000000 | rows=[35] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O36 | value='-1.4' | fill=00000000 | rows=[35] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P36 | value='1998-2002' | fill=00000000 | rows=[35] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q36 | value='7.6' | fill=00000000 | rows=[35] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R36 | value='2002-2011' | fill=00000000 | rows=[35] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S36 | value='-2.6*' | fill=00000000 | rows=[35] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C37 | value='Southern Europe  (n=6)' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='1986-2000' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='0.03' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='2000-2004' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='5.7' | fill=00000000 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='2004-2011' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='-2.5*' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N37 | value='1986-2000' | fill=00000000 | rows=[36] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O37 | value='-0.2' | fill=00000000 | rows=[36] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P37 | value='2000-2004' | fill=00000000 | rows=[36] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q37 | value='3.7' | fill=00000000 | rows=[36] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R37 | value='2004-2011' | fill=00000000 | rows=[36] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S37 | value='-2.9*' | fill=00000000 | rows=[36] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C38 | value='Croatia' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='1986-2011' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='2.6*' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N38 | value='1986-2002' | fill=00000000 | rows=[37] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O38 | value='-1.5' | fill=00000000 | rows=[37] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P38 | value='2002-2011' | fill=00000000 | rows=[37] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q38 | value='8.2*' | fill=00000000 | rows=[37] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C39 | value='Greece' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='1986-2000' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='20.6*' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='2000-2011' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='2' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N39 | value='1986-1990' | fill=00000000 | rows=[38] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O39 | value='-24.8' | fill=00000000 | rows=[38] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P39 | value='1990-1999' | fill=00000000 | rows=[38] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q39 | value='23.5*' | fill=00000000 | rows=[38] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R39 | value='1999-2011' | fill=00000000 | rows=[38] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S39 | value='2.1' | fill=00000000 | rows=[38] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C40 | value='Italy' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='1986-2001' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='0.6' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='2001-2005' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='10.9' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='2005-2011' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='-3.9*' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N40 | value='1986-1996' | fill=00000000 | rows=[39] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O40 | value='2.6*' | fill=00000000 | rows=[39] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P40 | value='1996-2000' | fill=00000000 | rows=[39] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q40 | value='-4' | fill=00000000 | rows=[39] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R40 | value='2000-2004' | fill=00000000 | rows=[39] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S40 | value='10.0*' | fill=00000000 | rows=[39] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T40 | value='2004-2011' | fill=00000000 | rows=[39] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U40 | value='-2.6*' | fill=00000000 | rows=[39] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C41 | value='Portugal' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='1986-2011' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='1.4*' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N41 | value='1986-2011' | fill=00000000 | rows=[40] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O41 | value='0.02' | fill=00000000 | rows=[40] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C42 | value='Slovenia' | fill=00000000 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='1986-2011' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='2.7*' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N42 | value='1986-2011' | fill=00000000 | rows=[41] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O42 | value='2.0*' | fill=00000000 | rows=[41] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C43 | value='Spain' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='1986-1996' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='-2.2*' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='1996-2003' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='1.6' | fill=00000000 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='2003-2011' | fill=00000000 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='-4.3*' | fill=00000000 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N43 | value='1986-1990' | fill=00000000 | rows=[42] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O43 | value='0.7' | fill=00000000 | rows=[42] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P43 | value='1990-1996' | fill=00000000 | rows=[42] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q43 | value='-3.5*' | fill=00000000 | rows=[42] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R43 | value='1996-2003' | fill=00000000 | rows=[42] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S43 | value='0.7' | fill=00000000 | rows=[42] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T43 | value='2003-2007' | fill=00000000 | rows=[42] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U43 | value='-5.9*' | fill=00000000 | rows=[42] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V43 | value='2007-2011' | fill=00000000 | rows=[42] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W43 | value='-2.7' | fill=00000000 | rows=[42] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C44 | value='Western Europe (n=6)' | fill=00000000 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='1986-1997' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='-2.1*' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='1997-2001' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='3.9' | fill=00000000 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='2001-2011' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='-1.1*' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N44 | value='1986-1990' | fill=00000000 | rows=[43] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O44 | value='-1' | fill=00000000 | rows=[43] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P44 | value='1990-2998' | fill=00000000 | rows=[43] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q44 | value='-3.7*' | fill=00000000 | rows=[43] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R44 | value='1998-2002' | fill=00000000 | rows=[43] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S44 | value='3.5' | fill=00000000 | rows=[43] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T44 | value='2002-2007' | fill=00000000 | rows=[43] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U44 | value='-3.3*' | fill=00000000 | rows=[43] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V44 | value='2007-2011' | fill=00000000 | rows=[43] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W44 | value='1.2' | fill=00000000 | rows=[43] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C45 | value='Austria' | fill=00000000 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='1986-1999' | fill=00000000 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='-3.8*' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='1999-2006' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='12.1*' | fill=00000000 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='2006-2011' | fill=00000000 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='-6.9' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N45 | value='1986-1992' | fill=00000000 | rows=[44] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O45 | value='0.3' | fill=00000000 | rows=[44] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P45 | value='1992-1998' | fill=00000000 | rows=[44] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q45 | value='-10.2*' | fill=00000000 | rows=[44] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R45 | value='1998-2005' | fill=00000000 | rows=[44] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S45 | value='11.4*' | fill=00000000 | rows=[44] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T45 | value='2005-2011' | fill=00000000 | rows=[44] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U45 | value='-4.1' | fill=00000000 | rows=[44] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C46 | value='Belgium' | fill=00000000 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='1986-1995' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
