=== science-table44.xlsx ===
Cell A1 | value='Quantification of luminal and basal wild-type confetti clones and Brca1;Trp53 confetti clones in the ducts and side branches used for Extended Data Figure 9e' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=True | row_header=True | metadata=True
Cell G78 | value='55' | fill=00000000 | rows=[77] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H78 | value='10' | fill=00000000 | rows=[77] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C79 | value='8' | fill=00000000 | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G79 | value='56' | fill=00000000 | rows=[78] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H79 | value='10' | fill=00000000 | rows=[78] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C80 | value='359' | fill=00000000 | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G80 | value='65' | fill=00000000 | rows=[79] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H80 | value='10' | fill=00000000 | rows=[79] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C81 | value='455' | fill=00000000 | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G81 | value='67' | fill=00000000 | rows=[80] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H81 | value='11' | fill=00000000 | rows=[80] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C82 | value='491' | fill=00000000 | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G82 | value='75' | fill=00000000 | rows=[81] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H82 | value='37' | fill=00000000 | rows=[81] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C83 | value='238' | fill=00000000 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G83 | value='76' | fill=00000000 | rows=[82] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H83 | value='51' | fill=00000000 | rows=[82] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C84 | value='634' | fill=00000000 | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G84 | value='85' | fill=00000000 | rows=[83] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H84 | value='1' | fill=00000000 | rows=[83] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C85 | value='175' | fill=00000000 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G85 | value='115' | fill=00000000 | rows=[84] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H85 | value='2' | fill=00000000 | rows=[84] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C86 | value='112' | fill=00000000 | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G86 | value='128' | fill=00000000 | rows=[85] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H86 | value='133' | fill=00000000 | rows=[85] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C87 | value='935' | fill=00000000 | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G87 | value='145' | fill=00000000 | rows=[86] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H87 | value='7' | fill=00000000 | rows=[86] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C88 | value='552' | fill=00000000 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G88 | value='203' | fill=00000000 | rows=[87] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H88 | value='2' | fill=00000000 | rows=[87] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C89 | value='7' | fill=00000000 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G89 | value='330' | fill=00000000 | rows=[88] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H89 | value='2' | fill=00000000 | rows=[88] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C90 | value='9' | fill=2 | rows=[89] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G90 | value='365' | fill=00000000 | rows=[89] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H90 | value='1' | fill=00000000 | rows=[89] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C91 | value='13' | fill=2 | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G91 | value='483' | fill=00000000 | rows=[90] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H91 | value='5' | fill=00000000 | rows=[90] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C92 | value='1' | fill=2 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G92 | value='1' | fill=00000000 | rows=[91] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H92 | value='6' | fill=00000000 | rows=[91] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C93 | value='3' | fill=2 | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G93 | value='1' | fill=00000000 | rows=[92] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H93 | value='26' | fill=00000000 | rows=[92] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C94 | value='71' | fill=2 | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G94 | value='1' | fill=00000000 | rows=[93] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H94 | value='8' | fill=00000000 | rows=[93] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C95 | value='18' | fill=2 | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G95 | value='2' | fill=00000000 | rows=[94] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H95 | value='14' | fill=00000000 | rows=[94] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C96 | value='19' | fill=2 | rows=[95] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G96 | value='2' | fill=00000000 | rows=[95] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H96 | value='10' | fill=00000000 | rows=[95] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C97 | value='81' | fill=2 | rows=[96] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G97 | value='2' | fill=00000000 | rows=[96] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H97 | value='526' | fill=00000000 | rows=[96] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C98 | value='20' | fill=2 | rows=[97] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G98 | value='2' | fill=00000000 | rows=[97] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H98 | value='2' | fill=00000000 | rows=[97] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C99 | value='46' | fill=2 | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G99 | value='2' | fill=00000000 | rows=[98] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H99 | value='3' | fill=00000000 | rows=[98] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C100 | value='102' | fill=2 | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G100 | value='2' | fill=00000000 | rows=[99] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H100 | value='164' | fill=00000000 | rows=[99] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C101 | value='15' | fill=2 | rows=[100] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G101 | value='2' | fill=00000000 | rows=[100] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H101 | value='10' | fill=00000000 | rows=[100] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C102 | value='5' | fill=2 | rows=[101] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G102 | value='3' | fill=00000000 | rows=[101] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H102 | value='12' | fill=00000000 | rows=[101] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C103 | value='117' | fill=2 | rows=[102] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G103 | value='4' | fill=00000000 | rows=[102] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H103 | value='19' | fill=00000000 | rows=[102] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C104 | value='7' | fill=2 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G104 | value='4' | fill=00000000 | rows=[103] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H104 | value='25' | fill=00000000 | rows=[103] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C105 | value='7' | fill=2 | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G105 | value='4' | fill=00000000 | rows=[104] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H105 | value='105' | fill=00000000 | rows=[104] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C106 | value='9' | fill=2 | rows=[105] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G106 | value='4' | fill=00000000 | rows=[105] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H106 | value='250' | fill=00000000 | rows=[105] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C107 | value='2' | fill=2 | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G107 | value='4' | fill=00000000 | rows=[106] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H107 | value='2648' | fill=00000000 | rows=[106] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C108 | value='2070' | fill=2 | rows=[107] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G108 | value='4' | fill=00000000 | rows=[107] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H108 | value='772' | fill=00000000 | rows=[107] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C109 | value='89' | fill=2 | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G109 | value='5' | fill=00000000 | rows=[108] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H109 | value='189' | fill=00000000 | rows=[108] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C110 | value='17' | fill=2 | rows=[109] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G110 | value='5' | fill=00000000 | rows=[109] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H110 | value='174' | fill=00000000 | rows=[109] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C111 | value='4803' | fill=00000000 | rows=[110] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G111 | value='5' | fill=00000000 | rows=[110] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H111 | value='542' | fill=00000000 | rows=[110] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C112 | value='2117' | fill=00000000 | rows=[111] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G112 | value='6' | fill=00000000 | rows=[111] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H112 | value='1034' | fill=00000000 | rows=[111] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C113 | value='1440' | fill=00000000 | rows=[112] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G113 | value='6' | fill=00000000 | rows=[112] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H113 | value='576' | fill=00000000 | rows=[112] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C114 | value='1756' | fill=00000000 | rows=[113] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G114 | value='6' | fill=00000000 | rows=[113] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H114 | value='1556' | fill=00000000 | rows=[113] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C115 | value='8571' | fill=00000000 | rows=[114] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G115 | value='6' | fill=00000000 | rows=[114] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H115 | value='472' | fill=00000000 | rows=[114] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C116 | value='818' | fill=00000000 | rows=[115] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G116 | value='7' | fill=00000000 | rows=[115] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H116 | value='5554' | fill=00000000 | rows=[115] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C117 | value='2066' | fill=00000000 | rows=[116] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G117 | value='7' | fill=00000000 | rows=[116] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H117 | value='929' | fill=00000000 | rows=[116] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C118 | value='1586' | fill=00000000 | rows=[117] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G118 | value='7' | fill=00000000 | rows=[117] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H118 | value='5' | fill=00000000 | rows=[117] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C119 | value='1762' | fill=00000000 | rows=[118] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G119 | value='8' | fill=00000000 | rows=[118] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H119 | value='13' | fill=00000000 | rows=[118] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C120 | value='11143' | fill=FFFF0000 | rows=[119] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G120 | value='8' | fill=00000000 | rows=[119] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H120 | value='4' | fill=00000000 | rows=[119] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C121 | value='2751' | fill=00000000 | rows=[120] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G121 | value='8' | fill=00000000 | rows=[120] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H121 | value='16' | fill=00000000 | rows=[120] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C122 | value='718' | fill=00000000 | rows=[121] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G122 | value='8' | fill=00000000 | rows=[121] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H122 | value='14' | fill=00000000 | rows=[121] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C123 | value='7714' | fill=FFFF0000 | rows=[122] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G123 | value='9' | fill=00000000 | rows=[122] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H123 | value='23' | fill=00000000 | rows=[122] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C124 | value='9438' | fill=00000000 | rows=[123] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G124 | value='10' | fill=00000000 | rows=[123] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H124 | value='179' | fill=00000000 | rows=[123] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C125 | value='4080' | fill=00000000 | rows=[124] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G125 | value='10' | fill=00000000 | rows=[124] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H125 | value='384' | fill=00000000 | rows=[124] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C126 | value='807' | fill=00000000 | rows=[125] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G126 | value='10' | fill=00000000 | rows=[125] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H126 | value='176' | fill=00000000 | rows=[125] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C127 | value='5302' | fill=00000000 | rows=[126] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G127 | value='11' | fill=00000000 | rows=[126] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H127 | value='38' | fill=00000000 | rows=[126] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C128 | value='3471' | fill=00000000 | rows=[127] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G128 | value='12' | fill=00000000 | rows=[127] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H128 | value='394' | fill=00000000 | rows=[127] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C129 | value='1620' | fill=00000000 | rows=[128] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G129 | value='13' | fill=00000000 | rows=[128] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H129 | value='70' | fill=00000000 | rows=[128] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C130 | value='2614' | fill=FFFF0000 | rows=[129] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G130 | value='15' | fill=00000000 | rows=[129] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H130 | value='150' | fill=00000000 | rows=[129] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C131 | value='3386' | fill=00000000 | rows=[130] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G131 | value='16' | fill=00000000 | rows=[130] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H131 | value='470' | fill=00000000 | rows=[130] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C132 | value='3929' | fill=FFFFC000 | rows=[131] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G132 | value='19' | fill=00000000 | rows=[131] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H132 | value='26' | fill=00000000 | rows=[131] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C133 | value='4286' | fill=2 | rows=[132] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G133 | value='19' | fill=00000000 | rows=[132] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H133 | value='97' | fill=00000000 | rows=[132] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell C134 | value='705' | fill=2 | rows=[133] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G134 | value='20' | fill=00000000 | rows=[133] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H134 | value='19' | fill=00000000 | rows=[133] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G135 | value='20' | fill=00000000 | rows=[134] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H135 | value='39' | fill=00000000 | rows=[134] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G136 | value='26' | fill=00000000 | rows=[135] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H136 | value='4' | fill=00000000 | rows=[135] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G137 | value='29' | fill=00000000 | rows=[136] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H137 | value='1' | fill=00000000 | rows=[136] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G138 | value='41' | fill=00000000 | rows=[137] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H138 | value='119' | fill=00000000 | rows=[137] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G139 | value='153' | fill=00000000 | rows=[138] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H139 | value='127' | fill=00000000 | rows=[138] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G140 | value='1' | fill=00000000 | rows=[139] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H140 | value='306' | fill=00000000 | rows=[139] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G141 | value='1' | fill=00000000 | rows=[140] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H141 | value='96' | fill=00000000 | rows=[140] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G142 | value='13' | fill=00000000 | rows=[141] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H142 | value='178' | fill=00000000 | rows=[141] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G143 | value='23' | fill=00000000 | rows=[142] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H143 | value='98' | fill=00000000 | rows=[142] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G144 | value='2' | fill=00000000 | rows=[143] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H144 | value='321' | fill=00000000 | rows=[143] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G145 | value='1' | fill=00000000 | rows=[144] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H145 | value='30' | fill=00000000 | rows=[144] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G146 | value='308' | fill=00000000 | rows=[145] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H146 | value='132' | fill=00000000 | rows=[145] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G147 | value='348' | fill=00000000 | rows=[146] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H147 | value='173' | fill=00000000 | rows=[146] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G148 | value='47' | fill=00000000 | rows=[147] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H148 | value='235' | fill=00000000 | rows=[147] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G149 | value='6' | fill=00000000 | rows=[148] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H149 | value='209' | fill=00000000 | rows=[148] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G150 | value='1' | fill=00000000 | rows=[149] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H150 | value='211' | fill=00000000 | rows=[149] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G151 | value='992' | fill=00000000 | rows=[150] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H151 | value='51' | fill=00000000 | rows=[150] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G152 | value='1017' | fill=00000000 | rows=[151] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H152 | value='10' | fill=00000000 | rows=[151] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G153 | value='17' | fill=00000000 | rows=[152] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H153 | value='170' | fill=00000000 | rows=[152] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G154 | value='76' | fill=00000000 | rows=[153] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H154 | value='46' | fill=00000000 | rows=[153] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G155 | value='283' | fill=00000000 | rows=[154] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H155 | value='77' | fill=00000000 | rows=[154] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G156 | value='177' | fill=00000000 | rows=[155] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H156 | value='191' | fill=00000000 | rows=[155] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G157 | value='57' | fill=00000000 | rows=[156] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H157 | value='69' | fill=00000000 | rows=[156] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G158 | value='495' | fill=00000000 | rows=[157] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H158 | value='133' | fill=00000000 | rows=[157] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G159 | value='597' | fill=00000000 | rows=[158] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H159 | value='153' | fill=00000000 | rows=[158] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G160 | value='686' | fill=00000000 | rows=[159] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H160 | value='70' | fill=2 | rows=[159] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G161 | value='759' | fill=00000000 | rows=[160] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H161 | value='66' | fill=2 | rows=[160] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G162 | value='196' | fill=00000000 | rows=[161] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H162 | value='8' | fill=2 | rows=[161] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G163 | value='41' | fill=00000000 | rows=[162] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H163 | value='1' | fill=2 | rows=[162] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G164 | value='183' | fill=00000000 | rows=[163] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H164 | value='1' | fill=2 | rows=[163] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G165 | value='78' | fill=00000000 | rows=[164] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H165 | value='6' | fill=2 | rows=[164] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G166 | value='2112' | fill=00000000 | rows=[165] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H166 | value='7' | fill=2 | rows=[165] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G167 | value='1037' | fill=00000000 | rows=[166] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H167 | value='9' | fill=2 | rows=[166] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G168 | value='330' | fill=00000000 | rows=[167] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H168 | value='9' | fill=2 | rows=[167] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G169 | value='761' | fill=00000000 | rows=[168] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H169 | value='10' | fill=2 | rows=[168] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G170 | value='265' | fill=00000000 | rows=[169] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H170 | value='12' | fill=2 | rows=[169] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G171 | value='818' | fill=00000000 | rows=[170] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H171 | value='13' | fill=2 | rows=[170] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G172 | value='1671' | fill=00000000 | rows=[171] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H172 | value='13' | fill=2 | rows=[171] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G173 | value='540' | fill=00000000 | rows=[172] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H173 | value='15' | fill=2 | rows=[172] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G174 | value='1157' | fill=00000000 | rows=[173] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H174 | value='16' | fill=2 | rows=[173] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G175 | value='1131' | fill=00000000 | rows=[174] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H175 | value='17' | fill=2 | rows=[174] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G176 | value='1706' | fill=00000000 | rows=[175] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H176 | value='17' | fill=2 | rows=[175] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G177 | value='1' | fill=00000000 | rows=[176] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H177 | value='19' | fill=2 | rows=[176] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G178 | value='7' | fill=00000000 | rows=[177] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H178 | value='20' | fill=2 | rows=[177] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G179 | value='1' | fill=00000000 | rows=[178] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H179 | value='20' | fill=2 | rows=[178] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G180 | value='2' | fill=00000000 | rows=[179] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H180 | value='20' | fill=2 | rows=[179] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G181 | value='1' | fill=00000000 | rows=[180] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H181 | value='19' | fill=2 | rows=[180] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G182 | value='1' | fill=00000000 | rows=[181] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H182 | value='5' | fill=2 | rows=[181] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell G183 | value='6' | fill=00000000 | rows=[182] | cols=[6] | col_header=False | row_header=False | metadata=False
