=== society-table14.xlsx ===
Cell A1 | value='State or area' | fill=FFFFFF00 | rows=[0, 1] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell H37 | value='45832' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='11407' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A38 | value='North Dakota' | fill=FF00B050 | rows=[37] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D38 | value='2908' | fill=FF00B0F0 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E38 | value='228' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='2680' | fill=00000000 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='433' | fill=00000000 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='2043' | fill=00000000 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='432' | fill=00000000 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A39 | value='Ohio' | fill=FF00B050 | rows=[38] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D39 | value='106446' | fill=FF00B0F0 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E39 | value='4153' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='102293' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='21372' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='75159' | fill=00000000 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='9915' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A40 | value='Oklahoma' | fill=FF00B050 | rows=[39] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D40 | value='30383' | fill=FF00B0F0 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E40 | value='1789' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='28594' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='6075' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='20611' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='3697' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A41 | value='Oregon' | fill=FF00B050 | rows=[40] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D41 | value='24109' | fill=FF00B0F0 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E41 | value='2167' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='21943' | fill=00000000 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='3683' | fill=00000000 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='16810' | fill=00000000 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='3616' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A42 | value='Pennsylvania' | fill=FF00B050 | rows=[41] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D42 | value='141233' | fill=FF00B0F0 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E42 | value='9340' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='131893' | fill=00000000 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='27100' | fill=00000000 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='94204' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='19930' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A43 | value='Rhode Island' | fill=FF00B050 | rows=[42] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D43 | value='13111' | fill=FF00B0F0 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E43 | value='1291' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='11821' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='2171' | fill=00000000 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='8554' | fill=00000000 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='2387' | fill=00000000 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A44 | value='South Carolina' | fill=FF00B050 | rows=[43] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D44 | value='41044' | fill=FF00B0F0 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E44 | value='2589' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='38455' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='8786' | fill=00000000 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='26270' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='5988' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A45 | value='South Dakota' | fill=FF00B050 | rows=[44] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D45 | value='4632' | fill=FF00B0F0 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E45 | value='330' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='4302' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='916' | fill=00000000 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='3006' | fill=00000000 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='711' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A46 | value='Tennessee' | fill=FF00B050 | rows=[45] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D46 | value='64865' | fill=FF00B0F0 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E46 | value='3446' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='61418' | fill=00000000 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G46 | value='11078' | fill=00000000 | rows=[45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H46 | value='45331' | fill=00000000 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I46 | value='8455' | fill=00000000 | rows=[45] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A47 | value='Texas' | fill=FF00B050 | rows=[46] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D47 | value='171311' | fill=FF00B0F0 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E47 | value='26981' | fill=00000000 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F47 | value='144330' | fill=00000000 | rows=[46] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G47 | value='32874' | fill=00000000 | rows=[46] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H47 | value='98344' | fill=00000000 | rows=[46] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I47 | value='40093' | fill=00000000 | rows=[46] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A48 | value='Utah' | fill=FF00B050 | rows=[47] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D48 | value='9027' | fill=FF00B0F0 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E48 | value='675' | fill=00000000 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F48 | value='8351' | fill=00000000 | rows=[47] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G48 | value='1813' | fill=00000000 | rows=[47] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H48 | value='6056' | fill=00000000 | rows=[47] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I48 | value='1157' | fill=00000000 | rows=[47] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A49 | value='Vermont' | fill=FF00B050 | rows=[48] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D49 | value='5046' | fill=FF00B0F0 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E49 | value='250' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F49 | value='4796' | fill=00000000 | rows=[48] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G49 | value='784' | fill=00000000 | rows=[48] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H49 | value='3652' | fill=00000000 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I49 | value='610' | fill=00000000 | rows=[48] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A50 | value='Virginia' | fill=FF00B050 | rows=[49] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D50 | value='52201' | fill=FF00B0F0 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E50 | value='5814' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F50 | value='46388' | fill=00000000 | rows=[49] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G50 | value='10120' | fill=00000000 | rows=[49] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H50 | value='32223' | fill=00000000 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I50 | value='9859' | fill=00000000 | rows=[49] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A51 | value='Washington' | fill=FF00B050 | rows=[50] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D51 | value='49018' | fill=FF00B0F0 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E51 | value='5143' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F51 | value='43875' | fill=00000000 | rows=[50] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G51 | value='6599' | fill=00000000 | rows=[50] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='33535' | fill=00000000 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I51 | value='8884' | fill=00000000 | rows=[50] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A52 | value='West Virginia' | fill=FF00B050 | rows=[51] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D52 | value='31467' | fill=FF00B0F0 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E52 | value='842' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F52 | value='30626' | fill=00000000 | rows=[51] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G52 | value='4191' | fill=00000000 | rows=[51] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H52 | value='24271' | fill=00000000 | rows=[51] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I52 | value='3006' | fill=00000000 | rows=[51] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A53 | value='Wisconsin' | fill=FF00B050 | rows=[52] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D53 | value='35352' | fill=FF00B0F0 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E53 | value='2012' | fill=00000000 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='33340' | fill=00000000 | rows=[52] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G53 | value='7668' | fill=00000000 | rows=[52] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H53 | value='23691' | fill=00000000 | rows=[52] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I53 | value='3992' | fill=00000000 | rows=[52] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A54 | value='Wyoming' | fill=FF00B050 | rows=[53] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D54 | value='2269' | fill=FF00B0F0 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E54 | value='86' | fill=00000000 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F54 | value='2183' | fill=00000000 | rows=[53] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G54 | value='410' | fill=00000000 | rows=[53] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H54 | value='1675' | fill=00000000 | rows=[53] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I54 | value='183' | fill=00000000 | rows=[53] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A55 | value='Outlying areas' | fill=FF00B050 | rows=[54] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell B56 | value='Northern Mariana Islands' | fill=FF00B050 | rows=[55] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D56 | value='327' | fill=FF00B0F0 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E56 | value='55' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F56 | value='272' | fill=00000000 | rows=[55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G56 | value='94' | fill=00000000 | rows=[55] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H56 | value='160' | fill=00000000 | rows=[55] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I56 | value='73' | fill=00000000 | rows=[55] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A57 | value='Unknown' | fill=FF00B050 | rows=[56] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D57 | value='3' | fill=FF00B0F0 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E57 | value='0' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F57 | value='3' | fill=00000000 | rows=[56] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G57 | value='1' | fill=00000000 | rows=[56] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H57 | value='3' | fill=00000000 | rows=[56] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I57 | value='0' | fill=00000000 | rows=[56] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A60 | value='SOURCE:  Social Security Administration, Supplemental Security Record (Characteristic Extract Record format), 100 percent data.' | fill=FF00B0F0 | rows=[59] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True
Cell A62 | value='File available from:
Social Security Administration, Office of Policy
SSI Recipients by State and County, 2003
http://www.socialsecurity.gov/policy/docs/statcomps/ssi_sc/2003/' | fill=FF00B0F0 | rows=[61] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True

=== society-table14.xlsx ===
Cell A1 | value='State or area' | fill=FFFFFF00 | rows=[0, 1] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell D1 | value='Total' | fill=FF00B0F0 | rows=[0, 1] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E1 | value='Category' | fill=FFFFFF00 | rows=[0] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Age' | fill=FFFFFF00 | rows=[0] | cols=[6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Aged' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Blind and
disabled' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Under 18' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='18–64' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='65 or
older' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Total, United States' | fill=FF00B050 | rows=[2] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D3 | value='3077819' | fill=FF00B0F0 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E3 | value='424782' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2653037' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='502763' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='1886790' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='688266' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Alabama' | fill=FF00B050 | rows=[3] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D4 | value='65133' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E4 | value='3708' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='61424' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='14114' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='42815' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='8204' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Alaska' | fill=FF00B050 | rows=[4] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='4359' | fill=FF00B0F0 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E5 | value='607' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='3752' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='490' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='2975' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='895' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Arizona' | fill=FF00B050 | rows=[5] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='39176' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='3796' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='35380' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='7973' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='24451' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='6752' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Arkansas' | fill=FF00B050 | rows=[6] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='33214' | fill=FF00B0F0 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E7 | value='1751' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='31462' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='7826' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='21473' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='3914' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A8 | value='California' | fill=FF00B050 | rows=[7] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='668122' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E8 | value='174809' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='493313' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='58146' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='354833' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='255143' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Colorado' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D9 | value='21725' | fill=FF00B0F0 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E9 | value='2488' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='19237' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='3190' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='14615' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='3921' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Connecticut' | fill=FF00B050 | rows=[9] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D10 | value='21730' | fill=FF00B0F0 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E10 | value='2224' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='19507' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='3161' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='14619' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='3950' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Delaware' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D11 | value='5291' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E11 | value='320' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='4971' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='1482' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='3183' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='626' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A12 | value='District of Columbia' | fill=FF00B050 | rows=[11] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D12 | value='9358' | fill=FF00B0F0 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E12 | value='568' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='8790' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2066' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='5986' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='1307' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Florida' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D13 | value='167804' | fill=FF00B0F0 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E13 | value='29930' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='137874' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='38998' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='85510' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='43295' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Georgia' | fill=FF00B050 | rows=[13] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='78971' | fill=FF00B0F0 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E14 | value='6122' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='72849' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='15642' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='51009' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='12320' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Hawaii' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D15 | value='9969' | fill=FF00B0F0 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E15 | value='2413' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='7556' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='677' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='6037' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='3255' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Idaho' | fill=FF00B050 | rows=[15] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='8208' | fill=FF00B0F0 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E16 | value='351' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='7858' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='1714' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='5819' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='676' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Illinois' | fill=FF00B050 | rows=[16] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D17 | value='112523' | fill=FF00B0F0 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E17 | value='10312' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='102211' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
