=== science-table47.xlsx ===
Cell A1 | value='Data used to generate stochastic simulation used for Extended Data Figure 9h' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6] | col_header=True | row_header=True | metadata=True
Cell J65 | value='61' | fill=00000000 | rows=[64] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K65 | value='0.648786768126719' | fill=00000000 | rows=[64] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L65 | value='0.622754761783672' | fill=00000000 | rows=[64] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A66 | value='62' | fill=FF00B050 | rows=[65] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B66 | value='0.000206273874460854' | fill=00000000 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C66 | value='0.000204294032701747' | fill=00000000 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D66 | value='62' | fill=00000000 | rows=[65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E66 | value='0.00699991715282654' | fill=00000000 | rows=[65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F66 | value='0.00725041086234397' | fill=00000000 | rows=[65] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G66 | value='62' | fill=00000000 | rows=[65] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H66 | value='0.11944364539357' | fill=00000000 | rows=[65] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I66 | value='0.119117442895687' | fill=00000000 | rows=[65] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J66 | value='62' | fill=00000000 | rows=[65] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K66 | value='0.646006738268641' | fill=00000000 | rows=[65] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L66 | value='0.620450398146511' | fill=00000000 | rows=[65] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A67 | value='63' | fill=FF00B050 | rows=[66] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B67 | value='0.000196468956704496' | fill=00000000 | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='0.00019353172081729' | fill=00000000 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D67 | value='63' | fill=00000000 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E67 | value='0.00676709395582412' | fill=00000000 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F67 | value='0.00700527048614691' | fill=00000000 | rows=[66] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G67 | value='63' | fill=00000000 | rows=[66] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H67 | value='0.117265751166358' | fill=00000000 | rows=[66] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I67 | value='0.117074623612681' | fill=00000000 | rows=[66] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J67 | value='63' | fill=00000000 | rows=[66] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K67 | value='0.643789740193784' | fill=00000000 | rows=[66] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L67 | value='0.618178721525041' | fill=00000000 | rows=[66] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A68 | value='64' | fill=FF00B050 | rows=[67] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B68 | value='0.000168364030937504' | fill=00000000 | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C68 | value='0.000183458216189554' | fill=00000000 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D68 | value='64' | fill=00000000 | rows=[67] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E68 | value='0.00608710502902704' | fill=00000000 | rows=[67] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F68 | value='0.00677116415646358' | fill=00000000 | rows=[67] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G68 | value='64' | fill=00000000 | rows=[67] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H68 | value='0.111112741418595' | fill=00000000 | rows=[67] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I68 | value='0.11508833826149' | fill=00000000 | rows=[67] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J68 | value='64' | fill=00000000 | rows=[67] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K68 | value='0.638456246787647' | fill=00000000 | rows=[67] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L68 | value='0.615938839333211' | fill=00000000 | rows=[67] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A69 | value='65' | fill=FF00B050 | rows=[68] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B69 | value='0.000159050298494427' | fill=00000000 | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C69 | value='0.000174021531972226' | fill=00000000 | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D69 | value='65' | fill=00000000 | rows=[68] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E69 | value='0.00586031659500143' | fill=00000000 | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F69 | value='0.00654746721986979' | fill=00000000 | rows=[68] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G69 | value='65' | fill=00000000 | rows=[68] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H69 | value='0.108977984825724' | fill=00000000 | rows=[68] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I69 | value='0.113156373229469' | fill=00000000 | rows=[68] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J69 | value='65' | fill=00000000 | rows=[68] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K69 | value='0.63624247156215' | fill=00000000 | rows=[68] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L69 | value='0.613729895585589' | fill=00000000 | rows=[68] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A70 | value='66' | fill=FF00B050 | rows=[69] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B70 | value='0.000148735406915537' | fill=00000000 | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C70 | value='0.000165174203092978' | fill=00000000 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D70 | value='66' | fill=00000000 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='0.00559910577088821' | fill=00000000 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F70 | value='0.00633359773815679' | fill=00000000 | rows=[69] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G70 | value='66' | fill=00000000 | rows=[69] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H70 | value='0.106441352055006' | fill=00000000 | rows=[69] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I70 | value='0.111276627948483' | fill=00000000 | rows=[69] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J70 | value='66' | fill=00000000 | rows=[69] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K70 | value='0.633536567239355' | fill=00000000 | rows=[69] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L70 | value='0.611551068894806' | fill=00000000 | rows=[69] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A71 | value='67' | fill=FF00B050 | rows=[70] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B71 | value='0.000143836974146483' | fill=00000000 | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C71 | value='0.000156872841136067' | fill=00000000 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D71 | value='67' | fill=00000000 | rows=[70] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E71 | value='0.0054709340396727' | fill=00000000 | rows=[70] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F71 | value='0.00612901306340309' | fill=00000000 | rows=[70] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G71 | value='67' | fill=00000000 | rows=[70] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H71 | value='0.105152054948451' | fill=00000000 | rows=[70] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I71 | value='0.109447107758804' | fill=00000000 | rows=[70] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J71 | value='67' | fill=00000000 | rows=[70] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K71 | value='0.631970584735251' | fill=00000000 | rows=[70] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L71 | value='0.609401570605652' | fill=00000000 | rows=[70] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A72 | value='68' | fill=FF00B050 | rows=[71] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B72 | value='0.000133675074714353' | fill=00000000 | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C72 | value='0.00014907773809784' | fill=00000000 | rows=[71] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D72 | value='68' | fill=00000000 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E72 | value='0.00520819857671016' | fill=00000000 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F72 | value='0.00593320672785044' | fill=00000000 | rows=[71] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G72 | value='68' | fill=00000000 | rows=[71] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H72 | value='0.102545009605835' | fill=00000000 | rows=[71] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I72 | value='0.107665917309442' | fill=00000000 | rows=[71] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J72 | value='68' | fill=00000000 | rows=[71] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K72 | value='0.629118685336442' | fill=00000000 | rows=[71] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L72 | value='0.607280643054696' | fill=00000000 | rows=[71] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A73 | value='69' | fill=FF00B050 | rows=[72] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B73 | value='0.000129810009954114' | fill=00000000 | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C73 | value='0.000141752513100578' | fill=00000000 | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D73 | value='69' | fill=00000000 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='0.00510641776984454' | fill=00000000 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F73 | value='0.0057457056159924' | fill=00000000 | rows=[72] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G73 | value='69' | fill=00000000 | rows=[72] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H73 | value='0.101465233610511' | fill=00000000 | rows=[72] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I73 | value='0.105931254448186' | fill=00000000 | rows=[72] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J73 | value='69' | fill=00000000 | rows=[72] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K73 | value='0.627657123151607' | fill=00000000 | rows=[72] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L73 | value='0.605187557945333' | fill=00000000 | rows=[72] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A74 | value='70' | fill=FF00B050 | rows=[73] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B74 | value='0.00012426739972502' | fill=00000000 | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C74 | value='0.00013486379693129' | fill=00000000 | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D74 | value='70' | fill=00000000 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E74 | value='0.00495905089930856' | fill=00000000 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F74 | value='0.00556606739003187' | fill=00000000 | rows=[73] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G74 | value='70' | fill=00000000 | rows=[73] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H74 | value='0.0998974969024883' | fill=00000000 | rows=[73] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I74 | value='0.104241404559228' | fill=00000000 | rows=[73] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J74 | value='70' | fill=00000000 | rows=[73] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K74 | value='0.625563560207244' | fill=00000000 | rows=[73] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L74 | value='0.60312161482912' | fill=00000000 | rows=[73] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A75 | value='71' | fill=FF00B050 | rows=[74] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B75 | value='0.000120767368858803' | fill=00000000 | rows=[74] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C75 | value='0.000128380949941593' | fill=00000000 | rows=[74] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D75 | value='71' | fill=00000000 | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E75 | value='0.00485817594481367' | fill=00000000 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F75 | value='0.0053938781431378' | fill=00000000 | rows=[74] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G75 | value='71' | fill=00000000 | rows=[74] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H75 | value='0.0988286563133644' | fill=00000000 | rows=[74] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I75 | value='0.102594735310399' | fill=00000000 | rows=[74] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J75 | value='71' | fill=00000000 | rows=[74] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K75 | value='0.624076215227528' | fill=00000000 | rows=[74] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L75 | value='0.601082139685092' | fill=00000000 | rows=[74] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A76 | value='72' | fill=FF00B050 | rows=[75] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B76 | value='0.000111206701722711' | fill=00000000 | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C76 | value='0.000122275809419791' | fill=00000000 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D76 | value='72' | fill=00000000 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='0.0046061703669748' | fill=00000000 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F76 | value='0.00522875025779793' | fill=00000000 | rows=[75] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G76 | value='72' | fill=00000000 | rows=[75] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H76 | value='0.0962700255743606' | fill=00000000 | rows=[75] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I76 | value='0.100989691775662' | fill=00000000 | rows=[75] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J76 | value='72' | fill=00000000 | rows=[75] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K76 | value='0.621174361663635' | fill=00000000 | rows=[75] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L76 | value='0.599068483589496' | fill=00000000 | rows=[75] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A77 | value='73' | fill=FF00B050 | rows=[76] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B77 | value='0.000107956289622259' | fill=00000000 | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C77 | value='0.000116522463041089' | fill=00000000 | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D77 | value='73' | fill=00000000 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='0.00451595512594105' | fill=00000000 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F77 | value='0.00507032044907729' | fill=00000000 | rows=[76] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G77 | value='73' | fill=00000000 | rows=[76] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H77 | value='0.0952691815952995' | fill=00000000 | rows=[76] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I77 | value='0.0994247919017977' | fill=00000000 | rows=[76] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J77 | value='73' | fill=00000000 | rows=[76] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K77 | value='0.619724079451561' | fill=00000000 | rows=[76] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L77 | value='0.597080021469082' | fill=00000000 | rows=[76] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A78 | value='74' | fill=FF00B050 | rows=[77] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B78 | value='0.000103755715768249' | fill=00000000 | rows=[77] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C78 | value='0.000111097045428524' | fill=00000000 | rows=[77] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D78 | value='74' | fill=00000000 | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='0.00440003791869851' | fill=00000000 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F78 | value='0.00491824797480038' | fill=00000000 | rows=[77] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G78 | value='74' | fill=00000000 | rows=[77] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H78 | value='0.0939782632511972' | fill=00000000 | rows=[77] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I78 | value='0.0978986222911429' | fill=00000000 | rows=[77] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J78 | value='74' | fill=00000000 | rows=[77] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K78 | value='0.61785933881177' | fill=00000000 | rows=[77] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L78 | value='0.595116150931661' | fill=00000000 | rows=[77] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A79 | value='75' | fill=FF00B050 | rows=[78] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B79 | value='0.000101425940621105' | fill=00000000 | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C79 | value='0.000105977555225814' | fill=00000000 | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D79 | value='75' | fill=00000000 | rows=[78] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E79 | value='0.00433499516678364' | fill=00000000 | rows=[78] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F79 | value='0.00477221299661732' | fill=00000000 | rows=[78] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G79 | value='75' | fill=00000000 | rows=[78] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H79 | value='0.0932187293548782' | fill=00000000 | rows=[78] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I79 | value='0.0964098342748371' | fill=00000000 | rows=[78] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J79 | value='75' | fill=00000000 | rows=[78] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K79 | value='0.616585024174761' | fill=00000000 | rows=[78] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L79 | value='0.593176291168219' | fill=00000000 | rows=[78] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A80 | value='76' | fill=FF00B050 | rows=[79] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B80 | value='9.65328759975519e-05' | fill=00000000 | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C80 | value='0.000101143690402311' | fill=00000000 | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D80 | value='76' | fill=00000000 | rows=[79] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E80 | value='0.00419435201736557' | fill=00000000 | rows=[79] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F80 | value='0.00463191507762641' | fill=00000000 | rows=[79] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G80 | value='76' | fill=00000000 | rows=[79] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H80 | value='0.0916390717825382' | fill=00000000 | rows=[79] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I80 | value='0.0949571402533951' | fill=00000000 | rows=[79] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J80 | value='76' | fill=00000000 | rows=[79] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K80 | value='0.614413790560818' | fill=00000000 | rows=[79] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L80 | value='0.591259881921346' | fill=00000000 | rows=[79] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A81 | value='77' | fill=FF00B050 | rows=[80] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B81 | value='9.43480407789166e-05' | fill=00000000 | rows=[80] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C81 | value='9.65766997869038e-05' | fill=00000000 | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D81 | value='77' | fill=00000000 | rows=[80] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E81 | value='0.00413147182850475' | fill=00000000 | rows=[80] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F81 | value='0.00449707180373726' | fill=00000000 | rows=[80] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G81 | value='77' | fill=00000000 | rows=[80] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H81 | value='0.0908896149901882' | fill=00000000 | rows=[80] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I81 | value='0.0935393102835117' | fill=00000000 | rows=[80] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J81 | value='77' | fill=00000000 | rows=[80] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K81 | value='0.613144632482785' | fill=00000000 | rows=[80] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L81 | value='0.589366382515192' | fill=00000000 | rows=[80] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A82 | value='78' | fill=FF00B050 | rows=[81] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B82 | value='9.07486992209436e-05' | fill=00000000 | rows=[81] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C82 | value='9.22592490679588e-05' | fill=00000000 | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D82 | value='78' | fill=00000000 | rows=[81] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E82 | value='0.00402660346848822' | fill=00000000 | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F82 | value='0.00436741751729429' | fill=00000000 | rows=[81] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G82 | value='78' | fill=00000000 | rows=[81] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H82 | value='0.0896541366124018' | fill=00000000 | rows=[81] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I82 | value='0.0921551688918991' | fill=00000000 | rows=[81] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J82 | value='78' | fill=00000000 | rows=[81] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K82 | value='0.611317276895571' | fill=00000000 | rows=[81] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L82 | value='0.587495270942565' | fill=00000000 | rows=[81] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A83 | value='79' | fill=FF00B050 | rows=[82] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B83 | value='8.81478327260325e-05' | fill=00000000 | rows=[82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C83 | value='8.81752997054811e-05' | fill=00000000 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D83 | value='79' | fill=00000000 | rows=[82] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E83 | value='0.00394508951360707' | fill=00000000 | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F83 | value='0.00424270215266429' | fill=00000000 | rows=[82] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G83 | value='79' | fill=00000000 | rows=[82] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H83 | value='0.0887151857608732' | fill=00000000 | rows=[82] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I83 | value='0.0908035920986587' | fill=00000000 | rows=[82] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J83 | value='79' | fill=00000000 | rows=[82] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K83 | value='0.609904702021011' | fill=00000000 | rows=[82] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L83 | value='0.585646043005146' | fill=00000000 | rows=[82] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A84 | value='80' | fill=FF00B050 | rows=[83] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B84 | value='8.04579642968057e-05' | fill=00000000 | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C84 | value='8.43099993838838e-05' | fill=00000000 | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D84 | value='80' | fill=00000000 | rows=[83] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E84 | value='0.00372923510045066' | fill=00000000 | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='0.00412269016454055' | fill=00000000 | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G84 | value='80' | fill=00000000 | rows=[83] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H84 | value='0.0863479882083107' | fill=00000000 | rows=[83] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I84 | value='0.0894835046342177' | fill=00000000 | rows=[83] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J84 | value='80' | fill=00000000 | rows=[83] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K84 | value='0.60705699232637' | fill=00000000 | rows=[83] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L84 | value='0.583818211503123' | fill=00000000 | rows=[83] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A85 | value='81' | fill=FF00B050 | rows=[84] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B85 | value='7.78275730016428e-05' | fill=00000000 | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C85 | value='8.06495827928325e-05' | fill=00000000 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D85 | value='81' | fill=00000000 | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='0.003650751285542' | fill=00000000 | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='0.00400715954064779' | fill=00000000 | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G85 | value='81' | fill=00000000 | rows=[84] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H85 | value='0.0854336102317604' | fill=00000000 | rows=[84] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I85 | value='0.0881938773352454' | fill=00000000 | rows=[84] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J85 | value='81' | fill=00000000 | rows=[84] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K85 | value='0.605648607155978' | fill=00000000 | rows=[84] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L85 | value='0.582011305470849' | fill=00000000 | rows=[84] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A86 | value='82' | fill=FF00B050 | rows=[85] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B86 | value='7.48589885399589e-05' | fill=00000000 | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
