=== education-table18.xlsx ===
Cell A1 | value='Grade' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell L21 | value='59.5785440613027' | fill=FF00B0F0 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M21 | value='185' | fill=FF00B0F0 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N21 | value='35.4406130268199' | fill=FF00B0F0 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O21 | value='0' | fill=FF00B0F0 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P21 | value='0' | fill=FF00B0F0 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q21 | value='4' | fill=FF00B0F0 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R21 | value='0.766283524904215' | fill=FF00B0F0 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S21 | value='62' | fill=FF00B0F0 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T21 | value='11.8773946360153' | fill=FF00B0F0 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U21 | value='4' | fill=FF00B0F0 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V21 | value='0.766283524904215' | fill=FF00B0F0 | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W21 | value='14' | fill=FF00B0F0 | rows=[20] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X21 | value='2.68199233716475' | fill=FF00B0F0 | rows=[20] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y21 | value='735' | fill=FF00B0F0 | rows=[20] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z21 | value='100' | fill=FF00B0F0 | rows=[20] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell B22 | value='Male' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='560' | fill=FF00B0F0 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D22 | value='76.3983628922237' | fill=FF00B0F0 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E22 | value='1-3' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='0.272851296043656' | fill=None | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='1-3' | fill=None | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='0.272851296043656' | fill=None | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='10' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='1.36425648021828' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='263' | fill=None | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='35.8799454297408' | fill=None | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='281' | fill=None | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='38.3356070941337' | fill=None | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='0' | fill=None | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='0' | fill=None | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='1-3' | fill=None | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='0.272851296043656' | fill=None | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='42' | fill=None | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='5.72987721691678' | fill=None | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='1-3' | fill=None | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V22 | value='0.272851296043656' | fill=None | rows=[21] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W22 | value='4' | fill=None | rows=[21] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X22 | value='0.545702592087312' | fill=None | rows=[21] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y22 | value='563' | fill=None | rows=[21] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z22 | value='100' | fill=None | rows=[21] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A23 | value='6' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='Female' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='173' | fill=FF00B0F0 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D23 | value='23.6016371077763' | fill=FF00B0F0 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E23 | value='7' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='0.954979536152797' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='0' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='0' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='8' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='1.09140518417462' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='83' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='11.3233287858117' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='73' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='9.95907230559345' | fill=00000000 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='0' | fill=00000000 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='0' | fill=00000000 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='1-3' | fill=00000000 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='0.272851296043656' | fill=00000000 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='19' | fill=00000000 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='2.59208731241473' | fill=00000000 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='0' | fill=00000000 | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='0' | fill=00000000 | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W23 | value='1-3' | fill=00000000 | rows=[22] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X23 | value='0.272851296043656' | fill=00000000 | rows=[22] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y23 | value='563' | fill=00000000 | rows=[22] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z23 | value='100' | fill=00000000 | rows=[22] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Total' | fill=FF00B0F0 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C24 | value='733' | fill=FF00B0F0 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D24 | value='100' | fill=FF00B0F0 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E24 | value='9' | fill=FF00B0F0 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F24 | value='1.22783083219645' | fill=FF00B0F0 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G24 | value='1-3' | fill=FF00B0F0 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H24 | value='0.272851296043656' | fill=FF00B0F0 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I24 | value='18' | fill=FF00B0F0 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J24 | value='2.45566166439291' | fill=FF00B0F0 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K24 | value='346' | fill=FF00B0F0 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L24 | value='47.2032742155525' | fill=FF00B0F0 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M24 | value='354' | fill=FF00B0F0 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N24 | value='48.2946793997272' | fill=FF00B0F0 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O24 | value='0' | fill=FF00B0F0 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P24 | value='0' | fill=FF00B0F0 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q24 | value='4' | fill=FF00B0F0 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R24 | value='0.545702592087312' | fill=FF00B0F0 | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S24 | value='61' | fill=FF00B0F0 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T24 | value='8.32196452933152' | fill=FF00B0F0 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U24 | value='1-3' | fill=FF00B0F0 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V24 | value='0.272851296043656' | fill=FF00B0F0 | rows=[23] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W24 | value='6' | fill=FF00B0F0 | rows=[23] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X24 | value='0.818553888130969' | fill=FF00B0F0 | rows=[23] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y24 | value='563' | fill=FF00B0F0 | rows=[23] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z24 | value='100' | fill=FF00B0F0 | rows=[23] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell B25 | value='Male' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='928' | fill=FF00B0F0 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D25 | value='68.5376661742984' | fill=FF00B0F0 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E25 | value='7' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='0.51698670605613' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='1-3' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0.147710487444609' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='26' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='1.92023633677991' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='448' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='33.0871491875923' | fill=00000000 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='439' | fill=00000000 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='32.4224519940916' | fill=00000000 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='0' | fill=00000000 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='0' | fill=00000000 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='6' | fill=00000000 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='0.443131462333826' | fill=00000000 | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='85' | fill=00000000 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='6.27769571639586' | fill=00000000 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U25 | value='10' | fill=00000000 | rows=[24] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V25 | value='0.738552437223043' | fill=00000000 | rows=[24] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W25 | value='9' | fill=00000000 | rows=[24] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X25 | value='0.664697193500739' | fill=00000000 | rows=[24] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y25 | value='507' | fill=00000000 | rows=[24] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z25 | value='100' | fill=00000000 | rows=[24] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A26 | value='7' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='Female' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='426' | fill=FF00B0F0 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D26 | value='31.4623338257016' | fill=FF00B0F0 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E26 | value='1-3' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='0.147710487444609' | fill=None | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='1-3' | fill=None | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0.147710487444609' | fill=None | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='9' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='0.664697193500739' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='214' | fill=None | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='15.8050221565731' | fill=None | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='197' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='14.5494830132939' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='0' | fill=None | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='0' | fill=None | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='1-3' | fill=None | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='0.147710487444609' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='28' | fill=None | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='2.06794682422452' | fill=None | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='1-3' | fill=None | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V26 | value='0.147710487444609' | fill=None | rows=[25] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W26 | value='4' | fill=None | rows=[25] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X26 | value='0.295420974889217' | fill=None | rows=[25] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y26 | value='507' | fill=None | rows=[25] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z26 | value='100' | fill=None | rows=[25] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Total' | fill=FF00B0F0 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C27 | value='1354' | fill=FF00B0F0 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D27 | value='100' | fill=FF00B0F0 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E27 | value='9' | fill=FF00B0F0 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F27 | value='0.664697193500739' | fill=FF00B0F0 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G27 | value='4' | fill=FF00B0F0 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H27 | value='0.295420974889217' | fill=FF00B0F0 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I27 | value='35' | fill=FF00B0F0 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J27 | value='2.58493353028065' | fill=FF00B0F0 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K27 | value='662' | fill=FF00B0F0 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L27 | value='48.8921713441654' | fill=FF00B0F0 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M27 | value='636' | fill=FF00B0F0 | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N27 | value='46.9719350073855' | fill=FF00B0F0 | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O27 | value='0' | fill=FF00B0F0 | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P27 | value='0' | fill=FF00B0F0 | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q27 | value='8' | fill=FF00B0F0 | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R27 | value='0.590841949778434' | fill=FF00B0F0 | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S27 | value='113' | fill=FF00B0F0 | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T27 | value='8.34564254062038' | fill=FF00B0F0 | rows=[26] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U27 | value='12' | fill=FF00B0F0 | rows=[26] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V27 | value='0.886262924667651' | fill=FF00B0F0 | rows=[26] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W27 | value='13' | fill=FF00B0F0 | rows=[26] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X27 | value='0.960118168389956' | fill=FF00B0F0 | rows=[26] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y27 | value='507' | fill=FF00B0F0 | rows=[26] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z27 | value='100' | fill=FF00B0F0 | rows=[26] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell B28 | value='Male' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='807' | fill=FF00B0F0 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D28 | value='68.7393526405452' | fill=FF00B0F0 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E28 | value='7' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='0.596252129471891' | fill=None | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='1-3' | fill=None | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='0.170357751277683' | fill=None | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='22' | fill=None | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='1.87393526405451' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='340' | fill=None | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='28.9608177172061' | fill=None | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='430' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='36.6269165247019' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='0' | fill=None | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='0' | fill=None | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='6' | fill=None | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='0.511073253833049' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='67' | fill=None | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='5.70698466780239' | fill=None | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U28 | value='4' | fill=None | rows=[27] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V28 | value='0.340715502555366' | fill=None | rows=[27] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W28 | value='8' | fill=None | rows=[27] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X28 | value='0.681431005110733' | fill=None | rows=[27] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y28 | value='509' | fill=None | rows=[27] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z28 | value='100' | fill=None | rows=[27] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A29 | value='8' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='Female' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C29 | value='367' | fill=FF00B0F0 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D29 | value='31.2606473594549' | fill=FF00B0F0 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E29 | value='0' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='0' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='0' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='15' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='1.27768313458262' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='159' | fill=00000000 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='13.5434412265758' | fill=00000000 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='191' | fill=00000000 | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='16.2691652470187' | fill=00000000 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='0' | fill=00000000 | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='0' | fill=00000000 | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='1-3' | fill=00000000 | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='0.170357751277683' | fill=00000000 | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='17' | fill=00000000 | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='1.44804088586031' | fill=00000000 | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U29 | value='1-3' | fill=00000000 | rows=[28] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V29 | value='0.170357751277683' | fill=00000000 | rows=[28] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W29 | value='5' | fill=00000000 | rows=[28] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X29 | value='0.425894378194208' | fill=00000000 | rows=[28] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y29 | value='509' | fill=00000000 | rows=[28] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z29 | value='100' | fill=00000000 | rows=[28] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Total' | fill=FF00B0F0 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C30 | value='1174' | fill=FF00B0F0 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D30 | value='100' | fill=FF00B0F0 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E30 | value='7' | fill=FF00B0F0 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F30 | value='0.596252129471891' | fill=FF00B0F0 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G30 | value='1-3' | fill=FF00B0F0 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H30 | value='0.170357751277683' | fill=FF00B0F0 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I30 | value='37' | fill=FF00B0F0 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J30 | value='3.15161839863714' | fill=FF00B0F0 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K30 | value='499' | fill=FF00B0F0 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L30 | value='42.5042589437819' | fill=FF00B0F0 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M30 | value='621' | fill=FF00B0F0 | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N30 | value='52.8960817717206' | fill=FF00B0F0 | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O30 | value='0' | fill=FF00B0F0 | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P30 | value='0' | fill=FF00B0F0 | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q30 | value='8' | fill=FF00B0F0 | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R30 | value='0.681431005110733' | fill=FF00B0F0 | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S30 | value='84' | fill=FF00B0F0 | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T30 | value='7.15502555366269' | fill=FF00B0F0 | rows=[29] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U30 | value='6' | fill=FF00B0F0 | rows=[29] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V30 | value='0.511073253833049' | fill=FF00B0F0 | rows=[29] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W30 | value='13' | fill=FF00B0F0 | rows=[29] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X30 | value='1.10732538330494' | fill=FF00B0F0 | rows=[29] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y30 | value='509' | fill=FF00B0F0 | rows=[29] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z30 | value='100' | fill=FF00B0F0 | rows=[29] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell B31 | value='Male' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='3362' | fill=FF00B0F0 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D31 | value='65.6' | fill=FF00B0F0 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E31 | value='12' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='0.234146341463415' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='19' | fill=00000000 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='0.370731707317073' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='130' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
