=== economy-table17.xlsx ===
Cell A1 | value='SPENDING' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=True | metadata=False
Cell H22 | value='Debtor Days' | fill=FF00B050 | rows=[21] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I22 | value='9.28' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='5.76' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L22 | value='Other Data Sets' | fill=FFFFFF00 | rows=[21] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M22 | value='Current' | fill=FFFFFF00 | rows=[21] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N22 | value='Previous' | fill=FFFFFF00 | rows=[21] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell Q22 | value='Women' | fill=FF00B050 | rows=[21] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R22 | value='52.3' | fill=None | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='52.3' | fill=None | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Up to top 5 contributory elements' | fill=FF00B050 | rows=[22, 23, 24, 25, 26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='A: Crime and Policing' | fill=None | rows=[22] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='384.526' | fill=None | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='34.8' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G23 | value='Voluntary and community sector (VCS)/Small and medium enterprises (SME)' | fill=FF00B050 | rows=[22, 23, 24] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H23 | value='Procurement spend with SME (£million)' | fill=FF00B050 | rows=[22] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I23 | value='59.29' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='36.42' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L23 | value='1  Non-asylum passengers initially refused entry (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=FF00B050 | rows=[22] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M23 | value='3473' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='4148' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='Disabled' | fill=FF00B050 | rows=[22] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R23 | value='6.7' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='6.7' | fill=None | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B24 | value='B: UK Border Agency' | fill=None | rows=[23] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='-7.655' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='23.7' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H24 | value='Procurement spend with VCS (£million)' | fill=FF00B050 | rows=[23] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I24 | value='2.99' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='Not applicable' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L24 | value='2 Total removals and voluntary departures  (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=FF00B050 | rows=[23] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M24 | value='13386' | fill=None | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='13661' | fill=None | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P24 | value='Workforce Diversity
[Senior Civil Servants only]
(%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[23, 24, 25, 26] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q24 | value='Black and Minority Ethnic' | fill=FF00B050 | rows=[23] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R24 | value='6' | fill=None | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='5.6' | fill=None | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B25 | value='C: Security & Counter Terrorism' | fill=None | rows=[24] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='0.561' | fill=None | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='1.1' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H25 | value='Grants to VCS (£million)' | fill=FF00B050 | rows=[24] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I25 | value='10.96' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='11.89' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L25 | value='3 Number of asylum applications received (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=FF00B050 | rows=[24] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M25 | value='4818' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='5261' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='Women' | fill=FF00B050 | rows=[24] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R25 | value='38.5' | fill=None | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='38.1' | fill=None | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B26 | value='D: Identity & Passports' | fill=None | rows=[25] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='-1.802' | fill=None | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='3.4' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G26 | value='Major Projects (Top 5)' | fill=FFFFFF00 | rows=[25] | cols=[6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell J26 | value='Cost' | fill=FFFFFF00 | rows=[25] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L26 | value='4 Number of hits that the Police.uk has received (current= January 2011 - June 2012, previous= January 2011 - March 2012)' | fill=FF00B050 | rows=[25] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M26 | value='484765704' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='469678632' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='Women (Top Management Posts)' | fill=FF00B050 | rows=[25] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R26 | value='29.6' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='28.9' | fill=None | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B27 | value='E: Central Home Office' | fill=None | rows=[26] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='-1.4' | fill=None | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='-1.9' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='A: Compass - Ongoing contract provision for UKBA accommodation and related services (£million)' | fill=FF00B050 | rows=[26] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J27 | value='883' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L27 | value='Structural Reform Plan Actions' | fill=FFFFFF00 | rows=[26] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M27 | value='Q1 2012-13' | fill=FFFFFF00 | rows=[26] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N27 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[26] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell Q27 | value='Disabled' | fill=FF00B050 | rows=[26] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R27 | value='4.4' | fill=None | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='4.4' | fill=None | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Financial Indicators' | fill=FFFFFF00 | rows=[27] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D28 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[27] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E28 | value='Q3 2011-12' | fill=FFFFFF00 | rows=[27] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell G28 | value='B: e-Borders - This programme will create an integrated and more secure border for the 21st century (£million)' | fill=FF00B050 | rows=[27] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J28 | value='801' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L28 | value='Total number of actions completed over the quarter' | fill=FF00B050 | rows=[27] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M28 | value='17' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='15' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P28 | value='Attendance (AWDL) (see measurement annex for time coverage)' | fill=FF00B050 | rows=[27, 28] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q28 | value='Actual' | fill=FF00B050 | rows=[27] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R28 | value='7.9' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='7.8' | fill=None | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Accuracy of Cash Forecasting ( +/- %)' | fill=FF00B050 | rows=[28] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D29 | value='4.74' | fill=None | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='6.32' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='C: Cyclamen - To deter the illicit importation of freight entering the UK, whilst minimising the disruption to legitimate passengers and freight (£million)' | fill=FF00B050 | rows=[28] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J29 | value='747' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L29 | value='Total number of actions overdue at the end of the quarter' | fill=FF00B050 | rows=[28] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M29 | value='21' | fill=None | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='15' | fill=None | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='Standardised' | fill=FF00B050 | rows=[28] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R29 | value='8.1' | fill=None | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='8.1' | fill=None | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Working Capital Forecast (% variance of Actual v Forecast)' | fill=FF00B050 | rows=[29] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D30 | value='38.16' | fill=None | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='187.03' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='D: Disclosure and Barring Programme - To reduce costs and enhance vetting services offered by CRB and ISA (£million)' | fill=FF00B050 | rows=[29] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J30 | value='708' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L30 | value='Number of overdue actions that are attributable to external factors' | fill=FF00B050 | rows=[29] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M30 | value='3' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='0' | fill=None | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P30 | value='Department only; People Survey Metrics' | fill=FFFFFF00 | rows=[29] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R30 | value='2011 survey' | fill=FFFFFF00 | rows=[29] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S30 | value='2010 survey' | fill=FFFFFF00 | rows=[29] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell A31 | value='Net Book Value (% variance of Actual v Forecast)' | fill=FF00B050 | rows=[30] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D31 | value='5.03' | fill=None | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='1.92' | fill=None | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G31 | value='E: New Passport Programme - To deliver a new supplier and design for UK passport (£million)' | fill=FF00B050 | rows=[30] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J31 | value='453' | fill=None | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L31 | value='Total number of actions ongoing' | fill=FF00B050 | rows=[30] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M31 | value='21' | fill=None | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='36' | fill=None | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P31 | value='Engagement Index (%)' | fill=FF00B050 | rows=[30] | cols=[15, 16] | col_header=False | row_header=True | metadata=False
Cell R31 | value='58' | fill=None | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S31 | value='57' | fill=None | rows=[30] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell G32 | value='£m whole life cost of ALL major projects' | fill=FF00B050 | rows=[31] | cols=[6, 7, 8] | col_header=False | row_header=True | metadata=False
Cell J32 | value='7088' | fill=None | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L32 | value='Total number of actions in the business plan that have yet to start' | fill=FF00B050 | rows=[31] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M32 | value='4' | fill=None | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='12' | fill=None | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P32 | value='Theme scores  (%)' | fill=FF00B050 | rows=[31, 32, 33, 34] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q32 | value='Leadership and Managing Change' | fill=FF00B050 | rows=[31] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R32 | value='40' | fill=None | rows=[31] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S32 | value='38' | fill=None | rows=[31] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell Q33 | value='My Work' | fill=FF00B050 | rows=[32] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R33 | value='76' | fill=None | rows=[32] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S33 | value='72' | fill=None | rows=[32] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell Q34 | value='My Line Manager' | fill=FF00B050 | rows=[33] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R34 | value='67' | fill=None | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S34 | value='66' | fill=None | rows=[33] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='Organisational Objectives & Purpose' | fill=FF00B050 | rows=[34] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R35 | value='82' | fill=None | rows=[34] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S35 | value='80' | fill=None | rows=[34] | cols=[18] | col_header=False | row_header=False | metadata=False

=== economy-table17.xlsx ===
Cell A1 | value='SPENDING' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=True | metadata=False
Cell L1 | value='RESULTS' | fill=FFFFFF00 | rows=[0] | cols=[11, 12, 13] | col_header=True | row_header=False | metadata=False
Cell P1 | value='PEOPLE' | fill=FFFFFF00 | rows=[0] | cols=[15, 16, 17, 18] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Budget' | fill=FFFFFF00 | rows=[2] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='£million' | fill=FFFFFF00 | rows=[2] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Common Areas of Spend' | fill=FFFFFF00 | rows=[2] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Q3 2011-12' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Input Indicators' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='Current' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Previous' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Whole Department Family - Workforce Size' | fill=FFFFFF00 | rows=[2] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Current' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='Previous' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Q4 2011-12' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Q4 2010-11' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Estate Costs' | fill=FF00B050 | rows=[4, 5, 6, 7] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H5 | value='Total office estate (m2)' | fill=FF00B050 | rows=[4] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I5 | value='256858' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='268884' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L5 | value='1 Cost per head of population of total police force cost (£, current = 2011-12, previous = 2010-11)' | fill=FF00B050 | rows=[4] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M5 | value='198' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='206' | fill=None | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P5 | value='Payroll Staff
[Total full-time equivalent by]
(current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[4, 5, 6] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q5 | value='Department and Agencies' | fill=FF00B050 | rows=[4] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R5 | value='24645' | fill=None | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='24844' | fill=None | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Total Departmental Expenditure Limit (DEL)' | fill=FF00B050 | rows=[5] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='2731.581' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='2557.4' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H6 | value='Total cost of office estate (£million)' | fill=FF00B050 | rows=[5] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I6 | value='31.12' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='Not applicable' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L6 | value='2 Cost per case of managing a drug misusing offender into treatment and recovery (£, current = 2011-12, previous = 2010-11)' | fill=FF00B050 | rows=[5] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M6 | value='2921' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='3063' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='Non-departmental public bodies' | fill=FF00B050 | rows=[5] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R6 | value='6075' | fill=None | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='6121' | fill=None | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A7 | value='of which Resource DEL (excl. Depreciation)' | fill=FF00B050 | rows=[6] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='2508.698' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='2305.6' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H7 | value='Cost per FTE (£)' | fill=FF00B050 | rows=[6] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I7 | value='1515' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='Not applicable' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L7 | value='3 Cost per passenger processed at the UK border (£, current = 2011-12, previous = 2010-11)' | fill=FF00B050 | rows=[6] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M7 | value='2.87' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='3.25' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='Department Family' | fill=FF00B050 | rows=[6] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R7 | value='30720' | fill=None | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='30965' | fill=None | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Up to top 5 contributory elements' | fill=FF00B050 | rows=[7, 8, 9, 10, 11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='A: Crime and Policing' | fill=None | rows=[7] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='1746.593' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='1633.6' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H8 | value='Cost per m2 (£)' | fill=FF00B050 | rows=[7] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I8 | value='121' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='Not applicable' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L8 | value='4 Cost per decision for all permanent and temporary migration applications (£, current = 2011-12, previous = 2010-11)' | fill=FF00B050 | rows=[7] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M8 | value='223' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='212' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P8 | value='Average Staff Costs
(£, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[7] | cols=[15, 16] | col_header=False | row_header=True | metadata=False
Cell R8 | value='38218' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='37827' | fill=None | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B9 | value='B: UK Border Agency' | fill=None | rows=[8] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='422.661' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='372.9' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G9 | value='Procurement' | fill=FF00B050 | rows=[8, 9, 10] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H9 | value='Total Procurement Spend (£million)' | fill=FF00B050 | rows=[8] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I9 | value='852.24' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='677.28' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L9 | value='5 Cost of producing and issuing a passport (£, current = 2011-12, previous = 2010-11)' | fill=FF00B050 | rows=[8] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M9 | value='64.68' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='71' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P9 | value='Contingent Labour
[Total full-time equivalent by] 
(current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[8, 9, 10] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q9 | value='Department and Agencies' | fill=FF00B050 | rows=[8] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R9 | value='392' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='479' | fill=None | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B10 | value='C: Security & Counter Terrorism' | fill=None | rows=[9] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='287.405' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='224.9' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H10 | value='Price of standard box of A4 white copier paper (£/2500 sheets)' | fill=FF00B050 | rows=[9] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I10 | value='11.39' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='11.39' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L10 | value='Impact Indicators' | fill=FFFFFF00 | rows=[9] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M10 | value='Current' | fill=FFFFFF00 | rows=[9] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N10 | value='Previous' | fill=FFFFFF00 | rows=[9] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell Q10 | value='Non-departmental public bodies' | fill=FF00B050 | rows=[9] | cols=[16] | col_header=False | row_header=True | metadata=False
Cell R10 | value='190.19' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='187' | fill=None | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B11 | value='D: Identity & Passports' | fill=None | rows=[10] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='-26.249' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='-13.4' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H11 | value='Average price of energy (£/KWH)' | fill=FF00B050 | rows=[10] | cols=[7] | col_header=False | row_header=True | metadata=False
Cell I11 | value='0.09' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0.09' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L11 | value='1 Crime rates - violent and property crime reported to the police (current = 12 months to the end of December 2011, previous = 12 months to the end of December 2010)' | fill=FF00B050 | rows=[10] | cols=[11] | col_header=False | row_header=True | metadata=False
Cell M11 | value='3448334' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='3533597' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
