=== economy-table48.xlsx ===
Cell A1 | value='Zone Name' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell E204 | value='Bell's Two Hearted Ale 6/12B' | fill=00000000 | rows=[203] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F204 | value='Micro' | fill=00000000 | rows=[203] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G204 | value='Multi' | fill=00000000 | rows=[203] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I204 | value='3' | fill=00000000 | rows=[203] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J204 | value='0.64' | fill=00000000 | rows=[203] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K204 | value='2' | fill=00000000 | rows=[203] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L204 | value='6.42' | fill=00000000 | rows=[203] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B205 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[204] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C205 | value='34347' | fill=00000000 | rows=[204] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D205 | value='7289000011' | fill=00000000 | rows=[204] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E205 | value='Heineken 6/12B' | fill=00000000 | rows=[204] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F205 | value='Imports' | fill=00000000 | rows=[204] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G205 | value='Multi' | fill=00000000 | rows=[204] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I205 | value='3' | fill=00000000 | rows=[204] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J205 | value='0.71' | fill=00000000 | rows=[204] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K205 | value='2' | fill=00000000 | rows=[204] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L205 | value='6.06' | fill=00000000 | rows=[204] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B206 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[205] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C206 | value='34347' | fill=00000000 | rows=[205] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D206 | value='85972800400' | fill=00000000 | rows=[205] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E206 | value='Griffin Claw Norms Raggedy Ass 4/16C' | fill=00000000 | rows=[205] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F206 | value='Micro' | fill=00000000 | rows=[205] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G206 | value='Multi' | fill=00000000 | rows=[205] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I206 | value='10' | fill=00000000 | rows=[205] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J206 | value='0.82' | fill=00000000 | rows=[205] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K206 | value='4' | fill=00000000 | rows=[205] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L206 | value='5.71' | fill=00000000 | rows=[205] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B207 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[206] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C207 | value='34347' | fill=00000000 | rows=[206] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D207 | value='7199032000' | fill=00000000 | rows=[206] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E207 | value='Coors Light 6/16C' | fill=00000000 | rows=[206] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F207 | value='Premium' | fill=00000000 | rows=[206] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G207 | value='Multi' | fill=00000000 | rows=[206] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I207 | value='3' | fill=00000000 | rows=[206] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J207 | value='1' | fill=00000000 | rows=[206] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K207 | value='2' | fill=00000000 | rows=[206] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L207 | value='4.99' | fill=00000000 | rows=[206] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B208 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[207] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C208 | value='34347' | fill=00000000 | rows=[207] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D208 | value='1820053182' | fill=00000000 | rows=[207] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E208 | value='Bud Light 18/16C' | fill=00000000 | rows=[207] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F208 | value='Premium' | fill=00000000 | rows=[207] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G208 | value='Multi' | fill=00000000 | rows=[207] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I208 | value='9' | fill=00000000 | rows=[207] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J208 | value='0.32' | fill=00000000 | rows=[207] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K208 | value='18' | fill=00000000 | rows=[207] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L208 | value='4.49' | fill=00000000 | rows=[207] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B209 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[208] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C209 | value='34347' | fill=00000000 | rows=[208] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D209 | value='7199010002' | fill=00000000 | rows=[208] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E209 | value='Coors 6/16C' | fill=00000000 | rows=[208] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F209 | value='Premium' | fill=00000000 | rows=[208] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G209 | value='Multi' | fill=00000000 | rows=[208] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I209 | value='3' | fill=00000000 | rows=[208] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J209 | value='0.86' | fill=00000000 | rows=[208] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K209 | value='2' | fill=00000000 | rows=[208] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L209 | value='4.28' | fill=00000000 | rows=[208] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B210 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[209] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C210 | value='34347' | fill=00000000 | rows=[209] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D210 | value='3410057023' | fill=00000000 | rows=[209] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E210 | value='Miller Lite 9/16AL' | fill=00000000 | rows=[209] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F210 | value='Premium' | fill=00000000 | rows=[209] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G210 | value='Multi' | fill=00000000 | rows=[209] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I210 | value='3' | fill=00000000 | rows=[209] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J210 | value='0.39' | fill=00000000 | rows=[209] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K210 | value='3' | fill=00000000 | rows=[209] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L210 | value='4.12' | fill=00000000 | rows=[209] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B211 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[210] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C211 | value='34347' | fill=00000000 | rows=[210] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D211 | value='7199030104' | fill=00000000 | rows=[210] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E211 | value='Coors Light 9/16AL' | fill=00000000 | rows=[210] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F211 | value='Premium' | fill=00000000 | rows=[210] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G211 | value='Multi' | fill=00000000 | rows=[210] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I211 | value='3' | fill=00000000 | rows=[210] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J211 | value='0.36' | fill=00000000 | rows=[210] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K211 | value='3' | fill=00000000 | rows=[210] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L211 | value='3.74' | fill=00000000 | rows=[210] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B212 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[211] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C212 | value='34347' | fill=00000000 | rows=[211] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D212 | value='1820053315' | fill=00000000 | rows=[211] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E212 | value='Bud Light 15/12C' | fill=00000000 | rows=[211] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F212 | value='Premium' | fill=00000000 | rows=[211] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G212 | value='Multi' | fill=00000000 | rows=[211] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I212 | value='6' | fill=00000000 | rows=[211] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J212 | value='0.32' | fill=00000000 | rows=[211] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K212 | value='10' | fill=00000000 | rows=[211] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L212 | value='3.53' | fill=00000000 | rows=[211] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B213 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[212] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C213 | value='34347' | fill=00000000 | rows=[212] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D213 | value='1820000833' | fill=00000000 | rows=[212] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E213 | value='Bud Light 6/12B' | fill=00000000 | rows=[212] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F213 | value='Premium' | fill=00000000 | rows=[212] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G213 | value='Multi' | fill=00000000 | rows=[212] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H213 | value='CORE' | fill=00000000 | rows=[212] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I213 | value='6' | fill=00000000 | rows=[212] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J213 | value='0.5' | fill=00000000 | rows=[212] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K213 | value='4' | fill=00000000 | rows=[212] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L213 | value='3.5' | fill=00000000 | rows=[212] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B214 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[213] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C214 | value='34347' | fill=00000000 | rows=[213] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D214 | value='1820053025' | fill=00000000 | rows=[213] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E214 | value='Bud Light 20/12B' | fill=00000000 | rows=[213] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F214 | value='Premium' | fill=00000000 | rows=[213] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G214 | value='Multi' | fill=00000000 | rows=[213] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I214 | value='8' | fill=00000000 | rows=[213] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J214 | value='0.25' | fill=00000000 | rows=[213] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K214 | value='16' | fill=00000000 | rows=[213] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L214 | value='3.5' | fill=00000000 | rows=[213] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B215 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[214] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C215 | value='34347' | fill=00000000 | rows=[214] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D215 | value='6206705172' | fill=00000000 | rows=[214] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E215 | value='Labatt Blue 6/12B' | fill=00000000 | rows=[214] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F215 | value='Imports' | fill=00000000 | rows=[214] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G215 | value='Multi' | fill=00000000 | rows=[214] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I215 | value='3' | fill=00000000 | rows=[214] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J215 | value='0.43' | fill=00000000 | rows=[214] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K215 | value='2' | fill=00000000 | rows=[214] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L215 | value='3' | fill=00000000 | rows=[214] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B216 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[215] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C216 | value='34347' | fill=00000000 | rows=[215] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D216 | value='1820011182' | fill=00000000 | rows=[215] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E216 | value='Budweiser 18/16C' | fill=00000000 | rows=[215] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F216 | value='Premium' | fill=00000000 | rows=[215] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G216 | value='Multi' | fill=00000000 | rows=[215] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I216 | value='3' | fill=00000000 | rows=[215] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J216 | value='0.18' | fill=00000000 | rows=[215] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K216 | value='6' | fill=00000000 | rows=[215] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L216 | value='2.5' | fill=00000000 | rows=[215] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B217 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[216] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C217 | value='34347' | fill=00000000 | rows=[216] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D217 | value='6206704941' | fill=00000000 | rows=[216] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E217 | value='Labatt Blue Light 24/12C' | fill=00000000 | rows=[216] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F217 | value='Imports' | fill=00000000 | rows=[216] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G217 | value='Multi' | fill=00000000 | rows=[216] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I217 | value='2' | fill=00000000 | rows=[216] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J217 | value='0.14' | fill=00000000 | rows=[216] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K217 | value='6' | fill=00000000 | rows=[216] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L217 | value='2.43' | fill=00000000 | rows=[216] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B218 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[217] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C218 | value='34347' | fill=00000000 | rows=[217] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D218 | value='6206705155' | fill=00000000 | rows=[217] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E218 | value='Labatt Blue 12/12B' | fill=00000000 | rows=[217] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F218 | value='Imports' | fill=00000000 | rows=[217] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G218 | value='Multi' | fill=00000000 | rows=[217] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I218 | value='4' | fill=00000000 | rows=[217] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J218 | value='0.18' | fill=00000000 | rows=[217] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K218 | value='6' | fill=00000000 | rows=[217] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L218 | value='2.15' | fill=00000000 | rows=[217] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B219 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[218] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C219 | value='34347' | fill=00000000 | rows=[218] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D219 | value='1820000243' | fill=00000000 | rows=[218] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E219 | value='Bud Ice 6/16C' | fill=00000000 | rows=[218] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F219 | value='Sub Premium' | fill=00000000 | rows=[218] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G219 | value='Multi' | fill=00000000 | rows=[218] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I219 | value='3' | fill=00000000 | rows=[218] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J219 | value='0.43' | fill=00000000 | rows=[218] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K219 | value='2' | fill=00000000 | rows=[218] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L219 | value='2.14' | fill=00000000 | rows=[218] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B220 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[219] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C220 | value='34347' | fill=00000000 | rows=[219] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D220 | value='7199009511' | fill=00000000 | rows=[219] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E220 | value='Blue Moon Belgian White Ale 6/12B' | fill=00000000 | rows=[219] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F220 | value='Specialty' | fill=00000000 | rows=[219] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G220 | value='Multi' | fill=00000000 | rows=[219] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I220 | value='5' | fill=00000000 | rows=[219] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J220 | value='0.21' | fill=00000000 | rows=[219] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K220 | value='3' | fill=00000000 | rows=[219] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L220 | value='2.03' | fill=00000000 | rows=[219] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B221 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[220] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C221 | value='34347' | fill=00000000 | rows=[220] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D221 | value='7199030107' | fill=00000000 | rows=[220] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E221 | value='Coors Light 15/12C' | fill=00000000 | rows=[220] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F221 | value='Premium' | fill=00000000 | rows=[220] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G221 | value='Multi' | fill=00000000 | rows=[220] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I221 | value='4' | fill=00000000 | rows=[220] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J221 | value='0.18' | fill=00000000 | rows=[220] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K221 | value='6' | fill=00000000 | rows=[220] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L221 | value='1.97' | fill=00000000 | rows=[220] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B222 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[221] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C222 | value='34347' | fill=00000000 | rows=[221] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D222 | value='1820053168' | fill=00000000 | rows=[221] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E222 | value='Bud Light 24/12C' | fill=00000000 | rows=[221] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F222 | value='Premium' | fill=00000000 | rows=[221] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G222 | value='Multi' | fill=00000000 | rows=[221] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I222 | value='6' | fill=00000000 | rows=[221] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J222 | value='0.11' | fill=00000000 | rows=[221] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K222 | value='18' | fill=00000000 | rows=[221] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L222 | value='1.82' | fill=00000000 | rows=[221] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B223 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[222] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C223 | value='34347' | fill=00000000 | rows=[222] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D223 | value='1820011168' | fill=00000000 | rows=[222] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E223 | value='Budweiser 24/12C' | fill=00000000 | rows=[222] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F223 | value='Premium' | fill=00000000 | rows=[222] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G223 | value='Multi' | fill=00000000 | rows=[222] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I223 | value='8' | fill=00000000 | rows=[222] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J223 | value='0.11' | fill=00000000 | rows=[222] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K223 | value='24' | fill=00000000 | rows=[222] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L223 | value='1.82' | fill=00000000 | rows=[222] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B224 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[223] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C224 | value='34347' | fill=00000000 | rows=[223] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D224 | value='8066095605' | fill=00000000 | rows=[223] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E224 | value='Corona Extra 6/12B' | fill=00000000 | rows=[223] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F224 | value='Imports' | fill=00000000 | rows=[223] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G224 | value='Multi' | fill=00000000 | rows=[223] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I224 | value='3' | fill=00000000 | rows=[223] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J224 | value='0.21' | fill=00000000 | rows=[223] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K224 | value='2' | fill=00000000 | rows=[223] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L224 | value='1.82' | fill=00000000 | rows=[223] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B225 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[224] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C225 | value='34347' | fill=00000000 | rows=[224] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D225 | value='8066095615' | fill=00000000 | rows=[224] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E225 | value='Corona Extra 12/12B' | fill=00000000 | rows=[224] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F225 | value='Imports' | fill=00000000 | rows=[224] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G225 | value='Multi' | fill=00000000 | rows=[224] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I225 | value='4' | fill=00000000 | rows=[224] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J225 | value='0.11' | fill=00000000 | rows=[224] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K225 | value='6' | fill=00000000 | rows=[224] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L225 | value='1.6' | fill=00000000 | rows=[224] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B226 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[225] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C226 | value='34347' | fill=00000000 | rows=[225] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D226 | value='3410057344' | fill=00000000 | rows=[225] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E226 | value='Miller Lite 15/12C' | fill=00000000 | rows=[225] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F226 | value='Premium' | fill=00000000 | rows=[225] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G226 | value='Multi' | fill=00000000 | rows=[225] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I226 | value='4' | fill=00000000 | rows=[225] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J226 | value='0.14' | fill=00000000 | rows=[225] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K226 | value='6' | fill=00000000 | rows=[225] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L226 | value='1.57' | fill=00000000 | rows=[225] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B227 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[226] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C227 | value='34347' | fill=00000000 | rows=[226] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D227 | value='9200002000' | fill=00000000 | rows=[226] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E227 | value='Small Town Not Your Fathers RtBr 6/12B' | fill=00000000 | rows=[226] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F227 | value='Micro' | fill=00000000 | rows=[226] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G227 | value='Multi' | fill=00000000 | rows=[226] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I227 | value='3' | fill=00000000 | rows=[226] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J227 | value='0.14' | fill=00000000 | rows=[226] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K227 | value='2' | fill=00000000 | rows=[226] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L227 | value='1.57' | fill=00000000 | rows=[226] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B228 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[227] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C228 | value='34347' | fill=00000000 | rows=[227] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D228 | value='64286020005' | fill=00000000 | rows=[227] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E228 | value='Founders Centennial IPA 6/12B' | fill=00000000 | rows=[227] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F228 | value='Micro' | fill=00000000 | rows=[227] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G228 | value='Multi' | fill=00000000 | rows=[227] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I228 | value='3' | fill=00000000 | rows=[227] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J228 | value='0.14' | fill=00000000 | rows=[227] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K228 | value='2' | fill=00000000 | rows=[227] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L228 | value='1.43' | fill=00000000 | rows=[227] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B229 | value='SOUTHWEST DETROIT' | fill=00000000 | rows=[228] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C229 | value='34347' | fill=00000000 | rows=[228] | cols=[2] | col_header=False | row_header=False | metadata=False
