=== employment-table22.xlsx ===
Cell A1 | value='Reason for working less than 35 hours' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell D21 | value='–' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='232' | fill=FF00B0F0 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F21 | value='232' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='–' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A22 | value='All other reasons' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='9236' | fill=FF00B0F0 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C22 | value='2653' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='6583' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='9084' | fill=FF00B0F0 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F22 | value='2619' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='6465' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Average hours, economic reasons' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='23.1' | fill=FF00B0F0 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C24 | value='23.6' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='22.8' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='23.1' | fill=FF00B0F0 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F24 | value='23.6' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='22.8' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Average hours, noneconomic reasons' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='21.3' | fill=FF00B0F0 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C25 | value='24.7' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='19.9' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='21.3' | fill=FF00B0F0 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F25 | value='24.7' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='20' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False

