=== society-table26.xlsx ===
Cell D1 | value='Excess COVID Death Associated with Maintaining Essential Services' | fill=00000000 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F38 | value='400' | fill=6 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='4' | fill=6 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='4' | fill=6 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='0.77' | fill=6 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J38 | value='0.0096887546730593' | fill=6 | rows=[37] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K38 | value='0.00742804524934546' | fill=6 | rows=[37] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L38 | value='18.7186740283506' | fill=6 | rows=[37] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M38 | value='0.0475632980956275' | fill=6 | rows=[37] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N38 | value='0.00924661760082079' | fill=6 | rows=[37] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O38 | value='0.00708907349396261' | fill=6 | rows=[37] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P38 | value='17.8644652047858' | fill=6 | rows=[37] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q38 | value='0.0348011408269757' | fill=6 | rows=[37] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R38 | value='0.00884874746801978' | fill=6 | rows=[37] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S38 | value='0.00678403972548183' | fill=6 | rows=[37] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T38 | value='17.0957801082142' | fill=6 | rows=[37] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U38 | value='0.0333036922333163' | fill=6 | rows=[37] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V38 | value='0.00884874746801978' | fill=6 | rows=[37] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W38 | value='0.00678403972548183' | fill=6 | rows=[37] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X38 | value='17.0957801082142' | fill=6 | rows=[37] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y38 | value='0.0333036922333163' | fill=6 | rows=[37] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z38 | value='0.00551575676200677' | fill=None | rows=[37] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA38 | value='0.00422874685087186' | fill=6 | rows=[37] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB38 | value='9.59079785777738' | fill=6 | rows=[37] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC38 | value='0.0186834983899855' | fill=6 | rows=[37] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD38 | value='Hospitalization' | fill=FF00B0F0 | rows=[37] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A39 | value='x' | fill=00000000 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='25' | fill=2 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='33' | fill=2 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E39 | value='MgSO4 management of eclampsia' | fill=2 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='100' | fill=6 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='10' | fill=6 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='10' | fill=6 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='0.77' | fill=6 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J39 | value='0.0240461613090481' | fill=6 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K39 | value='0.0184353903369369' | fill=6 | rows=[38] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L39 | value='11.6142959122702' | fill=6 | rows=[38] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M39 | value='0.0295113968975299' | fill=6 | rows=[38] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N39 | value='0.0229564789643059' | fill=6 | rows=[38] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O39 | value='0.0175999672059678' | fill=6 | rows=[38] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P39 | value='11.0879793397597' | fill=6 | rows=[38] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q39 | value='0.0216001053525074' | fill=6 | rows=[38] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R39 | value='0.021975272306848' | fill=6 | rows=[38] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S39 | value='0.0168477087685835' | fill=6 | rows=[38] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T39 | value='10.6140565242076' | fill=6 | rows=[38] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U39 | value='0.0206768728652159' | fill=6 | rows=[38] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V39 | value='0.021975272306848' | fill=6 | rows=[38] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W39 | value='0.0168477087685835' | fill=6 | rows=[38] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X39 | value='10.6140565242076' | fill=6 | rows=[38] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y39 | value='0.0206768728652159' | fill=6 | rows=[38] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z39 | value='0.013352979320799' | fill=None | rows=[38] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA39 | value='0.0102372841459459' | fill=6 | rows=[38] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB39 | value='5.80454011075134' | fill=6 | rows=[38] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC39 | value='0.0113076218915286' | fill=6 | rows=[38] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD39 | value='Hospitalization' | fill=FF00B0F0 | rows=[38] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A40 | value='x' | fill=00000000 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='26' | fill=2 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='34' | fill=2 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E40 | value='Antibiotics for preterm or prolonged PROM' | fill=2 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='2700' | fill=6 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='6' | fill=6 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='6' | fill=6 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='0.77' | fill=6 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J40 | value='0.0144978729704809' | fill=6 | rows=[39] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K40 | value='0.0111150359440353' | fill=6 | rows=[39] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L40 | value='189.066761408041' | fill=6 | rows=[39] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M40 | value='0.480410029001288' | fill=6 | rows=[39] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N40 | value='0.0138378143411286' | fill=6 | rows=[39] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O40 | value='0.0106089909948653' | fill=6 | rows=[39] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P40 | value='180.458936822658' | fill=6 | rows=[39] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q40 | value='0.35154575308357' | fill=6 | rows=[39] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R40 | value='0.0132437151295479' | fill=6 | rows=[39] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S40 | value='0.0101535149326534' | fill=6 | rows=[39] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T40 | value='172.711289004434' | fill=6 | rows=[39] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U40 | value='0.336452830921669' | fill=6 | rows=[39] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V40 | value='0.0132437151295479' | fill=6 | rows=[39] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W40 | value='0.0101535149326534' | fill=6 | rows=[39] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X40 | value='172.711289004434' | fill=6 | rows=[39] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y40 | value='0.336452830921669' | fill=6 | rows=[39] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z40 | value='0.0081350570106834' | fill=None | rows=[39] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA40 | value='0.00623687704152394' | fill=6 | rows=[39] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB40 | value='95.48035062869' | fill=6 | rows=[39] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC40 | value='0.186001936825285' | fill=6 | rows=[39] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD40 | value='Hospitalization' | fill=FF00B0F0 | rows=[39] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A41 | value='x' | fill=00000000 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B41 | value='27' | fill=2 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='35' | fill=2 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E41 | value='Parenteral administration of antibiotics' | fill=2 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='4200' | fill=6 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='10' | fill=6 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='10' | fill=6 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='0.77' | fill=6 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J41 | value='0.0240461613090481' | fill=6 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K41 | value='0.0184353903369369' | fill=6 | rows=[40] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L41 | value='487.80042831535' | fill=6 | rows=[40] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M41 | value='1.23947866969626' | fill=6 | rows=[40] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N41 | value='0.0229564789643059' | fill=6 | rows=[40] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O41 | value='0.0175999672059678' | fill=6 | rows=[40] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P41 | value='465.695132269909' | fill=6 | rows=[40] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q41 | value='0.907204424805311' | fill=6 | rows=[40] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R41 | value='0.021975272306848' | fill=6 | rows=[40] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S41 | value='0.0168477087685835' | fill=6 | rows=[40] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T41 | value='445.790374016719' | fill=6 | rows=[40] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U41 | value='0.868428660339069' | fill=6 | rows=[40] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V41 | value='0.021975272306848' | fill=6 | rows=[40] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W41 | value='0.0168477087685835' | fill=6 | rows=[40] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X41 | value='445.790374016719' | fill=6 | rows=[40] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y41 | value='0.868428660339069' | fill=6 | rows=[40] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z41 | value='0.013352979320799' | fill=None | rows=[40] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA41 | value='0.0102372841459459' | fill=6 | rows=[40] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB41 | value='243.790684651556' | fill=6 | rows=[40] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC41 | value='0.474920119444201' | fill=6 | rows=[40] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD41 | value='Hospitalization' | fill=FF00B0F0 | rows=[40] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A42 | value='x' | fill=00000000 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='28' | fill=2 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='36' | fill=2 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E42 | value='Assisted vaginal delivery' | fill=2 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='1500' | fill=6 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='4' | fill=6 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='4' | fill=6 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='0.77' | fill=6 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='0.0096887546730593' | fill=6 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K42 | value='0.00742804524934546' | fill=6 | rows=[41] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L42 | value='70.1950276063146' | fill=6 | rows=[41] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M42 | value='0.178362367858603' | fill=6 | rows=[41] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N42 | value='0.00924661760082079' | fill=6 | rows=[41] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O42 | value='0.00708907349396261' | fill=6 | rows=[41] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P42 | value='66.9917445179466' | fill=6 | rows=[41] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q42 | value='0.130504278101159' | fill=6 | rows=[41] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R42 | value='0.00884874746801978' | fill=6 | rows=[41] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S42 | value='0.00678403972548183' | fill=6 | rows=[41] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T42 | value='64.1091754058033' | fill=6 | rows=[41] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U42 | value='0.124888845874936' | fill=6 | rows=[41] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V42 | value='0.00884874746801978' | fill=6 | rows=[41] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W42 | value='0.00678403972548183' | fill=6 | rows=[41] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X42 | value='64.1091754058033' | fill=6 | rows=[41] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y42 | value='0.124888845874936' | fill=6 | rows=[41] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z42 | value='0.00551575676200677' | fill=None | rows=[41] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA42 | value='0.00422874685087186' | fill=6 | rows=[41] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB42 | value='35.9654919666652' | fill=6 | rows=[41] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC42 | value='0.0700631189624457' | fill=6 | rows=[41] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD42 | value='Hospitalization' | fill=FF00B0F0 | rows=[41] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A43 | value='x' | fill=00000000 | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B43 | value='29' | fill=2 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='38' | fill=2 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E43 | value='Active management of third stage of labor (AMTSL)' | fill=2 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='50200' | fill=6 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='2' | fill=6 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='2' | fill=6 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='0.77' | fill=6 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J43 | value='0.00485616852289095' | fill=6 | rows=[42] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K43 | value='0.00372306253421639' | fill=6 | rows=[42] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L43 | value='1177.45575707128' | fill=6 | rows=[42] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M43 | value='2.99186144719295' | fill=6 | rows=[42] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N43 | value='0.00463404599153627' | fill=6 | rows=[42] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O43 | value='0.00355276859351114' | fill=6 | rows=[42] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P43 | value='1123.59859538383' | fill=6 | rows=[42] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q43 | value='2.1888431868909' | fill=6 | rows=[42] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R43 | value='0.00443420482020362' | fill=6 | rows=[42] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S43 | value='0.00339955702882278' | fill=6 | rows=[42] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T43 | value='1075.14390593549' | fill=6 | rows=[42] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U43 | value='2.09445029844511' | fill=6 | rows=[42] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V43 | value='0.00443420482020362' | fill=6 | rows=[42] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W43 | value='0.00339955702882278' | fill=6 | rows=[42] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X43 | value='1075.14390593549' | fill=6 | rows=[42] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y43 | value='2.09445029844511' | fill=6 | rows=[42] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z43 | value='0.00288953950931525' | fill=None | rows=[42] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA43 | value='0.00221531362380836' | fill=6 | rows=[42] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB43 | value='630.553577999069' | fill=6 | rows=[42] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC43 | value='1.22835940596869' | fill=6 | rows=[42] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD43 | value='Hospitalization' | fill=FF00B0F0 | rows=[42] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A44 | value='x' | fill=00000000 | rows=[43] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B44 | value='30' | fill=2 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='39' | fill=2 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E44 | value='Removal of retained products of conception' | fill=2 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='200' | fill=6 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='4' | fill=6 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='4' | fill=6 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='0.77' | fill=6 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J44 | value='0.0096887546730593' | fill=6 | rows=[43] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K44 | value='0.00742804524934546' | fill=6 | rows=[43] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L44 | value='9.35933701417528' | fill=6 | rows=[43] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M44 | value='0.0237816490478138' | fill=6 | rows=[43] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N44 | value='0.00924661760082079' | fill=6 | rows=[43] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O44 | value='0.00708907349396261' | fill=6 | rows=[43] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P44 | value='8.93223260239288' | fill=6 | rows=[43] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q44 | value='0.0174005704134878' | fill=6 | rows=[43] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R44 | value='0.00884874746801978' | fill=6 | rows=[43] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S44 | value='0.00678403972548183' | fill=6 | rows=[43] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T44 | value='8.54789005410711' | fill=6 | rows=[43] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U44 | value='0.0166518461166581' | fill=6 | rows=[43] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V44 | value='0.00884874746801978' | fill=6 | rows=[43] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W44 | value='0.00678403972548183' | fill=6 | rows=[43] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X44 | value='8.54789005410711' | fill=6 | rows=[43] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y44 | value='0.0166518461166581' | fill=6 | rows=[43] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z44 | value='0.00551575676200677' | fill=None | rows=[43] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA44 | value='0.00422874685087186' | fill=6 | rows=[43] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB44 | value='4.79539892888869' | fill=6 | rows=[43] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC44 | value='0.00934174919499276' | fill=6 | rows=[43] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD44 | value='Hospitalization' | fill=FF00B0F0 | rows=[43] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A45 | value='x' | fill=00000000 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B45 | value='31' | fill=2 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='40' | fill=2 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E45 | value='Induction of labor for pregnancies lasting 41+ weeks' | fill=2 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='100' | fill=6 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='1' | fill=6 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='1' | fill=6 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='0.77' | fill=6 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J45 | value='0.00243103923733212' | fill=6 | rows=[44] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K45 | value='0.00186379674862129' | fill=6 | rows=[44] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L45 | value='1.17419195163141' | fill=6 | rows=[44] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M45 | value='0.0029835682662322' | fill=6 | rows=[44] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N45 | value='0.00231971353120153' | fill=6 | rows=[44] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O45 | value='0.00177844704058784' | fill=6 | rows=[44] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P45 | value='1.12042163557034' | fill=6 | rows=[44] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q45 | value='0.00218265426241968' | fill=6 | rows=[44] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R45 | value='0.00221956564593007' | fill=6 | rows=[44] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S45 | value='0.00170166699521305' | fill=6 | rows=[44] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T45 | value='1.07205020698422' | fill=6 | rows=[44] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U45 | value='0.00208842357155207' | fill=6 | rows=[44] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V45 | value='0.00221956564593007' | fill=6 | rows=[44] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W45 | value='0.00170166699521305' | fill=6 | rows=[44] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X45 | value='1.07205020698422' | fill=6 | rows=[44] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y45 | value='0.00208842357155207' | fill=6 | rows=[44] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z45 | value='0.00157383130012567' | fill=None | rows=[44] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA45 | value='0.00120660399676302' | fill=6 | rows=[44] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB45 | value='0.68414446616463' | fill=6 | rows=[44] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC45 | value='0.00133275794377618' | fill=6 | rows=[44] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD45 | value='Hospitalization' | fill=FF00B0F0 | rows=[44] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell A46 | value='x' | fill=00000000 | rows=[45] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B46 | value='32' | fill=2 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='41' | fill=2 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E46 | value='Antenatal corticosteroids for preterm labor' | fill=2 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='0' | fill=6 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G46 | value='4' | fill=6 | rows=[45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H46 | value='4' | fill=6 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I46 | value='0.77' | fill=6 | rows=[45] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J46 | value='0.0096887546730593' | fill=6 | rows=[45] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K46 | value='0.00742804524934546' | fill=6 | rows=[45] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L46 | value='0' | fill=6 | rows=[45] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M46 | value='0' | fill=6 | rows=[45] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N46 | value='0.00924661760082079' | fill=6 | rows=[45] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O46 | value='0.00708907349396261' | fill=6 | rows=[45] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P46 | value='0' | fill=6 | rows=[45] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q46 | value='0' | fill=6 | rows=[45] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R46 | value='0.00884874746801978' | fill=6 | rows=[45] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S46 | value='0.00678403972548183' | fill=6 | rows=[45] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T46 | value='0' | fill=6 | rows=[45] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U46 | value='0' | fill=6 | rows=[45] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V46 | value='0.00884874746801978' | fill=6 | rows=[45] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W46 | value='0.00678403972548183' | fill=6 | rows=[45] | cols=[22] | col_header=False | row_header=False | metadata=False
