=== society-table45.xlsx ===
Cell A1 | value='Variable' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell D14 | value='Assumes reasonably flat epidemic curve, total cases spread out over months of community spread as specified above' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Prevalence among health care provider on any given day ( l1xpo)' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='pv' | fill=None | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='0.01678082191780822' | fill=None | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='Higher risk due to increased number of potentially infectious contacts' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Probability of transmission given potentially infectious contact with community members (R0/NΨ)' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='t0' | fill=None | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='0.03571428571428571' | fill=None | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='General risk of acquiring infection in the community' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Probability of transmission given potentially infectious contact with health care provider (l2 x t0)' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='tv' | fill=None | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='0.02214285714285714' | fill=None | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Probability of transmission given potentially infectious contact with health care provider(s) during hospital stay (l2 x h x t0)' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='th' | fill=None | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='0.06642857142857142' | fill=None | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='Risk of acquiring infection  interacting with health care provider(s) during hospital stay' | fill=None | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Effectiveness of Health Facility Mitigation Measures' | fill=FFFFFF00 | rows=[18] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A20 | value='Effectiveness of Personal Protective Equipment' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='Eppe' | fill=None | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='0.1' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='Reduction in transmission risk across all interventions' | fill=None | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Effectiveness of Temperature Screening' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='Ets' | fill=None | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='0.1' | fill=9 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='Reduction in transmission risk across all interventions' | fill=None | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Effectiveness of  Reducing Number of Contacts' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C22 | value='Intervention-specific' | fill=None | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='Proportional to Reduction (intervention-specific), see Sheet 6. Cells EX7:HS7' | fill=None | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A23 | value='1. Infection Risk for vaccination visits (child + caretaker):' | fill=FFFFFF00 | rows=[22] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A24 | value='Probability for a SARS-CoV-2 infection for the whole household of a child who gets vaccinated' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='P' | fill=None | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='0.003374883451595645' | fill=None | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='One minus the probability of either the infant or the mother not being infected by either the vaccinator or anyone else on any of the vaccination visits' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Probability for excess SARS-CoV-2 infection for the whole household of a child who gets vaccinated (Px (1-Θ))' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='PECHild' | fill=None | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='0.0025874106462233275' | fill=None | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='Probability of facility-visit related infection x Percent of population who has not gotten infected at the end of the risk period' | fill=None | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Probability of transmission during travel to clinic' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C26 | value='0.0026338278021864614' | fill=None | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='1 - (1 - po to)2vn' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Probability of transmission during contact with health care provider' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C27 | value='0.0007430126166964035' | fill=None | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='1 - (1 - pv tv)2vn' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Probability of transmission if clinic uses PPE' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C28 | value='0.0006687237811678903' | fill=None | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='P = 1 - (1 - pv tv x (1 - Eppe))2v' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Probability of transmission if clinic uses PPE and temperature screening' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C29 | value='0.0006018715316044032' | fill=None | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='P = 1 - (1 - pv tv x (1 - Eppe) )2v x (1 - Ets)' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A30 | value='2. Infection Risk for adult visits:' | fill=FFFFFF00 | rows=[29] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A31 | value='Probability for a SARS-CoV-2 infection for the whole household of an adult seeking care' | fill=FF00B050 | rows=[30] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='PE' | fill=None | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='0.0016888678631273857' | fill=None | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='One minus the probability of the adult not being infected by either the health care provider or anyone else on the visit or visits to the health facility' | fill=None | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A32 | value='Probability for excess SARS-CoV-2 infection for the whole household of an adult seeking care  (Px (1-Θ))' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='PEAdult' | fill=None | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='0.001294798695064329' | fill=None | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A33 | value='Probability of transmission during travel to clinic' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C33 | value='0.001317782176024962' | fill=None | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Probability of transmission during contact with health care provider' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C34 | value='0.0003715753424657908' | fill=None | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='1 - (1 - pv tv)vn' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A35 | value='Probability of transmission if clinic uses PPE' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C35 | value='0.00033441780821918954' | fill=None | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='P = 1 - (1 - pv tv x (1 - Eppe))v' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A36 | value='Probability of transmission if clinic uses PPE and temperature screening' | fill=FF00B050 | rows=[35] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C36 | value='0.0003009810606016128' | fill=None | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='P = 1 - (1 - pv tv x (1 - Eppe) )v x (1 - Ets)' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A37 | value='3. Infection Risk for hospitalization visits:' | fill=FFFFFF00 | rows=[36] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A38 | value='Probability for a SARS-CoV-2 infection for the whole household of an adult seeking care' | fill=FF00B050 | rows=[37] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B38 | value='PEI' | fill=None | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='0.002431039237332122' | fill=None | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='One minus the probability of the adult not being infected by either health care providers or anyone else during the hospital stay' | fill=None | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A39 | value='Probability for excess SARS-CoV-2 infection for the whole household of an adult seeking care  (Px (1-Θ))' | fill=FF00B050 | rows=[38] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B39 | value='PEAdult' | fill=None | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='0.0018637967486212935' | fill=None | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A40 | value='Probability of transmission during travel to clinic' | fill=FF00B050 | rows=[39] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C40 | value='0.001317782176024962' | fill=None | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='1 - (1 - po to)vn' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A41 | value='Probability of transmission during stay at hospital' | fill=FF00B050 | rows=[40] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C41 | value='0.0011147260273972615' | fill=None | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='1 - (1 - pv th)v' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A42 | value='Probability of transmission if clinic uses PPE' | fill=FF00B050 | rows=[41] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C42 | value='0.0010032534246575686' | fill=None | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='P = 1 - (1 - pv th x (1 - Eppe))v' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A43 | value='Probability of transmission if clinic uses PPE and temperature screening' | fill=FF00B050 | rows=[42] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C43 | value='0.0009029733921467331' | fill=None | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='P = 1 - (1 - pv th x (1 - Eppe) )v x (1 - Ets)' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A45 | value='Infection rate within household' | fill=FF00B050 | rows=[44] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C45 | value='0.9' | fill=9 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='Assumption that if either child or caretaker gets infected they will infect all other household members, owing to the high secondary attack rates observed for family gatherings' | fill=None | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A47 | value='Infection fatality rate' | fill=FFFFFF00 | rows=[46] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A48 | value='Children (aged <20)' | fill=FF00B050 | rows=[47] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B48 | value='P' | fill=None | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='1.61e-05' | fill=9 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D48 | value='Based on Verity R, Okell LC, Dorigatti I, et al. Estimates of the severity of coronavirus disease 2019: a model-based analysis. Lancet Infect Dis 2020; published online March 30. DOI:10.1016/S1473-3099(20)30243-7.' | fill=None | rows=[47, 48, 49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A49 | value='Adults (aged 20-59)' | fill=FF00B050 | rows=[48] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B49 | value='P' | fill=None | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='0.0008464' | fill=9 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A50 | value='Older adults (60+)' | fill=FF00B050 | rows=[49] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B50 | value='P' | fill=None | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='0.0328379' | fill=9 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A52 | value='Household Age Distribution' | fill=FFFFFF00 | rows=[51] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A53 | value='Average Household Size' | fill=FF00B050 | rows=[52] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C53 | value='6.3' | fill=9 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A54 | value='Children (aged <20)' | fill=FF00B050 | rows=[53] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C54 | value='3.2' | fill=9 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A55 | value='Adults (aged 20-59)' | fill=FF00B050 | rows=[54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C55 | value='2.8' | fill=9 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A56 | value='Older adults (60+)' | fill=FF00B050 | rows=[55] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C56 | value='0.3' | fill=9 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False

