=== economy-table89.xlsx ===
Cell E1 | value='Total Entering Default During the Quarter' | fill=FFFFFF00 | rows=[0] | cols=[4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell C24 | value='728.3' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='19640' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='6.35' | fill=4 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='248' | fill=4 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='0.009' | fill=4 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0.013' | fill=4 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='NA*' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='NA*' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='NA*' | fill=4 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='NA*' | fill=4 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Q3*' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='693' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='18310' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='0' | fill=4 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='0' | fill=4 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='1.443001443001443e-05' | fill=4 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='4.3691971600218465e-05' | fill=4 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='NA*' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='NA*' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='NA*' | fill=4 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='NA*' | fill=4 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Q4*' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='11.3' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='310' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='0' | fill=4 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='0' | fill=4 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='1.443001443001443e-05' | fill=4 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='4.3691971600218465e-05' | fill=4 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='NA*' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='NA*' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='NA*' | fill=4 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='NA*' | fill=4 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A27 | value='2021' | fill=FF00B050 | rows=[26, 27, 28, 29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='Q1*' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='14.2' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='390' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='0' | fill=4 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='0' | fill=4 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='1.443001443001443e-05' | fill=4 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='4.3691971600218465e-05' | fill=4 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='NA*' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='NA*' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='NA*' | fill=4 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='NA*' | fill=4 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Q2*' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='15.1' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='420' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='0' | fill=4 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='0' | fill=4 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='1.443001443001443e-05' | fill=4 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='4.3691971600218465e-05' | fill=4 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='NA*' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='NA*' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='NA*' | fill=4 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='NA*' | fill=4 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Q3*' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C29 | value='17' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='480' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='0' | fill=4 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='0' | fill=4 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='1.443001443001443e-05' | fill=4 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='4.3691971600218465e-05' | fill=4 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='NA*' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='NA*' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='NA*' | fill=4 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='NA*' | fill=4 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Q4*' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C30 | value='16.6' | fill=None | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='480' | fill=None | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='0' | fill=4 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='0' | fill=4 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='1.443001443001443e-05' | fill=4 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='4.3691971600218465e-05' | fill=4 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='NA*' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='NA*' | fill=00000000 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='NA*' | fill=4 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='NA*' | fill=4 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A31 | value='2022' | fill=FF00B050 | rows=[30, 31, 32, 33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='Q1*' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='16.1' | fill=None | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='470' | fill=None | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='0' | fill=4 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='0' | fill=4 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='1.443001443001443e-05' | fill=4 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='4.3691971600218465e-05' | fill=4 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='NA*' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='NA*' | fill=00000000 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='NA*' | fill=4 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='NA*' | fill=4 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Q2*' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='15.9' | fill=None | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='460' | fill=None | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='0' | fill=4 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='0' | fill=4 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='1.443001443001443e-05' | fill=4 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='4.3691971600218465e-05' | fill=4 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='NA*' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='NA*' | fill=00000000 | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='NA*' | fill=4 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='NA*' | fill=4 | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Q3*' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C33 | value='15' | fill=None | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='440' | fill=None | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='0' | fill=4 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='0' | fill=4 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='1.443001443001443e-05' | fill=4 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='4.3691971600218465e-05' | fill=4 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='NA*' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='NA*' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='NA*' | fill=4 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='NA*' | fill=4 | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Q4*' | fill=FF00B050 | rows=[33] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C34 | value='14.2' | fill=None | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='420' | fill=None | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='0' | fill=4 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='0' | fill=4 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='1.443001443001443e-05' | fill=4 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='4.3691971600218465e-05' | fill=4 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='NA*' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='NA*' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='NA*' | fill=4 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='NA*' | fill=4 | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A35 | value='2023' | fill=FF00B050 | rows=[34, 35, 36] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='Q1*' | fill=FF00B050 | rows=[34] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C35 | value='11.7' | fill=None | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='370' | fill=None | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='0' | fill=4 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='0' | fill=4 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='1.443001443001443e-05' | fill=4 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='4.3691971600218465e-05' | fill=4 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='NA*' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='NA*' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='NA*' | fill=4 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='NA*' | fill=4 | rows=[34] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Q2*' | fill=FF00B050 | rows=[35] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C36 | value='10.9' | fill=None | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='330' | fill=None | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='0' | fill=4 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='0' | fill=4 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='1.443001443001443e-05' | fill=4 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='4.3691971600218465e-05' | fill=4 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='NA*' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='NA*' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='NA*' | fill=4 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L36 | value='NA*' | fill=4 | rows=[35] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Q3*' | fill=FF00B050 | rows=[36] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C37 | value='10.1' | fill=None | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='300' | fill=None | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='0' | fill=4 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='0' | fill=4 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='1.443001443001443e-05' | fill=4 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='4.3691971600218465e-05' | fill=4 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='NA*' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J37 | value='NA*' | fill=00000000 | rows=[36] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K37 | value='NA*' | fill=4 | rows=[36] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L37 | value='NA*' | fill=4 | rows=[36] | cols=[11] | col_header=False | row_header=False | metadata=False

=== economy-table89.xlsx ===
Cell E1 | value='Total Entering Default During the Quarter' | fill=FFFFFF00 | rows=[0] | cols=[4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Loans Defaulting for the First Time' | fill=FFFFFF00 | rows=[0] | cols=[8, 9] | col_header=True | row_header=False | metadata=False
Cell K1 | value='Loans Defaulting for at least the Second Time' | fill=FFFFFF00 | rows=[0] | cols=[10, 11] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Federal Fiscal Year' | fill=FFFFFF00 | rows=[1] | cols=[0, 1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Dollars In Repayment From Previous Quarter         (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Recipients In Repayment From Previous Quarter         (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Dollars             (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Unique Borrowers     (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Percent of Dollars in Repayment Last Quarter That Defaulted' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Percent of Borrowers in Repayment Last Quarter That Defaulted' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Dollars             (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Borrowers     (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Dollars             (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Borrowers     (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell A3 | value='2015' | fill=FF00B050 | rows=[2, 3, 4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='Q1' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='301.79999999999995' | fill=None | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='12290' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='4.65' | fill=4 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='301.4' | fill=4 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='0.015407554671968195' | fill=4 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='0.0245240032546786' | fill=4 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='4.13' | fill=None | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='278.2' | fill=None | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='0.52' | fill=4 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='24.3' | fill=4 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Q2' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='349.7' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='13620' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='4.11' | fill=4 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='258.7' | fill=4 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='0.011752931083786104' | fill=4 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='0.018994126284875183' | fill=4 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='3.69' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='240.1' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='0.42' | fill=4 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='19.7' | fill=4 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Q3' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='368.20000000000005' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='13960' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='4.82' | fill=4 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='289.2' | fill=4 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='0.013090711569799022' | fill=4 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='0.020716332378223495' | fill=4 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='4.26' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='266.3' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='0.56' | fill=4 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='24.1' | fill=4 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Q4' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='394.00000000000006' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='14660' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='4.78' | fill=4 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='275.7' | fill=4 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='0.01213197969543147' | fill=4 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0.018806275579809004' | fill=4 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='4.21' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='254.2' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0.57' | fill=4 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='22.9' | fill=4 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2016' | fill=FF00B050 | rows=[6, 7, 8, 9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Q1' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='397.09999999999997' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='14520' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='6' | fill=4 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='336.2' | fill=4 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.015109544195416772' | fill=4 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0.02315426997245179' | fill=4 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='5.43' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='313.5' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.57' | fill=4 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='24.5' | fill=4 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Q2' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='440' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='15500' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='5.146928374' | fill=4 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='276.01' | fill=4 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0.011697564486363636' | fill=4 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0.017807096774193548' | fill=4 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='4.593108269' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='253.589' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.553820105' | fill=4 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='24.01' | fill=4 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Q3' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='440.79999999999995' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='15270' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='4.93' | fill=4 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='259.7' | fill=4 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.01118421052631579' | fill=4 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0.017007203667321544' | fill=4 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='4.4' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='238.4' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.53' | fill=4 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='22.7' | fill=4 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Q4' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='468.09999999999997' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='15940' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='5.37' | fill=4 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
