=== society-table47.xlsx ===
Cell B1 | value='293' | fill=00000000 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell AI7 | value='290' | fill=9 | rows=[6] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ7 | value='237' | fill=9 | rows=[6] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK7 | value='#REF!' | fill=9 | rows=[6] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL7 | value='#REF!' | fill=9 | rows=[6] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM7 | value='#REF!' | fill=9 | rows=[6] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN7 | value='1220' | fill=FF9999FF | rows=[6] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO7 | value='#REF!' | fill=9 | rows=[6] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP7 | value='419' | fill=None | rows=[6] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ7 | value='6' | fill=None | rows=[6] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR7 | value='#REF!' | fill=None | rows=[6] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS7 | value='0' | fill=7 | rows=[6] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT7 | value='0' | fill=7 | rows=[6] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU7 | value='60' | fill=7 | rows=[6] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV7 | value='63' | fill=7 | rows=[6] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW7 | value='0' | fill=7 | rows=[6] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX7 | value='66' | fill=7 | rows=[6] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY7 | value='9' | fill=7 | rows=[6] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ7 | value='0' | fill=7 | rows=[6] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA7 | value='0' | fill=7 | rows=[6] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB7 | value='16' | fill=7 | rows=[6] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC7 | value='0' | fill=5 | rows=[6] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD7 | value='0' | fill=5 | rows=[6] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE7 | value='9' | fill=5 | rows=[6] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF7 | value='0' | fill=5 | rows=[6] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG7 | value='0' | fill=5 | rows=[6] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH7 | value='25' | fill=5 | rows=[6] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI7 | value='0' | fill=5 | rows=[6] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ7 | value='0' | fill=5 | rows=[6] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK7 | value='0' | fill=8 | rows=[6] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL7 | value='0' | fill=8 | rows=[6] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM7 | value='0' | fill=4 | rows=[6] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN7 | value='3' | fill=9 | rows=[6] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO7 | value='80' | fill=5 | rows=[6] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP7 | value='154' | fill=None | rows=[6] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ7 | value='#REF!' | fill=9 | rows=[6] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR7 | value='#REF!' | fill=None | rows=[6] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS7 | value='214' | fill=7 | rows=[6] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT7 | value='34' | fill=5 | rows=[6] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU7 | value='0' | fill=4 | rows=[6] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BV7 | value='0' | fill=8 | rows=[6] | cols=[73] | col_header=False | row_header=False | metadata=False
Cell BW7 | value='#REF!' | fill=FF00B0F0 | rows=[6] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX7 | value='#REF!' | fill=FF00B0F0 | rows=[6] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A8 | value='Total Number of Lives Saved' | fill=FF00B0F0 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B8 | value='7' | fill=FF00B0F0 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E8 | value='81' | fill=FF00B0F0 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L8 | value='3' | fill=FF00B0F0 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N8 | value='1' | fill=FF00B0F0 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O8 | value='7' | fill=FF00B0F0 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q8 | value='39' | fill=FF00B0F0 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R8 | value='2' | fill=FF00B0F0 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T8 | value='22' | fill=FF00B0F0 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U8 | value='24' | fill=FF00B0F0 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V8 | value='26' | fill=FF00B0F0 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W8 | value='27' | fill=FF00B0F0 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X8 | value='2' | fill=FF00B0F0 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell AA8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=True
Cell AB8 | value='1' | fill=FF00B0F0 | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=True
Cell AC8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=True
Cell AD8 | value='49' | fill=FF00B0F0 | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell AE8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[30] | col_header=False | row_header=False | metadata=True
Cell AF8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[31] | col_header=False | row_header=False | metadata=True
Cell AG8 | value='209' | fill=FF00B0F0 | rows=[7] | cols=[32] | col_header=False | row_header=False | metadata=True
Cell AH8 | value='350' | fill=FF00B0F0 | rows=[7] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell AI8 | value='290' | fill=FF00B0F0 | rows=[7] | cols=[34] | col_header=False | row_header=False | metadata=True
Cell AJ8 | value='237' | fill=FF00B0F0 | rows=[7] | cols=[35] | col_header=False | row_header=False | metadata=True
Cell AK8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[36] | col_header=False | row_header=False | metadata=True
Cell AL8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[37] | col_header=False | row_header=False | metadata=True
Cell AM8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[38] | col_header=False | row_header=False | metadata=True
Cell AN8 | value='1220' | fill=FF00B0F0 | rows=[7] | cols=[39] | col_header=False | row_header=False | metadata=True
Cell AO8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[40] | col_header=False | row_header=False | metadata=True
Cell AP8 | value='419' | fill=FF00B0F0 | rows=[7] | cols=[41] | col_header=False | row_header=False | metadata=True
Cell AQ8 | value='6' | fill=FF00B0F0 | rows=[7] | cols=[42] | col_header=False | row_header=False | metadata=True
Cell AR8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[43] | col_header=False | row_header=False | metadata=True
Cell AS8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[44] | col_header=False | row_header=False | metadata=True
Cell AT8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[45] | col_header=False | row_header=False | metadata=True
Cell AU8 | value='60' | fill=FF00B0F0 | rows=[7] | cols=[46] | col_header=False | row_header=False | metadata=True
Cell AV8 | value='63' | fill=FF00B0F0 | rows=[7] | cols=[47] | col_header=False | row_header=False | metadata=True
Cell AW8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[48] | col_header=False | row_header=False | metadata=True
Cell AX8 | value='66' | fill=FF00B0F0 | rows=[7] | cols=[49] | col_header=False | row_header=False | metadata=True
Cell AY8 | value='9' | fill=FF00B0F0 | rows=[7] | cols=[50] | col_header=False | row_header=False | metadata=True
Cell AZ8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[51] | col_header=False | row_header=False | metadata=True
Cell BA8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[52] | col_header=False | row_header=False | metadata=True
Cell BB8 | value='16' | fill=FF00B0F0 | rows=[7] | cols=[53] | col_header=False | row_header=False | metadata=True
Cell BC8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[54] | col_header=False | row_header=False | metadata=True
Cell BD8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[55] | col_header=False | row_header=False | metadata=True
Cell BE8 | value='9' | fill=FF00B0F0 | rows=[7] | cols=[56] | col_header=False | row_header=False | metadata=True
Cell BF8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[57] | col_header=False | row_header=False | metadata=True
Cell BG8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[58] | col_header=False | row_header=False | metadata=True
Cell BH8 | value='25' | fill=FF00B0F0 | rows=[7] | cols=[59] | col_header=False | row_header=False | metadata=True
Cell BI8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[60] | col_header=False | row_header=False | metadata=True
Cell BJ8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[61] | col_header=False | row_header=False | metadata=True
Cell BK8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[62] | col_header=False | row_header=False | metadata=True
Cell BL8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[63] | col_header=False | row_header=False | metadata=True
Cell BM8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[64] | col_header=False | row_header=False | metadata=True
Cell BN8 | value='7' | fill=FF00B0F0 | rows=[7] | cols=[65] | col_header=False | row_header=False | metadata=True
Cell BO8 | value='92' | fill=FF00B0F0 | rows=[7] | cols=[66] | col_header=False | row_header=False | metadata=True
Cell BP8 | value='192' | fill=FF00B0F0 | rows=[7] | cols=[67] | col_header=False | row_header=False | metadata=True
Cell BQ8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[68] | col_header=False | row_header=False | metadata=True
Cell BR8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[69] | col_header=False | row_header=False | metadata=True
Cell BS8 | value='214' | fill=FF00B0F0 | rows=[7] | cols=[70] | col_header=False | row_header=False | metadata=True
Cell BT8 | value='34' | fill=FF00B0F0 | rows=[7] | cols=[71] | col_header=False | row_header=False | metadata=True
Cell BU8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[72] | col_header=False | row_header=False | metadata=True
Cell BV8 | value='0' | fill=FF00B0F0 | rows=[7] | cols=[73] | col_header=False | row_header=False | metadata=True
Cell BW8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX8 | value='#REF!' | fill=FF00B0F0 | rows=[7] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A9 | value='General' | fill=FFFFFF00 | rows=[8] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A10 | value='Ensuring sustainability of essential medicines & supplies' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell BO10 | value='0' | fill=None | rows=[9] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP10 | value='0' | fill=None | rows=[9] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ10 | value='0' | fill=None | rows=[9] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR10 | value='0' | fill=None | rows=[9] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS10 | value='0' | fill=None | rows=[9] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT10 | value='0' | fill=None | rows=[9] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU10 | value='0' | fill=None | rows=[9] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BW10 | value='0' | fill=FF00B0F0 | rows=[9] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX10 | value='#REF!' | fill=FF00B0F0 | rows=[9] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A11 | value='Provision of HCF attendants with surgical masks' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell BO11 | value='0' | fill=None | rows=[10] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP11 | value='0' | fill=None | rows=[10] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ11 | value='0' | fill=None | rows=[10] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR11 | value='0' | fill=None | rows=[10] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS11 | value='0' | fill=None | rows=[10] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT11 | value='0' | fill=None | rows=[10] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU11 | value='0' | fill=None | rows=[10] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BW11 | value='0' | fill=FF00B0F0 | rows=[10] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX11 | value='#REF!' | fill=FF00B0F0 | rows=[10] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A12 | value='Ensure suppply of masks and other PPE  to health facilty staff' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell BO12 | value='0' | fill=None | rows=[11] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP12 | value='0' | fill=None | rows=[11] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ12 | value='0' | fill=None | rows=[11] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR12 | value='0' | fill=None | rows=[11] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS12 | value='0' | fill=None | rows=[11] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT12 | value='0' | fill=None | rows=[11] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU12 | value='0' | fill=None | rows=[11] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BW12 | value='0' | fill=FF00B0F0 | rows=[11] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX12 | value='#REF!' | fill=FF00B0F0 | rows=[11] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A13 | value='Temp. screening for all attendants to healthcare facilities' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell BO13 | value='0' | fill=None | rows=[12] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP13 | value='0' | fill=None | rows=[12] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ13 | value='0' | fill=None | rows=[12] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR13 | value='0' | fill=None | rows=[12] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS13 | value='0' | fill=None | rows=[12] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT13 | value='0' | fill=None | rows=[12] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU13 | value='0' | fill=None | rows=[12] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BW13 | value='0' | fill=FF00B0F0 | rows=[12] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX13 | value='#REF!' | fill=FF00B0F0 | rows=[12] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A14 | value='Ensure safe distancing at health facilities' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='0.2641509433962266' | fill=None | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='0' | fill=None | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='0' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='3.7674418604651128' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='0' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0' | fill=None | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='0.1395348837209301' | fill=None | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='0' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='0.0526315789473684' | fill=None | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='0.3255813953488369' | fill=None | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='0' | fill=None | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='2.3636363636363633' | fill=None | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='0.1212121212121212' | fill=None | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='0' | fill=None | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='1.1578947368421046' | fill=None | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='1.2631578947368416' | fill=None | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V14 | value='1.3684210526315783' | fill=None | rows=[13] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W14 | value='1.6363636363636362' | fill=None | rows=[13] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X14 | value='0.1052631578947368' | fill=None | rows=[13] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y14 | value='0' | fill=None | rows=[13] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z14 | value='0' | fill=None | rows=[13] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA14 | value='0' | fill=None | rows=[13] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AD14 | value='2.5789473684210513' | fill=None | rows=[13] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AF14 | value='0' | fill=None | rows=[13] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG14 | value='10.999999999999995' | fill=None | rows=[13] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH14 | value='18.421052631578938' | fill=None | rows=[13] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI14 | value='15.263157894736835' | fill=None | rows=[13] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ14 | value='12.47368421052631' | fill=None | rows=[13] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AN14 | value='64.21052631578945' | fill=None | rows=[13] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AP14 | value='22.05263157894736' | fill=None | rows=[13] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ14 | value='0.3157894736842104' | fill=None | rows=[13] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AS14 | value='0' | fill=None | rows=[13] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT14 | value='0' | fill=None | rows=[13] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU14 | value='2.666666666666664' | fill=None | rows=[13] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV14 | value='2.799999999999997' | fill=None | rows=[13] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW14 | value='0' | fill=None | rows=[13] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX14 | value='2.93333333333333' | fill=None | rows=[13] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY14 | value='0.3999999999999996' | fill=None | rows=[13] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ14 | value='0' | fill=None | rows=[13] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA14 | value='0' | fill=None | rows=[13] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB14 | value='0.7111111111111104' | fill=None | rows=[13] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC14 | value='0' | fill=None | rows=[13] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD14 | value='0' | fill=None | rows=[13] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE14 | value='0.3999999999999996' | fill=None | rows=[13] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF14 | value='0' | fill=None | rows=[13] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG14 | value='0' | fill=None | rows=[13] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH14 | value='1.1111111111111098' | fill=None | rows=[13] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI14 | value='0' | fill=None | rows=[13] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ14 | value='0' | fill=None | rows=[13] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BN14 | value='0.2641509433962266' | fill=None | rows=[13] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO14 | value='4.285189718482249' | fill=None | rows=[13] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP14 | value='10.594896331738433' | fill=None | rows=[13] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ14 | value='121.36842105263153' | fill=None | rows=[13] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR14 | value='22.368421052631568' | fill=None | rows=[13] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS14 | value='9.511111111111102' | fill=None | rows=[13] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT14 | value='1.5111111111111093' | fill=None | rows=[13] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU14 | value='0' | fill=None | rows=[13] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BW14 | value='169.90330132110222' | fill=FF00B0F0 | rows=[13] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX14 | value='#REF!' | fill=FF00B0F0 | rows=[13] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A15 | value='Scheduling client visits' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell BO15 | value='0' | fill=None | rows=[14] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP15 | value='0' | fill=None | rows=[14] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ15 | value='0' | fill=None | rows=[14] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR15 | value='0' | fill=None | rows=[14] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS15 | value='0' | fill=None | rows=[14] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT15 | value='0' | fill=None | rows=[14] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU15 | value='0' | fill=None | rows=[14] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BW15 | value='0' | fill=FF00B0F0 | rows=[14] | cols=[74] | col_header=False | row_header=False | metadata=True
Cell BX15 | value='#REF!' | fill=FF00B0F0 | rows=[14] | cols=[75] | col_header=False | row_header=False | metadata=True
Cell A16 | value='Ensure the availability of human resources working at MCH services  units at PHCCs through reallocation and exclusion from contact tracing' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='1.320754716981133' | fill=None | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='0' | fill=None | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='18.837209302325604' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='0' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='0' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='0' | fill=None | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='0.697674418604652' | fill=None | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='0' | fill=None | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='0.263157894736842' | fill=None | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='1.627906976744188' | fill=None | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='0' | fill=None | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='11.818181818181817' | fill=None | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='0.606060606060606' | fill=None | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='0' | fill=None | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='5.789473684210524' | fill=None | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='6.315789473684207' | fill=None | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V16 | value='6.842105263157891' | fill=None | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
