=== geography-table03.xlsx ===
Cell A1 | value='Reference area' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C263 | value='60624418.2060837' | fill=00000000 | rows=[262] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A264 | value='Netherlands' | fill=FFFFFF00 | rows=[263] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A265 | value='·  Groningen' | fill=FF00B050 | rows=[264] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C265 | value='1165263.58768688' | fill=00000000 | rows=[264] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A266 | value='·  Friesland' | fill=FF00B050 | rows=[265] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C266 | value='2614015.00993383' | fill=00000000 | rows=[265] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A267 | value='·  Drenthe' | fill=FF00B050 | rows=[266] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C267 | value='1671781.1309321' | fill=00000000 | rows=[266] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A268 | value='·  Overijssel' | fill=FF00B050 | rows=[267] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C268 | value='2538436.9915547' | fill=00000000 | rows=[267] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A269 | value='·  Gelderland' | fill=FF00B050 | rows=[268] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C269 | value='3845841.55180933' | fill=00000000 | rows=[268] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A270 | value='·  Flevoland' | fill=FF00B050 | rows=[269] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C270 | value='508041.846414196' | fill=00000000 | rows=[269] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A271 | value='·  Utrecht (TL2021)' | fill=FF00B050 | rows=[270] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C271 | value='1093037.40811351' | fill=00000000 | rows=[270] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A272 | value='·  North Holland' | fill=FF00B050 | rows=[271] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C272 | value='1611399.66295353' | fill=00000000 | rows=[271] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A273 | value='·  South Holland (TL2021)' | fill=FF00B050 | rows=[272] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C273 | value='1699361.20715135' | fill=00000000 | rows=[272] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A274 | value='·  Zeeland' | fill=FF00B050 | rows=[273] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C274 | value='642257.463335719' | fill=00000000 | rows=[273] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A275 | value='·  North Brabant' | fill=FF00B050 | rows=[274] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C275 | value='2938244.53797977' | fill=00000000 | rows=[274] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A276 | value='·  Limburg' | fill=FF00B050 | rows=[275] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C276 | value='1220887.59900582' | fill=00000000 | rows=[275] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A277 | value='New Zealand' | fill=FFFFFF00 | rows=[276] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A278 | value='·  Northland' | fill=FF00B050 | rows=[277] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C278 | value='11989443.4232399' | fill=00000000 | rows=[277] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A279 | value='·  Auckland' | fill=FF00B050 | rows=[278] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C279 | value='4377983.93458417' | fill=00000000 | rows=[278] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A280 | value='·  Waikato' | fill=FF00B050 | rows=[279] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C280 | value='22573776.4322658' | fill=00000000 | rows=[279] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A281 | value='·  Bay of Plenty' | fill=FF00B050 | rows=[280] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C281 | value='11774916.5989243' | fill=00000000 | rows=[280] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A282 | value='·  Gisborne' | fill=FF00B050 | rows=[281] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C282 | value='8162325.34523015' | fill=00000000 | rows=[281] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A283 | value='·  Hawke's Bay' | fill=FF00B050 | rows=[282] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C283 | value='13578627.7052861' | fill=00000000 | rows=[282] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A284 | value='·  Taranaki' | fill=FF00B050 | rows=[283] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C284 | value='7135986.05154231' | fill=00000000 | rows=[283] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A285 | value='·  Manawatu-Wanganui' | fill=FF00B050 | rows=[284] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C285 | value='21624759.6983263' | fill=00000000 | rows=[284] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A286 | value='·  Wellington' | fill=FF00B050 | rows=[285] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C286 | value='7716463.24053458' | fill=00000000 | rows=[285] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A287 | value='·  Tasman-Nelson-Marlborough' | fill=FF00B050 | rows=[286] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C287 | value='19112397.4830257' | fill=00000000 | rows=[286] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A288 | value='·  West Coast' | fill=FF00B050 | rows=[287] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C288 | value='21215046.7711738' | fill=00000000 | rows=[287] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A289 | value='·  Canterbury' | fill=FF00B050 | rows=[288] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C289 | value='35339024.0448256' | fill=00000000 | rows=[288] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A290 | value='·  Otago' | fill=FF00B050 | rows=[289] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C290 | value='28969782.3937975' | fill=00000000 | rows=[289] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A291 | value='·  Southland' | fill=FF00B050 | rows=[290] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C291 | value='29764139.1263276' | fill=00000000 | rows=[290] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A292 | value='Norway' | fill=FFFFFF00 | rows=[291] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A293 | value='·  Innlandet' | fill=FF00B050 | rows=[292] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C293 | value='39241485.6395131' | fill=00000000 | rows=[292] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A294 | value='·  Trøndelag' | fill=FF00B050 | rows=[293] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C294 | value='33520624.4219496' | fill=00000000 | rows=[293] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A295 | value='·  Northern Norway' | fill=FF00B050 | rows=[294] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C295 | value='67596489.9300361' | fill=00000000 | rows=[294] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A296 | value='·  Oslo and Viken' | fill=FF00B050 | rows=[295] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C296 | value='19559650.7818097' | fill=00000000 | rows=[295] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A297 | value='·  Agder and Sør-Østlandet' | fill=FF00B050 | rows=[296] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C297 | value='27778332.483348' | fill=00000000 | rows=[296] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A298 | value='·  Western Norway' | fill=FF00B050 | rows=[297] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C298 | value='38728044.7585649' | fill=00000000 | rows=[297] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A299 | value='Poland' | fill=FFFFFF00 | rows=[298] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A300 | value='·  Lesser Poland' | fill=FF00B050 | rows=[299] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C300 | value='10654496.5739104' | fill=00000000 | rows=[299] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A301 | value='·  Silesia' | fill=FF00B050 | rows=[300] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C301 | value='8444650.26328679' | fill=00000000 | rows=[300] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A302 | value='·  Greater Poland' | fill=FF00B050 | rows=[301] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C302 | value='14264086.4449889' | fill=00000000 | rows=[301] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A303 | value='·  West Pomerania' | fill=FF00B050 | rows=[302] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C303 | value='14402399.4501916' | fill=00000000 | rows=[302] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A304 | value='·  Lubusz' | fill=FF00B050 | rows=[303] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C304 | value='10421903.6545809' | fill=00000000 | rows=[303] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A305 | value='·  Lower Silesia' | fill=FF00B050 | rows=[304] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C305 | value='11171528.4466042' | fill=00000000 | rows=[304] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A306 | value='·  Opole region' | fill=FF00B050 | rows=[305] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C306 | value='4090212.16810845' | fill=00000000 | rows=[305] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A307 | value='·  Kuyavian-Pomerania' | fill=FF00B050 | rows=[306] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C307 | value='7834311.84274494' | fill=00000000 | rows=[306] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A308 | value='·  Warmian-Masuria' | fill=FF00B050 | rows=[307] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C308 | value='15766533.6113999' | fill=00000000 | rows=[307] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A309 | value='·  Pomerania' | fill=FF00B050 | rows=[308] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C309 | value='11160965.371836' | fill=00000000 | rows=[308] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A310 | value='·  Lodzkie' | fill=FF00B050 | rows=[309] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C310 | value='9742215.43963863' | fill=00000000 | rows=[309] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A311 | value='·  Swietokrzyskie' | fill=FF00B050 | rows=[310] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C311 | value='7729781.68628385' | fill=00000000 | rows=[310] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A312 | value='·  Lublin Province' | fill=FF00B050 | rows=[311] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C312 | value='12813927.3495974' | fill=00000000 | rows=[311] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A313 | value='·  Podkarpacia' | fill=FF00B050 | rows=[312] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C313 | value='13047622.7404919' | fill=00000000 | rows=[312] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A314 | value='·  Podlaskie' | fill=FF00B050 | rows=[313] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C314 | value='13436666.4249255' | fill=00000000 | rows=[313] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A315 | value='·  Warsaw' | fill=FF00B050 | rows=[314] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C315 | value='4503489.46784889' | fill=00000000 | rows=[314] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A316 | value='·  Mazowiecki region' | fill=FF00B050 | rows=[315] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C316 | value='17803491.2060777' | fill=00000000 | rows=[315] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A317 | value='Portugal' | fill=FFFFFF00 | rows=[316] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A318 | value='·  North' | fill=FF00B050 | rows=[317] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C318 | value='18730099.6049827' | fill=00000000 | rows=[317] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A319 | value='·  Algarve' | fill=FF00B050 | rows=[318] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C319 | value='4474974.13560037' | fill=00000000 | rows=[318] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A320 | value='·  Centro' | fill=FF00B050 | rows=[319] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C320 | value='25617183.0587175' | fill=00000000 | rows=[319] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A321 | value='·  Metropolitan area of Lisbon' | fill=FF00B050 | rows=[320] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C321 | value='1952638.79147268' | fill=00000000 | rows=[320] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A322 | value='·  Alentejo' | fill=FF00B050 | rows=[321] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C322 | value='26901376.8481074' | fill=00000000 | rows=[321] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A323 | value='·  Autonomous Region of the Azores' | fill=FF00B050 | rows=[322] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C323 | value='2112953.21089624' | fill=00000000 | rows=[322] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A324 | value='·  Autonomous Region of Madeira' | fill=FF00B050 | rows=[323] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C324 | value='725061.863217397' | fill=00000000 | rows=[323] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A325 | value='Slovak Republic' | fill=FFFFFF00 | rows=[324] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A326 | value='·  Bratislava Region' | fill=FF00B050 | rows=[325] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C326 | value='1229303.01608862' | fill=00000000 | rows=[325] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A327 | value='·  West Slovakia' | fill=FF00B050 | rows=[326] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C327 | value='6910652.03173838' | fill=00000000 | rows=[326] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A328 | value='·  Central Slovakia' | fill=FF00B050 | rows=[327] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C328 | value='13490533.2940917' | fill=00000000 | rows=[327] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A329 | value='·  East Slovakia' | fill=FF00B050 | rows=[328] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C329 | value='11675913.3303761' | fill=00000000 | rows=[328] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A330 | value='Slovenia' | fill=FFFFFF00 | rows=[329] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A331 | value='·  Eastern Slovenia' | fill=FF00B050 | rows=[330] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C331 | value='10736083.3177676' | fill=00000000 | rows=[330] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A332 | value='·  Western Slovenia' | fill=FF00B050 | rows=[331] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C332 | value='7276807.4405673' | fill=00000000 | rows=[331] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A333 | value='Spain' | fill=FFFFFF00 | rows=[332] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A334 | value='·  Galicia' | fill=FF00B050 | rows=[333] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C334 | value='27490383.8216786' | fill=00000000 | rows=[333] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A335 | value='·  Asturias' | fill=FF00B050 | rows=[334] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C335 | value='10276318.6610104' | fill=00000000 | rows=[334] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A336 | value='·  Cantabria' | fill=FF00B050 | rows=[335] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C336 | value='5035587.4891325' | fill=00000000 | rows=[335] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A337 | value='·  Basque Country' | fill=FF00B050 | rows=[336] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C337 | value='6231804.42497003' | fill=00000000 | rows=[336] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A338 | value='·  Navarra' | fill=FF00B050 | rows=[337] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C338 | value='6943036.0926831' | fill=00000000 | rows=[337] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A339 | value='·  La Rioja' | fill=FF00B050 | rows=[338] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C339 | value='3702047.99443918' | fill=00000000 | rows=[338] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A340 | value='·  Aragon' | fill=FF00B050 | rows=[339] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C340 | value='31626289.3465899' | fill=00000000 | rows=[339] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A341 | value='·  Madrid' | fill=FF00B050 | rows=[340] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C341 | value='5429624.37817061' | fill=00000000 | rows=[340] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A342 | value='·  Castile and León' | fill=FF00B050 | rows=[341] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C342 | value='57411240.6206184' | fill=00000000 | rows=[341] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A343 | value='·  Castile-La Mancha' | fill=FF00B050 | rows=[342] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C343 | value='46614470.233417' | fill=00000000 | rows=[342] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A344 | value='·  Extremadura' | fill=FF00B050 | rows=[343] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C344 | value='33444556.1088038' | fill=00000000 | rows=[343] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A345 | value='·  Catalonia' | fill=FF00B050 | rows=[344] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C345 | value='24913928.3656811' | fill=00000000 | rows=[344] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A346 | value='·  Valencian Community' | fill=FF00B050 | rows=[345] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C346 | value='19664445.8033052' | fill=00000000 | rows=[345] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A347 | value='·  Balearic Islands' | fill=FF00B050 | rows=[346] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C347 | value='3717960.70943166' | fill=00000000 | rows=[346] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A348 | value='·  Andalusia' | fill=FF00B050 | rows=[347] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C348 | value='67280539.9131437' | fill=00000000 | rows=[347] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A349 | value='·  Murcia' | fill=FF00B050 | rows=[348] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C349 | value='7531620.77996137' | fill=00000000 | rows=[348] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A350 | value='·  Ceuta' | fill=FF00B050 | rows=[349] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C350 | value='12869.219183644' | fill=00000000 | rows=[349] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A351 | value='·  Melilla' | fill=FF00B050 | rows=[350] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C351 | value='5116.00585201943' | fill=00000000 | rows=[350] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A352 | value='·  Canary Islands' | fill=FF00B050 | rows=[351] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C352 | value='4501379.58251646' | fill=00000000 | rows=[351] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A353 | value='Sweden' | fill=FFFFFF00 | rows=[352] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A354 | value='·  Stockholm' | fill=FF00B050 | rows=[353] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C354 | value='5549767.01026702' | fill=00000000 | rows=[353] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A355 | value='·  East Middle Sweden' | fill=FF00B050 | rows=[354] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C355 | value='33042626.6393003' | fill=00000000 | rows=[354] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A356 | value='·  Småland with Islands' | fill=FF00B050 | rows=[355] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C356 | value='31391623.0173564' | fill=00000000 | rows=[355] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A357 | value='·  South Sweden' | fill=FF00B050 | rows=[356] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C357 | value='9976906.3553129' | fill=00000000 | rows=[356] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A358 | value='·  West Sweden' | fill=FF00B050 | rows=[357] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C358 | value='25173528.510023' | fill=00000000 | rows=[357] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A359 | value='·  North Middle Sweden' | fill=FF00B050 | rows=[358] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C359 | value='61303465.9985937' | fill=00000000 | rows=[358] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A360 | value='·  Central Norrland' | fill=FF00B050 | rows=[359] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C360 | value='68407015.9306946' | fill=00000000 | rows=[359] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A361 | value='·  Upper Norrland' | fill=FF00B050 | rows=[360] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C361 | value='135383204.40608' | fill=00000000 | rows=[360] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A362 | value='Switzerland' | fill=FFFFFF00 | rows=[361] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A363 | value='·  Lake Geneva Region' | fill=FF00B050 | rows=[362] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C363 | value='5210424.50802992' | fill=00000000 | rows=[362] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A364 | value='·  Espace Mittelland' | fill=FF00B050 | rows=[363] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C364 | value='7791273.84791393' | fill=00000000 | rows=[363] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A365 | value='·  Northwestern Switzerland' | fill=FF00B050 | rows=[364] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C365 | value='1396671.05417271' | fill=00000000 | rows=[364] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A366 | value='·  Zurich' | fill=FF00B050 | rows=[365] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C366 | value='1144510.31828401' | fill=00000000 | rows=[365] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A367 | value='·  Eastern Switzerland' | fill=FF00B050 | rows=[366] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C367 | value='8666799.04835954' | fill=00000000 | rows=[366] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A368 | value='·  Central Switzerland' | fill=FF00B050 | rows=[367] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C368 | value='3504398.87851531' | fill=00000000 | rows=[367] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A369 | value='·  Ticino' | fill=FF00B050 | rows=[368] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C369 | value='2383457.77703773' | fill=00000000 | rows=[368] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A370 | value='Türkiye' | fill=FFFFFF00 | rows=[369] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A371 | value='·  Istanbul' | fill=FF00B050 | rows=[370] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C371 | value='3590284.57534561' | fill=00000000 | rows=[370] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A372 | value='·  Thrace' | fill=FF00B050 | rows=[371] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C372 | value='7264921.39453243' | fill=00000000 | rows=[371] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A373 | value='·  Southern Marmara - West' | fill=FF00B050 | rows=[372] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C373 | value='18651749.6796304' | fill=00000000 | rows=[372] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A374 | value='·  Izmir' | fill=FF00B050 | rows=[373] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C374 | value='9281679.76932151' | fill=00000000 | rows=[373] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A375 | value='·  Southern Aegean' | fill=FF00B050 | rows=[374] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C375 | value='26003396.3950562' | fill=00000000 | rows=[374] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A376 | value='·  Northern Aegean' | fill=FF00B050 | rows=[375] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C376 | value='30165649.2148546' | fill=00000000 | rows=[375] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A377 | value='·  Eastern Marmara - South' | fill=FF00B050 | rows=[376] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C377 | value='18799708.2926759' | fill=00000000 | rows=[376] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A378 | value='·  Eastern Marmara - North' | fill=FF00B050 | rows=[377] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C378 | value='16844796.2291774' | fill=00000000 | rows=[377] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A379 | value='·  Ankara' | fill=FF00B050 | rows=[378] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C379 | value='12769037.2697198' | fill=00000000 | rows=[378] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A380 | value='·  Central Anatolia - West and South' | fill=FF00B050 | rows=[379] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C380 | value='23558015.2438618' | fill=00000000 | rows=[379] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A381 | value='·  Mediterranean region - West' | fill=FF00B050 | rows=[380] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C381 | value='28718671.4311814' | fill=00000000 | rows=[380] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A382 | value='·  Mediterranean region - Middle' | fill=FF00B050 | rows=[381] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C382 | value='22187185.4646783' | fill=00000000 | rows=[381] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A383 | value='·  Mediterranean region - East' | fill=FF00B050 | rows=[382] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C383 | value='16491378.2183492' | fill=00000000 | rows=[382] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A384 | value='·  Central Anatolia - Middle' | fill=FF00B050 | rows=[383] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C384 | value='13492995.8689948' | fill=00000000 | rows=[383] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A385 | value='·  Central Anatolia - East' | fill=FF00B050 | rows=[384] | cols=[0] | col_header=False | row_header=True | metadata=False
