=== education-table13.xlsx ===
Cell A1 | value='Dimension' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell X31 | value='1260' | fill=9 | rows=[30] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y31 | value='0.029' | fill=00000000 | rows=[30] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z31 | value='1280' | fill=9 | rows=[30] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA31 | value='0.029' | fill=00000000 | rows=[30] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB31 | value='1550' | fill=9 | rows=[30] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC31 | value='0.04' | fill=00000000 | rows=[30] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD31 | value='1400' | fill=9 | rows=[30] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE31 | value='0.043' | fill=00000000 | rows=[30] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF31 | value='1130' | fill=9 | rows=[30] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG31 | value='0.04' | fill=00000000 | rows=[30] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH31 | value='1020' | fill=9 | rows=[30] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI31 | value='0.04' | fill=00000000 | rows=[30] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ31 | value='1280' | fill=9 | rows=[30] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK31 | value='0.023' | fill=00000000 | rows=[30] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL31 | value='1100' | fill=9 | rows=[30] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM31 | value='0.022' | fill=00000000 | rows=[30] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN31 | value='940' | fill=9 | rows=[30] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO31 | value='0.021' | fill=00000000 | rows=[30] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP31 | value='920' | fill=9 | rows=[30] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ31 | value='0.02' | fill=00000000 | rows=[30] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Total Asian/ Asian British' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='53640' | fill=9 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='0.098' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='54970' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='0.107' | fill=00000000 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='53390' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='0.11' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='52470' | fill=00000000 | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='0.11' | fill=00000000 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='31860' | fill=9 | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='0.077' | fill=00000000 | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='35230' | fill=9 | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O32 | value='0.089' | fill=00000000 | rows=[31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P32 | value='36050' | fill=00000000 | rows=[31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q32 | value='0.094' | fill=00000000 | rows=[31] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R32 | value='35860' | fill=00000000 | rows=[31] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S32 | value='0.096' | fill=00000000 | rows=[31] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T32 | value='8460' | fill=9 | rows=[31] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U32 | value='0.154' | fill=00000000 | rows=[31] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V32 | value='7230' | fill=9 | rows=[31] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W32 | value='0.148' | fill=00000000 | rows=[31] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X32 | value='6720' | fill=00000000 | rows=[31] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y32 | value='0.152' | fill=00000000 | rows=[31] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z32 | value='6420' | fill=00000000 | rows=[31] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA32 | value='0.145' | fill=00000000 | rows=[31] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB32 | value='9040' | fill=9 | rows=[31] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC32 | value='0.231' | fill=00000000 | rows=[31] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD32 | value='8450' | fill=9 | rows=[31] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE32 | value='0.26' | fill=00000000 | rows=[31] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF32 | value='7130' | fill=00000000 | rows=[31] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG32 | value='0.256' | fill=00000000 | rows=[31] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH32 | value='6240' | fill=00000000 | rows=[31] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI32 | value='0.243' | fill=00000000 | rows=[31] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ32 | value='8370' | fill=9 | rows=[31] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK32 | value='0.149' | fill=00000000 | rows=[31] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL32 | value='7580' | fill=9 | rows=[31] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM32 | value='0.15' | fill=00000000 | rows=[31] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN32 | value='6570' | fill=00000000 | rows=[31] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO32 | value='0.143' | fill=00000000 | rows=[31] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP32 | value='6970' | fill=00000000 | rows=[31] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ32 | value='0.153' | fill=00000000 | rows=[31] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Black/ African/ Caribbean/ Black British' | fill=FFFFFF00 | rows=[32] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C34 | value='African' | fill=FF00B050 | rows=[33] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D34 | value='17110' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='0.031' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='18040' | fill=9 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='0.035' | fill=00000000 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='17130' | fill=9 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='0.035' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='17360' | fill=9 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='0.036' | fill=00000000 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='11560' | fill=9 | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='0.028' | fill=00000000 | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N34 | value='12790' | fill=9 | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O34 | value='0.032' | fill=00000000 | rows=[33] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P34 | value='12480' | fill=9 | rows=[33] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q34 | value='0.033' | fill=00000000 | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R34 | value='13090' | fill=9 | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S34 | value='0.035' | fill=00000000 | rows=[33] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T34 | value='2940' | fill=9 | rows=[33] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U34 | value='0.053' | fill=00000000 | rows=[33] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V34 | value='2530' | fill=9 | rows=[33] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W34 | value='0.052' | fill=00000000 | rows=[33] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X34 | value='2480' | fill=9 | rows=[33] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y34 | value='0.056' | fill=00000000 | rows=[33] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z34 | value='2380' | fill=9 | rows=[33] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA34 | value='0.054' | fill=00000000 | rows=[33] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB34 | value='1850' | fill=9 | rows=[33] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC34 | value='0.047' | fill=00000000 | rows=[33] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD34 | value='1800' | fill=9 | rows=[33] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE34 | value='0.055' | fill=00000000 | rows=[33] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF34 | value='1550' | fill=9 | rows=[33] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG34 | value='0.056' | fill=00000000 | rows=[33] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH34 | value='1300' | fill=9 | rows=[33] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI34 | value='0.051' | fill=00000000 | rows=[33] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ34 | value='1670' | fill=9 | rows=[33] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK34 | value='0.03' | fill=00000000 | rows=[33] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL34 | value='1780' | fill=9 | rows=[33] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM34 | value='0.035' | fill=00000000 | rows=[33] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN34 | value='1410' | fill=9 | rows=[33] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO34 | value='0.031' | fill=00000000 | rows=[33] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP34 | value='1400' | fill=9 | rows=[33] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ34 | value='0.031' | fill=00000000 | rows=[33] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C35 | value='Caribbean' | fill=FF00B050 | rows=[34] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D35 | value='7670' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='0.014' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='8010' | fill=9 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='0.016' | fill=00000000 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='7580' | fill=9 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='0.016' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='7400' | fill=9 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='0.016' | fill=00000000 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='5760' | fill=9 | rows=[34] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M35 | value='0.014' | fill=00000000 | rows=[34] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N35 | value='6330' | fill=9 | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='0.016' | fill=00000000 | rows=[34] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='6160' | fill=9 | rows=[34] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='0.016' | fill=00000000 | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R35 | value='6040' | fill=9 | rows=[34] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S35 | value='0.016' | fill=00000000 | rows=[34] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T35 | value='1190' | fill=9 | rows=[34] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U35 | value='0.022' | fill=00000000 | rows=[34] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V35 | value='1010' | fill=9 | rows=[34] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W35 | value='0.021' | fill=00000000 | rows=[34] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X35 | value='1000' | fill=9 | rows=[34] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y35 | value='0.023' | fill=00000000 | rows=[34] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z35 | value='870' | fill=9 | rows=[34] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA35 | value='0.02' | fill=00000000 | rows=[34] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB35 | value='290' | fill=9 | rows=[34] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC35 | value='0.007' | fill=00000000 | rows=[34] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD35 | value='280' | fill=9 | rows=[34] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE35 | value='0.009' | fill=00000000 | rows=[34] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF35 | value='180' | fill=9 | rows=[34] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG35 | value='0.007' | fill=00000000 | rows=[34] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH35 | value='180' | fill=9 | rows=[34] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI35 | value='0.007' | fill=00000000 | rows=[34] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ35 | value='630' | fill=9 | rows=[34] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK35 | value='0.011' | fill=00000000 | rows=[34] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL35 | value='550' | fill=9 | rows=[34] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM35 | value='0.011' | fill=00000000 | rows=[34] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN35 | value='410' | fill=9 | rows=[34] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO35 | value='0.009' | fill=00000000 | rows=[34] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP35 | value='450' | fill=9 | rows=[34] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ35 | value='0.01' | fill=00000000 | rows=[34] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C36 | value='Any other Black/African/ Caribbean background' | fill=FF00B050 | rows=[35] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D36 | value='3560' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='0.007' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='3580' | fill=9 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='0.007' | fill=00000000 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='3180' | fill=9 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='0.007' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='3120' | fill=9 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='0.007' | fill=00000000 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L36 | value='2500' | fill=9 | rows=[35] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M36 | value='0.006' | fill=00000000 | rows=[35] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N36 | value='2750' | fill=9 | rows=[35] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O36 | value='0.007' | fill=00000000 | rows=[35] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P36 | value='2510' | fill=9 | rows=[35] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q36 | value='0.007' | fill=00000000 | rows=[35] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R36 | value='2460' | fill=9 | rows=[35] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S36 | value='0.007' | fill=00000000 | rows=[35] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T36 | value='570' | fill=9 | rows=[35] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U36 | value='0.01' | fill=00000000 | rows=[35] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V36 | value='450' | fill=9 | rows=[35] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W36 | value='0.009' | fill=00000000 | rows=[35] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X36 | value='400' | fill=9 | rows=[35] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y36 | value='0.009' | fill=00000000 | rows=[35] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z36 | value='350' | fill=9 | rows=[35] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA36 | value='0.008' | fill=00000000 | rows=[35] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB36 | value='240' | fill=9 | rows=[35] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC36 | value='0.006' | fill=00000000 | rows=[35] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD36 | value='230' | fill=9 | rows=[35] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE36 | value='0.007' | fill=00000000 | rows=[35] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF36 | value='170' | fill=9 | rows=[35] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG36 | value='0.006' | fill=00000000 | rows=[35] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH36 | value='150' | fill=9 | rows=[35] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI36 | value='0.006' | fill=00000000 | rows=[35] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ36 | value='370' | fill=9 | rows=[35] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK36 | value='0.007' | fill=00000000 | rows=[35] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL36 | value='300' | fill=9 | rows=[35] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM36 | value='0.006' | fill=00000000 | rows=[35] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN36 | value='220' | fill=9 | rows=[35] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO36 | value='*' | fill=00000000 | rows=[35] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP36 | value='250' | fill=9 | rows=[35] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ36 | value='0.005' | fill=00000000 | rows=[35] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C37 | value='Total Black/ African/ Caribbean/ Black British' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='28340' | fill=9 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='0.052' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='29620' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='0.058' | fill=00000000 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='27900' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='0.057' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J37 | value='27880' | fill=00000000 | rows=[36] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K37 | value='0.059' | fill=00000000 | rows=[36] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L37 | value='19820' | fill=9 | rows=[36] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M37 | value='0.048' | fill=00000000 | rows=[36] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N37 | value='21860' | fill=9 | rows=[36] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O37 | value='0.055' | fill=00000000 | rows=[36] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P37 | value='21150' | fill=00000000 | rows=[36] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q37 | value='0.055' | fill=00000000 | rows=[36] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R37 | value='21590' | fill=00000000 | rows=[36] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S37 | value='0.058' | fill=00000000 | rows=[36] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T37 | value='4700' | fill=9 | rows=[36] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U37 | value='0.085' | fill=00000000 | rows=[36] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V37 | value='3980' | fill=9 | rows=[36] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W37 | value='0.081' | fill=00000000 | rows=[36] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X37 | value='3870' | fill=00000000 | rows=[36] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y37 | value='0.088' | fill=00000000 | rows=[36] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z37 | value='3600' | fill=00000000 | rows=[36] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA37 | value='0.081' | fill=00000000 | rows=[36] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB37 | value='2390' | fill=9 | rows=[36] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC37 | value='0.061' | fill=00000000 | rows=[36] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD37 | value='2310' | fill=9 | rows=[36] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE37 | value='0.071' | fill=00000000 | rows=[36] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF37 | value='1900' | fill=00000000 | rows=[36] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG37 | value='0.068' | fill=00000000 | rows=[36] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH37 | value='1630' | fill=00000000 | rows=[36] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI37 | value='0.063' | fill=00000000 | rows=[36] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ37 | value='2680' | fill=9 | rows=[36] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK37 | value='0.048' | fill=00000000 | rows=[36] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL37 | value='2630' | fill=9 | rows=[36] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM37 | value='0.052' | fill=00000000 | rows=[36] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN37 | value='2030' | fill=00000000 | rows=[36] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO37 | value='0.044' | fill=00000000 | rows=[36] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP37 | value='2100' | fill=00000000 | rows=[36] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ37 | value='0.046' | fill=00000000 | rows=[36] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Mixed/ Multiple Ethnic Group' | fill=FFFFFF00 | rows=[37] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C39 | value='White and Asian' | fill=FF00B050 | rows=[38] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D39 | value='2410' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='*' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='2470' | fill=9 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='*' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='2480' | fill=9 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='0.005' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J39 | value='2620' | fill=9 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K39 | value='0.005' | fill=00000000 | rows=[38] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L39 | value='1700' | fill=9 | rows=[38] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M39 | value='*' | fill=00000000 | rows=[38] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N39 | value='1800' | fill=9 | rows=[38] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O39 | value='*' | fill=00000000 | rows=[38] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P39 | value='1930' | fill=9 | rows=[38] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q39 | value='0.005' | fill=00000000 | rows=[38] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R39 | value='2000' | fill=9 | rows=[38] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S39 | value='0.005' | fill=00000000 | rows=[38] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T39 | value='250' | fill=9 | rows=[38] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U39 | value='*' | fill=00000000 | rows=[38] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V39 | value='270' | fill=9 | rows=[38] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W39 | value='0.006' | fill=00000000 | rows=[38] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X39 | value='210' | fill=9 | rows=[38] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y39 | value='*' | fill=00000000 | rows=[38] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z39 | value='240' | fill=9 | rows=[38] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA39 | value='0.005' | fill=00000000 | rows=[38] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB39 | value='230' | fill=9 | rows=[38] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC39 | value='0.006' | fill=00000000 | rows=[38] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD39 | value='230' | fill=9 | rows=[38] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE39 | value='0.007' | fill=00000000 | rows=[38] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF39 | value='190' | fill=9 | rows=[38] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG39 | value='0.007' | fill=00000000 | rows=[38] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH39 | value='190' | fill=9 | rows=[38] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI39 | value='0.008' | fill=00000000 | rows=[38] | cols=[34] | col_header=False | row_header=False | metadata=False
