=== employment-table29.xlsx ===
Cell A1 | value='Sex' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell A34 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFFFFF00 | rows=[33] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B35 | value='143789' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='37841' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='181630' | fill=FF00B0F0 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A36 | value='Reference area: Finland' | fill=FFFFFF00 | rows=[35] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A37 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[36] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B38 | value='452667' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='96150' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='548817' | fill=FF00B0F0 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A39 | value='Reference area: France' | fill=FFFFFF00 | rows=[38] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A40 | value='Institutional sector: Intermediate government' | fill=FFFFFF00 | rows=[39] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B41 | value='208570' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='141548' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='350118' | fill=FF00B0F0 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A42 | value='Reference area: France' | fill=FFFFFF00 | rows=[41] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A43 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFFFFF00 | rows=[42] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B44 | value='206353' | fill=00000000 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='168980' | fill=00000000 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='375333' | fill=FF00B0F0 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A45 | value='Reference area: France' | fill=FFFFFF00 | rows=[44] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A46 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[45] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B47 | value='57981' | fill=00000000 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C47 | value='39952' | fill=00000000 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D47 | value='97933' | fill=FF00B0F0 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A48 | value='Reference area: France' | fill=FFFFFF00 | rows=[47] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A49 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[48] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B50 | value='737237' | fill=00000000 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='416601' | fill=00000000 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D50 | value='1153838' | fill=FF00B0F0 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A51 | value='Reference area: Germany' | fill=FFFFFF00 | rows=[50] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A52 | value='Institutional sector: State government' | fill=FFFFFF00 | rows=[51] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D53 | value='2541400' | fill=FF00B0F0 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A54 | value='Reference area: Israel' | fill=FFFFFF00 | rows=[53] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A55 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[54] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B56 | value='1118270.48' | fill=00000000 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C56 | value='542677.559' | fill=00000000 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D56 | value='1660948.039' | fill=FF00B0F0 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A57 | value='Reference area: Italy' | fill=FFFFFF00 | rows=[56] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A58 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFFFFF00 | rows=[57] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B59 | value='4110' | fill=00000000 | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C59 | value='2828' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D59 | value='6938' | fill=FF00B0F0 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A60 | value='Reference area: Italy' | fill=FFFFFF00 | rows=[59] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A61 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[60] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B62 | value='47063' | fill=00000000 | rows=[61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C62 | value='37060' | fill=00000000 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D62 | value='84123' | fill=FF00B0F0 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A63 | value='Reference area: Italy' | fill=FFFFFF00 | rows=[62] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A64 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[63] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B65 | value='182543' | fill=00000000 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='140163' | fill=00000000 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D65 | value='322706' | fill=FF00B0F0 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A66 | value='Reference area: Korea' | fill=FFFFFF00 | rows=[65] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A67 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[66] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B68 | value='23144' | fill=00000000 | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C68 | value='35568' | fill=00000000 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D68 | value='58712' | fill=FF00B0F0 | rows=[67] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A69 | value='Reference area: Korea' | fill=FFFFFF00 | rows=[68] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A70 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[69] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B71 | value='129365' | fill=00000000 | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C71 | value='120802' | fill=00000000 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D71 | value='250167' | fill=FF00B0F0 | rows=[70] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A72 | value='Reference area: Mexico' | fill=FFFFFF00 | rows=[71] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A73 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[72] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B74 | value='792951' | fill=00000000 | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C74 | value='642732' | fill=00000000 | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D74 | value='1435683' | fill=FF00B0F0 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A75 | value='Reference area: Mexico' | fill=FFFFFF00 | rows=[74] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A76 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[75] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B77 | value='338147' | fill=00000000 | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C77 | value='643771' | fill=00000000 | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D77 | value='981918' | fill=FF00B0F0 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A78 | value='Reference area: Norway' | fill=FFFFFF00 | rows=[77] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A79 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[78] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B80 | value='1768' | fill=00000000 | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C80 | value='760' | fill=00000000 | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D80 | value='2528' | fill=FF00B0F0 | rows=[79] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A81 | value='Reference area: Portugal' | fill=FFFFFF00 | rows=[80] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A82 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[81] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B83 | value='29013' | fill=00000000 | rows=[82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C83 | value='14523' | fill=00000000 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D83 | value='43536' | fill=FF00B0F0 | rows=[82] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A84 | value='Reference area: Portugal' | fill=FFFFFF00 | rows=[83] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A85 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[84] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B86 | value='59247' | fill=00000000 | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C86 | value='72468' | fill=00000000 | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D86 | value='131715' | fill=FF00B0F0 | rows=[85] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A87 | value='Reference area: Sweden' | fill=FFFFFF00 | rows=[86] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A88 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFFFFF00 | rows=[87] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B89 | value='3640' | fill=00000000 | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C89 | value='6750' | fill=00000000 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D89 | value='10390' | fill=FF00B0F0 | rows=[88] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A90 | value='Reference area: Sweden' | fill=FFFFFF00 | rows=[89] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A91 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[90] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B92 | value='189020' | fill=00000000 | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C92 | value='59240' | fill=00000000 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D92 | value='248260' | fill=FF00B0F0 | rows=[91] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A93 | value='Reference area: Sweden' | fill=FFFFFF00 | rows=[92] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A94 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[93] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B95 | value='499560' | fill=00000000 | rows=[94] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C95 | value='139105' | fill=00000000 | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D95 | value='638665' | fill=FF00B0F0 | rows=[94] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A96 | value='Reference area: Non-OECD economies > Bulgaria' | fill=FFFFFF00 | rows=[95] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A97 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[96] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D98 | value='752.2' | fill=FF00B0F0 | rows=[97] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A99 | value='Reference area: Bulgaria' | fill=FFFFFF00 | rows=[98] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A100 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[99] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D101 | value='24272.7' | fill=FF00B0F0 | rows=[100] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A102 | value='Reference area: Malta' | fill=FFFFFF00 | rows=[101] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A103 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFFFFF00 | rows=[102] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B104 | value='14' | fill=00000000 | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C104 | value='3' | fill=00000000 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D104 | value='17' | fill=FF00B0F0 | rows=[103] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell A105 | value='Reference area: Malta' | fill=FFFFFF00 | rows=[104] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell A106 | value='Institutional sector: Municipal government' | fill=FFFFFF00 | rows=[105] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell B107 | value='217' | fill=00000000 | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C107 | value='184' | fill=00000000 | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D107 | value='401' | fill=FF00B0F0 | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=True

