=== science-table31.xlsx ===
Cell A1 | value='Ripley cluster analysis used for Figure 4b' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=True | metadata=True
Cell O84 | value='212.3853' | fill=00000000 | rows=[83] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P84 | value='-0.459621' | fill=00000000 | rows=[83] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q84 | value='45.2584' | fill=00000000 | rows=[83] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R84 | value='-27.6582' | fill=00000000 | rows=[83] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S84 | value='-0.171163' | fill=00000000 | rows=[83] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T84 | value='8.455185' | fill=00000000 | rows=[83] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U84 | value='-33.02447' | fill=00000000 | rows=[83] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V84 | value='3.941761' | fill=00000000 | rows=[83] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W84 | value='-35.69806' | fill=00000000 | rows=[83] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell Y84 | value='-8.223056' | fill=00000000 | rows=[83] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z84 | value='51.70503' | fill=00000000 | rows=[83] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA84 | value='121.5231' | fill=00000000 | rows=[83] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB84 | value='16.25345' | fill=00000000 | rows=[83] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC84 | value='41.6102' | fill=00000000 | rows=[83] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD84 | value='12.83309' | fill=00000000 | rows=[83] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE84 | value='70.98998' | fill=00000000 | rows=[83] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF84 | value='-6.363392' | fill=00000000 | rows=[83] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG84 | value='10.46565' | fill=00000000 | rows=[83] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH84 | value='4.777593' | fill=00000000 | rows=[83] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI84 | value='7.400662' | fill=00000000 | rows=[83] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ84 | value='-0.019952' | fill=00000000 | rows=[83] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK84 | value='-11.44569' | fill=00000000 | rows=[83] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL84 | value='61.44414' | fill=00000000 | rows=[83] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM84 | value='6.910182' | fill=00000000 | rows=[83] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN84 | value='1.132798' | fill=00000000 | rows=[83] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO84 | value='-17.63927' | fill=00000000 | rows=[83] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A85 | value='407.5' | fill=00000000 | rows=[84] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B85 | value='55.0565476' | fill=00000000 | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C85 | value='71.23154' | fill=00000000 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D85 | value='-19.52155' | fill=00000000 | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='45.31287' | fill=00000000 | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='21.89177' | fill=00000000 | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G85 | value='18.13077' | fill=00000000 | rows=[84] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H85 | value='6.647823' | fill=00000000 | rows=[84] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I85 | value='44.48667' | fill=00000000 | rows=[84] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J85 | value='17.28993' | fill=00000000 | rows=[84] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K85 | value='33.23793' | fill=00000000 | rows=[84] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L85 | value='6.647823' | fill=00000000 | rows=[84] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M85 | value='5.906594' | fill=00000000 | rows=[84] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N85 | value='104.4679' | fill=00000000 | rows=[84] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O85 | value='214.1043' | fill=00000000 | rows=[84] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P85 | value='-1.271226' | fill=00000000 | rows=[84] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q85 | value='45.31287' | fill=00000000 | rows=[84] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R85 | value='-28.20223' | fill=00000000 | rows=[84] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S85 | value='2.030035' | fill=00000000 | rows=[84] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T85 | value='9.129749' | fill=00000000 | rows=[84] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U85 | value='-32.21452' | fill=00000000 | rows=[84] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V85 | value='9.112367' | fill=00000000 | rows=[84] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W85 | value='-21.58518' | fill=00000000 | rows=[84] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X85 | value='-9.521528' | fill=00000000 | rows=[84] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y85 | value='-3.360151' | fill=00000000 | rows=[84] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z85 | value='52.00292' | fill=00000000 | rows=[84] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA85 | value='121.829' | fill=00000000 | rows=[84] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB85 | value='15.73354' | fill=00000000 | rows=[84] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC85 | value='41.4168' | fill=00000000 | rows=[84] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD85 | value='12.92365' | fill=00000000 | rows=[84] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE85 | value='69.6254' | fill=00000000 | rows=[84] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF85 | value='-9.599384' | fill=00000000 | rows=[84] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG85 | value='9.923102' | fill=00000000 | rows=[84] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH85 | value='7.109563' | fill=00000000 | rows=[84] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI85 | value='7.923615' | fill=00000000 | rows=[84] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ85 | value='-0.741528' | fill=00000000 | rows=[84] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK85 | value='-10.59979' | fill=00000000 | rows=[84] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL85 | value='61.67282' | fill=00000000 | rows=[84] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM85 | value='8.0263' | fill=00000000 | rows=[84] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AO85 | value='-18.64154' | fill=00000000 | rows=[84] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A86 | value='412.5' | fill=00000000 | rows=[85] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B86 | value='52.3174603' | fill=00000000 | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C86 | value='70.7839315' | fill=00000000 | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D86 | value='-18.98757' | fill=00000000 | rows=[85] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E86 | value='45.23427' | fill=00000000 | rows=[85] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F86 | value='19.02223' | fill=00000000 | rows=[85] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G86 | value='16.05376' | fill=00000000 | rows=[85] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H86 | value='5.112422' | fill=00000000 | rows=[85] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I86 | value='45.39971' | fill=00000000 | rows=[85] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J86 | value='18.53044' | fill=00000000 | rows=[85] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K86 | value='36.44244' | fill=00000000 | rows=[85] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L86 | value='5.112422' | fill=00000000 | rows=[85] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M86 | value='2.667103' | fill=00000000 | rows=[85] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N86 | value='103.7946' | fill=00000000 | rows=[85] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O86 | value='215.8763' | fill=00000000 | rows=[85] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P86 | value='-1.676732' | fill=00000000 | rows=[85] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q86 | value='45.23427' | fill=00000000 | rows=[85] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R86 | value='-30.20858' | fill=00000000 | rows=[85] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S86 | value='2.220035' | fill=00000000 | rows=[85] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T86 | value='7.533663' | fill=00000000 | rows=[85] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U86 | value='-35.0008' | fill=00000000 | rows=[85] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V86 | value='7.07575' | fill=00000000 | rows=[85] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W86 | value='-12.91759' | fill=00000000 | rows=[85] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X86 | value='-7.196469' | fill=00000000 | rows=[85] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y86 | value='-1.217521' | fill=00000000 | rows=[85] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z86 | value='46.80426' | fill=00000000 | rows=[85] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA86 | value='121.9731' | fill=00000000 | rows=[85] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB86 | value='15.24259' | fill=00000000 | rows=[85] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC86 | value='40.26886' | fill=00000000 | rows=[85] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD86 | value='13.55168' | fill=00000000 | rows=[85] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE86 | value='68.69839' | fill=00000000 | rows=[85] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF86 | value='-6.413385' | fill=00000000 | rows=[85] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG86 | value='7.675898' | fill=00000000 | rows=[85] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH86 | value='9.641998' | fill=00000000 | rows=[85] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI86 | value='6.793466' | fill=00000000 | rows=[85] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ86 | value='-0.337992' | fill=00000000 | rows=[85] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK86 | value='-10.28169' | fill=00000000 | rows=[85] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL86 | value='61.08176' | fill=00000000 | rows=[85] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM86 | value='7.826931' | fill=00000000 | rows=[85] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN86 | value='-6.395426' | fill=00000000 | rows=[85] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO86 | value='-21.90502' | fill=00000000 | rows=[85] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A87 | value='417.5' | fill=00000000 | rows=[86] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B87 | value='54.6' | fill=00000000 | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C87 | value='69.0039859' | fill=00000000 | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D87 | value='-19.45158' | fill=00000000 | rows=[86] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E87 | value='46.92445' | fill=00000000 | rows=[86] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F87 | value='18.28722' | fill=00000000 | rows=[86] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G87 | value='13.65736' | fill=00000000 | rows=[86] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H87 | value='4.160722' | fill=00000000 | rows=[86] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I87 | value='47.95067' | fill=00000000 | rows=[86] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J87 | value='19.82448' | fill=00000000 | rows=[86] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K87 | value='34.67685' | fill=00000000 | rows=[86] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L87 | value='4.160722' | fill=00000000 | rows=[86] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M87 | value='-1.255493' | fill=00000000 | rows=[86] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N87 | value='102.7366' | fill=00000000 | rows=[86] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O87 | value='217.0954' | fill=00000000 | rows=[86] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P87 | value='-1.526918' | fill=00000000 | rows=[86] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q87 | value='46.92445' | fill=00000000 | rows=[86] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R87 | value='-30.14299' | fill=00000000 | rows=[86] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S87 | value='3.121699' | fill=00000000 | rows=[86] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T87 | value='5.631094' | fill=00000000 | rows=[86] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U87 | value='-35.40438' | fill=00000000 | rows=[86] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V87 | value='12.15319' | fill=00000000 | rows=[86] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W87 | value='-7.704883' | fill=00000000 | rows=[86] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell Y87 | value='4.696042' | fill=00000000 | rows=[86] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z87 | value='51.46966' | fill=00000000 | rows=[86] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA87 | value='122.3136' | fill=00000000 | rows=[86] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB87 | value='14.88973' | fill=00000000 | rows=[86] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC87 | value='41.4515' | fill=00000000 | rows=[86] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD87 | value='13.62914' | fill=00000000 | rows=[86] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE87 | value='68.72651' | fill=00000000 | rows=[86] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF87 | value='-3.438954' | fill=00000000 | rows=[86] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG87 | value='3.328341' | fill=00000000 | rows=[86] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH87 | value='10.48418' | fill=00000000 | rows=[86] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI87 | value='7.724389' | fill=00000000 | rows=[86] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ87 | value='0.52354' | fill=00000000 | rows=[86] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK87 | value='-10.66058' | fill=00000000 | rows=[86] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL87 | value='59.76613' | fill=00000000 | rows=[86] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM87 | value='5.794218' | fill=00000000 | rows=[86] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AO87 | value='-21.97531' | fill=00000000 | rows=[86] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A88 | value='422.5' | fill=00000000 | rows=[87] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B88 | value='54.9738095' | fill=00000000 | rows=[87] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C88 | value='65.1015192' | fill=00000000 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D88 | value='-18.40126' | fill=00000000 | rows=[87] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E88 | value='49.39631' | fill=00000000 | rows=[87] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F88 | value='17.69782' | fill=00000000 | rows=[87] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G88 | value='13.26947' | fill=00000000 | rows=[87] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H88 | value='2.362196' | fill=00000000 | rows=[87] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I88 | value='49.25419' | fill=00000000 | rows=[87] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J88 | value='21.08722' | fill=00000000 | rows=[87] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K88 | value='32.24613' | fill=00000000 | rows=[87] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L88 | value='2.362196' | fill=00000000 | rows=[87] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M88 | value='-2.101619' | fill=00000000 | rows=[87] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N88 | value='102.4375' | fill=00000000 | rows=[87] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O88 | value='218.8687' | fill=00000000 | rows=[87] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P88 | value='-2.979889' | fill=00000000 | rows=[87] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q88 | value='49.39631' | fill=00000000 | rows=[87] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R88 | value='-27.36009' | fill=00000000 | rows=[87] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S88 | value='4.209108' | fill=00000000 | rows=[87] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T88 | value='4.267511' | fill=00000000 | rows=[87] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U88 | value='-34.37046' | fill=00000000 | rows=[87] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V88 | value='19.14261' | fill=00000000 | rows=[87] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell X88 | value='-16.34677' | fill=00000000 | rows=[87] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y88 | value='5.030983' | fill=00000000 | rows=[87] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z88 | value='46.50041' | fill=00000000 | rows=[87] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA88 | value='122.4132' | fill=00000000 | rows=[87] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB88 | value='14.30084' | fill=00000000 | rows=[87] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC88 | value='39.4211' | fill=00000000 | rows=[87] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD88 | value='13.67136' | fill=00000000 | rows=[87] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE88 | value='67.41145' | fill=00000000 | rows=[87] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF88 | value='-3.910607' | fill=00000000 | rows=[87] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG88 | value='4.175554' | fill=00000000 | rows=[87] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH88 | value='12.12782' | fill=00000000 | rows=[87] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI88 | value='7.973206' | fill=00000000 | rows=[87] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ88 | value='-0.21196' | fill=00000000 | rows=[87] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK88 | value='-9.907361' | fill=00000000 | rows=[87] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL88 | value='60.48497' | fill=00000000 | rows=[87] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM88 | value='6.883437' | fill=00000000 | rows=[87] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN88 | value='-15.96903' | fill=00000000 | rows=[87] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO88 | value='-17.13237' | fill=00000000 | rows=[87] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A89 | value='427.5' | fill=00000000 | rows=[88] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B89 | value='54.6047619' | fill=00000000 | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C89 | value='65.4185433' | fill=00000000 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D89 | value='-16.44792' | fill=00000000 | rows=[88] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E89 | value='51.66081' | fill=00000000 | rows=[88] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F89 | value='19.26519' | fill=00000000 | rows=[88] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G89 | value='11.59575' | fill=00000000 | rows=[88] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H89 | value='1.812887' | fill=00000000 | rows=[88] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I89 | value='48.62607' | fill=00000000 | rows=[88] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J89 | value='22.92788' | fill=00000000 | rows=[88] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K89 | value='28.00235' | fill=00000000 | rows=[88] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L89 | value='1.812887' | fill=00000000 | rows=[88] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M89 | value='-0.48954' | fill=00000000 | rows=[88] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N89 | value='102.0051' | fill=00000000 | rows=[88] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O89 | value='219.6812' | fill=00000000 | rows=[88] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P89 | value='-3.049933' | fill=00000000 | rows=[88] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q89 | value='51.66081' | fill=00000000 | rows=[88] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R89 | value='-26.77359' | fill=00000000 | rows=[88] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S89 | value='8.008634' | fill=00000000 | rows=[88] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T89 | value='2.543093' | fill=00000000 | rows=[88] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U89 | value='-29.3202' | fill=00000000 | rows=[88] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V89 | value='18.14956' | fill=00000000 | rows=[88] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W89 | value='-5.731096' | fill=00000000 | rows=[88] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X89 | value='-14.3934' | fill=00000000 | rows=[88] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y89 | value='-0.154901' | fill=00000000 | rows=[88] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z89 | value='45.30526' | fill=00000000 | rows=[88] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA89 | value='122.6238' | fill=00000000 | rows=[88] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB89 | value='14.15052' | fill=00000000 | rows=[88] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC89 | value='37.39554' | fill=00000000 | rows=[88] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD89 | value='13.69012' | fill=00000000 | rows=[88] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE89 | value='66.59351' | fill=00000000 | rows=[88] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF89 | value='-5.108865' | fill=00000000 | rows=[88] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG89 | value='3.469356' | fill=00000000 | rows=[88] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH89 | value='7.246056' | fill=00000000 | rows=[88] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI89 | value='7.865403' | fill=00000000 | rows=[88] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ89 | value='-0.413884' | fill=00000000 | rows=[88] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK89 | value='-10.6919' | fill=00000000 | rows=[88] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL89 | value='58.3236' | fill=00000000 | rows=[88] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM89 | value='5.811476' | fill=00000000 | rows=[88] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AO89 | value='-18.38992' | fill=00000000 | rows=[88] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell A90 | value='432.5' | fill=00000000 | rows=[89] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B90 | value='52.422619' | fill=00000000 | rows=[89] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C90 | value='65.9949866' | fill=00000000 | rows=[89] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D90 | value='-16.26317' | fill=00000000 | rows=[89] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E90 | value='53.75825' | fill=00000000 | rows=[89] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F90 | value='15.68006' | fill=00000000 | rows=[89] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G90 | value='11.88329' | fill=00000000 | rows=[89] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H90 | value='2.157178' | fill=00000000 | rows=[89] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I90 | value='48.85384' | fill=00000000 | rows=[89] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J90 | value='21.7183' | fill=00000000 | rows=[89] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K90 | value='25.15971' | fill=00000000 | rows=[89] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L90 | value='2.157178' | fill=00000000 | rows=[89] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M90 | value='0.118589' | fill=00000000 | rows=[89] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N90 | value='102.6129' | fill=00000000 | rows=[89] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O90 | value='220.6882' | fill=00000000 | rows=[89] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P90 | value='-3.718234' | fill=00000000 | rows=[89] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q90 | value='53.75825' | fill=00000000 | rows=[89] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R90 | value='-25.01492' | fill=00000000 | rows=[89] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S90 | value='7.062906' | fill=00000000 | rows=[89] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T90 | value='2.955363' | fill=00000000 | rows=[89] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U90 | value='-27.32661' | fill=00000000 | rows=[89] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V90 | value='15.04401' | fill=00000000 | rows=[89] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W90 | value='2.611641' | fill=00000000 | rows=[89] | cols=[22] | col_header=False | row_header=False | metadata=False
