=== society-table54.xlsx ===
Cell C1 | value='Country/region' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell Q34 | value='3.7' | fill=00000000 | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R34 | value='2004-2011' | fill=00000000 | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S34 | value='-2.9*' | fill=00000000 | rows=[33] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C35 | value='Croatia' | fill=FF00B050 | rows=[34] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D35 | value='1986-2011' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='2.6*' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N35 | value='1986-2002' | fill=00000000 | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='-1.5' | fill=00000000 | rows=[34] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='2002-2011' | fill=00000000 | rows=[34] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='8.2*' | fill=00000000 | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C36 | value='Greece' | fill=FF00B050 | rows=[35] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D36 | value='1986-2000' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='20.6*' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='2000-2011' | fill=00000000 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='2' | fill=00000000 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N36 | value='1986-1990' | fill=00000000 | rows=[35] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O36 | value='-24.8' | fill=00000000 | rows=[35] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P36 | value='1990-1999' | fill=00000000 | rows=[35] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q36 | value='23.5*' | fill=00000000 | rows=[35] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R36 | value='1999-2011' | fill=00000000 | rows=[35] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S36 | value='2.1' | fill=00000000 | rows=[35] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C37 | value='Italy' | fill=FF00B050 | rows=[36] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D37 | value='1986-2001' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='0.6' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='2001-2005' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='10.9' | fill=00000000 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='2005-2011' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='-3.9*' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N37 | value='1986-1996' | fill=00000000 | rows=[36] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O37 | value='2.6*' | fill=00000000 | rows=[36] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P37 | value='1996-2000' | fill=00000000 | rows=[36] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q37 | value='-4' | fill=00000000 | rows=[36] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R37 | value='2000-2004' | fill=00000000 | rows=[36] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S37 | value='10.0*' | fill=00000000 | rows=[36] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T37 | value='2004-2011' | fill=00000000 | rows=[36] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U37 | value='-2.6*' | fill=00000000 | rows=[36] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C38 | value='Portugal' | fill=FF00B050 | rows=[37] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D38 | value='1986-2011' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='1.4*' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N38 | value='1986-2011' | fill=00000000 | rows=[37] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O38 | value='0.02' | fill=00000000 | rows=[37] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C39 | value='Slovenia' | fill=FF00B050 | rows=[38] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D39 | value='1986-2011' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='2.7*' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N39 | value='1986-2011' | fill=00000000 | rows=[38] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O39 | value='2.0*' | fill=00000000 | rows=[38] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C40 | value='Spain' | fill=FF00B050 | rows=[39] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D40 | value='1986-1996' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='-2.2*' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='1996-2003' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='1.6' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='2003-2011' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='-4.3*' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N40 | value='1986-1990' | fill=00000000 | rows=[39] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O40 | value='0.7' | fill=00000000 | rows=[39] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P40 | value='1990-1996' | fill=00000000 | rows=[39] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q40 | value='-3.5*' | fill=00000000 | rows=[39] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R40 | value='1996-2003' | fill=00000000 | rows=[39] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S40 | value='0.7' | fill=00000000 | rows=[39] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T40 | value='2003-2007' | fill=00000000 | rows=[39] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U40 | value='-5.9*' | fill=00000000 | rows=[39] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V40 | value='2007-2011' | fill=00000000 | rows=[39] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W40 | value='-2.7' | fill=00000000 | rows=[39] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C41 | value='Western Europe (n=6)' | fill=FF00B050 | rows=[40] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D41 | value='1986-1997' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='-2.1*' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='1997-2001' | fill=00000000 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='3.9' | fill=00000000 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='2001-2011' | fill=00000000 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='-1.1*' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N41 | value='1986-1990' | fill=00000000 | rows=[40] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O41 | value='-1' | fill=00000000 | rows=[40] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P41 | value='1990-2998' | fill=00000000 | rows=[40] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q41 | value='-3.7*' | fill=00000000 | rows=[40] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R41 | value='1998-2002' | fill=00000000 | rows=[40] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S41 | value='3.5' | fill=00000000 | rows=[40] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T41 | value='2002-2007' | fill=00000000 | rows=[40] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U41 | value='-3.3*' | fill=00000000 | rows=[40] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V41 | value='2007-2011' | fill=00000000 | rows=[40] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W41 | value='1.2' | fill=00000000 | rows=[40] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C42 | value='Austria' | fill=FF00B050 | rows=[41] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D42 | value='1986-1999' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='-3.8*' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='1999-2006' | fill=00000000 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='12.1*' | fill=00000000 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='2006-2011' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='-6.9' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N42 | value='1986-1992' | fill=00000000 | rows=[41] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O42 | value='0.3' | fill=00000000 | rows=[41] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P42 | value='1992-1998' | fill=00000000 | rows=[41] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q42 | value='-10.2*' | fill=00000000 | rows=[41] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R42 | value='1998-2005' | fill=00000000 | rows=[41] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S42 | value='11.4*' | fill=00000000 | rows=[41] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T42 | value='2005-2011' | fill=00000000 | rows=[41] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U42 | value='-4.1' | fill=00000000 | rows=[41] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C43 | value='Belgium' | fill=FF00B050 | rows=[42] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D43 | value='1986-1995' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='11.0*' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='1995-2011' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='-2.0*' | fill=00000000 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N43 | value='1986-1994' | fill=00000000 | rows=[42] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O43 | value='12.3*' | fill=00000000 | rows=[42] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P43 | value='1994-2011' | fill=00000000 | rows=[42] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q43 | value='-3.9*' | fill=00000000 | rows=[42] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C44 | value='France' | fill=FF00B050 | rows=[43] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D44 | value='1986-1997' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='-1.5*' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='1997-2001' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='9.6*' | fill=00000000 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='2001-2011' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='-3.3*' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N44 | value='1986-1997' | fill=00000000 | rows=[43] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O44 | value='-2.6*' | fill=00000000 | rows=[43] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P44 | value='1997-2001' | fill=00000000 | rows=[43] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q44 | value='9.2*' | fill=00000000 | rows=[43] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R44 | value='2001-2011' | fill=00000000 | rows=[43] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S44 | value='-3.8*' | fill=00000000 | rows=[43] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C45 | value='Germany' | fill=FF00B050 | rows=[44] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D45 | value='1986-1990' | fill=00000000 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='-0.6' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='1990-1997' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='-8.5*' | fill=00000000 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='1997-2011' | fill=00000000 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='2.5*' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N45 | value='1986-1990' | fill=00000000 | rows=[44] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O45 | value='-0.4' | fill=00000000 | rows=[44] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P45 | value='1990-1998' | fill=00000000 | rows=[44] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q45 | value='-8.1*' | fill=00000000 | rows=[44] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R45 | value='1998-2007' | fill=00000000 | rows=[44] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S45 | value='-0.1' | fill=00000000 | rows=[44] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T45 | value='2007-2011' | fill=00000000 | rows=[44] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U45 | value='6.6*' | fill=00000000 | rows=[44] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C46 | value='Netherlands' | fill=FF00B050 | rows=[45] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D46 | value='1986-2011' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='-1.4*' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N46 | value='1986-2011' | fill=00000000 | rows=[45] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O46 | value='-2.1*' | fill=00000000 | rows=[45] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C47 | value='Switzerland' | fill=FF00B050 | rows=[46] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D47 | value='1986-2002' | fill=00000000 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='2.0*' | fill=00000000 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F47 | value='2002-2011' | fill=00000000 | rows=[46] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G47 | value='-3.6*' | fill=00000000 | rows=[46] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N47 | value='1986-2002' | fill=00000000 | rows=[46] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O47 | value='1.3*' | fill=00000000 | rows=[46] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P47 | value='2002-2011' | fill=00000000 | rows=[46] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q47 | value='-2.9*' | fill=00000000 | rows=[46] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C48 | value='Caribbean (n=4)' | fill=FF00B050 | rows=[47] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D48 | value='1986-2011' | fill=00000000 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='1.8*' | fill=00000000 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N48 | value='1986-2011' | fill=00000000 | rows=[47] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O48 | value='1.1*' | fill=00000000 | rows=[47] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C49 | value='Cuba' | fill=FF00B050 | rows=[48] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D49 | value='1986-2011' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='2.7*' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N49 | value='1986-2001' | fill=00000000 | rows=[48] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O49 | value='-0.2' | fill=00000000 | rows=[48] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P49 | value='2001-2005' | fill=00000000 | rows=[48] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q49 | value='7.6' | fill=00000000 | rows=[48] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R49 | value='2005-2011' | fill=00000000 | rows=[48] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S49 | value='-1.1' | fill=00000000 | rows=[48] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C50 | value='Dominican Republic' | fill=FF00B050 | rows=[49] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D50 | value='1986-2011' | fill=00000000 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='-2.5' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N50 | value='1986-2011' | fill=00000000 | rows=[49] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O50 | value='0.3' | fill=00000000 | rows=[49] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C51 | value='Puerto Rico' | fill=FF00B050 | rows=[50] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D51 | value='1986-1990' | fill=00000000 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E51 | value='33.6' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F51 | value='1990-1995' | fill=00000000 | rows=[50] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G51 | value='-7' | fill=00000000 | rows=[50] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='1995-2000' | fill=00000000 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I51 | value='16.2' | fill=00000000 | rows=[50] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J51 | value='2000-2004' | fill=00000000 | rows=[50] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K51 | value='-10.2' | fill=00000000 | rows=[50] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L51 | value='2004-2011' | fill=00000000 | rows=[50] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M51 | value='5.4' | fill=00000000 | rows=[50] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N51 | value='1986-1990' | fill=00000000 | rows=[50] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O51 | value='19.2*' | fill=00000000 | rows=[50] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P51 | value='1990-2011' | fill=00000000 | rows=[50] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q51 | value='0.8' | fill=00000000 | rows=[50] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C52 | value='Trinidad and Tobago' | fill=FF00B050 | rows=[51] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D52 | value='1986-2011' | fill=00000000 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E52 | value='-1.2' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N52 | value='1986-2011' | fill=00000000 | rows=[51] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O52 | value='-0.2' | fill=00000000 | rows=[51] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C53 | value='Central America  (n=4)' | fill=FF00B050 | rows=[52] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D53 | value='1986-1993' | fill=00000000 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E53 | value='-6.8*' | fill=00000000 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='1993-1999' | fill=00000000 | rows=[52] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G53 | value='2.1' | fill=00000000 | rows=[52] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H53 | value='1999-2003' | fill=00000000 | rows=[52] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I53 | value='-7.4' | fill=00000000 | rows=[52] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J53 | value='2003-2007' | fill=00000000 | rows=[52] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K53 | value='9.4' | fill=00000000 | rows=[52] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L53 | value='2007-2011' | fill=00000000 | rows=[52] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M53 | value='1.3' | fill=00000000 | rows=[52] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N53 | value='1986-1993' | fill=00000000 | rows=[52] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O53 | value='-6.1*' | fill=00000000 | rows=[52] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P53 | value='1993-1999' | fill=00000000 | rows=[52] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q53 | value='4.1' | fill=00000000 | rows=[52] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R53 | value='1999-2003' | fill=00000000 | rows=[52] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S53 | value='-4.4' | fill=00000000 | rows=[52] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T53 | value='2003-2007' | fill=00000000 | rows=[52] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U53 | value='6.5' | fill=00000000 | rows=[52] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V53 | value='2007-2011' | fill=00000000 | rows=[52] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W53 | value='0.5' | fill=00000000 | rows=[52] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C54 | value='Costa Rica' | fill=FF00B050 | rows=[53] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D54 | value='1986-1995' | fill=00000000 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E54 | value='-2.7' | fill=00000000 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F54 | value='1995-1999' | fill=00000000 | rows=[53] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G54 | value='18.4' | fill=00000000 | rows=[53] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H54 | value='1999-2004' | fill=00000000 | rows=[53] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I54 | value='-10.7' | fill=00000000 | rows=[53] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J54 | value='2004-2011' | fill=00000000 | rows=[53] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K54 | value='12.0*' | fill=00000000 | rows=[53] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N54 | value='1986-1990' | fill=00000000 | rows=[53] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O54 | value='-11.6' | fill=00000000 | rows=[53] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P54 | value='1990-2011' | fill=00000000 | rows=[53] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q54 | value='2.6*' | fill=00000000 | rows=[53] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C55 | value='Guatemala' | fill=FF00B050 | rows=[54] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D55 | value='1986-2011' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='-5.6*' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N55 | value='1986-1993' | fill=00000000 | rows=[54] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O55 | value='-0.5' | fill=00000000 | rows=[54] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P55 | value='1993-1997' | fill=00000000 | rows=[54] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q55 | value='-17.3' | fill=00000000 | rows=[54] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R55 | value='1997-2011' | fill=00000000 | rows=[54] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S55 | value='1.2' | fill=00000000 | rows=[54] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C56 | value='Mexico' | fill=FF00B050 | rows=[55] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D56 | value='1986-1994' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='-6.6*' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F56 | value='1994-1998' | fill=00000000 | rows=[55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G56 | value='7.2' | fill=00000000 | rows=[55] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H56 | value='1998-2003' | fill=00000000 | rows=[55] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I56 | value='-6.6*' | fill=00000000 | rows=[55] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J56 | value='2003-2007' | fill=00000000 | rows=[55] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K56 | value='10.1*' | fill=00000000 | rows=[55] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L56 | value='2007-2011' | fill=00000000 | rows=[55] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M56 | value='1.6' | fill=00000000 | rows=[55] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N56 | value='1986-1993' | fill=00000000 | rows=[55] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O56 | value='-6.5*' | fill=00000000 | rows=[55] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P56 | value='1993-1999' | fill=00000000 | rows=[55] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q56 | value='5.7*' | fill=00000000 | rows=[55] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R56 | value='1999-2003' | fill=00000000 | rows=[55] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S56 | value='-5' | fill=00000000 | rows=[55] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T56 | value='2003-2007' | fill=00000000 | rows=[55] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U56 | value='7' | fill=00000000 | rows=[55] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V56 | value='2007-2011' | fill=00000000 | rows=[55] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W56 | value='0.3' | fill=00000000 | rows=[55] | cols=[22] | col_header=False | row_header=False | metadata=False
