=== economy-table98.xlsx ===
Cell A1 | value='DA1 Channel through which the consumer purchased products that they experienced detriment with 

Base: All detriment incidents in the UK in the 12 months to April 2021' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell Y12 | value='0.01' | fill=FFFFFFFF | rows=[11] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z12 | value='0.05' | fill=FFFFFFFF | rows=[11] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA12 | value='0.05' | fill=FFFFFFFF | rows=[11] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB12 | value='0.05' | fill=FFFFFFFF | rows=[11] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC12 | value='0.02' | fill=FFFFFFFF | rows=[11] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD12 | value='0.02' | fill=FFFFFFFF | rows=[11] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE12 | value='0.01' | fill=FFFFFFFF | rows=[11] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AG12 | value='0.08' | fill=FFFFFFFF | rows=[11] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH12 | value='0.1' | fill=FFFFFFFF | rows=[11] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI12 | value='0.05' | fill=FFFFFFFF | rows=[11] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ12 | value='0.07' | fill=FFFFFFFF | rows=[11] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL12 | value='0.05' | fill=FFFFFFFF | rows=[11] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AN12 | value='0.15' | fill=FFFFFFFF | rows=[11] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO12 | value='0.01' | fill=FFFFFFFF | rows=[11] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AR12 | value='0.03' | fill=FFFFFFFF | rows=[11] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS12 | value='0.14' | fill=FFFFFFFF | rows=[11] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT12 | value='0.01' | fill=FFFFFFFF | rows=[11] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU12 | value='0.01' | fill=FFFFFFFF | rows=[11] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV12 | value='0.01' | fill=FFFFFFFF | rows=[11] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AX12 | value='0.11' | fill=FFFFFFFF | rows=[11] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AZ12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BB12 | value='0.14' | fill=FFFFFFFF | rows=[11] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC12 | value='0.03' | fill=FFFFFFFF | rows=[11] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD12 | value='0.31' | fill=FFFFFFFF | rows=[11] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE12 | value='0.02' | fill=FFFFFFFF | rows=[11] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF12 | value='0.16' | fill=FFFFFFFF | rows=[11] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell B13 | value='B1 D1 F1 L1 U1 V1 A2 B2 C2 L2 B3' | fill=FF00B0F0 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C13 | value='B1' | fill=FFFFFFFF | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='A1' | fill=FFFFFFFF | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='E1 F1 L1' | fill=FFFFFFFF | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='E1 F1 I1 K1 M1' | fill=FFFFFFFF | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='C1 D1 L1' | fill=FFFFFFFF | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='C1 D1 H1 I1 J1 L1' | fill=FFFFFFFF | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='L1' | fill=FFFFFFFF | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='F1 L1' | fill=FFFFFFFF | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='D1 F1 L1' | fill=FFFFFFFF | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='F1 L1' | fill=FFFFFFFF | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='D1 L1' | fill=FFFFFFFF | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='C1 E1 F1 G1 H1 I1 J1 K1 M1' | fill=FFFFFFFF | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='D1 L1' | fill=FFFFFFFF | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='A2 B2 C2 R2 B3' | fill=FFFFFFFF | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='A2 B2 C2 R2 B3' | fill=FFFFFFFF | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='A2 B2 C2 R2 B3' | fill=FFFFFFFF | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell T13 | value='B3' | fill=FFFFFFFF | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='U1 V1 F2 L2 Q2 V2 Z2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='A2 B2 C2 R2 T2 B3' | fill=FFFFFFFF | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W13 | value='S1 X1 Z1 A2 B2 C2 D2 J2 K2 M2 P2 R2 S2 T2 X2 A3 C3' | fill=FFFFFFFF | rows=[12] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X13 | value='S1 X1 Z1 A2 B2 C2 D2 J2 K2 M2 P2 R2 S2 T2 X2 A3 C3' | fill=FFFFFFFF | rows=[12] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y13 | value='B3' | fill=FFFFFFFF | rows=[12] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z13 | value='U1 V1 B3' | fill=FFFFFFFF | rows=[12] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA13 | value='B3' | fill=FFFFFFFF | rows=[12] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB13 | value='U1 V1 L2 B3' | fill=FFFFFFFF | rows=[12] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC13 | value='N1 O1 P1 T1 U1 V1 L2 Q2 V2 Z2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD13 | value='N1 O1 P1 T1 U1 V1 F2 H2 L2 Q2 V2 Z2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE13 | value='N1 O1 P1 T1 U1 V1 F2 H2 L2 Q2 V2 Z2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF13 | value='U1 V1 L2 Q2 V2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG13 | value='B3' | fill=FFFFFFFF | rows=[12] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH13 | value='S1 B2 C2 R2' | fill=FFFFFFFF | rows=[12] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI13 | value='B3' | fill=FFFFFFFF | rows=[12] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ13 | value='B2 C2 B3' | fill=FFFFFFFF | rows=[12] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL13 | value='U1 V1 L2 B3' | fill=FFFFFFFF | rows=[12] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM13 | value='U1 V1 L2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN13 | value='S1 Z1 A2 B2 C2 D2 J2 K2 R2 T2 B3 C3' | fill=FFFFFFFF | rows=[12] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO13 | value='U1 V1 B3' | fill=FFFFFFFF | rows=[12] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AR13 | value='U1 V1 B3' | fill=FFFFFFFF | rows=[12] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS13 | value='S1 A2 B2 C2 D2 R2 T2 X2' | fill=FFFFFFFF | rows=[12] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT13 | value='N1 O1 P1 T1 U1 V1 F2 L2 Q2 V2 Z2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU13 | value='U1 V1 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV13 | value='T1 U1 V1 L2 Q2 Z2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AX13 | value='S1 A2 B2 C2 D2 R2 X2' | fill=FFFFFFFF | rows=[12] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY13 | value='B3' | fill=FFFFFFFF | rows=[12] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ13 | value='U1 V1 Q2 V2 B3 D3' | fill=FFFFFFFF | rows=[12] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BB13 | value='S1 A2 B2 C2 R2 T2' | fill=FFFFFFFF | rows=[12] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC13 | value='U1 V1 B3' | fill=FFFFFFFF | rows=[12] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD13 | value='N1 O1 P1 R1 S1 T1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 G2 H2 J2 K2 L2 M2 P2 R2 S2 T2 W2 X2 A3 C3' | fill=FFFFFFFF | rows=[12] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE13 | value='U1 V1 L2 B3' | fill=FFFFFFFF | rows=[12] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF13 | value='S1 A2 B2 C2 D2 K2 R2 S2 T2 X2' | fill=FFFFFFFF | rows=[12] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Auto-renewal where the money is automatically taken from your account' | fill=FF00B050 | rows=[13, 14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='0.05' | fill=FF00B0F0 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C14 | value='0.03' | fill=FFFFFFFF | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='0.06' | fill=FFFFFFFF | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0.04' | fill=FFFFFFFF | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0.01' | fill=FFFFFFFF | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0.02' | fill=FFFFFFFF | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0.09' | fill=FFFFFFFF | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='0.12' | fill=FFFFFFFF | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0.02' | fill=FFFFFFFF | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0.11' | fill=FFFFFFFF | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='0.07' | fill=FFFFFFFF | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='0.02' | fill=FFFFFFFF | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='0.01' | fill=FFFFFFFF | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='0.01' | fill=FFFFFFFF | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='0.01' | fill=FFFFFFFF | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='0.03' | fill=FFFFFFFF | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='0.24' | fill=FFFFFFFF | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell W14 | value='0.03' | fill=FFFFFFFF | rows=[13] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell AA14 | value='0.02' | fill=FFFFFFFF | rows=[13] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB14 | value='0.02' | fill=FFFFFFFF | rows=[13] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC14 | value='0.17' | fill=FFFFFFFF | rows=[13] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD14 | value='0.07' | fill=FFFFFFFF | rows=[13] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE14 | value='0.17' | fill=FFFFFFFF | rows=[13] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF14 | value='0.17' | fill=FFFFFFFF | rows=[13] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG14 | value='0.11' | fill=FFFFFFFF | rows=[13] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH14 | value='0.01' | fill=FFFFFFFF | rows=[13] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI14 | value='0.03' | fill=FFFFFFFF | rows=[13] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL14 | value='0.03' | fill=FFFFFFFF | rows=[13] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM14 | value='0.1' | fill=FFFFFFFF | rows=[13] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN14 | value='0.2' | fill=FFFFFFFF | rows=[13] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO14 | value='0.01' | fill=FFFFFFFF | rows=[13] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AR14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AT14 | value='0.02' | fill=FFFFFFFF | rows=[13] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU14 | value='0.12' | fill=FFFFFFFF | rows=[13] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV14 | value='0.03' | fill=FFFFFFFF | rows=[13] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AX14 | value='0.08' | fill=FFFFFFFF | rows=[13] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY14 | value='0.03' | fill=FFFFFFFF | rows=[13] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ14 | value='0.01' | fill=FFFFFFFF | rows=[13] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BD14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE14 | value='0.16' | fill=FFFFFFFF | rows=[13] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell B15 | value='D1 F1 G1 I1 R1 T1 A2 C2 D2 L2 C3' | fill=FF00B0F0 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C15 | value='B1' | fill=FFFFFFFF | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='A1' | fill=FFFFFFFF | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='F1 G1 I1' | fill=FFFFFFFF | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='F1 G1 I1 K1' | fill=FFFFFFFF | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='F1 G1 I1 K1' | fill=FFFFFFFF | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='C1 D1 E1 H1 J1 L1' | fill=FFFFFFFF | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='C1 D1 E1 H1 J1 L1' | fill=FFFFFFFF | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='F1 G1 I1' | fill=FFFFFFFF | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='C1 D1 E1 H1 J1 L1 M1' | fill=FFFFFFFF | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='F1 G1 I1 K1' | fill=FFFFFFFF | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='D1 E1 J1' | fill=FFFFFFFF | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='F1 G1 I1' | fill=FFFFFFFF | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='I1' | fill=FFFFFFFF | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='R1 A2 B2 C2 D2 E2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='R1 A2 B2 C2 D2 E2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='R1 A2 C2 D2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell T15 | value='N1 O1 P1 S1 T1 U1 V1 X1 Z1 H2 J2 Q2 R2 Z2 B3' | fill=FFFFFFFF | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='R1 A2 C2 D2 L2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='R1 U1 A2 B2 C2 D2 E2 G2 J2 K2 L2 S2 T2 V2 W2 C3' | fill=FFFFFFFF | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W15 | value='R1 T1 A2 C2 D2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X15 | value='R1 A2 C2 D2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Z15 | value='R1 A2 C2 D2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA15 | value='A2 C2 D2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB15 | value='R1 A2 C2 D2 L2 S2 C3' | fill=FFFFFFFF | rows=[14] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC15 | value='N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 H2 J2 M2 P2 Q2 R2 T2 Z2 A3 B3' | fill=FFFFFFFF | rows=[14] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD15 | value='N1 O1 T1 A2 C2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE15 | value='N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 H2 J2 P2 Q2 R2 T2 Z2 A3 B3' | fill=FFFFFFFF | rows=[14] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF15 | value='N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 H2 J2 P2 Q2 R2 Z2 A3 B3' | fill=FFFFFFFF | rows=[14] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG15 | value='N1 O1 T1' | fill=FFFFFFFF | rows=[14] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH15 | value='L2' | fill=FFFFFFFF | rows=[14] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI15 | value='T1 L2' | fill=FFFFFFFF | rows=[14] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ15 | value='R1 A2 C2 D2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL15 | value='R1 T1 A2 C2 D2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM15 | value='N1 O1 P1 T1 V1 X1 H2 Q2 Z2 B3' | fill=FFFFFFFF | rows=[14] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN15 | value='N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 F2 G2 H2 J2 M2 P2 Q2 R2 T2 X2 Z2 A3 B3' | fill=FFFFFFFF | rows=[14] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO15 | value='A2 L2' | fill=FFFFFFFF | rows=[14] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AR15 | value='A2 C2 D2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS15 | value='R1 A2 C2 D2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT15 | value='R1 A2 C2 D2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU15 | value='N1 O1 P1 T1 V1 X1 Z1 H2 Q2 Z2 B3' | fill=FFFFFFFF | rows=[14] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV15 | value='T1 A2 C2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AX15 | value='N1 O1 P1 S1 T1 V1 X1 H2 Q2 Z2 B3' | fill=FFFFFFFF | rows=[14] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY15 | value='T1' | fill=FFFFFFFF | rows=[14] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ15 | value='L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BB15 | value='R1 A2 C2 D2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC15 | value='A2 C2 D2 L2 C3' | fill=FFFFFFFF | rows=[14] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD15 | value='R1 A2 C2 D2 K2 L2 S2 V2 C3' | fill=FFFFFFFF | rows=[14] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE15 | value='N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 H2 J2 P2 Q2 R2 T2 X2 Z2 A3 B3' | fill=FFFFFFFF | rows=[14] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Online, from a website where private individuals sell to each other, such as eBay or Airbnb' | fill=FF00B050 | rows=[15, 16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='0.03' | fill=FF00B0F0 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C16 | value='0.05' | fill=FFFFFFFF | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='0.04' | fill=FFFFFFFF | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0.08' | fill=FFFFFFFF | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='0.04' | fill=FFFFFFFF | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='0.02' | fill=FFFFFFFF | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0.02' | fill=FFFFFFFF | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='0.04' | fill=FFFFFFFF | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='0' | fill=FFFFFFFF | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='0' | fill=FFFFFFFF | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='0.05' | fill=FFFFFFFF | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='0.06' | fill=FFFFFFFF | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='0.37' | fill=FFFFFFFF | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='0' | fill=FFFFFFFF | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell V16 | value='0.08' | fill=FFFFFFFF | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W16 | value='0.08' | fill=FFFFFFFF | rows=[15] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X16 | value='0.13' | fill=FFFFFFFF | rows=[15] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Z16 | value='0.14' | fill=FFFFFFFF | rows=[15] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA16 | value='0.02' | fill=FFFFFFFF | rows=[15] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB16 | value='0' | fill=FFFFFFFF | rows=[15] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AG16 | value='0.02' | fill=FFFFFFFF | rows=[15] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AI16 | value='0.03' | fill=FFFFFFFF | rows=[15] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ16 | value='0.01' | fill=FFFFFFFF | rows=[15] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL16 | value='0.02' | fill=FFFFFFFF | rows=[15] | cols=[37] | col_header=False | row_header=False | metadata=False
