=== science-table50.xlsx ===
Cell A1 | value='Quantification of Brca1;Trp53 confetti clone sizes in nulliparous and parous glands used for Extended Data Figure 10b,c' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6] | col_header=True | row_header=True | metadata=True
Cell C250 | value='6' | fill=00000000 | rows=[249] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B251 | value='33' | fill=00000000 | rows=[250] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C251 | value='58' | fill=00000000 | rows=[250] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B252 | value='2' | fill=00000000 | rows=[251] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C252 | value='113' | fill=00000000 | rows=[251] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B253 | value='1' | fill=00000000 | rows=[252] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C253 | value='45' | fill=00000000 | rows=[252] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B254 | value='2' | fill=00000000 | rows=[253] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C254 | value='77' | fill=00000000 | rows=[253] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B255 | value='2' | fill=00000000 | rows=[254] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C255 | value='29' | fill=00000000 | rows=[254] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B256 | value='2' | fill=00000000 | rows=[255] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C256 | value='17' | fill=00000000 | rows=[255] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B257 | value='58' | fill=00000000 | rows=[256] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C257 | value='35' | fill=00000000 | rows=[256] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B258 | value='4' | fill=00000000 | rows=[257] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C258 | value='4' | fill=00000000 | rows=[257] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B259 | value='1' | fill=00000000 | rows=[258] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C259 | value='33' | fill=00000000 | rows=[258] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B260 | value='2' | fill=00000000 | rows=[259] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C260 | value='32' | fill=00000000 | rows=[259] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B261 | value='15' | fill=00000000 | rows=[260] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C261 | value='39' | fill=00000000 | rows=[260] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B262 | value='2399' | fill=FFFF0000 | rows=[261] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C262 | value='12' | fill=00000000 | rows=[261] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B263 | value='5' | fill=00000000 | rows=[262] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C263 | value='55' | fill=00000000 | rows=[262] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B264 | value='5' | fill=00000000 | rows=[263] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C264 | value='8' | fill=00000000 | rows=[263] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B265 | value='30' | fill=00000000 | rows=[264] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C265 | value='27' | fill=00000000 | rows=[264] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B266 | value='7' | fill=00000000 | rows=[265] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C266 | value='47' | fill=00000000 | rows=[265] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B267 | value='12' | fill=00000000 | rows=[266] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C267 | value='14' | fill=00000000 | rows=[266] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B268 | value='27' | fill=00000000 | rows=[267] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C268 | value='18' | fill=00000000 | rows=[267] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B269 | value='383' | fill=00000000 | rows=[268] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C269 | value='16' | fill=00000000 | rows=[268] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B270 | value='1986' | fill=FFFF0000 | rows=[269] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C270 | value='28' | fill=00000000 | rows=[269] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B271 | value='149' | fill=00000000 | rows=[270] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C271 | value='99' | fill=00000000 | rows=[270] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B272 | value='553' | fill=00000000 | rows=[271] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C272 | value='37' | fill=00000000 | rows=[271] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B273 | value='359' | fill=00000000 | rows=[272] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C273 | value='26' | fill=00000000 | rows=[272] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B274 | value='199' | fill=00000000 | rows=[273] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C274 | value='19' | fill=00000000 | rows=[273] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B275 | value='41' | fill=00000000 | rows=[274] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C275 | value='7' | fill=00000000 | rows=[274] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B276 | value='25' | fill=00000000 | rows=[275] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C276 | value='66' | fill=00000000 | rows=[275] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B277 | value='10' | fill=00000000 | rows=[276] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C277 | value='15' | fill=00000000 | rows=[276] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B278 | value='473' | fill=00000000 | rows=[277] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C278 | value='47' | fill=00000000 | rows=[277] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B279 | value='159' | fill=00000000 | rows=[278] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C279 | value='55' | fill=00000000 | rows=[278] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B280 | value='2862' | fill=FFFF0000 | rows=[279] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C280 | value='34' | fill=00000000 | rows=[279] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B281 | value='18' | fill=00000000 | rows=[280] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C281 | value='117' | fill=00000000 | rows=[280] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B282 | value='12' | fill=00000000 | rows=[281] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C282 | value='6' | fill=00000000 | rows=[281] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B283 | value='2' | fill=00000000 | rows=[282] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C283 | value='10' | fill=00000000 | rows=[282] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B284 | value='8' | fill=00000000 | rows=[283] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C284 | value='40' | fill=2 | rows=[283] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B285 | value='8' | fill=00000000 | rows=[284] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C285 | value='18' | fill=2 | rows=[284] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B286 | value='2' | fill=00000000 | rows=[285] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C286 | value='235' | fill=00000000 | rows=[285] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B287 | value='1' | fill=00000000 | rows=[286] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C287 | value='96' | fill=00000000 | rows=[286] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B288 | value='1' | fill=00000000 | rows=[287] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C288 | value='25' | fill=00000000 | rows=[287] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B289 | value='1806' | fill=00000000 | rows=[288] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C289 | value='38' | fill=00000000 | rows=[288] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B290 | value='338' | fill=00000000 | rows=[289] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C290 | value='4' | fill=00000000 | rows=[289] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B291 | value='439' | fill=00000000 | rows=[290] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C291 | value='1' | fill=00000000 | rows=[290] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B292 | value='1' | fill=00000000 | rows=[291] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C292 | value='16' | fill=00000000 | rows=[291] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B293 | value='69' | fill=00000000 | rows=[292] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C293 | value='10' | fill=00000000 | rows=[292] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B294 | value='29' | fill=00000000 | rows=[293] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C294 | value='10' | fill=00000000 | rows=[293] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B295 | value='15' | fill=00000000 | rows=[294] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C295 | value='20' | fill=00000000 | rows=[294] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B296 | value='1' | fill=00000000 | rows=[295] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C296 | value='73' | fill=00000000 | rows=[295] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B297 | value='1' | fill=00000000 | rows=[296] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C297 | value='54' | fill=00000000 | rows=[296] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B298 | value='16' | fill=00000000 | rows=[297] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C298 | value='44' | fill=00000000 | rows=[297] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B299 | value='48' | fill=00000000 | rows=[298] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C299 | value='145' | fill=00000000 | rows=[298] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B300 | value='43' | fill=00000000 | rows=[299] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C300 | value='18' | fill=00000000 | rows=[299] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B301 | value='107' | fill=00000000 | rows=[300] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C301 | value='4' | fill=00000000 | rows=[300] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B302 | value='1964' | fill=FFFF0000 | rows=[301] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C302 | value='18' | fill=00000000 | rows=[301] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B303 | value='66' | fill=00000000 | rows=[302] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C303 | value='13' | fill=2 | rows=[302] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B304 | value='201' | fill=00000000 | rows=[303] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C304 | value='2' | fill=00000000 | rows=[303] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B305 | value='194' | fill=00000000 | rows=[304] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C305 | value='35' | fill=00000000 | rows=[304] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B306 | value='157' | fill=00000000 | rows=[305] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C306 | value='35' | fill=00000000 | rows=[305] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B307 | value='745' | fill=00000000 | rows=[306] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C307 | value='9' | fill=00000000 | rows=[306] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B308 | value='1026' | fill=FFFF0000 | rows=[307] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C308 | value='5' | fill=00000000 | rows=[307] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B309 | value='160' | fill=00000000 | rows=[308] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C309 | value='16' | fill=00000000 | rows=[308] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B310 | value='72' | fill=00000000 | rows=[309] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C310 | value='5' | fill=00000000 | rows=[309] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B311 | value='153' | fill=00000000 | rows=[310] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C311 | value='89' | fill=00000000 | rows=[310] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B312 | value='196' | fill=00000000 | rows=[311] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C312 | value='33' | fill=00000000 | rows=[311] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B313 | value='99' | fill=00000000 | rows=[312] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C313 | value='9' | fill=00000000 | rows=[312] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B314 | value='83' | fill=00000000 | rows=[313] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C314 | value='20' | fill=00000000 | rows=[313] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B315 | value='1' | fill=00000000 | rows=[314] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C315 | value='3' | fill=00000000 | rows=[314] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B316 | value='1' | fill=00000000 | rows=[315] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C316 | value='10' | fill=00000000 | rows=[315] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B317 | value='2' | fill=00000000 | rows=[316] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C317 | value='33' | fill=00000000 | rows=[316] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B318 | value='3' | fill=00000000 | rows=[317] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C318 | value='472' | fill=00000000 | rows=[317] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B319 | value='683' | fill=00000000 | rows=[318] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C319 | value='2' | fill=00000000 | rows=[318] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B320 | value='453' | fill=00000000 | rows=[319] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C320 | value='1' | fill=2 | rows=[319] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B321 | value='347' | fill=00000000 | rows=[320] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C321 | value='13' | fill=00000000 | rows=[320] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B322 | value='131' | fill=00000000 | rows=[321] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C322 | value='51' | fill=00000000 | rows=[321] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B323 | value='297' | fill=00000000 | rows=[322] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C323 | value='114' | fill=00000000 | rows=[322] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B324 | value='499' | fill=00000000 | rows=[323] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C324 | value='53' | fill=00000000 | rows=[323] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B325 | value='605' | fill=00000000 | rows=[324] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C325 | value='28' | fill=00000000 | rows=[324] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B326 | value='29' | fill=00000000 | rows=[325] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C326 | value='74' | fill=00000000 | rows=[325] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B327 | value='289' | fill=00000000 | rows=[326] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C327 | value='46' | fill=00000000 | rows=[326] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B328 | value='1811' | fill=00000000 | rows=[327] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C328 | value='46' | fill=00000000 | rows=[327] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B329 | value='742' | fill=00000000 | rows=[328] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C329 | value='10' | fill=00000000 | rows=[328] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B330 | value='2144' | fill=00000000 | rows=[329] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C330 | value='2' | fill=00000000 | rows=[329] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B331 | value='6' | fill=00000000 | rows=[330] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C331 | value='3' | fill=00000000 | rows=[330] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B332 | value='59' | fill=00000000 | rows=[331] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C332 | value='3' | fill=00000000 | rows=[331] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B333 | value='3' | fill=00000000 | rows=[332] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C333 | value='24' | fill=00000000 | rows=[332] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B334 | value='2' | fill=00000000 | rows=[333] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C334 | value='25' | fill=00000000 | rows=[333] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B335 | value='1' | fill=00000000 | rows=[334] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C335 | value='52' | fill=00000000 | rows=[334] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B336 | value='20' | fill=00000000 | rows=[335] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C336 | value='30' | fill=00000000 | rows=[335] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B337 | value='2' | fill=00000000 | rows=[336] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C337 | value='29' | fill=00000000 | rows=[336] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B338 | value='2' | fill=00000000 | rows=[337] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C338 | value='3' | fill=00000000 | rows=[337] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B339 | value='3' | fill=00000000 | rows=[338] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C339 | value='4' | fill=00000000 | rows=[338] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B340 | value='1' | fill=00000000 | rows=[339] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C340 | value='3' | fill=00000000 | rows=[339] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B341 | value='1' | fill=00000000 | rows=[340] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C341 | value='17' | fill=00000000 | rows=[340] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B342 | value='1' | fill=00000000 | rows=[341] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C342 | value='22' | fill=00000000 | rows=[341] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B343 | value='1' | fill=00000000 | rows=[342] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C343 | value='44' | fill=00000000 | rows=[342] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B344 | value='310' | fill=00000000 | rows=[343] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C344 | value='13' | fill=00000000 | rows=[343] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B345 | value='752' | fill=00000000 | rows=[344] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C345 | value='42' | fill=00000000 | rows=[344] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B346 | value='375' | fill=00000000 | rows=[345] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C346 | value='21' | fill=00000000 | rows=[345] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B347 | value='1' | fill=00000000 | rows=[346] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C347 | value='22' | fill=00000000 | rows=[346] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B348 | value='1' | fill=00000000 | rows=[347] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C348 | value='3' | fill=00000000 | rows=[347] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B349 | value='1' | fill=00000000 | rows=[348] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C349 | value='10' | fill=00000000 | rows=[348] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B350 | value='837' | fill=00000000 | rows=[349] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C350 | value='129' | fill=00000000 | rows=[349] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B351 | value='2' | fill=00000000 | rows=[350] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C351 | value='14' | fill=2 | rows=[350] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B352 | value='1' | fill=00000000 | rows=[351] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C352 | value='63' | fill=00000000 | rows=[351] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B353 | value='1' | fill=00000000 | rows=[352] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C353 | value='1' | fill=00000000 | rows=[352] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B354 | value='2' | fill=00000000 | rows=[353] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C354 | value='35' | fill=00000000 | rows=[353] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B355 | value='551' | fill=00000000 | rows=[354] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C355 | value='2' | fill=00000000 | rows=[354] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B356 | value='1' | fill=00000000 | rows=[355] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C356 | value='15' | fill=00000000 | rows=[355] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B357 | value='1' | fill=00000000 | rows=[356] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C357 | value='14' | fill=00000000 | rows=[356] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B358 | value='2' | fill=00000000 | rows=[357] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C358 | value='8' | fill=00000000 | rows=[357] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B359 | value='1' | fill=00000000 | rows=[358] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C359 | value='18' | fill=00000000 | rows=[358] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B360 | value='681' | fill=00000000 | rows=[359] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C360 | value='43' | fill=00000000 | rows=[359] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B361 | value='7' | fill=00000000 | rows=[360] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C361 | value='15' | fill=00000000 | rows=[360] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B362 | value='1' | fill=00000000 | rows=[361] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C362 | value='37' | fill=00000000 | rows=[361] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B363 | value='1' | fill=00000000 | rows=[362] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C363 | value='140' | fill=00000000 | rows=[362] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B364 | value='3' | fill=00000000 | rows=[363] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C364 | value='82' | fill=00000000 | rows=[363] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B365 | value='3' | fill=00000000 | rows=[364] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C365 | value='9' | fill=00000000 | rows=[364] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B366 | value='2' | fill=00000000 | rows=[365] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C366 | value='10' | fill=00000000 | rows=[365] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B367 | value='1' | fill=00000000 | rows=[366] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C367 | value='1' | fill=00000000 | rows=[366] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B368 | value='1' | fill=00000000 | rows=[367] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C368 | value='93' | fill=00000000 | rows=[367] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B369 | value='1' | fill=00000000 | rows=[368] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C369 | value='14' | fill=00000000 | rows=[368] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B370 | value='1' | fill=00000000 | rows=[369] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C370 | value='7' | fill=00000000 | rows=[369] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B371 | value='16' | fill=00000000 | rows=[370] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C371 | value='5' | fill=00000000 | rows=[370] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B372 | value='164' | fill=00000000 | rows=[371] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C372 | value='51' | fill=00000000 | rows=[371] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B373 | value='16' | fill=00000000 | rows=[372] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C373 | value='67' | fill=00000000 | rows=[372] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B374 | value='8' | fill=00000000 | rows=[373] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C374 | value='13' | fill=00000000 | rows=[373] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B375 | value='2' | fill=00000000 | rows=[374] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C375 | value='28' | fill=00000000 | rows=[374] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B376 | value='2' | fill=00000000 | rows=[375] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C376 | value='14' | fill=00000000 | rows=[375] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B377 | value='466' | fill=00000000 | rows=[376] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C377 | value='40' | fill=00000000 | rows=[376] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B378 | value='1' | fill=00000000 | rows=[377] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C378 | value='266' | fill=00000000 | rows=[377] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B379 | value='1' | fill=00000000 | rows=[378] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C379 | value='67' | fill=00000000 | rows=[378] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B380 | value='1' | fill=00000000 | rows=[379] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C380 | value='10' | fill=00000000 | rows=[379] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B381 | value='1' | fill=00000000 | rows=[380] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C381 | value='35' | fill=00000000 | rows=[380] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B382 | value='1' | fill=00000000 | rows=[381] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C382 | value='125' | fill=00000000 | rows=[381] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B383 | value='2' | fill=00000000 | rows=[382] | cols=[1] | col_header=False | row_header=False | metadata=False
