=== society-table46.xlsx ===
Cell A1 | value='Selected' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell I36 | value='0' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='NA' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B37 | value='43/44' | fill=9 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='66/67' | fill=9 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E37 | value='Case management of premature babies' | fill=FF00B050 | rows=[36] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H37 | value='0' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='0' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J37 | value='NA' | fill=00000000 | rows=[36] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A38 | value='x' | fill=FF00B0F0 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B38 | value='43' | fill=9 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='66' | fill=9 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E38 | value='Kangaroo-Mother Care (KMC)' | fill=FF00B050 | rows=[37] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H38 | value='0' | fill=00000000 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='0' | fill=00000000 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J38 | value='NA' | fill=00000000 | rows=[37] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B39 | value='44' | fill=9 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='67' | fill=9 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E39 | value='Full supportive care of prematurity' | fill=FF00B050 | rows=[38] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H39 | value='0' | fill=00000000 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='0' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J39 | value='NA' | fill=00000000 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B40 | value='45/46/47' | fill=9 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='68/69' | fill=9 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E40 | value='Case management of neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[39] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H40 | value='1220' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='-0.380578470468268' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J40 | value='3205.646390083229' | fill=00000000 | rows=[39] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A41 | value='x' | fill=FF00B0F0 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B41 | value='45' | fill=9 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='68' | fill=9 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E41 | value='Oral antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[40] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H41 | value='0' | fill=00000000 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='0' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J41 | value='NA' | fill=00000000 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A42 | value='x' | fill=FF00B0F0 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B42 | value='46' | fill=9 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='69' | fill=9 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E42 | value='Injectable antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[41] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H42 | value='0' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='-0.380578470468268' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='0' | fill=00000000 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B43 | value='47' | fill=9 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='70' | fill=9 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E43 | value='Full supportive care for neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[42] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H43 | value='0' | fill=00000000 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='0' | fill=00000000 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J43 | value='NA' | fill=00000000 | rows=[42] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B44 | value='48' | fill=None | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='44' | fill=None | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='Breastfeeding' | fill=FF00B050 | rows=[43, 44, 45] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E44 | value='Breastfeeding' | fill=FF00B050 | rows=[43] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H44 | value='419' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='-0.39997291461564' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J44 | value='1047.5709346535236' | fill=00000000 | rows=[43] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A45 | value='x' | fill=FF00B0F0 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B45 | value='49' | fill=None | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='45' | fill=None | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E45 | value='Complementary feeding - Education only' | fill=FF00B050 | rows=[44] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H45 | value='6' | fill=00000000 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='-1.4822663568214' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J45 | value='4.047855483184893' | fill=00000000 | rows=[44] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A46 | value='x' | fill=FF00B0F0 | rows=[45] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B46 | value='50' | fill=None | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='46' | fill=None | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E46 | value='Complementary feeding - Supplementary feeding + Education' | fill=FF00B050 | rows=[45] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H46 | value='0' | fill=00000000 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I46 | value='-3.26929775897055' | fill=00000000 | rows=[45] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J46 | value='0' | fill=00000000 | rows=[45] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B47 | value='51' | fill=7 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C47 | value='55' | fill=7 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D47 | value='Vaccines' | fill=FF00B050 | rows=[46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E47 | value='BCG - Single dose' | fill=FF00B050 | rows=[46] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H47 | value='0' | fill=00000000 | rows=[46] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I47 | value='-6.36951086569994' | fill=00000000 | rows=[46] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J47 | value='0' | fill=00000000 | rows=[46] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A48 | value='x' | fill=FF00B0F0 | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B48 | value='52' | fill=7 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='56' | fill=7 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E48 | value='Polio - Three doses' | fill=FF00B050 | rows=[47] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H48 | value='0' | fill=00000000 | rows=[47] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I48 | value='-16.5316953493735' | fill=00000000 | rows=[47] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J48 | value='0' | fill=00000000 | rows=[47] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell E49 | value='Pentavalent' | fill=FF00B050 | rows=[48] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A50 | value='x' | fill=FF00B0F0 | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B50 | value='53' | fill=7 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='57' | fill=7 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E50 | value='DPT - Three doses' | fill=FF00B050 | rows=[49] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H50 | value='60' | fill=00000000 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I50 | value='-16.3380185837741' | fill=00000000 | rows=[49] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J50 | value='3.67241594764669' | fill=00000000 | rows=[49] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A51 | value='x' | fill=FF00B0F0 | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B51 | value='54' | fill=7 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='58' | fill=7 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E51 | value='Hib - Three doses' | fill=FF00B050 | rows=[50] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H51 | value='63' | fill=00000000 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I51 | value='-16.3380185837741' | fill=00000000 | rows=[50] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J51 | value='3.8560367450290247' | fill=00000000 | rows=[50] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A52 | value='x' | fill=FF00B0F0 | rows=[51] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B52 | value='55' | fill=7 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='59' | fill=7 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E52 | value='HepB - Three doses' | fill=FF00B050 | rows=[51] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H52 | value='0' | fill=00000000 | rows=[51] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I52 | value='-16.3380185837741' | fill=00000000 | rows=[51] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J52 | value='0' | fill=00000000 | rows=[51] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A53 | value='x' | fill=FF00B0F0 | rows=[52] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B53 | value='56' | fill=7 | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C53 | value='60' | fill=7 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E53 | value='Pneumococcal - Three doses' | fill=FF00B050 | rows=[52] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H53 | value='66' | fill=00000000 | rows=[52] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I53 | value='-7.2006254638903' | fill=00000000 | rows=[52] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J53 | value='9.16587042764227' | fill=00000000 | rows=[52] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A54 | value='x' | fill=FF00B0F0 | rows=[53] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B54 | value='57' | fill=7 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C54 | value='61' | fill=7 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E54 | value='Rotavirus - Two doses' | fill=FF00B050 | rows=[53] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H54 | value='9' | fill=00000000 | rows=[53] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I54 | value='-0.651088960472949' | fill=00000000 | rows=[53] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J54 | value='13.82299585215272' | fill=00000000 | rows=[53] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A55 | value='x' | fill=FF00B0F0 | rows=[54] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B55 | value='58' | fill=7 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='62' | fill=7 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E55 | value='Meningococcal A - Single dose' | fill=FF00B050 | rows=[54] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H55 | value='0' | fill=00000000 | rows=[54] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I55 | value='0' | fill=00000000 | rows=[54] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J55 | value='NA' | fill=00000000 | rows=[54] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B56 | value='59' | fill=7 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C56 | value='63' | fill=7 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E56 | value='Malaria vaccine - Three doses' | fill=FF00B050 | rows=[55] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H56 | value='0' | fill=00000000 | rows=[55] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I56 | value='0' | fill=00000000 | rows=[55] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J56 | value='NA' | fill=00000000 | rows=[55] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A57 | value='x' | fill=FF00B0F0 | rows=[56] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B57 | value='60' | fill=7 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='64' | fill=7 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E57 | value='Measles - Single dose' | fill=FF00B050 | rows=[56] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H57 | value='16' | fill=00000000 | rows=[56] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I57 | value='-5.32911889126619' | fill=00000000 | rows=[56] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J57 | value='3.0023724984297404' | fill=00000000 | rows=[56] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A58 | value='x' | fill=FF00B0F0 | rows=[57] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B58 | value='61' | fill=5 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='47' | fill=5 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D58 | value='Child Health' | fill=FF00B050 | rows=[57, 58, 59, 60, 61, 62, 63, 64] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E58 | value='Vitamin A supplementation' | fill=FF00B050 | rows=[57] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H58 | value='0' | fill=00000000 | rows=[57] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I58 | value='0' | fill=00000000 | rows=[57] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J58 | value='NA' | fill=00000000 | rows=[57] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A59 | value='x' | fill=FF00B0F0 | rows=[58] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B59 | value='62' | fill=5 | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C59 | value='48' | fill=5 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E59 | value='Zinc supplementation' | fill=FF00B050 | rows=[58] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H59 | value='0' | fill=00000000 | rows=[58] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I59 | value='0' | fill=00000000 | rows=[58] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J59 | value='NA' | fill=00000000 | rows=[58] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A60 | value='x' | fill=FF00B0F0 | rows=[59] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B60 | value='63' | fill=5 | rows=[59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C60 | value='71' | fill=5 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E60 | value='ORS - Oral Rehydration Solution' | fill=FF00B050 | rows=[59] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H60 | value='9' | fill=00000000 | rows=[59] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I60 | value='-66.1430901531015' | fill=00000000 | rows=[59] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J60 | value='0.136068635123755' | fill=00000000 | rows=[59] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A61 | value='x' | fill=FF00B0F0 | rows=[60] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B61 | value='64' | fill=5 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C61 | value='72' | fill=5 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E61 | value='Antibiotics for treatment of dysentery' | fill=FF00B050 | rows=[60] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H61 | value='0' | fill=00000000 | rows=[60] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I61 | value='0' | fill=00000000 | rows=[60] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J61 | value='NA' | fill=00000000 | rows=[60] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A62 | value='x' | fill=FF00B0F0 | rows=[61] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B62 | value='65' | fill=5 | rows=[61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C62 | value='73' | fill=5 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E62 | value='Zinc for treatment of diarrhea' | fill=FF00B050 | rows=[61] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H62 | value='0' | fill=00000000 | rows=[61] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I62 | value='-19.2715188101215' | fill=00000000 | rows=[61] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J62 | value='0' | fill=00000000 | rows=[61] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A63 | value='x' | fill=FF00B0F0 | rows=[62] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B63 | value='66' | fill=5 | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C63 | value='74' | fill=5 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E63 | value='Oral antibiotics for pneumonia' | fill=FF00B050 | rows=[62] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H63 | value='25' | fill=00000000 | rows=[62] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I63 | value='-33.1531748245235' | fill=00000000 | rows=[62] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J63 | value='0.7540755940365454' | fill=00000000 | rows=[62] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A64 | value='x' | fill=FF00B0F0 | rows=[63] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B64 | value='67' | fill=5 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C64 | value='75' | fill=5 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E64 | value='Vitamin A for treatment of measles' | fill=FF00B050 | rows=[63] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H64 | value='0' | fill=00000000 | rows=[63] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I64 | value='0' | fill=00000000 | rows=[63] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J64 | value='NA' | fill=00000000 | rows=[63] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A65 | value='x' | fill=FF00B0F0 | rows=[64] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B65 | value='68' | fill=5 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='76' | fill=5 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E65 | value='ACTs - Artemisinin compounds for treatment of malaria' | fill=FF00B050 | rows=[64] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H65 | value='0' | fill=00000000 | rows=[64] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I65 | value='-49.7931347328513' | fill=00000000 | rows=[64] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J65 | value='0' | fill=00000000 | rows=[64] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B66 | value='69' | fill=4 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C66 | value='77' | fill=4 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D66 | value='Malnutrition' | fill=FF00B050 | rows=[65, 66] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E66 | value='SAM - treatment for severe acute malnutrition' | fill=FF00B050 | rows=[65] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H66 | value='0' | fill=00000000 | rows=[65] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I66 | value='0' | fill=00000000 | rows=[65] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J66 | value='NA' | fill=00000000 | rows=[65] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B67 | value='70' | fill=4 | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='78' | fill=4 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E67 | value='MAM - treatment for moderate acute malnutrition' | fill=FF00B050 | rows=[66] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H67 | value='0' | fill=00000000 | rows=[66] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I67 | value='0' | fill=00000000 | rows=[66] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J67 | value='NA' | fill=00000000 | rows=[66] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B68 | value='71' | fill=8 | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C68 | value='54' | fill=8 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E68 | value='ITN/IRS - Households protected from malaria' | fill=FF00B050 | rows=[67] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H68 | value='0' | fill=00000000 | rows=[67] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I68 | value='0' | fill=00000000 | rows=[67] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J68 | value='NA' | fill=00000000 | rows=[67] | cols=[9] | col_header=False | row_header=False | metadata=False

=== society-table46.xlsx ===
Cell A1 | value='Selected' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Int#' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Int# in LiST' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Lives Saved through Mitigation Measures' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Lives Lost through Added COVID Infections' | fill=FFFFFF00 | rows=[0] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='Benefit-Risk Ratio' | fill=FFFFFF00 | rows=[0] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A2 | value='x' | fill=FF00B0F0 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B2 | value='0' | fill=9 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='0' | fill=9 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='Family Planning' | fill=FF00B050 | rows=[1] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E2 | value='Contraceptive Use' | fill=FF00B050 | rows=[1] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H2 | value='7' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='-6.35338058257318' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='1.1017756466849231' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A3 | value='x' | fill=FF00B0F0 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B3 | value='9' | fill=5 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='14' | fill=5 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='Antenatal Care' | fill=FF00B050 | rows=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E3 | value='Antenatal care (at least 1 visit)' | fill=FF00B050 | rows=[2] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H3 | value='0' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='-2.2800157013136' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='0' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A4 | value='x' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B4 | value='10' | fill=5 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='15' | fill=5 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E4 | value='Antenatal care (at least 4 visits)' | fill=FF00B050 | rows=[3] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H4 | value='0' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='-10.036240628467' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='0' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A5 | value='x' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B5 | value='11' | fill=5 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='16' | fill=5 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E5 | value='TT - Tetanus toxoid vaccination' | fill=FF00B050 | rows=[4] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H5 | value='81' | fill=7 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='-3.70335482961572' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='21.872060260670455' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
