=== science-table18.xlsx ===
Cell A1 | value='Time = 15 min' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell H36 | value='80' | fill=00000000 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='55' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='0' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='55.5555555555556' | fill=00000000 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A38 | value='ROI 5' | fill=FFFFFF00 | rows=[37] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G38 | value='ROI 6' | fill=FFFFFF00 | rows=[37] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B39 | value='M0' | fill=FFFFFF00 | rows=[38] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C39 | value='IFN-y' | fill=FFFFFF00 | rows=[38] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D39 | value='LPS' | fill=FFFFFF00 | rows=[38] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E39 | value='M2' | fill=FFFFFF00 | rows=[38] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H39 | value='M0' | fill=FFFFFF00 | rows=[38] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I39 | value='IFN-y' | fill=FFFFFF00 | rows=[38] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J39 | value='LPS' | fill=FFFFFF00 | rows=[38] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K39 | value='M2' | fill=FFFFFF00 | rows=[38] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A40 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[39] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B40 | value='8' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='44' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='29' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='4' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G40 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[39] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H40 | value='0' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='39' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J40 | value='42' | fill=00000000 | rows=[39] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K40 | value='9' | fill=00000000 | rows=[39] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A41 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[40] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B41 | value='6' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='36' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='0' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='0' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G41 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[40] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H41 | value='0' | fill=00000000 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='29' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J41 | value='9' | fill=00000000 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K41 | value='1' | fill=00000000 | rows=[40] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A42 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[41] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B42 | value='34' | fill=00000000 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='61' | fill=00000000 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='0' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='0' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G42 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[41] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H42 | value='0' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='14' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='69' | fill=00000000 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K42 | value='6' | fill=00000000 | rows=[41] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A43 | value='% Phagocytosis' | fill=FF00B050 | rows=[42] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B43 | value='75' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='81.8181818181818' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='0' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='0' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G43 | value='% Phagocytosis' | fill=FF00B050 | rows=[42] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H43 | value='#DIV/0!' | fill=00000000 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='74.3589743589744' | fill=00000000 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J43 | value='21.4285714285714' | fill=00000000 | rows=[42] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K43 | value='11.1111111111111' | fill=00000000 | rows=[42] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A45 | value='Time = 75 min' | fill=FFFFFF00 | rows=[44] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A46 | value='ROI 1' | fill=FFFFFF00 | rows=[45] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G46 | value='ROI 2' | fill=FFFFFF00 | rows=[45] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B47 | value='M0' | fill=FFFFFF00 | rows=[46] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C47 | value='IFN-y' | fill=FFFFFF00 | rows=[46] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D47 | value='LPS' | fill=FFFFFF00 | rows=[46] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E47 | value='M2' | fill=FFFFFF00 | rows=[46] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H47 | value='M0' | fill=FFFFFF00 | rows=[46] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I47 | value='IFN-y' | fill=FFFFFF00 | rows=[46] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J47 | value='LPS' | fill=FFFFFF00 | rows=[46] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K47 | value='M2' | fill=FFFFFF00 | rows=[46] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A48 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[47] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B48 | value='6' | fill=00000000 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='4' | fill=00000000 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D48 | value='0' | fill=00000000 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='25' | fill=00000000 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G48 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[47] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H48 | value='1' | fill=00000000 | rows=[47] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I48 | value='27' | fill=00000000 | rows=[47] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J48 | value='15' | fill=00000000 | rows=[47] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K48 | value='10' | fill=00000000 | rows=[47] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A49 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[48] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B49 | value='1' | fill=00000000 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='0' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='0' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='0' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G49 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[48] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H49 | value='0' | fill=00000000 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I49 | value='0' | fill=00000000 | rows=[48] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J49 | value='0' | fill=00000000 | rows=[48] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K49 | value='0' | fill=00000000 | rows=[48] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A50 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[49] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B50 | value='12' | fill=00000000 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='0' | fill=00000000 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D50 | value='0' | fill=00000000 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='0' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G50 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[49] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H50 | value='0' | fill=00000000 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I50 | value='0' | fill=00000000 | rows=[49] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J50 | value='0' | fill=00000000 | rows=[49] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K50 | value='0' | fill=00000000 | rows=[49] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A51 | value='% Phagocytosis' | fill=FF00B050 | rows=[50] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B51 | value='16.6666666666667' | fill=00000000 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='0' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D51 | value='#DIV/0!' | fill=00000000 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E51 | value='0' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G51 | value='% Phagocytosis' | fill=FF00B050 | rows=[50] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H51 | value='0' | fill=00000000 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I51 | value='0' | fill=00000000 | rows=[50] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J51 | value='0' | fill=00000000 | rows=[50] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K51 | value='0' | fill=00000000 | rows=[50] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A53 | value='ROI 3' | fill=FFFFFF00 | rows=[52] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G53 | value='ROI 4' | fill=FFFFFF00 | rows=[52] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B54 | value='M0' | fill=FFFFFF00 | rows=[53] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C54 | value='IFN-y' | fill=FFFFFF00 | rows=[53] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D54 | value='LPS' | fill=FFFFFF00 | rows=[53] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E54 | value='M2' | fill=FFFFFF00 | rows=[53] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H54 | value='M0' | fill=FFFFFF00 | rows=[53] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I54 | value='IFN-y' | fill=FFFFFF00 | rows=[53] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J54 | value='LPS' | fill=FFFFFF00 | rows=[53] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K54 | value='M2' | fill=FFFFFF00 | rows=[53] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A55 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B55 | value='1' | fill=00000000 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='18' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='20' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='12' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G55 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[54] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H55 | value='12' | fill=00000000 | rows=[54] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I55 | value='230' | fill=00000000 | rows=[54] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J55 | value='40' | fill=00000000 | rows=[54] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K55 | value='9' | fill=00000000 | rows=[54] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A56 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[55] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B56 | value='0' | fill=00000000 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C56 | value='0' | fill=00000000 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D56 | value='1' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='0' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G56 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[55] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H56 | value='9' | fill=00000000 | rows=[55] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I56 | value='90' | fill=00000000 | rows=[55] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J56 | value='0' | fill=00000000 | rows=[55] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K56 | value='3' | fill=00000000 | rows=[55] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A57 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[56] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B57 | value='0' | fill=00000000 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='0' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D57 | value='2' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='0' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G57 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[56] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H57 | value='37' | fill=00000000 | rows=[56] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I57 | value='230' | fill=00000000 | rows=[56] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J57 | value='0' | fill=00000000 | rows=[56] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K57 | value='18' | fill=00000000 | rows=[56] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A58 | value='% Phagocytosis' | fill=FF00B050 | rows=[57] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B58 | value='0' | fill=00000000 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='0' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D58 | value='5' | fill=00000000 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E58 | value='0' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G58 | value='% Phagocytosis' | fill=FF00B050 | rows=[57] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H58 | value='75' | fill=00000000 | rows=[57] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I58 | value='39.1304347826087' | fill=00000000 | rows=[57] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J58 | value='0' | fill=00000000 | rows=[57] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K58 | value='33.3333333333333' | fill=00000000 | rows=[57] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A60 | value='ROI 5' | fill=FFFFFF00 | rows=[59] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G60 | value='ROI 6' | fill=FFFFFF00 | rows=[59] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B61 | value='M0' | fill=FFFFFF00 | rows=[60] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C61 | value='IFN-y' | fill=FFFFFF00 | rows=[60] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D61 | value='LPS' | fill=FFFFFF00 | rows=[60] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E61 | value='M2' | fill=FFFFFF00 | rows=[60] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H61 | value='M0' | fill=FFFFFF00 | rows=[60] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I61 | value='IFN-y' | fill=FFFFFF00 | rows=[60] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J61 | value='LPS' | fill=FFFFFF00 | rows=[60] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K61 | value='M2' | fill=FFFFFF00 | rows=[60] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A62 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[61] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B62 | value='7' | fill=00000000 | rows=[61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C62 | value='38' | fill=00000000 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D62 | value='16' | fill=00000000 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E62 | value='4' | fill=00000000 | rows=[61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G62 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[61] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H62 | value='0' | fill=00000000 | rows=[61] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I62 | value='28' | fill=00000000 | rows=[61] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J62 | value='47' | fill=00000000 | rows=[61] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K62 | value='8' | fill=00000000 | rows=[61] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A63 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[62] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B63 | value='5' | fill=00000000 | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C63 | value='26' | fill=00000000 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D63 | value='0' | fill=00000000 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='0' | fill=00000000 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G63 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[62] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H63 | value='0' | fill=00000000 | rows=[62] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I63 | value='22' | fill=00000000 | rows=[62] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J63 | value='8' | fill=00000000 | rows=[62] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K63 | value='0' | fill=00000000 | rows=[62] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A64 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[63] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B64 | value='21' | fill=00000000 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C64 | value='116' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D64 | value='0' | fill=00000000 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='0' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G64 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[63] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H64 | value='0' | fill=00000000 | rows=[63] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I64 | value='82' | fill=00000000 | rows=[63] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J64 | value='38' | fill=00000000 | rows=[63] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K64 | value='0' | fill=00000000 | rows=[63] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A65 | value='% Phagocytosis' | fill=FF00B050 | rows=[64] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B65 | value='71.4285714285714' | fill=00000000 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='68.4210526315789' | fill=00000000 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D65 | value='0' | fill=00000000 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E65 | value='0' | fill=00000000 | rows=[64] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G65 | value='% Phagocytosis' | fill=FF00B050 | rows=[64] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H65 | value='#DIV/0!' | fill=00000000 | rows=[64] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I65 | value='78.5714285714286' | fill=00000000 | rows=[64] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J65 | value='17.0212765957447' | fill=00000000 | rows=[64] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K65 | value='0' | fill=00000000 | rows=[64] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A67 | value='Time = 90 min' | fill=FFFFFF00 | rows=[66] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A68 | value='ROI 1' | fill=FFFFFF00 | rows=[67] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G68 | value='ROI 2' | fill=FFFFFF00 | rows=[67] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B69 | value='M0' | fill=FFFFFF00 | rows=[68] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C69 | value='IFN-y' | fill=FFFFFF00 | rows=[68] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D69 | value='LPS' | fill=FFFFFF00 | rows=[68] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E69 | value='M2' | fill=FFFFFF00 | rows=[68] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H69 | value='M0' | fill=FFFFFF00 | rows=[68] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I69 | value='IFN-y' | fill=FFFFFF00 | rows=[68] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J69 | value='LPS' | fill=FFFFFF00 | rows=[68] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K69 | value='M2' | fill=FFFFFF00 | rows=[68] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A70 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[69] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B70 | value='5' | fill=00000000 | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C70 | value='4' | fill=00000000 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D70 | value='0' | fill=00000000 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='26' | fill=00000000 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G70 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[69] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H70 | value='1' | fill=00000000 | rows=[69] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I70 | value='26' | fill=00000000 | rows=[69] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J70 | value='17' | fill=00000000 | rows=[69] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K70 | value='11' | fill=00000000 | rows=[69] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A71 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[70] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B71 | value='3' | fill=00000000 | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C71 | value='0' | fill=00000000 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D71 | value='0' | fill=00000000 | rows=[70] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E71 | value='0' | fill=00000000 | rows=[70] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G71 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[70] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H71 | value='0' | fill=00000000 | rows=[70] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I71 | value='0' | fill=00000000 | rows=[70] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J71 | value='0' | fill=00000000 | rows=[70] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K71 | value='0' | fill=00000000 | rows=[70] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A72 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[71] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B72 | value='9' | fill=00000000 | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C72 | value='0' | fill=00000000 | rows=[71] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D72 | value='0' | fill=00000000 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E72 | value='0' | fill=00000000 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G72 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[71] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H72 | value='0' | fill=00000000 | rows=[71] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I72 | value='0' | fill=00000000 | rows=[71] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J72 | value='0' | fill=00000000 | rows=[71] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K72 | value='0' | fill=00000000 | rows=[71] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A73 | value='% Phagocytosis' | fill=FF00B050 | rows=[72] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B73 | value='60' | fill=00000000 | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
