=== welfare-table08.xlsx ===
Cell A1 | value='Table 4. Employment Cost Index for total compensation(1), for civilian workers, by occupational group and industry' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=True | metadata=True
Cell A33 | value='Hospitals' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='161.3' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='166.7' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='168.4' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='1.2' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='0.8' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='1' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='4.9' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='4.6' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='4.4' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Nursing and residential care facilities' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='161.7' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='166.4' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='167.7' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='1.5' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='0.9' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='0.8' | fill=00000000 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='5' | fill=00000000 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='4.5' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='3.7' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A35 | value='Public administration' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='165.1' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='171' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='174' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='2.4' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='0.9' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='1.8' | fill=00000000 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='4.9' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='6.1' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='5.4' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A37 | value='Footnotes:' | fill=FF00B0F0 | rows=[36] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell A38 | value='(1) Includes wages, salaries, and employer costs for employee benefits.' | fill=FF00B0F0 | rows=[37] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell A39 | value='(2) Includes workers in the private nonfarm economy except those in private households, and workers in the public sector, except the federal government.' | fill=FF00B0F0 | rows=[38] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell A40 | value='(3) The index for this series is not strictly comparable with other series in this table.' | fill=FF00B0F0 | rows=[39] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell A41 | value='(4) Includes mining, construction, and manufacturing.' | fill=FF00B0F0 | rows=[40] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell A42 | value='(5) Includes the following industries: wholesale trade; retail trade; transportation and warehousing; utilities; information; finance and insurance; real estate and rental and leasing; professional and technical services; management of companies and enterprises; administrative and waste services; educational services; health care and social assistance; arts, entertainment and recreation; accommodation and food services; other services, except public administration; and public administration.' | fill=FF00B0F0 | rows=[41] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True
Cell A43 | value='SOURCE: U.S. Bureau of Labor Statistics, National Compensation Survey' | fill=FF00B0F0 | rows=[42] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=False | row_header=False | metadata=True

