=== society-table32.xlsx ===
Cell A1 | value='d' | fill=00000000 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell F55 | value='Point-of-use filtered water' | fill=FF00B050 | rows=[54] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B56 | value='75' | fill=8 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C56 | value='51' | fill=8 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F56 | value='Piped water' | fill=FF00B050 | rows=[55] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B57 | value='76' | fill=8 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='52' | fill=8 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F57 | value='Hand washing with soap' | fill=FF00B050 | rows=[56] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B58 | value='77' | fill=8 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='53' | fill=8 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F58 | value='Hygienic disposal of children's stool' | fill=FF00B050 | rows=[57] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F59 | value='Other' | fill=FF00B050 | rows=[58] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B60 | value='71' | fill=8 | rows=[59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C60 | value='54' | fill=8 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F60 | value='ITN' | fill=FF00B050 | rows=[59] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A61 | value='x' | fill=00000000 | rows=[60] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B61 | value='51' | fill=7 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C61 | value='55' | fill=7 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D61 | value='Vaccines' | fill=FF00B050 | rows=[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70] | cols=[3, 4] | col_header=False | row_header=True | metadata=False
Cell F61 | value='BCG - Single dose' | fill=FF00B050 | rows=[60] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G61 | value='99' | fill=00000000 | rows=[60] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H61 | value='82.17' | fill=00000000 | rows=[60] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I61 | value='95.3172' | fill=00000000 | rows=[60] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A62 | value='x' | fill=00000000 | rows=[61] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B62 | value='52' | fill=7 | rows=[61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C62 | value='56' | fill=7 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F62 | value='Polio - Three doses' | fill=FF00B050 | rows=[61] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G62 | value='99' | fill=00000000 | rows=[61] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H62 | value='82.17' | fill=00000000 | rows=[61] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I62 | value='95.3172' | fill=00000000 | rows=[61] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell F63 | value='Pentavalent' | fill=FF00B050 | rows=[62] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A64 | value='x' | fill=00000000 | rows=[63] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B64 | value='53' | fill=7 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C64 | value='57' | fill=7 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F64 | value='DPT - Three doses' | fill=FF00B050 | rows=[63] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G64 | value='99' | fill=00000000 | rows=[63] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H64 | value='82.17' | fill=00000000 | rows=[63] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I64 | value='95.3172' | fill=00000000 | rows=[63] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A65 | value='x' | fill=00000000 | rows=[64] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B65 | value='54' | fill=7 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='58' | fill=7 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F65 | value='Hib - Three doses' | fill=FF00B050 | rows=[64] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G65 | value='99' | fill=00000000 | rows=[64] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H65 | value='82.17' | fill=00000000 | rows=[64] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I65 | value='95.3172' | fill=00000000 | rows=[64] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A66 | value='x' | fill=00000000 | rows=[65] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B66 | value='55' | fill=7 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C66 | value='59' | fill=7 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F66 | value='HepB - Three doses' | fill=FF00B050 | rows=[65] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G66 | value='99' | fill=00000000 | rows=[65] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H66 | value='82.17' | fill=00000000 | rows=[65] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I66 | value='95.3172' | fill=00000000 | rows=[65] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A67 | value='x' | fill=00000000 | rows=[66] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B67 | value='56' | fill=7 | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='60' | fill=7 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F67 | value='Pneumococcal - Three doses' | fill=FF00B050 | rows=[66] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G67 | value='99' | fill=00000000 | rows=[66] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H67 | value='82.17' | fill=00000000 | rows=[66] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I67 | value='95.3172' | fill=00000000 | rows=[66] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A68 | value='x' | fill=00000000 | rows=[67] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B68 | value='57' | fill=7 | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C68 | value='61' | fill=7 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F68 | value='Rotavirus - Two doses' | fill=FF00B050 | rows=[67] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G68 | value='99' | fill=00000000 | rows=[67] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H68 | value='82.17' | fill=00000000 | rows=[67] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I68 | value='95.3172' | fill=00000000 | rows=[67] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B69 | value='58' | fill=7 | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C69 | value='62' | fill=7 | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F69 | value='Meningococcal A - Single dose' | fill=FF00B050 | rows=[68] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B70 | value='59' | fill=7 | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C70 | value='63' | fill=7 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F70 | value='Malaria vaccine - Three doses' | fill=FF00B050 | rows=[69] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A71 | value='x' | fill=00000000 | rows=[70] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B71 | value='60' | fill=7 | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C71 | value='64' | fill=7 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F71 | value='Measles - Single dose' | fill=FF00B050 | rows=[70] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G71 | value='99' | fill=00000000 | rows=[70] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H71 | value='82.17' | fill=00000000 | rows=[70] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I71 | value='95.3172' | fill=00000000 | rows=[70] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell D72 | value='Curative Interventions' | fill=FF00B050 | rows=[71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91] | cols=[3, 4] | col_header=False | row_header=True | metadata=False
Cell F72 | value='Maternal' | fill=FF00B050 | rows=[71] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B73 | value='33' | fill=5 | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C73 | value='65' | fill=5 | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F73 | value='Maternal sepsis case management' | fill=FF00B050 | rows=[72] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F74 | value='Neonatal' | fill=FF00B050 | rows=[73] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F75 | value='Case management of premature babies' | fill=FF00B050 | rows=[74] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B76 | value='43' | fill=5 | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C76 | value='66' | fill=5 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F76 | value='Kangaroo-Mother Care (KMC)' | fill=FF00B050 | rows=[75] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B77 | value='44' | fill=5 | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C77 | value='67' | fill=5 | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F77 | value='Full supportive care of prematurity' | fill=FF00B050 | rows=[76] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F78 | value='Case management of neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[77] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B79 | value='45' | fill=5 | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C79 | value='68' | fill=5 | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F79 | value='Oral antibiotics' | fill=FF00B050 | rows=[78] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A80 | value='x' | fill=00000000 | rows=[79] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B80 | value='46' | fill=5 | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C80 | value='69' | fill=5 | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F80 | value='Injectable antibiotics' | fill=FF00B050 | rows=[79] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G80 | value='72.7' | fill=00000000 | rows=[79] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H80 | value='61.068' | fill=00000000 | rows=[79] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I80 | value='70.83888' | fill=00000000 | rows=[79] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B81 | value='47' | fill=5 | rows=[80] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C81 | value='70' | fill=5 | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F81 | value='Full supportive care' | fill=FF00B050 | rows=[80] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F82 | value='Diarrhea' | fill=FF00B050 | rows=[81] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A83 | value='x' | fill=00000000 | rows=[82] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B83 | value='63' | fill=5 | rows=[82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C83 | value='71' | fill=5 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F83 | value='ORS - Oral Rehydration Solution' | fill=FF00B050 | rows=[82] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G83 | value='22.9' | fill=00000000 | rows=[82] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H83 | value='19.007' | fill=00000000 | rows=[82] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I83 | value='22.04812' | fill=00000000 | rows=[82] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B84 | value='64' | fill=5 | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C84 | value='72' | fill=5 | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F84 | value='Antibiotics for treatment of dysentery' | fill=FF00B050 | rows=[83] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B85 | value='65' | fill=5 | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C85 | value='73' | fill=5 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F85 | value='Zinc for treatment of diarrhea' | fill=FF00B050 | rows=[84] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F86 | value='Other infectious diseases' | fill=FF00B050 | rows=[85] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B87 | value='66' | fill=5 | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C87 | value='74' | fill=5 | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F87 | value='Oral antibiotics for pneumonia' | fill=FF00B050 | rows=[86] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A88 | value='x' | fill=00000000 | rows=[87] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B88 | value='67' | fill=5 | rows=[87] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C88 | value='75' | fill=5 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F88 | value='Vitamin A for treatment of measles' | fill=FF00B050 | rows=[87] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G88 | value='99' | fill=00000000 | rows=[87] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H88 | value='82.17' | fill=00000000 | rows=[87] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I88 | value='95.3172' | fill=00000000 | rows=[87] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B89 | value='68' | fill=5 | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C89 | value='76' | fill=5 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F89 | value='ACTs - Artemisinin compounds for treatment of malaria' | fill=FF00B050 | rows=[88] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F90 | value='Malnutrition' | fill=FF00B050 | rows=[89] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B91 | value='69' | fill=5 | rows=[90] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C91 | value='77' | fill=5 | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F91 | value='SAM - treatment for severe acute malnutrition' | fill=FF00B050 | rows=[90] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B92 | value='70' | fill=5 | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C92 | value='78' | fill=5 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F92 | value='MAM - treatment for moderate acute malnutrition' | fill=FF00B050 | rows=[91] | cols=[5] | col_header=False | row_header=True | metadata=False

