=== society-table70.xlsx ===
Cell D1 | value='JSA Sanction Decision Level' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell H15 | value='2017' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='167' | fill=9 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='585' | fill=9 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='-' | fill=9 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='43' | fill=9 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='797' | fill=9 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='119' | fill=9 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='81' | fill=9 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='30' | fill=9 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='42' | fill=9 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='271' | fill=9 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='404' | fill=9 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='40' | fill=9 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='-' | fill=9 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='222' | fill=9 | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W15 | value='660' | fill=9 | rows=[14] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Ethnicity' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='White' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D17 | value='263025' | fill=9 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='332110' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='50703' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='298306' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='944138' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='50547' | fill=9 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='216570' | fill=9 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='336' | fill=9 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='18717' | fill=9 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='286168' | fill=9 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='111289' | fill=9 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='57685' | fill=9 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='23117' | fill=9 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='34746' | fill=9 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='226840' | fill=9 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='342' | fill=9 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='436' | fill=9 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='-' | fill=9 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V17 | value='5691' | fill=9 | rows=[16] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W17 | value='6477' | fill=9 | rows=[16] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Asian or Asian British' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D18 | value='16012' | fill=9 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='22565' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='3191' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='19704' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='61474' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='4762' | fill=9 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='23636' | fill=9 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='60' | fill=9 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='1727' | fill=9 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='30183' | fill=9 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='5926' | fill=9 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='3920' | fill=9 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='1801' | fill=9 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='3146' | fill=9 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='14793' | fill=9 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='20' | fill=9 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='49' | fill=9 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='-' | fill=9 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V18 | value='362' | fill=9 | rows=[17] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W18 | value='425' | fill=9 | rows=[17] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Black or Black British' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D19 | value='23610' | fill=9 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='35048' | fill=9 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='4614' | fill=9 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='29100' | fill=9 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='92366' | fill=9 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='5094' | fill=9 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='22006' | fill=9 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='68' | fill=9 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='1677' | fill=9 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='28839' | fill=9 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='5377' | fill=9 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='3403' | fill=9 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='1267' | fill=9 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='2201' | fill=9 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='12238' | fill=9 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='25' | fill=9 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='56' | fill=9 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='-' | fill=9 | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V19 | value='522' | fill=9 | rows=[18] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W19 | value='610' | fill=9 | rows=[18] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Mixed' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D20 | value='8186' | fill=9 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='11640' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='1719' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='9850' | fill=9 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='31389' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='1445' | fill=9 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='6532' | fill=9 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='8' | fill=9 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='525' | fill=9 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='8513' | fill=9 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='2249' | fill=9 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='1320' | fill=9 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='568' | fill=9 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='948' | fill=9 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='5092' | fill=9 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='7' | fill=9 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='10' | fill=9 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='-' | fill=9 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='152' | fill=9 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W20 | value='168' | fill=9 | rows=[19] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Other/ Chinese' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D21 | value='5203' | fill=9 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='7596' | fill=9 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='1204' | fill=9 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='7557' | fill=9 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='21557' | fill=9 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='2018' | fill=9 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='10878' | fill=9 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='19' | fill=9 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='854' | fill=9 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='13777' | fill=9 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='1941' | fill=9 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='1221' | fill=9 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='615' | fill=9 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='858' | fill=9 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='4641' | fill=9 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='8' | fill=9 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='19' | fill=9 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='-' | fill=9 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='176' | fill=9 | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W21 | value='206' | fill=9 | rows=[20] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Unknown Ethnicity' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D22 | value='25997' | fill=9 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='30363' | fill=9 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='3845' | fill=9 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='23337' | fill=9 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='83542' | fill=9 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='10867' | fill=9 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='25016' | fill=9 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='41' | fill=9 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='1680' | fill=9 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='37603' | fill=9 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='8653' | fill=9 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='5355' | fill=9 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='1666' | fill=9 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='2575' | fill=9 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='18246' | fill=9 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='453' | fill=9 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='110' | fill=9 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='-' | fill=9 | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V22 | value='680' | fill=9 | rows=[21] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W22 | value='1243' | fill=9 | rows=[21] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Gender' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='Male' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D24 | value='242170' | fill=9 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='329029' | fill=9 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='48955' | fill=9 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='288461' | fill=9 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='908625' | fill=9 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='51201' | fill=9 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='219803' | fill=9 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='370' | fill=9 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='17258' | fill=9 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='288634' | fill=9 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='81034' | fill=9 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='50016' | fill=9 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='18821' | fill=9 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='30136' | fill=9 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='180005' | fill=9 | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='234' | fill=9 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='387' | fill=9 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='-' | fill=9 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V24 | value='5102' | fill=9 | rows=[23] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W24 | value='5723' | fill=9 | rows=[23] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Female' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D25 | value='99809' | fill=9 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='110280' | fill=9 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='16304' | fill=9 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='99351' | fill=9 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='325745' | fill=9 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='23513' | fill=9 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='84828' | fill=9 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='160' | fill=9 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='7916' | fill=9 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='116411' | fill=9 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='54397' | fill=9 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='22888' | fill=9 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='10215' | fill=9 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='14328' | fill=9 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='101832' | fill=9 | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='219' | fill=9 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='252' | fill=9 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U25 | value='-' | fill=9 | rows=[24] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V25 | value='2282' | fill=9 | rows=[24] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W25 | value='2758' | fill=9 | rows=[24] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Unknown Gender' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D26 | value='42' | fill=9 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='12' | fill=9 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='8' | fill=9 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='39' | fill=9 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='102' | fill=9 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='17' | fill=9 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='6' | fill=9 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='-' | fill=9 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='12' | fill=9 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='38' | fill=9 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='-' | fill=9 | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='-' | fill=9 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='-' | fill=9 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='9' | fill=9 | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='12' | fill=9 | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='400' | fill=9 | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='40' | fill=9 | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='-' | fill=9 | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V26 | value='206' | fill=9 | rows=[25] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W26 | value='643' | fill=9 | rows=[25] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Disability' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='Disability - Yes' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D28 | value='77806' | fill=9 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='84901' | fill=9 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='12971' | fill=9 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='92779' | fill=9 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='268461' | fill=9 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='18426' | fill=9 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='68194' | fill=9 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='110' | fill=9 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='5700' | fill=9 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='92429' | fill=9 | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='21235' | fill=9 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='10233' | fill=9 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='3811' | fill=9 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='6180' | fill=9 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='41466' | fill=9 | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='70' | fill=9 | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='137' | fill=9 | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U28 | value='-' | fill=9 | rows=[27] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V28 | value='1713' | fill=9 | rows=[27] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W28 | value='1924' | fill=9 | rows=[27] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Disability - No' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D29 | value='264150' | fill=9 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='354391' | fill=9 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='52280' | fill=9 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='294971' | fill=9 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='965798' | fill=9 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='56280' | fill=9 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='236419' | fill=9 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='422' | fill=9 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='19465' | fill=9 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='312582' | fill=9 | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='114195' | fill=9 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='62665' | fill=9 | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='25222' | fill=9 | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='38281' | fill=9 | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='240359' | fill=9 | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='384' | fill=9 | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='504' | fill=9 | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U29 | value='-' | fill=9 | rows=[28] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V29 | value='5661' | fill=9 | rows=[28] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W29 | value='6549' | fill=9 | rows=[28] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Disability - Unknown' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D30 | value='68' | fill=9 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='24' | fill=9 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='11' | fill=9 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='98' | fill=9 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='208' | fill=9 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='27' | fill=9 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='24' | fill=9 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='-' | fill=9 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='22' | fill=9 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='67' | fill=9 | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='8' | fill=9 | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='5' | fill=9 | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='-' | fill=9 | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='11' | fill=9 | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='25' | fill=9 | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S30 | value='400' | fill=9 | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T30 | value='42' | fill=9 | rows=[29] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U30 | value='-' | fill=9 | rows=[29] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V30 | value='209' | fill=9 | rows=[29] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W30 | value='649' | fill=9 | rows=[29] | cols=[22] | col_header=False | row_header=False | metadata=False
