=== health-table03.xlsx ===
Cell B1 | value='Graduates' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell L53 | value='1.44' | fill=00000000 | rows=[52] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B54 | value='Chile' | fill=FF00B050 | rows=[53] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D54 | value='7.52' | fill=00000000 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E54 | value='7.18' | fill=00000000 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F54 | value='8.28' | fill=00000000 | rows=[53] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G54 | value='8.78' | fill=00000000 | rows=[53] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H54 | value='8.36' | fill=00000000 | rows=[53] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I54 | value='8.71' | fill=00000000 | rows=[53] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J54 | value='2.12' | fill=00000000 | rows=[53] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K54 | value='12.96' | fill=00000000 | rows=[53] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L54 | value='10.95' | fill=00000000 | rows=[53] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B55 | value='Colombia' | fill=FF00B050 | rows=[54] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D55 | value='3.94' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='4.34' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F55 | value='4.58' | fill=00000000 | rows=[54] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G55 | value='3.62' | fill=00000000 | rows=[54] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H55 | value='3.11' | fill=00000000 | rows=[54] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I55 | value='3.15' | fill=00000000 | rows=[54] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Czechia' | fill=FF00B050 | rows=[55] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D56 | value='3.75' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='3.44' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F56 | value='3.32' | fill=00000000 | rows=[55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G56 | value='2.96' | fill=00000000 | rows=[55] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H56 | value='2.75' | fill=00000000 | rows=[55] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I56 | value='2.64' | fill=00000000 | rows=[55] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J56 | value='2.81' | fill=00000000 | rows=[55] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K56 | value='2.75' | fill=00000000 | rows=[55] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B57 | value='Denmark' | fill=FF00B050 | rows=[56] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D57 | value='2.62' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='2.08' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F57 | value='1.93' | fill=00000000 | rows=[56] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G57 | value='2.19' | fill=00000000 | rows=[56] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H57 | value='2.25' | fill=00000000 | rows=[56] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I57 | value='2.23' | fill=00000000 | rows=[56] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J57 | value='2.21' | fill=00000000 | rows=[56] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B58 | value='Estonia' | fill=FF00B050 | rows=[57] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D58 | value='2.13' | fill=00000000 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E58 | value='1.9' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F58 | value='1.9' | fill=00000000 | rows=[57] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G58 | value='1.74' | fill=00000000 | rows=[57] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H58 | value='2.19' | fill=00000000 | rows=[57] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I58 | value='2.48' | fill=00000000 | rows=[57] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J58 | value='1.88' | fill=00000000 | rows=[57] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K58 | value='1.85' | fill=00000000 | rows=[57] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L58 | value='1.82' | fill=00000000 | rows=[57] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B59 | value='Finland' | fill=FF00B050 | rows=[58] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D59 | value='2.66' | fill=00000000 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='2.02' | fill=00000000 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F59 | value='2.89' | fill=00000000 | rows=[58] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G59 | value='3.28' | fill=00000000 | rows=[58] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H59 | value='3.4' | fill=00000000 | rows=[58] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I59 | value='3.4' | fill=00000000 | rows=[58] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J59 | value='2.98' | fill=00000000 | rows=[58] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K59 | value='3.26' | fill=00000000 | rows=[58] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B60 | value='France' | fill=FF00B050 | rows=[59] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D60 | value='1.88' | fill=00000000 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E60 | value='1.63' | fill=00000000 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F60 | value='1.92' | fill=00000000 | rows=[59] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G60 | value='1.74' | fill=00000000 | rows=[59] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H60 | value='2.12' | fill=00000000 | rows=[59] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I60 | value='2.19' | fill=00000000 | rows=[59] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J60 | value='2.19' | fill=00000000 | rows=[59] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Germany' | fill=FF00B050 | rows=[60] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D61 | value='2.81' | fill=00000000 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E61 | value='2.93' | fill=00000000 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F61 | value='2.65' | fill=00000000 | rows=[60] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G61 | value='2.67' | fill=00000000 | rows=[60] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H61 | value='2.96' | fill=00000000 | rows=[60] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I61 | value='2.78' | fill=00000000 | rows=[60] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J61 | value='3.07' | fill=00000000 | rows=[60] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K61 | value='2.99' | fill=00000000 | rows=[60] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Greece' | fill=FF00B050 | rows=[61] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D62 | value='2.1' | fill=00000000 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E62 | value='2' | fill=00000000 | rows=[61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F62 | value='1.61' | fill=00000000 | rows=[61] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G62 | value='2.76' | fill=00000000 | rows=[61] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H62 | value='1.9' | fill=00000000 | rows=[61] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I62 | value='2.25' | fill=00000000 | rows=[61] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J62 | value='2.35' | fill=00000000 | rows=[61] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B63 | value='Hungary' | fill=FF00B050 | rows=[62] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D63 | value='3.13' | fill=00000000 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='3.56' | fill=00000000 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F63 | value='3.15' | fill=00000000 | rows=[62] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G63 | value='3.99' | fill=00000000 | rows=[62] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H63 | value='3.27' | fill=00000000 | rows=[62] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I63 | value='3.39' | fill=00000000 | rows=[62] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J63 | value='3.34' | fill=00000000 | rows=[62] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K63 | value='3.9' | fill=00000000 | rows=[62] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B64 | value='Iceland' | fill=FF00B050 | rows=[63] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D64 | value='2.11' | fill=00000000 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='2.09' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F64 | value='2.04' | fill=00000000 | rows=[63] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G64 | value='1.98' | fill=00000000 | rows=[63] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H64 | value='1.94' | fill=00000000 | rows=[63] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I64 | value='1.64' | fill=00000000 | rows=[63] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J64 | value='2.14' | fill=00000000 | rows=[63] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B65 | value='Ireland' | fill=FF00B050 | rows=[64] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D65 | value='1.92' | fill=00000000 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E65 | value='1.69' | fill=00000000 | rows=[64] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F65 | value='1.77' | fill=00000000 | rows=[64] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G65 | value='1.61' | fill=00000000 | rows=[64] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H65 | value='1.93' | fill=00000000 | rows=[64] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I65 | value='1.79' | fill=00000000 | rows=[64] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J65 | value='1.9' | fill=00000000 | rows=[64] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K65 | value='1.76' | fill=00000000 | rows=[64] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B66 | value='Israel' | fill=FF00B050 | rows=[65] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D66 | value='0.61' | fill=00000000 | rows=[65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E66 | value='0.78' | fill=00000000 | rows=[65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F66 | value='0.88' | fill=00000000 | rows=[65] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G66 | value='0.92' | fill=00000000 | rows=[65] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H66 | value='1.01' | fill=00000000 | rows=[65] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I66 | value='0.75' | fill=00000000 | rows=[65] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J66 | value='1.2' | fill=00000000 | rows=[65] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K66 | value='1.78' | fill=00000000 | rows=[65] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B67 | value='Italy' | fill=FF00B050 | rows=[66] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D67 | value='1.04' | fill=00000000 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E67 | value='1.15' | fill=00000000 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F67 | value='1.26' | fill=00000000 | rows=[66] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G67 | value='1.41' | fill=00000000 | rows=[66] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H67 | value='1.54' | fill=00000000 | rows=[66] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I67 | value='1.89' | fill=00000000 | rows=[66] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J67 | value='1.32' | fill=00000000 | rows=[66] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K67 | value='1.43' | fill=00000000 | rows=[66] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Japan' | fill=FF00B050 | rows=[67] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D68 | value='1.61' | fill=00000000 | rows=[67] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E68 | value='1.63' | fill=00000000 | rows=[67] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F68 | value='1.62' | fill=00000000 | rows=[67] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G68 | value='1.65' | fill=00000000 | rows=[67] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H68 | value='1.66' | fill=00000000 | rows=[67] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I68 | value='1.77' | fill=00000000 | rows=[67] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J68 | value='1.74' | fill=00000000 | rows=[67] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K68 | value='1.66' | fill=00000000 | rows=[67] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L68 | value='1.61' | fill=00000000 | rows=[67] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B69 | value='Korea' | fill=FF00B050 | rows=[68] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D69 | value='1.41' | fill=00000000 | rows=[68] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E69 | value='1.49' | fill=00000000 | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F69 | value='1.43' | fill=00000000 | rows=[68] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G69 | value='1.4' | fill=00000000 | rows=[68] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H69 | value='1.45' | fill=00000000 | rows=[68] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I69 | value='1.48' | fill=00000000 | rows=[68] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J69 | value='1.39' | fill=00000000 | rows=[68] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K69 | value='1.42' | fill=00000000 | rows=[68] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L69 | value='1.39' | fill=00000000 | rows=[68] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B70 | value='Latvia' | fill=FF00B050 | rows=[69] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D70 | value='2.48' | fill=00000000 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='2.3' | fill=00000000 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F70 | value='3.24' | fill=00000000 | rows=[69] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G70 | value='2.8' | fill=00000000 | rows=[69] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H70 | value='3.45' | fill=00000000 | rows=[69] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I70 | value='3.16' | fill=00000000 | rows=[69] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J70 | value='3.24' | fill=00000000 | rows=[69] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K70 | value='5.27' | fill=00000000 | rows=[69] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L70 | value='4.92' | fill=00000000 | rows=[69] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B71 | value='Lithuania' | fill=FF00B050 | rows=[70] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D71 | value='6.37' | fill=00000000 | rows=[70] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E71 | value='6' | fill=00000000 | rows=[70] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F71 | value='6.22' | fill=00000000 | rows=[70] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G71 | value='6.42' | fill=00000000 | rows=[70] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H71 | value='5.08' | fill=00000000 | rows=[70] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I71 | value='5.8' | fill=00000000 | rows=[70] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J71 | value='4.95' | fill=00000000 | rows=[70] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K71 | value='5.72' | fill=00000000 | rows=[70] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B72 | value='Mexico' | fill=FF00B050 | rows=[71] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D72 | value='4.09' | fill=00000000 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E72 | value='4.39' | fill=00000000 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F72 | value='6.83' | fill=00000000 | rows=[71] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G72 | value='6.25' | fill=00000000 | rows=[71] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H72 | value='6.39' | fill=00000000 | rows=[71] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I72 | value='4.99' | fill=00000000 | rows=[71] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J72 | value='5.52' | fill=00000000 | rows=[71] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K72 | value='6.4' | fill=00000000 | rows=[71] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B73 | value='Netherlands' | fill=FF00B050 | rows=[72] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D73 | value='1.42' | fill=00000000 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='1.35' | fill=00000000 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F73 | value='1.34' | fill=00000000 | rows=[72] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G73 | value='1.28' | fill=00000000 | rows=[72] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H73 | value='1.33' | fill=00000000 | rows=[72] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I73 | value='1.43' | fill=00000000 | rows=[72] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J73 | value='1.37' | fill=00000000 | rows=[72] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K73 | value='1.47' | fill=00000000 | rows=[72] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B74 | value='New Zealand' | fill=FF00B050 | rows=[73] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D74 | value='2.1' | fill=00000000 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E74 | value='2.18' | fill=00000000 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F74 | value='2.1' | fill=00000000 | rows=[73] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G74 | value='2.06' | fill=00000000 | rows=[73] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H74 | value='2.29' | fill=00000000 | rows=[73] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I74 | value='2.38' | fill=00000000 | rows=[73] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J74 | value='2.39' | fill=00000000 | rows=[73] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K74 | value='1.85' | fill=00000000 | rows=[73] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L74 | value='1.86' | fill=00000000 | rows=[73] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B75 | value='Norway' | fill=FF00B050 | rows=[74] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D75 | value='2.12' | fill=00000000 | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E75 | value='2.85' | fill=00000000 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F75 | value='2.35' | fill=00000000 | rows=[74] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G75 | value='2.26' | fill=00000000 | rows=[74] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H75 | value='2.34' | fill=00000000 | rows=[74] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I75 | value='2.12' | fill=00000000 | rows=[74] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J75 | value='2.31' | fill=00000000 | rows=[74] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K75 | value='1.89' | fill=00000000 | rows=[74] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L75 | value='2.49' | fill=00000000 | rows=[74] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B76 | value='Poland' | fill=FF00B050 | rows=[75] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D76 | value='2.43' | fill=00000000 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='2.41' | fill=00000000 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F76 | value='2.54' | fill=00000000 | rows=[75] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G76 | value='2.75' | fill=00000000 | rows=[75] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H76 | value='2.63' | fill=00000000 | rows=[75] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I76 | value='2.8' | fill=00000000 | rows=[75] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J76 | value='3.11' | fill=00000000 | rows=[75] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K76 | value='3.18' | fill=00000000 | rows=[75] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L76 | value='2.77' | fill=00000000 | rows=[75] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B77 | value='Portugal' | fill=FF00B050 | rows=[76] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D77 | value='6.65' | fill=00000000 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='6.46' | fill=00000000 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F77 | value='6.2' | fill=00000000 | rows=[76] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G77 | value='6.15' | fill=00000000 | rows=[76] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H77 | value='7.43' | fill=00000000 | rows=[76] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I77 | value='8.7' | fill=00000000 | rows=[76] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J77 | value='8.34' | fill=00000000 | rows=[76] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K77 | value='9.02' | fill=00000000 | rows=[76] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Slovak Republic' | fill=FF00B050 | rows=[77] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D78 | value='2.14' | fill=00000000 | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='2.41' | fill=00000000 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F78 | value='2.54' | fill=00000000 | rows=[77] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G78 | value='2.26' | fill=00000000 | rows=[77] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H78 | value='2.93' | fill=00000000 | rows=[77] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I78 | value='2.4' | fill=00000000 | rows=[77] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J78 | value='2.83' | fill=00000000 | rows=[77] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K78 | value='2.61' | fill=00000000 | rows=[77] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B79 | value='Slovenia' | fill=FF00B050 | rows=[78] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell J79 | value='1.99' | fill=00000000 | rows=[78] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K79 | value='2.99' | fill=00000000 | rows=[78] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L79 | value='2.36' | fill=00000000 | rows=[78] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B80 | value='Spain' | fill=FF00B050 | rows=[79] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D80 | value='3.75' | fill=00000000 | rows=[79] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E80 | value='3.72' | fill=00000000 | rows=[79] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F80 | value='3.56' | fill=00000000 | rows=[79] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G80 | value='3.28' | fill=00000000 | rows=[79] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H80 | value='3.32' | fill=00000000 | rows=[79] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I80 | value='3.76' | fill=00000000 | rows=[79] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J80 | value='3.75' | fill=00000000 | rows=[79] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K80 | value='3.89' | fill=00000000 | rows=[79] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B81 | value='Sweden' | fill=FF00B050 | rows=[80] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D81 | value='2.79' | fill=00000000 | rows=[80] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E81 | value='2.39' | fill=00000000 | rows=[80] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F81 | value='2.91' | fill=00000000 | rows=[80] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G81 | value='2.43' | fill=00000000 | rows=[80] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H81 | value='2.59' | fill=00000000 | rows=[80] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I81 | value='2.7' | fill=00000000 | rows=[80] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J81 | value='2.56' | fill=00000000 | rows=[80] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K81 | value='2.72' | fill=00000000 | rows=[80] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B82 | value='Switzerland' | fill=FF00B050 | rows=[81] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D82 | value='1.56' | fill=00000000 | rows=[81] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E82 | value='1.39' | fill=00000000 | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F82 | value='1.36' | fill=00000000 | rows=[81] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G82 | value='1.43' | fill=00000000 | rows=[81] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H82 | value='1.55' | fill=00000000 | rows=[81] | cols=[7] | col_header=False | row_header=False | metadata=False
