=== health-table22.xlsx ===
Cell A1 | value='Knowledge of HST' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | col_header=True | row_header=True | metadata=False
Cell F12 | value='1' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='5' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='1' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='5' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='5' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='5' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='3' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='2' | fill=00000000 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='5' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='5' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='5' | fill=00000000 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='5' | fill=00000000 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='5' | fill=00000000 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='2' | fill=00000000 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='5' | fill=00000000 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='5' | fill=00000000 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='2' | fill=00000000 | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W12 | value='5' | fill=00000000 | rows=[11] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X12 | value='5' | fill=00000000 | rows=[11] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y12 | value='5' | fill=00000000 | rows=[11] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z12 | value='5' | fill=00000000 | rows=[11] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA12 | value='2' | fill=00000000 | rows=[11] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB12 | value='5' | fill=00000000 | rows=[11] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC12 | value='5' | fill=00000000 | rows=[11] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD12 | value='2' | fill=00000000 | rows=[11] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE12 | value='5' | fill=00000000 | rows=[11] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF12 | value='3' | fill=00000000 | rows=[11] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG12 | value='5' | fill=00000000 | rows=[11] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH12 | value='2' | fill=00000000 | rows=[11] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI12 | value='5' | fill=00000000 | rows=[11] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ12 | value='5' | fill=00000000 | rows=[11] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK12 | value='5' | fill=00000000 | rows=[11] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL12 | value='5' | fill=00000000 | rows=[11] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM12 | value='5' | fill=00000000 | rows=[11] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN12 | value='1' | fill=00000000 | rows=[11] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO12 | value='1' | fill=00000000 | rows=[11] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP12 | value='3' | fill=00000000 | rows=[11] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ12 | value='2' | fill=00000000 | rows=[11] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR12 | value='2' | fill=00000000 | rows=[11] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS12 | value='1' | fill=00000000 | rows=[11] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT12 | value='4.13333333333333' | fill=00000000 | rows=[11] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU12 | value='5' | fill=00000000 | rows=[11] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV12 | value='4' | fill=00000000 | rows=[11] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW12 | value='4' | fill=00000000 | rows=[11] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX12 | value='4.625' | fill=00000000 | rows=[11] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A13 | value='4' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='1' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='3' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='5' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='5' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='3' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='3' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='1' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='5' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='5' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='5' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='5' | fill=00000000 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='3' | fill=00000000 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='5' | fill=00000000 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='5' | fill=00000000 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='5' | fill=00000000 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='5' | fill=00000000 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='5' | fill=00000000 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='5' | fill=00000000 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='5' | fill=00000000 | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='5' | fill=00000000 | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='5' | fill=00000000 | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W13 | value='5' | fill=00000000 | rows=[12] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X13 | value='5' | fill=00000000 | rows=[12] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y13 | value='5' | fill=00000000 | rows=[12] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z13 | value='5' | fill=00000000 | rows=[12] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA13 | value='1' | fill=00000000 | rows=[12] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB13 | value='5' | fill=00000000 | rows=[12] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC13 | value='3' | fill=00000000 | rows=[12] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD13 | value='1' | fill=00000000 | rows=[12] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE13 | value='5' | fill=00000000 | rows=[12] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF13 | value='5' | fill=00000000 | rows=[12] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG13 | value='5' | fill=00000000 | rows=[12] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH13 | value='5' | fill=00000000 | rows=[12] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI13 | value='5' | fill=00000000 | rows=[12] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ13 | value='5' | fill=00000000 | rows=[12] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK13 | value='5' | fill=00000000 | rows=[12] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL13 | value='5' | fill=00000000 | rows=[12] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM13 | value='5' | fill=00000000 | rows=[12] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN13 | value='2' | fill=00000000 | rows=[12] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO13 | value='3' | fill=00000000 | rows=[12] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP13 | value='5' | fill=00000000 | rows=[12] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ13 | value='5' | fill=00000000 | rows=[12] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR13 | value='3' | fill=00000000 | rows=[12] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS13 | value='1' | fill=00000000 | rows=[12] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT13 | value='3.86666666666667' | fill=00000000 | rows=[12] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU13 | value='5' | fill=00000000 | rows=[12] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV13 | value='5' | fill=00000000 | rows=[12] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW13 | value='3.33333333333333' | fill=00000000 | rows=[12] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX13 | value='5' | fill=00000000 | rows=[12] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A14 | value='1' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='1' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='1' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='1' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='1' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='4' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='4' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='3' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='5' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='3' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='5' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='4' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='5' | fill=00000000 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='5' | fill=00000000 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='5' | fill=00000000 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='5' | fill=00000000 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='5' | fill=00000000 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='5' | fill=00000000 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='5' | fill=00000000 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='5' | fill=00000000 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='5' | fill=00000000 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V14 | value='5' | fill=00000000 | rows=[13] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W14 | value='5' | fill=00000000 | rows=[13] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X14 | value='5' | fill=00000000 | rows=[13] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y14 | value='1' | fill=00000000 | rows=[13] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z14 | value='5' | fill=00000000 | rows=[13] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA14 | value='1' | fill=00000000 | rows=[13] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB14 | value='5' | fill=00000000 | rows=[13] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC14 | value='5' | fill=00000000 | rows=[13] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD14 | value='4' | fill=00000000 | rows=[13] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE14 | value='5' | fill=00000000 | rows=[13] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF14 | value='1' | fill=00000000 | rows=[13] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG14 | value='5' | fill=00000000 | rows=[13] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH14 | value='5' | fill=00000000 | rows=[13] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI14 | value='5' | fill=00000000 | rows=[13] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ14 | value='5' | fill=00000000 | rows=[13] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK14 | value='3' | fill=00000000 | rows=[13] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL14 | value='3' | fill=00000000 | rows=[13] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM14 | value='5' | fill=00000000 | rows=[13] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN14 | value='2' | fill=00000000 | rows=[13] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO14 | value='3' | fill=00000000 | rows=[13] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP14 | value='4' | fill=00000000 | rows=[13] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ14 | value='5' | fill=00000000 | rows=[13] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR14 | value='2' | fill=00000000 | rows=[13] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS14 | value='1' | fill=00000000 | rows=[13] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT14 | value='3.2' | fill=00000000 | rows=[13] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU14 | value='5' | fill=00000000 | rows=[13] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV14 | value='5' | fill=00000000 | rows=[13] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW14 | value='3.5' | fill=00000000 | rows=[13] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX14 | value='4.5' | fill=00000000 | rows=[13] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A15 | value='5' | fill=00000000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='5' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='1' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='5' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='1' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='5' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='3' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='5' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='3' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='5' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='1' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='3' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='3' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='5' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='5' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='5' | fill=00000000 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='1' | fill=00000000 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='5' | fill=00000000 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='5' | fill=00000000 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='5' | fill=00000000 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='5' | fill=00000000 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='5' | fill=00000000 | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W15 | value='5' | fill=00000000 | rows=[14] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X15 | value='5' | fill=00000000 | rows=[14] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y15 | value='5' | fill=00000000 | rows=[14] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z15 | value='5' | fill=00000000 | rows=[14] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA15 | value='1' | fill=00000000 | rows=[14] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB15 | value='5' | fill=00000000 | rows=[14] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC15 | value='1' | fill=00000000 | rows=[14] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD15 | value='1' | fill=00000000 | rows=[14] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE15 | value='5' | fill=00000000 | rows=[14] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF15 | value='5' | fill=00000000 | rows=[14] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG15 | value='4' | fill=00000000 | rows=[14] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH15 | value='5' | fill=00000000 | rows=[14] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI15 | value='5' | fill=00000000 | rows=[14] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ15 | value='5' | fill=00000000 | rows=[14] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK15 | value='5' | fill=00000000 | rows=[14] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL15 | value='5' | fill=00000000 | rows=[14] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM15 | value='5' | fill=00000000 | rows=[14] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN15 | value='1' | fill=00000000 | rows=[14] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO15 | value='2' | fill=00000000 | rows=[14] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP15 | value='2' | fill=00000000 | rows=[14] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ15 | value='5' | fill=00000000 | rows=[14] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR15 | value='1' | fill=00000000 | rows=[14] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS15 | value='2' | fill=00000000 | rows=[14] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT15 | value='3.66666666666667' | fill=00000000 | rows=[14] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU15 | value='3.66666666666667' | fill=00000000 | rows=[14] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV15 | value='5' | fill=00000000 | rows=[14] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW15 | value='3' | fill=00000000 | rows=[14] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX15 | value='4.875' | fill=00000000 | rows=[14] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A16 | value='1' | fill=00000000 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='1' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='1' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='1' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='1' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='5' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='4' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='3' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='3' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='3' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='5' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='5' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='4' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='5' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='5' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='5' | fill=00000000 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='5' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='5' | fill=00000000 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='5' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='5' | fill=00000000 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='5' | fill=00000000 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V16 | value='5' | fill=00000000 | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W16 | value='5' | fill=00000000 | rows=[15] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X16 | value='5' | fill=00000000 | rows=[15] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y16 | value='5' | fill=00000000 | rows=[15] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z16 | value='1' | fill=00000000 | rows=[15] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA16 | value='1' | fill=00000000 | rows=[15] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB16 | value='1' | fill=00000000 | rows=[15] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC16 | value='5' | fill=00000000 | rows=[15] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD16 | value='1' | fill=00000000 | rows=[15] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE16 | value='5' | fill=00000000 | rows=[15] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF16 | value='5' | fill=00000000 | rows=[15] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG16 | value='5' | fill=00000000 | rows=[15] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH16 | value='3' | fill=00000000 | rows=[15] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI16 | value='5' | fill=00000000 | rows=[15] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ16 | value='5' | fill=00000000 | rows=[15] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK16 | value='5' | fill=00000000 | rows=[15] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL16 | value='5' | fill=00000000 | rows=[15] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM16 | value='5' | fill=00000000 | rows=[15] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN16 | value='2' | fill=00000000 | rows=[15] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO16 | value='2' | fill=00000000 | rows=[15] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP16 | value='5' | fill=00000000 | rows=[15] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ16 | value='6' | fill=00000000 | rows=[15] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR16 | value='4' | fill=00000000 | rows=[15] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS16 | value='2' | fill=00000000 | rows=[15] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT16 | value='3.13333333333333' | fill=00000000 | rows=[15] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU16 | value='5' | fill=00000000 | rows=[15] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV16 | value='5' | fill=00000000 | rows=[15] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW16 | value='2.33333333333333' | fill=00000000 | rows=[15] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX16 | value='4.75' | fill=00000000 | rows=[15] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A17 | value='1' | fill=00000000 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='5' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='1' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='5' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='1' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='5' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='5' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='5' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='5' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='5' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='5' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='5' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='5' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='5' | fill=00000000 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='5' | fill=00000000 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='5' | fill=00000000 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='5' | fill=00000000 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='5' | fill=00000000 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
