=== society-table44.xlsx ===
Cell A1 | value='HIDDEN' | fill=00000000 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell I19 | value='0.0476528' | fill=2 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='0.0468' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='0.054288' | fill=2 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='55500' | fill=None | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='43600' | fill=None | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='43500' | fill=None | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='50400' | fill=None | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='49500' | fill=None | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='57400' | fill=None | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B20 | value='16' | fill=5 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='21' | fill=5 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E20 | value='Multiple micronutrient supplementation in pregnancy' | fill=FF00B050 | rows=[19] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F20 | value='0' | fill=None | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='0' | fill=None | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='0' | fill=None | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='0' | fill=2 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='0' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='0' | fill=2 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='0' | fill=None | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='0' | fill=None | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='0' | fill=None | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='0' | fill=None | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='0' | fill=None | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='0' | fill=None | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B21 | value='17' | fill=5 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='22' | fill=5 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E21 | value='Balanced energy supplementation' | fill=FF00B050 | rows=[20] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F21 | value='0' | fill=None | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='0' | fill=None | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='0' | fill=None | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='0' | fill=2 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='0' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='0' | fill=2 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='0' | fill=None | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='0' | fill=None | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='0' | fill=None | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='0' | fill=None | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='0' | fill=None | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='0' | fill=None | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A22 | value='x' | fill=00000000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='18' | fill=5 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='23' | fill=5 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E22 | value='Hypertensive disorder case management' | fill=FF00B050 | rows=[21] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F22 | value='0.072' | fill=None | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='0.05688' | fill=None | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='0.05688' | fill=None | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='0.0659808' | fill=2 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='0.0648' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='0.075168' | fill=2 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='3800' | fill=None | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='3000' | fill=None | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='3000' | fill=None | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='3500' | fill=None | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='3400' | fill=None | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='4000' | fill=None | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A23 | value='x' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='19' | fill=5 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='24' | fill=5 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E23 | value='Diabetes case management' | fill=FF00B050 | rows=[22] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F23 | value='0.056' | fill=None | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='0.04424' | fill=None | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='0.04424' | fill=None | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='0.0513184' | fill=2 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='0.0504' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='0.058464' | fill=2 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='5300' | fill=None | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='4200' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='4200' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='4800' | fill=None | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='4700' | fill=None | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='5500' | fill=None | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A24 | value='x' | fill=00000000 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='20' | fill=5 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='25' | fill=5 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E24 | value='Malaria case management' | fill=FF00B050 | rows=[23] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F24 | value='0' | fill=None | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='0' | fill=None | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0' | fill=None | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='0' | fill=2 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='0' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='0' | fill=2 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='0' | fill=None | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='0' | fill=None | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='0' | fill=None | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='0' | fill=None | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='0' | fill=None | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='0' | fill=None | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A25 | value='x' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='21' | fill=5 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='26' | fill=5 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E25 | value='MgSO4 management of pre-eclampsia' | fill=FF00B050 | rows=[24] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F25 | value='0.143' | fill=None | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='0.11297' | fill=None | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0.11297' | fill=None | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='0.1310452' | fill=2 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='0.1287' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='0.149292' | fill=2 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='400' | fill=None | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='300' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='300' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='300' | fill=None | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='300' | fill=None | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='400' | fill=None | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A26 | value='x' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='22' | fill=2 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='27' | fill=2 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='Delivery Care/ 
BEmoC/ 
CEmOC' | fill=FF00B050 | rows=[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E26 | value='Health Facility Delivery' | fill=FF00B050 | rows=[25] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F26 | value='0.727' | fill=None | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='0.62522' | fill=None | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0.62522' | fill=None | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='0.7252552' | fill=2 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='0.6543' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='0.758988' | fill=2 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='495600' | fill=None | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='423400' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='421400' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='488800' | fill=None | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='441000' | fill=None | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='511600' | fill=None | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A27 | value='x' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='23' | fill=2 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='28' | fill=2 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Clean birth environment' | fill=FF00B050 | rows=[26] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F27 | value='0.596' | fill=None | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='0.51256' | fill=None | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='0.51256' | fill=None | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='0.5945696' | fill=2 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='0.5364' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='0.622224' | fill=2 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='406300' | fill=None | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='347100' | fill=None | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='345500' | fill=None | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='400800' | fill=None | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='361500' | fill=None | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='419400' | fill=None | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A28 | value='x' | fill=00000000 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='24' | fill=2 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='32' | fill=2 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E28 | value='Manual removal of placenta' | fill=FF00B050 | rows=[27] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F28 | value='0.272' | fill=None | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='0.23392' | fill=None | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='0.23392' | fill=None | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='0.2713472' | fill=2 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='0.2448' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='0.283968' | fill=2 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='3700' | fill=None | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='3200' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='3200' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='3700' | fill=None | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='3300' | fill=None | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='3800' | fill=None | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A29 | value='x' | fill=00000000 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='25' | fill=2 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='33' | fill=2 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E29 | value='MgSO4 management of eclampsia' | fill=FF00B050 | rows=[28] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F29 | value='0.52' | fill=None | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='0.4472' | fill=None | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0.4472' | fill=None | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='0.518752' | fill=2 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='0.468' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='0.54288' | fill=2 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='900' | fill=None | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='800' | fill=None | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='800' | fill=None | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='900' | fill=None | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='800' | fill=None | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='900' | fill=None | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A30 | value='x' | fill=00000000 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='26' | fill=2 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='34' | fill=2 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Antibiotics for preterm or prolonged PROM' | fill=FF00B050 | rows=[29] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F30 | value='0.544' | fill=None | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='0.46784' | fill=None | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='0.46784' | fill=None | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='0.5426944' | fill=2 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='0.4896' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='0.567936' | fill=2 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='24700' | fill=None | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='21100' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='21000' | fill=None | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='24400' | fill=None | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='22000' | fill=None | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='25500' | fill=None | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A31 | value='x' | fill=00000000 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='27' | fill=2 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='35' | fill=2 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Parenteral administration of antibiotics' | fill=FF00B050 | rows=[30] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F31 | value='0.544' | fill=None | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='0.46784' | fill=None | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='0.46784' | fill=None | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='0.5426944' | fill=2 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='0.4896' | fill=None | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='0.567936' | fill=2 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='37100' | fill=None | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='31700' | fill=None | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='31500' | fill=None | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='36600' | fill=None | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='33000' | fill=None | rows=[30] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='38300' | fill=None | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A32 | value='x' | fill=00000000 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='28' | fill=2 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='36' | fill=2 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E32 | value='Assisted vaginal delivery' | fill=FF00B050 | rows=[31] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F32 | value='0.184' | fill=None | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='0.15824' | fill=None | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='0.15824' | fill=None | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='0.1835584' | fill=2 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='0.1656' | fill=None | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='0.192096' | fill=2 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='12500' | fill=None | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='10700' | fill=None | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='10700' | fill=None | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O32 | value='12400' | fill=None | rows=[31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P32 | value='11200' | fill=None | rows=[31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q32 | value='12900' | fill=None | rows=[31] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A33 | value='x' | fill=00000000 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='29' | fill=2 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='38' | fill=2 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E33 | value='Active management of third stage of labor (AMTSL)' | fill=FF00B050 | rows=[32] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F33 | value='0.65' | fill=None | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='0.559' | fill=None | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='0.559' | fill=None | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='0.64844' | fill=2 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='0.585' | fill=None | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='0.6786' | fill=2 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='443100' | fill=None | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='378600' | fill=None | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='376800' | fill=None | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='437100' | fill=None | rows=[32] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P33 | value='394300' | fill=None | rows=[32] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q33 | value='457400' | fill=None | rows=[32] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A34 | value='x' | fill=00000000 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='30' | fill=2 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='39' | fill=2 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E34 | value='Removal of retained products of conception' | fill=FF00B050 | rows=[33] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F34 | value='0.241' | fill=None | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='0.20726' | fill=None | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='0.20726' | fill=None | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='0.2404216' | fill=2 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='0.2169' | fill=None | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='0.251604' | fill=2 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='1600' | fill=None | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='1400' | fill=None | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N34 | value='1400' | fill=None | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O34 | value='1600' | fill=None | rows=[33] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P34 | value='1500' | fill=None | rows=[33] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q34 | value='1700' | fill=None | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A35 | value='x' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='31' | fill=2 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='40' | fill=2 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E35 | value='Induction of labor for pregnancies lasting 41+ weeks' | fill=FF00B050 | rows=[34] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F35 | value='0.013' | fill=None | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='0.01118' | fill=None | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='0.01118' | fill=None | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='0.0129688' | fill=2 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='0.0117' | fill=None | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='0.013572' | fill=2 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='400' | fill=None | rows=[34] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M35 | value='400' | fill=None | rows=[34] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N35 | value='400' | fill=None | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='400' | fill=None | rows=[34] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='400' | fill=None | rows=[34] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='500' | fill=None | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B36 | value='32' | fill=2 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='41' | fill=2 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E36 | value='Antenatal corticosteroids for preterm labor' | fill=FF00B050 | rows=[35] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F36 | value='0' | fill=None | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
