=== productivity-table01.xlsx ===
Cell A1 | value='R1' | fill=FF00B0F0 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C55 | value='0' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='0' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='0' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F55 | value='0.1' | fill=00000000 | rows=[54] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Q2' | fill=FF00B050 | rows=[55] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C56 | value='0' | fill=00000000 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D56 | value='0' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='0' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F56 | value='-0.1' | fill=00000000 | rows=[55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B57 | value='Q3' | fill=FF00B050 | rows=[56] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C57 | value='0' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D57 | value='0' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='0' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F57 | value='-0.1' | fill=00000000 | rows=[56] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B58 | value='Q4' | fill=FF00B050 | rows=[57] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C58 | value='-0.1' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D58 | value='-0.1' | fill=00000000 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E58 | value='-0.1' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F58 | value='-0.1' | fill=00000000 | rows=[57] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B59 | value='2020 Q1' | fill=FF00B050 | rows=[58] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C59 | value='-0.2' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D59 | value='-0.1' | fill=00000000 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='-0.2' | fill=00000000 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F59 | value='0' | fill=00000000 | rows=[58] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B60 | value='Q2' | fill=FF00B050 | rows=[59] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C60 | value='-0.1' | fill=00000000 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D60 | value='0.1' | fill=00000000 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E60 | value='-0.1' | fill=00000000 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F60 | value='0' | fill=00000000 | rows=[59] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Q3' | fill=FF00B050 | rows=[60] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C61 | value='-0.7' | fill=00000000 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D61 | value='-0.7' | fill=00000000 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E61 | value='-0.8' | fill=00000000 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F61 | value='-0.8' | fill=00000000 | rows=[60] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Q4' | fill=FF00B050 | rows=[61] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C62 | value='-0.7' | fill=00000000 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D62 | value='-0.1' | fill=00000000 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E62 | value='-0.7' | fill=00000000 | rows=[61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F62 | value='-0.1' | fill=00000000 | rows=[61] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B63 | value='2021 Q1' | fill=FF00B050 | rows=[62] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C63 | value='-0.2' | fill=00000000 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D63 | value='0.4' | fill=00000000 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='-0.1' | fill=00000000 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F63 | value='0.6' | fill=00000000 | rows=[62] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B64 | value='Q2' | fill=FF00B050 | rows=[63] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C64 | value='-0.5' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D64 | value='-0.1' | fill=00000000 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='-0.6' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F64 | value='-0.3' | fill=00000000 | rows=[63] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C67 | value='Services' | fill=FFFFFF00 | rows=[66] | cols=[2, 3, 4, 5] | col_header=True | row_header=False | metadata=False
Cell C68 | value='Output per job' | fill=FFFFFF00 | rows=[67] | cols=[2, 3] | col_header=True | row_header=False | metadata=False
Cell E68 | value='Output per hour worked' | fill=FFFFFF00 | rows=[67] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell C70 | value='Per cent' | fill=FFFFFF00 | rows=[69] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D70 | value='Per cent' | fill=FFFFFF00 | rows=[69] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E70 | value='Per cent' | fill=FFFFFF00 | rows=[69] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F70 | value='Per cent' | fill=FFFFFF00 | rows=[69] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell C71 | value='change on' | fill=FFFFFF00 | rows=[70] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D71 | value='change on' | fill=FFFFFF00 | rows=[70] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E71 | value='change on' | fill=FFFFFF00 | rows=[70] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F71 | value='change on' | fill=FFFFFF00 | rows=[70] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell C72 | value='quarter a' | fill=FFFFFF00 | rows=[71] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D72 | value='previous' | fill=FFFFFF00 | rows=[71] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E72 | value='quarter a' | fill=FFFFFF00 | rows=[71] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F72 | value='previous' | fill=FFFFFF00 | rows=[71] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell C73 | value='year ago' | fill=FFFFFF00 | rows=[72] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D73 | value='quarter' | fill=FFFFFF00 | rows=[72] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E73 | value='year ago' | fill=FFFFFF00 | rows=[72] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F73 | value='quarter' | fill=FFFFFF00 | rows=[72] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell B75 | value='Date' | fill=FFFFFF00 | rows=[74] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C75 | value='DJE5' | fill=FFFFFF00 | rows=[74] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D75 | value='DJE4' | fill=FFFFFF00 | rows=[74] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E75 | value='DJQ3' | fill=FFFFFF00 | rows=[74] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F75 | value='DJQ2' | fill=FFFFFF00 | rows=[74] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell B76 | value='2016 Q3' | fill=FF00B050 | rows=[75] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C76 | value='0' | fill=00000000 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D76 | value='0' | fill=00000000 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='0' | fill=00000000 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F76 | value='0' | fill=00000000 | rows=[75] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B77 | value='Q4' | fill=FF00B050 | rows=[76] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C77 | value='0' | fill=00000000 | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D77 | value='0' | fill=00000000 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='-0.1' | fill=00000000 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F77 | value='0' | fill=00000000 | rows=[76] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B78 | value='2017 Q1' | fill=FF00B050 | rows=[77] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C78 | value='0' | fill=00000000 | rows=[77] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D78 | value='0' | fill=00000000 | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='0' | fill=00000000 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F78 | value='0' | fill=00000000 | rows=[77] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B79 | value='Q2' | fill=FF00B050 | rows=[78] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C79 | value='0' | fill=00000000 | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D79 | value='0' | fill=00000000 | rows=[78] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E79 | value='0' | fill=00000000 | rows=[78] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F79 | value='0' | fill=00000000 | rows=[78] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B80 | value='Q3' | fill=FF00B050 | rows=[79] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C80 | value='0' | fill=00000000 | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D80 | value='0' | fill=00000000 | rows=[79] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E80 | value='0' | fill=00000000 | rows=[79] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F80 | value='0' | fill=00000000 | rows=[79] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B81 | value='Q4' | fill=FF00B050 | rows=[80] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C81 | value='0' | fill=00000000 | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D81 | value='0' | fill=00000000 | rows=[80] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E81 | value='0' | fill=00000000 | rows=[80] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F81 | value='0' | fill=00000000 | rows=[80] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B82 | value='2018 Q1' | fill=FF00B050 | rows=[81] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C82 | value='0' | fill=00000000 | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D82 | value='0' | fill=00000000 | rows=[81] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E82 | value='0' | fill=00000000 | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F82 | value='0' | fill=00000000 | rows=[81] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B83 | value='Q2' | fill=FF00B050 | rows=[82] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C83 | value='0' | fill=00000000 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D83 | value='0' | fill=00000000 | rows=[82] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E83 | value='0' | fill=00000000 | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F83 | value='0.1' | fill=00000000 | rows=[82] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B84 | value='Q3' | fill=FF00B050 | rows=[83] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C84 | value='0' | fill=00000000 | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D84 | value='0' | fill=00000000 | rows=[83] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E84 | value='0' | fill=00000000 | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='0' | fill=00000000 | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B85 | value='Q4' | fill=FF00B050 | rows=[84] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C85 | value='0' | fill=00000000 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D85 | value='0' | fill=00000000 | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='0' | fill=00000000 | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='0' | fill=00000000 | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B86 | value='2019 Q1' | fill=FF00B050 | rows=[85] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C86 | value='0' | fill=00000000 | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D86 | value='-0.1' | fill=00000000 | rows=[85] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E86 | value='-0.1' | fill=00000000 | rows=[85] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F86 | value='0' | fill=00000000 | rows=[85] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B87 | value='Q2' | fill=FF00B050 | rows=[86] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C87 | value='-0.1' | fill=00000000 | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D87 | value='0' | fill=00000000 | rows=[86] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E87 | value='0' | fill=00000000 | rows=[86] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F87 | value='0' | fill=00000000 | rows=[86] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B88 | value='Q3' | fill=FF00B050 | rows=[87] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C88 | value='0' | fill=00000000 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D88 | value='0.1' | fill=00000000 | rows=[87] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E88 | value='0' | fill=00000000 | rows=[87] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F88 | value='0' | fill=00000000 | rows=[87] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Q4' | fill=FF00B050 | rows=[88] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C89 | value='0' | fill=00000000 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D89 | value='0' | fill=00000000 | rows=[88] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E89 | value='0' | fill=00000000 | rows=[88] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F89 | value='-0.1' | fill=00000000 | rows=[88] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B90 | value='2020 Q1' | fill=FF00B050 | rows=[89] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C90 | value='-0.3' | fill=00000000 | rows=[89] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D90 | value='-0.3' | fill=00000000 | rows=[89] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E90 | value='-0.2' | fill=00000000 | rows=[89] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F90 | value='-0.2' | fill=00000000 | rows=[89] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B91 | value='Q2' | fill=FF00B050 | rows=[90] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C91 | value='-0.1' | fill=00000000 | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D91 | value='0.1' | fill=00000000 | rows=[90] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E91 | value='-0.2' | fill=00000000 | rows=[90] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F91 | value='0.2' | fill=00000000 | rows=[90] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B92 | value='Q3' | fill=FF00B050 | rows=[91] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C92 | value='-0.2' | fill=00000000 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D92 | value='0' | fill=00000000 | rows=[91] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E92 | value='-0.3' | fill=00000000 | rows=[91] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F92 | value='-0.1' | fill=00000000 | rows=[91] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B93 | value='Q4' | fill=FF00B050 | rows=[92] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C93 | value='-0.1' | fill=00000000 | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D93 | value='0.2' | fill=00000000 | rows=[92] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E93 | value='-0.1' | fill=00000000 | rows=[92] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F93 | value='0.1' | fill=00000000 | rows=[92] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B94 | value='2021 Q1' | fill=FF00B050 | rows=[93] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C94 | value='0.4' | fill=00000000 | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D94 | value='0.2' | fill=00000000 | rows=[93] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E94 | value='0.3' | fill=00000000 | rows=[93] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F94 | value='0.2' | fill=00000000 | rows=[93] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B95 | value='Q2' | fill=FF00B050 | rows=[94] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C95 | value='0.3' | fill=00000000 | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D95 | value='0' | fill=00000000 | rows=[94] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E95 | value='0.3' | fill=00000000 | rows=[94] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F95 | value='0.1' | fill=00000000 | rows=[94] | cols=[5] | col_header=False | row_header=False | metadata=False

