=== economy-table107.xlsx ===
Cell A1 | value='Table 10. Digital Economy Real Gross Output by Industry' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | col_header=True | row_header=True | metadata=True
Cell G23 | value='0.535085916746539' | fill=None | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='0.400255057003913' | fill=None | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='0.46515898128764' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='0.309539857654965' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='0.240576565797591' | fill=None | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='0.138930491947095' | fill=None | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='0.161341756078748' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='0.129227911867606' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='0.112126496208647' | fill=None | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='0.115436572176838' | fill=None | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='0.100542851424637' | fill=None | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='0.0964573969982254' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='0.072328944889649' | fill=None | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='0.0538958290372053' | fill=None | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='0.0946292343652569' | fill=None | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='0.0943117046235829' | fill=None | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W23 | value='0.10738707264497' | fill=None | rows=[22] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X23 | value='0.0961093066917647' | fill=None | rows=[22] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y23 | value='0.09845680898525' | fill=None | rows=[22] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z23 | value='0.14333740010809' | fill=None | rows=[22] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA23 | value='0.143001842230797' | fill=None | rows=[22] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E24 | value='Textile mills and textile product mills' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G24 | value='0.095480014884141' | fill=None | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0.0804532777897315' | fill=None | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='0.0886955684658637' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='0.0568501142340891' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='0.0572801347137121' | fill=None | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='0.0335427136949923' | fill=None | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='0.0349127014344674' | fill=None | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='0.0326017283837357' | fill=None | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='0.0313452114952955' | fill=None | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='0.0257598083515877' | fill=None | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='0.0214617483137373' | fill=None | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='0.0171313850215279' | fill=None | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='0.0104911280895231' | fill=None | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='0.0106946215285916' | fill=None | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='0.0138155050776763' | fill=None | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V24 | value='0.01575096495' | fill=None | rows=[23] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W24 | value='0.0140153441602334' | fill=None | rows=[23] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X24 | value='0.0121599628839787' | fill=None | rows=[23] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y24 | value='0.0157950414647973' | fill=None | rows=[23] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z24 | value='0.0161861804662118' | fill=None | rows=[23] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA24 | value='0.0126615048099556' | fill=None | rows=[23] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E25 | value='Apparel and leather and allied products' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G25 | value='0.0377941725583058' | fill=None | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0.0351983090330074' | fill=None | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='0.0482898094980812' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='0.0470374422167821' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='0.0448694388590745' | fill=None | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='0.0282757150001063' | fill=None | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='0.0334589589138585' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='0.0369143574589924' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='0.0391696339439782' | fill=None | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='0.0410893384092366' | fill=None | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='0.0455719664019547' | fill=None | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='0.0400915343417056' | fill=None | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='0.0310269230888439' | fill=None | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='0.0308667983212019' | fill=None | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U25 | value='0.0284764414794507' | fill=None | rows=[24] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V25 | value='0.0325230418615385' | fill=None | rows=[24] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W25 | value='0.0292637534994919' | fill=None | rows=[24] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X25 | value='0.0248576506864886' | fill=None | rows=[24] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y25 | value='0.0241731203021514' | fill=None | rows=[24] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z25 | value='0.0194864094356382' | fill=None | rows=[24] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA25 | value='0.0148923896615471' | fill=None | rows=[24] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E26 | value='Paper products' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G26 | value='0.437213793064237' | fill=None | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0.300415468497293' | fill=None | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='0.266340644335686' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='0.143494073914656' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='0.164660420601788' | fill=None | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='0.0905937464856068' | fill=None | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='0.0593360240588135' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='0.105291468067668' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='0.103761881854218' | fill=None | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='0.0351868023528582' | fill=None | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='0.0761845301339691' | fill=None | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='0.303682804474532' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='0.319573931647513' | fill=None | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='0.183002405880785' | fill=None | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='0.10668080388722' | fill=None | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V26 | value='0.476261382091219' | fill=None | rows=[25] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W26 | value='0.700529302401947' | fill=None | rows=[25] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X26 | value='0.749694288318253' | fill=None | rows=[25] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y26 | value='1.02512814388476' | fill=None | rows=[25] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z26 | value='0.721246380972461' | fill=None | rows=[25] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA26 | value='0.714089307628646' | fill=None | rows=[25] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Printing and related support activities' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='0.147731898186959' | fill=None | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='0.158967319161862' | fill=None | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='0.278930592231748' | fill=None | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='0.23816456016284' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='0.370859798317068' | fill=None | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='0.372093815994695' | fill=None | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='0.29357051678023' | fill=None | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='0.291266809507427' | fill=None | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='0.328229699909873' | fill=None | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='0.40916263114201' | fill=None | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='0.267564202859824' | fill=None | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='0.338478678975033' | fill=None | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='0.29106637256298' | fill=None | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T27 | value='0.229466412801693' | fill=None | rows=[26] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U27 | value='0.220500036207272' | fill=None | rows=[26] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V27 | value='0.254703969376083' | fill=None | rows=[26] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W27 | value='0.280978617832967' | fill=None | rows=[26] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X27 | value='0.256265454804037' | fill=None | rows=[26] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y27 | value='0.287806576927712' | fill=None | rows=[26] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z27 | value='0.274477381676874' | fill=None | rows=[26] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA27 | value='0.26568296992286' | fill=None | rows=[26] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E28 | value='Petroleum and coal products' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G28 | value='0.284450877675669' | fill=None | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='0.166940551413692' | fill=None | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='0.107420188475324' | fill=None | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='0.102714414636647' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='0.0315040740925416' | fill=None | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='0.00584683643191822' | fill=None | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='0.0067080292216668' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='0.0424227275551861' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='0.0394971759876556' | fill=None | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='0.0372858876839472' | fill=None | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='0.039935047994161' | fill=None | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='0.0447327531918451' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='0.0430006794148535' | fill=None | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='0.0433076683335503' | fill=None | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U28 | value='0.0380647872897512' | fill=None | rows=[27] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V28 | value='0.0399219308227545' | fill=None | rows=[27] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W28 | value='0.0406721823768216' | fill=None | rows=[27] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X28 | value='0.0434385283393629' | fill=None | rows=[27] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y28 | value='0.0405506815850859' | fill=None | rows=[27] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z28 | value='0.0312639294169345' | fill=None | rows=[27] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA28 | value='0.030906718241071' | fill=None | rows=[27] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Chemical products' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='1.13340997328808' | fill=None | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0.864831949397309' | fill=None | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='0.982418896687899' | fill=None | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='0.671040581360588' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='0.503722962953313' | fill=None | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='0.420224033940041' | fill=None | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='0.452063407411831' | fill=None | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='0.567430685997785' | fill=None | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='0.702233372338793' | fill=None | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='1.30283394987686' | fill=None | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='0.585938094855341' | fill=None | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='1.0487417907955' | fill=None | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='0.780303606350621' | fill=None | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='0.695724725527532' | fill=None | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U29 | value='0.585447995381415' | fill=None | rows=[28] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V29 | value='1.28788999520939' | fill=None | rows=[28] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W29 | value='1.00199918509077' | fill=None | rows=[28] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X29 | value='1.00460073094058' | fill=None | rows=[28] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y29 | value='1.06714440694521' | fill=None | rows=[28] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z29 | value='0.956794537378156' | fill=None | rows=[28] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA29 | value='1.04641719398637' | fill=None | rows=[28] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Plastics and rubber products' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='0.338059663094258' | fill=None | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='0.37347604416326' | fill=None | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='0.439008835133126' | fill=None | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='0.358008814427038' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='0.45317097809671' | fill=None | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='0.425469189897992' | fill=None | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='0.27209770787296' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='0.296005603664755' | fill=None | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='0.295025459637903' | fill=None | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='0.343307664014187' | fill=None | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='0.269094738362954' | fill=None | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='0.303672151235769' | fill=None | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S30 | value='0.10654775145905' | fill=None | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T30 | value='0.0806920664244385' | fill=None | rows=[29] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U30 | value='0.0937475010102875' | fill=None | rows=[29] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V30 | value='0.167203819612573' | fill=None | rows=[29] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W30 | value='0.176795706051861' | fill=None | rows=[29] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X30 | value='0.162912272774178' | fill=None | rows=[29] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y30 | value='0.149803710936093' | fill=None | rows=[29] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z30 | value='0.184621563001948' | fill=None | rows=[29] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA30 | value='0.203332740454445' | fill=None | rows=[29] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C31 | value='Wholesale trade' | fill=None | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G31 | value='19.5411504535229' | fill=None | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='20.3501142843111' | fill=None | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='21.6481368502608' | fill=None | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='21.1400681072594' | fill=None | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='19.7149232169844' | fill=None | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='18.2228668571527' | fill=None | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='19.0795082515337' | fill=None | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='21.7504925395527' | fill=None | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='22.0419359989741' | fill=None | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='23.5455965108295' | fill=None | rows=[30] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='26.4106759684655' | fill=None | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R31 | value='26.7997572611723' | fill=None | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S31 | value='26.8028206082882' | fill=None | rows=[30] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T31 | value='28.883957551112' | fill=None | rows=[30] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U31 | value='30.5336269243593' | fill=None | rows=[30] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V31 | value='30.4280363863915' | fill=None | rows=[30] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W31 | value='31.2380669299793' | fill=None | rows=[30] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X31 | value='31.882170625214' | fill=None | rows=[30] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y31 | value='31.4702933615477' | fill=None | rows=[30] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z31 | value='32.5123904934722' | fill=None | rows=[30] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA31 | value='34.6596686557247' | fill=None | rows=[30] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Retail trade' | fill=None | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G32 | value='10.2731795610892' | fill=None | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='11.558128144837' | fill=None | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='12.6742519926444' | fill=None | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='15.1021931892887' | fill=None | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='14.7563883492061' | fill=None | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='16.1046369942246' | fill=None | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='19.5631992038201' | fill=None | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='24.2356986380001' | fill=None | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O32 | value='28.8200863269933' | fill=None | rows=[31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P32 | value='35.7091054015942' | fill=None | rows=[31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q32 | value='42.1821132959385' | fill=None | rows=[31] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R32 | value='42.4533632335433' | fill=None | rows=[31] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S32 | value='43.2024659406351' | fill=None | rows=[31] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T32 | value='50.8256501454576' | fill=None | rows=[31] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U32 | value='59.6019390055074' | fill=None | rows=[31] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V32 | value='71.223367969873' | fill=None | rows=[31] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W32 | value='78.1928533316347' | fill=None | rows=[31] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X32 | value='86.9738078812386' | fill=None | rows=[31] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y32 | value='96.4532509810437' | fill=None | rows=[31] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z32 | value='107.431908136126' | fill=None | rows=[31] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA32 | value='119.328680592727' | fill=None | rows=[31] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D33 | value='Motor vehicle and parts dealers' | fill=None | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G33 | value='0.00230690637024763' | fill=None | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='0.00356458112232901' | fill=None | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='0.00533161223858331' | fill=None | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='0.00760838330946175' | fill=None | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='0.00829333250476995' | fill=None | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='0.00971888351475785' | fill=None | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='0.00805848169615404' | fill=None | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='0.00996315240966279' | fill=None | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='0.0135449029340698' | fill=None | rows=[32] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P33 | value='0.0177708341068732' | fill=None | rows=[32] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q33 | value='0.0177847733586878' | fill=None | rows=[32] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R33 | value='0.0138485678013824' | fill=None | rows=[32] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S33 | value='0.0104634651125004' | fill=None | rows=[32] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T33 | value='0.0059816415' | fill=None | rows=[32] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U33 | value='0.0059816415' | fill=None | rows=[32] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V33 | value='0.0059816415' | fill=None | rows=[32] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W33 | value='0.00425398148253662' | fill=None | rows=[32] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X33 | value='0.00361005376107209' | fill=None | rows=[32] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y33 | value='0.00626063589443147' | fill=None | rows=[32] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z33 | value='0.00598212872786859' | fill=None | rows=[32] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA33 | value='0.00506726390126623' | fill=None | rows=[32] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D34 | value='Food and beverage stores' | fill=None | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G34 | value='0' | fill=None | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='0' | fill=None | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='0' | fill=None | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='0' | fill=None | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='0' | fill=None | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='0' | fill=None | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='0' | fill=None | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
