=== economy-table46.xlsx ===
Cell A1 | value='location' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell F210 | value='2.2' | fill=00000000 | rows=[209] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B211 | value='Single' | fill=FF00B050 | rows=[210] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C211 | value='9' | fill=00000000 | rows=[210] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D211 | value='0.79' | fill=00000000 | rows=[210] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E211 | value='1' | fill=00000000 | rows=[210] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F211 | value='2.12' | fill=00000000 | rows=[210] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B212 | value='Single' | fill=FF00B050 | rows=[211] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C212 | value='9' | fill=00000000 | rows=[211] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D212 | value='0.74' | fill=00000000 | rows=[211] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E212 | value='1' | fill=00000000 | rows=[211] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F212 | value='1.91' | fill=00000000 | rows=[211] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B213 | value='Single' | fill=FF00B050 | rows=[212] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C213 | value='9' | fill=00000000 | rows=[212] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D213 | value='0.73' | fill=00000000 | rows=[212] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E213 | value='1' | fill=00000000 | rows=[212] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F213 | value='1.66' | fill=00000000 | rows=[212] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B214 | value='Single' | fill=FF00B050 | rows=[213] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C214 | value='9' | fill=00000000 | rows=[213] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D214 | value='0.69' | fill=00000000 | rows=[213] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E214 | value='1' | fill=00000000 | rows=[213] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F214 | value='1.86' | fill=00000000 | rows=[213] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B215 | value='Single' | fill=FF00B050 | rows=[214] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C215 | value='9' | fill=00000000 | rows=[214] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D215 | value='0.68' | fill=00000000 | rows=[214] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E215 | value='1' | fill=00000000 | rows=[214] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F215 | value='1.23' | fill=00000000 | rows=[214] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B216 | value='Single' | fill=FF00B050 | rows=[215] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C216 | value='9' | fill=00000000 | rows=[215] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D216 | value='0.54' | fill=00000000 | rows=[215] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E216 | value='1' | fill=00000000 | rows=[215] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F216 | value='1.48' | fill=00000000 | rows=[215] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B217 | value='Single' | fill=FF00B050 | rows=[216] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C217 | value='9' | fill=00000000 | rows=[216] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D217 | value='0.51' | fill=00000000 | rows=[216] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E217 | value='1' | fill=00000000 | rows=[216] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F217 | value='1.46' | fill=00000000 | rows=[216] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B218 | value='Single' | fill=FF00B050 | rows=[217] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C218 | value='9' | fill=00000000 | rows=[217] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D218 | value='0.29' | fill=00000000 | rows=[217] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E218 | value='1' | fill=00000000 | rows=[217] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F218 | value='0.76' | fill=00000000 | rows=[217] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B219 | value='Single' | fill=FF00B050 | rows=[218] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C219 | value='9' | fill=00000000 | rows=[218] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D219 | value='0.29' | fill=00000000 | rows=[218] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E219 | value='1' | fill=00000000 | rows=[218] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F219 | value='0.64' | fill=00000000 | rows=[218] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B220 | value='Single' | fill=FF00B050 | rows=[219] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C220 | value='10' | fill=00000000 | rows=[219] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D220 | value='0' | fill=00000000 | rows=[219] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E220 | value='1' | fill=00000000 | rows=[219] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F220 | value='0' | fill=00000000 | rows=[219] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B221 | value='Single' | fill=FF00B050 | rows=[220] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C221 | value='9' | fill=00000000 | rows=[220] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D221 | value='0' | fill=00000000 | rows=[220] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E221 | value='1' | fill=00000000 | rows=[220] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F221 | value='0' | fill=00000000 | rows=[220] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B222 | value='Single' | fill=FF00B050 | rows=[221] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C222 | value='9' | fill=00000000 | rows=[221] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D222 | value='0' | fill=00000000 | rows=[221] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E222 | value='1' | fill=00000000 | rows=[221] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F222 | value='0' | fill=00000000 | rows=[221] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A223 | value='27866' | fill=FF00B050 | rows=[222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B223 | value='Multi' | fill=FF00B050 | rows=[222] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C223 | value='40' | fill=00000000 | rows=[222] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D223 | value='10.7' | fill=00000000 | rows=[222] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E223 | value='15' | fill=00000000 | rows=[222] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F223 | value='59.4' | fill=00000000 | rows=[222] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B224 | value='Multi' | fill=FF00B050 | rows=[223] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C224 | value='16' | fill=00000000 | rows=[223] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D224 | value='5.8' | fill=00000000 | rows=[223] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E224 | value='6' | fill=00000000 | rows=[223] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F224 | value='40.53' | fill=00000000 | rows=[223] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B225 | value='Multi' | fill=FF00B050 | rows=[224] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C225 | value='8' | fill=00000000 | rows=[224] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D225 | value='3.57' | fill=00000000 | rows=[224] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E225 | value='3' | fill=00000000 | rows=[224] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F225 | value='20.03' | fill=00000000 | rows=[224] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B226 | value='Multi' | fill=FF00B050 | rows=[225] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C226 | value='12' | fill=00000000 | rows=[225] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D226 | value='3.37' | fill=00000000 | rows=[225] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E226 | value='18' | fill=00000000 | rows=[225] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F226 | value='50.5' | fill=00000000 | rows=[225] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B227 | value='Multi' | fill=FF00B050 | rows=[226] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C227 | value='8' | fill=00000000 | rows=[226] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D227 | value='2.96' | fill=00000000 | rows=[226] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E227 | value='11' | fill=00000000 | rows=[226] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F227 | value='44.43' | fill=00000000 | rows=[226] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B228 | value='Multi' | fill=FF00B050 | rows=[227] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C228 | value='8' | fill=00000000 | rows=[227] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D228 | value='2.75' | fill=00000000 | rows=[227] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E228 | value='3' | fill=00000000 | rows=[227] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F228 | value='15.92' | fill=00000000 | rows=[227] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B229 | value='Multi' | fill=FF00B050 | rows=[228] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C229 | value='8' | fill=00000000 | rows=[228] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D229 | value='2.35' | fill=00000000 | rows=[228] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E229 | value='3' | fill=00000000 | rows=[228] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F229 | value='13.09' | fill=00000000 | rows=[228] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B230 | value='Multi' | fill=FF00B050 | rows=[229] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C230 | value='9' | fill=00000000 | rows=[229] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D230 | value='1.81' | fill=00000000 | rows=[229] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E230 | value='18' | fill=00000000 | rows=[229] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F230 | value='28.94' | fill=00000000 | rows=[229] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B231 | value='Multi' | fill=FF00B050 | rows=[230] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C231 | value='6' | fill=00000000 | rows=[230] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D231 | value='1.79' | fill=00000000 | rows=[230] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E231 | value='8' | fill=00000000 | rows=[230] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F231 | value='25.88' | fill=00000000 | rows=[230] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B232 | value='Multi' | fill=FF00B050 | rows=[231] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C232 | value='4' | fill=00000000 | rows=[231] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D232 | value='1.56' | fill=00000000 | rows=[231] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E232 | value='3' | fill=00000000 | rows=[231] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F232 | value='14.02' | fill=00000000 | rows=[231] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B233 | value='Multi' | fill=FF00B050 | rows=[232] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C233 | value='18' | fill=00000000 | rows=[232] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D233 | value='1.37' | fill=00000000 | rows=[232] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E233 | value='18' | fill=00000000 | rows=[232] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F233 | value='15.05' | fill=00000000 | rows=[232] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B234 | value='Multi' | fill=FF00B050 | rows=[233] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C234 | value='3' | fill=00000000 | rows=[233] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D234 | value='1.1' | fill=00000000 | rows=[233] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E234 | value='4' | fill=00000000 | rows=[233] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F234 | value='16.41' | fill=00000000 | rows=[233] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B235 | value='Multi' | fill=FF00B050 | rows=[234] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C235 | value='3' | fill=00000000 | rows=[234] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D235 | value='1.06' | fill=00000000 | rows=[234] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E235 | value='2' | fill=00000000 | rows=[234] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F235 | value='9.53' | fill=00000000 | rows=[234] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B236 | value='Multi' | fill=FF00B050 | rows=[235] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C236 | value='6' | fill=00000000 | rows=[235] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D236 | value='1.04' | fill=00000000 | rows=[235] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E236 | value='6' | fill=00000000 | rows=[235] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F236 | value='11.39' | fill=00000000 | rows=[235] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B237 | value='Multi' | fill=FF00B050 | rows=[236] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C237 | value='4' | fill=00000000 | rows=[236] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D237 | value='1.04' | fill=00000000 | rows=[236] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E237 | value='3' | fill=00000000 | rows=[236] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F237 | value='9.31' | fill=00000000 | rows=[236] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B238 | value='Multi' | fill=FF00B050 | rows=[237] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C238 | value='3' | fill=00000000 | rows=[237] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D238 | value='1' | fill=00000000 | rows=[237] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E238 | value='4' | fill=00000000 | rows=[237] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F238 | value='11.08' | fill=00000000 | rows=[237] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B239 | value='Multi' | fill=FF00B050 | rows=[238] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C239 | value='3' | fill=00000000 | rows=[238] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D239 | value='0.95' | fill=00000000 | rows=[238] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E239 | value='4' | fill=00000000 | rows=[238] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F239 | value='10.31' | fill=00000000 | rows=[238] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B240 | value='Multi' | fill=FF00B050 | rows=[239] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C240 | value='6' | fill=00000000 | rows=[239] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D240 | value='0.94' | fill=00000000 | rows=[239] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E240 | value='12' | fill=00000000 | rows=[239] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F240 | value='15.03' | fill=00000000 | rows=[239] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B241 | value='Multi' | fill=FF00B050 | rows=[240] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C241 | value='9' | fill=00000000 | rows=[240] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D241 | value='0.89' | fill=00000000 | rows=[240] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E241 | value='3' | fill=00000000 | rows=[240] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F241 | value='5.35' | fill=00000000 | rows=[240] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B242 | value='Multi' | fill=FF00B050 | rows=[241] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C242 | value='3' | fill=00000000 | rows=[241] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D242 | value='0.87' | fill=00000000 | rows=[241] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E242 | value='2' | fill=00000000 | rows=[241] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F242 | value='6.51' | fill=00000000 | rows=[241] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B243 | value='Multi' | fill=FF00B050 | rows=[242] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C243 | value='4' | fill=00000000 | rows=[242] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D243 | value='0.8' | fill=00000000 | rows=[242] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E243 | value='3' | fill=00000000 | rows=[242] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F243 | value='7.17' | fill=00000000 | rows=[242] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B244 | value='Multi' | fill=FF00B050 | rows=[243] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C244 | value='3' | fill=00000000 | rows=[243] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D244 | value='0.71' | fill=00000000 | rows=[243] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E244 | value='4' | fill=00000000 | rows=[243] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F244 | value='6.42' | fill=00000000 | rows=[243] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B245 | value='Multi' | fill=FF00B050 | rows=[244] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C245 | value='3' | fill=00000000 | rows=[244] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D245 | value='0.67' | fill=00000000 | rows=[244] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E245 | value='6' | fill=00000000 | rows=[244] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F245 | value='10.67' | fill=00000000 | rows=[244] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B246 | value='Multi' | fill=FF00B050 | rows=[245] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C246 | value='3' | fill=00000000 | rows=[245] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D246 | value='0.61' | fill=00000000 | rows=[245] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E246 | value='2' | fill=00000000 | rows=[245] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F246 | value='5.76' | fill=00000000 | rows=[245] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B247 | value='Multi' | fill=FF00B050 | rows=[246] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C247 | value='2' | fill=00000000 | rows=[246] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D247 | value='0.6' | fill=00000000 | rows=[246] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E247 | value='8' | fill=00000000 | rows=[246] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F247 | value='10.41' | fill=00000000 | rows=[246] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B248 | value='Multi' | fill=FF00B050 | rows=[247] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C248 | value='4' | fill=00000000 | rows=[247] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D248 | value='0.57' | fill=00000000 | rows=[247] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E248 | value='6' | fill=00000000 | rows=[247] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F248 | value='7.99' | fill=00000000 | rows=[247] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B249 | value='Multi' | fill=FF00B050 | rows=[248] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C249 | value='3' | fill=00000000 | rows=[248] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D249 | value='0.56' | fill=00000000 | rows=[248] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E249 | value='2' | fill=00000000 | rows=[248] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F249 | value='4.19' | fill=00000000 | rows=[248] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B250 | value='Multi' | fill=FF00B050 | rows=[249] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C250 | value='3' | fill=00000000 | rows=[249] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D250 | value='0.54' | fill=00000000 | rows=[249] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E250 | value='6' | fill=00000000 | rows=[249] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F250 | value='8.57' | fill=00000000 | rows=[249] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B251 | value='Multi' | fill=FF00B050 | rows=[250] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C251 | value='3' | fill=00000000 | rows=[250] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D251 | value='0.52' | fill=00000000 | rows=[250] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E251 | value='4' | fill=00000000 | rows=[250] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F251 | value='4.71' | fill=00000000 | rows=[250] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B252 | value='Multi' | fill=FF00B050 | rows=[251] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C252 | value='3' | fill=00000000 | rows=[251] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D252 | value='0.51' | fill=00000000 | rows=[251] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E252 | value='2' | fill=00000000 | rows=[251] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F252 | value='4.6' | fill=00000000 | rows=[251] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B253 | value='Multi' | fill=FF00B050 | rows=[252] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C253 | value='3' | fill=00000000 | rows=[252] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D253 | value='0.48' | fill=00000000 | rows=[252] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E253 | value='2' | fill=00000000 | rows=[252] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F253 | value='4.28' | fill=00000000 | rows=[252] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B254 | value='Multi' | fill=FF00B050 | rows=[253] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C254 | value='3' | fill=00000000 | rows=[253] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D254 | value='0.45' | fill=00000000 | rows=[253] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E254 | value='2' | fill=00000000 | rows=[253] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F254 | value='4.29' | fill=00000000 | rows=[253] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B255 | value='Multi' | fill=FF00B050 | rows=[254] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C255 | value='2' | fill=00000000 | rows=[254] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D255 | value='0.37' | fill=00000000 | rows=[254] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E255 | value='3' | fill=00000000 | rows=[254] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F255 | value='3.32' | fill=00000000 | rows=[254] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B256 | value='Multi' | fill=FF00B050 | rows=[255] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C256 | value='3' | fill=00000000 | rows=[255] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D256 | value='0.35' | fill=00000000 | rows=[255] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E256 | value='6' | fill=00000000 | rows=[255] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F256 | value='7.76' | fill=00000000 | rows=[255] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B257 | value='Multi' | fill=FF00B050 | rows=[256] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C257 | value='3' | fill=00000000 | rows=[256] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D257 | value='0.32' | fill=00000000 | rows=[256] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E257 | value='2' | fill=00000000 | rows=[256] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F257 | value='2.89' | fill=00000000 | rows=[256] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B258 | value='Multi' | fill=FF00B050 | rows=[257] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C258 | value='3' | fill=00000000 | rows=[257] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D258 | value='0.27' | fill=00000000 | rows=[257] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E258 | value='2' | fill=00000000 | rows=[257] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F258 | value='2.74' | fill=00000000 | rows=[257] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B259 | value='Multi' | fill=FF00B050 | rows=[258] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C259 | value='2' | fill=00000000 | rows=[258] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D259 | value='0.26' | fill=00000000 | rows=[258] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E259 | value='6' | fill=00000000 | rows=[258] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F259 | value='5.24' | fill=00000000 | rows=[258] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B260 | value='Multi' | fill=FF00B050 | rows=[259] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C260 | value='3' | fill=00000000 | rows=[259] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D260 | value='0.24' | fill=00000000 | rows=[259] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E260 | value='6' | fill=00000000 | rows=[259] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F260 | value='4.64' | fill=00000000 | rows=[259] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B261 | value='Multi' | fill=FF00B050 | rows=[260] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C261 | value='8' | fill=00000000 | rows=[260] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D261 | value='0.24' | fill=00000000 | rows=[260] | cols=[3] | col_header=False | row_header=False | metadata=False
