=== economy-table23.xlsx ===
Cell A1 | value='Table 4b: Individual Voluntary Arrangement rates per 10,000 adults, by location, England and Wales, 2011 to 2021 [r][note 11]' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell F103 | value='13.5216013122603' | fill=00000000 | rows=[102] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G103 | value='14.2658048657368' | fill=00000000 | rows=[102] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H103 | value='10.4911153366992' | fill=00000000 | rows=[102] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I103 | value='11.1989388190012' | fill=00000000 | rows=[102] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J103 | value='17.0198926771099' | fill=00000000 | rows=[102] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K103 | value='13.9701104613385' | fill=00000000 | rows=[102] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L103 | value='18.8387124714442' | fill=00000000 | rows=[102] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M103 | value='18.1853607845684' | fill=00000000 | rows=[102] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N103 | value='21.3245004438094' | fill=00000000 | rows=[102] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A104 | value='E07000037' | fill=FF00B050 | rows=[103] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B104 | value='High Peak' | fill=00000000 | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C104 | value='Non-metropolitan District' | fill=00000000 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D104 | value='11.5039709490083' | fill=00000000 | rows=[103] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E104 | value='14.9041579840746' | fill=00000000 | rows=[103] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F104 | value='10.0340884099406' | fill=00000000 | rows=[103] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G104 | value='10.7948567290218' | fill=00000000 | rows=[103] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H104 | value='11.288063213154' | fill=00000000 | rows=[103] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I104 | value='10.9589782443987' | fill=00000000 | rows=[103] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J104 | value='13.8444581843598' | fill=00000000 | rows=[103] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K104 | value='15.9538812173214' | fill=00000000 | rows=[103] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L104 | value='17.3430454387791' | fill=00000000 | rows=[103] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M104 | value='11.9940829190932' | fill=00000000 | rows=[103] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N104 | value='14.9259698548716' | fill=00000000 | rows=[103] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A105 | value='E07000038' | fill=FF00B050 | rows=[104] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B105 | value='North East Derbyshire' | fill=00000000 | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C105 | value='Non-metropolitan District' | fill=00000000 | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D105 | value='14.5651010220468' | fill=00000000 | rows=[104] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E105 | value='12.7728174603175' | fill=00000000 | rows=[104] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F105 | value='14.355547305241' | fill=00000000 | rows=[104] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G105 | value='11.3416423191193' | fill=00000000 | rows=[104] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H105 | value='11.5508915076371' | fill=00000000 | rows=[104] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I105 | value='11.3342758250865' | fill=00000000 | rows=[104] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J105 | value='11.6622325886512' | fill=00000000 | rows=[104] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K105 | value='16.8309398687429' | fill=00000000 | rows=[104] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L105 | value='17.2546937593513' | fill=00000000 | rows=[104] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M105 | value='16.768475266499' | fill=00000000 | rows=[104] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N105 | value='16.6487004431668' | fill=00000000 | rows=[104] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A106 | value='E07000039' | fill=FF00B050 | rows=[105] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B106 | value='South Derbyshire' | fill=00000000 | rows=[105] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C106 | value='Non-metropolitan District' | fill=00000000 | rows=[105] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D106 | value='18.4431787360998' | fill=00000000 | rows=[105] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E106 | value='14.8602334797044' | fill=00000000 | rows=[105] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F106 | value='12.6715945089757' | fill=00000000 | rows=[105] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G106 | value='13.267429760666' | fill=00000000 | rows=[105] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H106 | value='8.99361453368109' | fill=00000000 | rows=[105] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I106 | value='10.787075814107' | fill=00000000 | rows=[105] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J106 | value='16.2684417068203' | fill=00000000 | rows=[105] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K106 | value='15.1741384124209' | fill=00000000 | rows=[105] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L106 | value='22.4485455705475' | fill=00000000 | rows=[105] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M106 | value='18.7497829886228' | fill=00000000 | rows=[105] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N106 | value='17.5923889769794' | fill=00000000 | rows=[105] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A107 | value='E10000018' | fill=FF00B050 | rows=[106] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B107 | value='Leicestershire' | fill=00000000 | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C107 | value='County' | fill=00000000 | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D107 | value='11.0191559326556' | fill=00000000 | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E107 | value='10.8672944270138' | fill=00000000 | rows=[106] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F107 | value='9.88055923965296' | fill=00000000 | rows=[106] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G107 | value='10.4149237962209' | fill=00000000 | rows=[106] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H107 | value='6.45151694313369' | fill=00000000 | rows=[106] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I107 | value='10.5038731882658' | fill=00000000 | rows=[106] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J107 | value='12.5044853045114' | fill=00000000 | rows=[106] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K107 | value='13.62102369162' | fill=00000000 | rows=[106] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L107 | value='15.7896135886371' | fill=00000000 | rows=[106] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M107 | value='14.9541371357562' | fill=00000000 | rows=[106] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N107 | value='16.4635922926518' | fill=00000000 | rows=[106] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A108 | value='E07000129' | fill=FF00B050 | rows=[107] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B108 | value='Blaby' | fill=00000000 | rows=[107] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C108 | value='Non-metropolitan District' | fill=00000000 | rows=[107] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D108 | value='9.85434468607838' | fill=00000000 | rows=[107] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E108 | value='10.9943151346133' | fill=00000000 | rows=[107] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F108 | value='7.59139641739362' | fill=00000000 | rows=[107] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G108 | value='9.50695856550558' | fill=00000000 | rows=[107] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H108 | value='4.19606094778527' | fill=00000000 | rows=[107] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I108 | value='9.8427746263631' | fill=00000000 | rows=[107] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J108 | value='13.1779276109569' | fill=00000000 | rows=[107] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K108 | value='16.031709964907' | fill=00000000 | rows=[107] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L108 | value='16.1163374686106' | fill=00000000 | rows=[107] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M108 | value='15.2019239156169' | fill=00000000 | rows=[107] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N108 | value='18.1924663252464' | fill=00000000 | rows=[107] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A109 | value='E07000130' | fill=FF00B050 | rows=[108] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B109 | value='Charnwood' | fill=00000000 | rows=[108] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C109 | value='Non-metropolitan District' | fill=00000000 | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D109 | value='8.31504273632325' | fill=00000000 | rows=[108] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E109 | value='8.62386673546105' | fill=00000000 | rows=[108] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F109 | value='9.04581266413773' | fill=00000000 | rows=[108] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G109 | value='8.67414602673931' | fill=00000000 | rows=[108] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H109 | value='6.98590118125238' | fill=00000000 | rows=[108] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I109 | value='7.80672772642996' | fill=00000000 | rows=[108] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J109 | value='11.0964984382706' | fill=00000000 | rows=[108] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K109 | value='11.7073038688241' | fill=00000000 | rows=[108] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L109 | value='13.030961831249' | fill=00000000 | rows=[108] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M109 | value='13.5135135135135' | fill=00000000 | rows=[108] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N109 | value='14.6287063762792' | fill=00000000 | rows=[108] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A110 | value='E07000131' | fill=FF00B050 | rows=[109] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B110 | value='Harborough' | fill=00000000 | rows=[109] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C110 | value='Non-metropolitan District' | fill=00000000 | rows=[109] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D110 | value='6.86167753098942' | fill=00000000 | rows=[109] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E110 | value='8.27154293817022' | fill=00000000 | rows=[109] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F110 | value='10.6109278020844' | fill=00000000 | rows=[109] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G110 | value='7.64426752051693' | fill=00000000 | rows=[109] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H110 | value='3.98021265707625' | fill=00000000 | rows=[109] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I110 | value='8.55948137962002' | fill=00000000 | rows=[109] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J110 | value='9.53328359446241' | fill=00000000 | rows=[109] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K110 | value='9.82438904580621' | fill=00000000 | rows=[109] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L110 | value='13.710414538416' | fill=00000000 | rows=[109] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M110 | value='14.3683842817785' | fill=00000000 | rows=[109] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N110 | value='12.3910836925429' | fill=00000000 | rows=[109] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A111 | value='E07000132' | fill=FF00B050 | rows=[110] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B111 | value='Hinckley and Bosworth' | fill=00000000 | rows=[110] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C111 | value='Non-metropolitan District' | fill=00000000 | rows=[110] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D111 | value='14.0130867980097' | fill=00000000 | rows=[110] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E111 | value='13.5816612143186' | fill=00000000 | rows=[110] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F111 | value='9.74201272330336' | fill=00000000 | rows=[110] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G111 | value='13.6978350455627' | fill=00000000 | rows=[110] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H111 | value='7.59275237273512' | fill=00000000 | rows=[110] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I111 | value='14.6702603118283' | fill=00000000 | rows=[110] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J111 | value='15.8039857427873' | fill=00000000 | rows=[110] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K111 | value='14.322511879913' | fill=00000000 | rows=[110] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L111 | value='18.4151908784156' | fill=00000000 | rows=[110] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M111 | value='13.9615672134031' | fill=00000000 | rows=[110] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N111 | value='17.1496416164637' | fill=00000000 | rows=[110] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A112 | value='E07000133' | fill=FF00B050 | rows=[111] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B112 | value='Melton' | fill=00000000 | rows=[111] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C112 | value='Non-metropolitan District' | fill=00000000 | rows=[111] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D112 | value='15.4679040989946' | fill=00000000 | rows=[111] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E112 | value='10.9178432296965' | fill=00000000 | rows=[111] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F112 | value='11.3692535837865' | fill=00000000 | rows=[111] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G112 | value='10.0769287487404' | fill=00000000 | rows=[111] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H112 | value='7.86221468759981' | fill=00000000 | rows=[111] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I112 | value='8.58263854830799' | fill=00000000 | rows=[111] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J112 | value='12.7472850734195' | fill=00000000 | rows=[111] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K112 | value='14.653803883258' | fill=00000000 | rows=[111] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L112 | value='16.292981858859' | fill=00000000 | rows=[111] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M112 | value='19.1065857256875' | fill=00000000 | rows=[111] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N112 | value='17.1717416015672' | fill=00000000 | rows=[111] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A113 | value='E07000134' | fill=FF00B050 | rows=[112] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B113 | value='North West Leicestershire' | fill=00000000 | rows=[112] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C113 | value='Non-metropolitan District' | fill=00000000 | rows=[112] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D113 | value='14.9221335937924' | fill=00000000 | rows=[112] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E113 | value='15.3968747045556' | fill=00000000 | rows=[112] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F113 | value='13.1131747263628' | fill=00000000 | rows=[112] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G113 | value='14.1399725129506' | fill=00000000 | rows=[112] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H113 | value='7.27584549222394' | fill=00000000 | rows=[112] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I113 | value='13.312' | fill=00000000 | rows=[112] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J113 | value='14.9461811879074' | fill=00000000 | rows=[112] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K113 | value='17.1163294708715' | fill=00000000 | rows=[112] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L113 | value='19.1770845976453' | fill=00000000 | rows=[112] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M113 | value='19.3080290220064' | fill=00000000 | rows=[112] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N113 | value='18.5884751454098' | fill=00000000 | rows=[112] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A114 | value='E07000135' | fill=FF00B050 | rows=[113] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B114 | value='Oadby and Wigston' | fill=00000000 | rows=[113] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C114 | value='Non-metropolitan District' | fill=00000000 | rows=[113] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D114 | value='11.1946981909368' | fill=00000000 | rows=[113] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E114 | value='8.70963419536379' | fill=00000000 | rows=[113] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F114 | value='8.6797827828719' | fill=00000000 | rows=[113] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G114 | value='9.36183491964425' | fill=00000000 | rows=[113] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H114 | value='7.56547473353953' | fill=00000000 | rows=[113] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I114 | value='12.0468488566648' | fill=00000000 | rows=[113] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J114 | value='9.64045485418812' | fill=00000000 | rows=[113] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K114 | value='13.1975452565823' | fill=00000000 | rows=[113] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L114 | value='15.9126571927421' | fill=00000000 | rows=[113] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M114 | value='10.5513057240834' | fill=00000000 | rows=[113] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N114 | value='20.4431548404115' | fill=00000000 | rows=[113] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A115 | value='E10000019' | fill=FF00B050 | rows=[114] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B115 | value='Lincolnshire' | fill=00000000 | rows=[114] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C115 | value='County' | fill=00000000 | rows=[114] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D115 | value='13.693226544702' | fill=00000000 | rows=[114] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E115 | value='13.2204132846169' | fill=00000000 | rows=[114] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F115 | value='14.0978731568273' | fill=00000000 | rows=[114] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G115 | value='13.1924110613032' | fill=00000000 | rows=[114] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H115 | value='10.5195763265841' | fill=00000000 | rows=[114] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I115 | value='12.1619688081271' | fill=00000000 | rows=[114] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J115 | value='16.5370195113748' | fill=00000000 | rows=[114] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K115 | value='17.5682408160055' | fill=00000000 | rows=[114] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L115 | value='19.9247900171109' | fill=00000000 | rows=[114] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M115 | value='19.1760594894031' | fill=00000000 | rows=[114] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N115 | value='20.2907588194526' | fill=00000000 | rows=[114] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A116 | value='E07000136' | fill=FF00B050 | rows=[115] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B116 | value='Boston' | fill=00000000 | rows=[115] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C116 | value='Non-metropolitan District' | fill=00000000 | rows=[115] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D116 | value='12.7501738660073' | fill=00000000 | rows=[115] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E116 | value='13.7007448573965' | fill=00000000 | rows=[115] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F116 | value='17.7623285839795' | fill=00000000 | rows=[115] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G116 | value='15.3084366495313' | fill=00000000 | rows=[115] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H116 | value='14.884597268017' | fill=00000000 | rows=[115] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I116 | value='18.4316353887399' | fill=00000000 | rows=[115] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J116 | value='23.2468035645099' | fill=00000000 | rows=[115] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K116 | value='22.4579597947744' | fill=00000000 | rows=[115] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L116 | value='23.3311027111103' | fill=00000000 | rows=[115] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M116 | value='21.683810616107' | fill=00000000 | rows=[115] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N116 | value='23.1174509874198' | fill=00000000 | rows=[115] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A117 | value='E07000137' | fill=FF00B050 | rows=[116] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B117 | value='East Lindsey' | fill=00000000 | rows=[116] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C117 | value='Non-metropolitan District' | fill=00000000 | rows=[116] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D117 | value='12.0897486043452' | fill=00000000 | rows=[116] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E117 | value='14.5603054112842' | fill=00000000 | rows=[116] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F117 | value='14.4467685326337' | fill=00000000 | rows=[116] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G117 | value='14.8652452325663' | fill=00000000 | rows=[116] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H117 | value='13.7633579086709' | fill=00000000 | rows=[116] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I117 | value='12.6320924843406' | fill=00000000 | rows=[116] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J117 | value='20.9975114060556' | fill=00000000 | rows=[116] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K117 | value='21.0952372785429' | fill=00000000 | rows=[116] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L117 | value='20.1588894748482' | fill=00000000 | rows=[116] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M117 | value='20.6472882378432' | fill=00000000 | rows=[116] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N117 | value='21.9218122031421' | fill=00000000 | rows=[116] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A118 | value='E07000138' | fill=FF00B050 | rows=[117] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B118 | value='Lincoln' | fill=00000000 | rows=[117] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C118 | value='Non-metropolitan District' | fill=00000000 | rows=[117] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D118 | value='10.4364827731981' | fill=00000000 | rows=[117] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E118 | value='9.87679991682695' | fill=00000000 | rows=[117] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F118 | value='14.0637902559868' | fill=00000000 | rows=[117] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G118 | value='13.0722304813657' | fill=00000000 | rows=[117] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H118 | value='10.9445391839955' | fill=00000000 | rows=[117] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I118 | value='13.3809662067486' | fill=00000000 | rows=[117] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J118 | value='17.5720641567279' | fill=00000000 | rows=[117] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K118 | value='17.6905757478289' | fill=00000000 | rows=[117] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L118 | value='21.0694923607689' | fill=00000000 | rows=[117] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M118 | value='18.3279978495149' | fill=00000000 | rows=[117] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N118 | value='23.0932772903888' | fill=00000000 | rows=[117] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A119 | value='E07000139' | fill=FF00B050 | rows=[118] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B119 | value='North Kesteven' | fill=00000000 | rows=[118] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C119 | value='Non-metropolitan District' | fill=00000000 | rows=[118] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D119 | value='16.1543432105603' | fill=00000000 | rows=[118] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E119 | value='13.0428813326621' | fill=00000000 | rows=[118] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F119 | value='13.4249567670884' | fill=00000000 | rows=[118] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G119 | value='12.456095070304' | fill=00000000 | rows=[118] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H119 | value='6.54886116414332' | fill=00000000 | rows=[118] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I119 | value='9.09648853623252' | fill=00000000 | rows=[118] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J119 | value='11.8938206195599' | fill=00000000 | rows=[118] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K119 | value='14.2769732816643' | fill=00000000 | rows=[118] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L119 | value='17.6453080488116' | fill=00000000 | rows=[118] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M119 | value='17.3441392576708' | fill=00000000 | rows=[118] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N119 | value='17.3441392576708' | fill=00000000 | rows=[118] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A120 | value='E07000140' | fill=FF00B050 | rows=[119] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B120 | value='South Holland' | fill=00000000 | rows=[119] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C120 | value='Non-metropolitan District' | fill=00000000 | rows=[119] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D120 | value='13.5772573940064' | fill=00000000 | rows=[119] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E120 | value='13.130692294798' | fill=00000000 | rows=[119] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F120 | value='12.6260874391242' | fill=00000000 | rows=[119] | cols=[5] | col_header=False | row_header=False | metadata=False
