=== society-table82.xlsx ===
Cell A1 | value='Artist Prefix' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B981 | value='David Bowie' | fill=00000000 | rows=[980] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C981 | value='Young Americans' | fill=00000000 | rows=[980] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D981 | value='47' | fill=00000000 | rows=[980] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B982 | value='Dead Kennedys' | fill=00000000 | rows=[981] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C982 | value='Demos (tape)' | fill=00000000 | rows=[981] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D982 | value='75' | fill=00000000 | rows=[981] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B983 | value='Dead Kennedys' | fill=00000000 | rows=[982] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C983 | value='Fresh Fruit For Rotting Vegetables' | fill=00000000 | rows=[982] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D983 | value='75' | fill=00000000 | rows=[982] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B984 | value='Dead Kennedys' | fill=00000000 | rows=[983] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C984 | value='In God We Trust, Inc' | fill=00000000 | rows=[983] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D984 | value='75' | fill=00000000 | rows=[983] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B985 | value='Dead Kennedys' | fill=00000000 | rows=[984] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C985 | value='Live & Alive (Bootleg)' | fill=00000000 | rows=[984] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D985 | value='75' | fill=00000000 | rows=[984] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B986 | value='Dead Kennedys' | fill=00000000 | rows=[985] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C986 | value='Plastic Surgery Disaster' | fill=00000000 | rows=[985] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D986 | value='75' | fill=00000000 | rows=[985] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B987 | value='Dead Kennedys' | fill=00000000 | rows=[986] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C987 | value='Skateboard Party' | fill=00000000 | rows=[986] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D987 | value='75' | fill=00000000 | rows=[986] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B988 | value='Dean Friedman' | fill=00000000 | rows=[987] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C988 | value='Rocking Chair' | fill=00000000 | rows=[987] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D988 | value='9' | fill=00000000 | rows=[987] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B989 | value='Debbie Gibson' | fill=00000000 | rows=[988] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C989 | value='Greatest Hits' | fill=00000000 | rows=[988] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D989 | value='98' | fill=00000000 | rows=[988] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B990 | value='Deep Purple' | fill=00000000 | rows=[989] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C990 | value='Abandon' | fill=00000000 | rows=[989] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D990 | value='26' | fill=00000000 | rows=[989] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B991 | value='Deep Purple' | fill=00000000 | rows=[990] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C991 | value='Bananas' | fill=00000000 | rows=[990] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D991 | value='26' | fill=00000000 | rows=[990] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B992 | value='Deep Purple' | fill=00000000 | rows=[991] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C992 | value='Battle Rages On' | fill=00000000 | rows=[991] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D992 | value='26' | fill=00000000 | rows=[991] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B993 | value='Deep Purple' | fill=00000000 | rows=[992] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C993 | value='Book Of Taliesyn' | fill=00000000 | rows=[992] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D993 | value='26' | fill=00000000 | rows=[992] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B994 | value='Deep Purple' | fill=00000000 | rows=[993] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C994 | value='Burn' | fill=00000000 | rows=[993] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D994 | value='12' | fill=00000000 | rows=[993] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B995 | value='Deep Purple' | fill=00000000 | rows=[994] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C995 | value='Burn' | fill=00000000 | rows=[994] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D995 | value='26' | fill=00000000 | rows=[994] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B996 | value='Deep Purple' | fill=00000000 | rows=[995] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C996 | value='Come Taste the Band' | fill=00000000 | rows=[995] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D996 | value='26' | fill=00000000 | rows=[995] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B997 | value='Deep Purple' | fill=00000000 | rows=[996] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C997 | value='Deep Purple' | fill=00000000 | rows=[996] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D997 | value='26' | fill=00000000 | rows=[996] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B998 | value='Deep Purple' | fill=00000000 | rows=[997] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C998 | value='Deep Purple in Rock' | fill=00000000 | rows=[997] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D998 | value='26' | fill=00000000 | rows=[997] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B999 | value='Deep Purple' | fill=00000000 | rows=[998] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C999 | value='Fireball' | fill=00000000 | rows=[998] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D999 | value='26' | fill=00000000 | rows=[998] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1000 | value='Deep Purple' | fill=00000000 | rows=[999] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1000 | value='Fireball' | fill=00000000 | rows=[999] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1000 | value='12' | fill=00000000 | rows=[999] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1001 | value='Deep Purple' | fill=00000000 | rows=[1000] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1001 | value='House of Blue Light' | fill=00000000 | rows=[1000] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1001 | value='26' | fill=00000000 | rows=[1000] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1002 | value='Deep Purple' | fill=00000000 | rows=[1001] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1002 | value='Infinite' | fill=00000000 | rows=[1001] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1002 | value='87' | fill=00000000 | rows=[1001] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1003 | value='Deep Purple' | fill=00000000 | rows=[1002] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1003 | value='Machine Head' | fill=00000000 | rows=[1002] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1003 | value='26' | fill=00000000 | rows=[1002] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1004 | value='Deep Purple' | fill=00000000 | rows=[1003] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1004 | value='Machine Head' | fill=00000000 | rows=[1003] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1004 | value='12' | fill=00000000 | rows=[1003] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1005 | value='Deep Purple' | fill=00000000 | rows=[1004] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1005 | value='Made in Japan' | fill=00000000 | rows=[1004] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1005 | value='2' | fill=00000000 | rows=[1004] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1006 | value='Deep Purple' | fill=00000000 | rows=[1005] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1006 | value='Made in Japan (5 CD Version)' | fill=00000000 | rows=[1005] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1006 | value='24' | fill=00000000 | rows=[1005] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1007 | value='Deep Purple' | fill=00000000 | rows=[1006] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1007 | value='Now What' | fill=00000000 | rows=[1006] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1007 | value='26' | fill=00000000 | rows=[1006] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1008 | value='Deep Purple' | fill=00000000 | rows=[1007] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1008 | value='Perfect Strangers' | fill=00000000 | rows=[1007] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1008 | value='26' | fill=00000000 | rows=[1007] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1009 | value='Deep Purple' | fill=00000000 | rows=[1008] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1009 | value='Perpendicular' | fill=00000000 | rows=[1008] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1009 | value='26' | fill=00000000 | rows=[1008] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1010 | value='Deep Purple' | fill=00000000 | rows=[1009] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1010 | value='Rapture of the Deep' | fill=00000000 | rows=[1009] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1010 | value='26' | fill=00000000 | rows=[1009] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1011 | value='Deep Purple' | fill=00000000 | rows=[1010] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1011 | value='Shades of Deep Purple' | fill=00000000 | rows=[1010] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1011 | value='2' | fill=00000000 | rows=[1010] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1012 | value='Deep Purple' | fill=00000000 | rows=[1011] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1012 | value='Shades of Deep Purple' | fill=00000000 | rows=[1011] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1012 | value='26' | fill=00000000 | rows=[1011] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1013 | value='Deep Purple' | fill=00000000 | rows=[1012] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1013 | value='Slaves and Masters' | fill=00000000 | rows=[1012] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1013 | value='26' | fill=00000000 | rows=[1012] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1014 | value='Deep Purple' | fill=00000000 | rows=[1013] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1014 | value='Stormbringer' | fill=00000000 | rows=[1013] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1014 | value='26' | fill=00000000 | rows=[1013] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1015 | value='Deep Purple' | fill=00000000 | rows=[1014] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1015 | value='Who Do We Think We Are' | fill=00000000 | rows=[1014] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1015 | value='26' | fill=00000000 | rows=[1014] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1016 | value='Dennis Yost' | fill=00000000 | rows=[1015] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1016 | value='Classics 4 Hits' | fill=00000000 | rows=[1015] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1016 | value='9' | fill=00000000 | rows=[1015] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1017 | value='Depeche Mode' | fill=00000000 | rows=[1016] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1017 | value='101' | fill=00000000 | rows=[1016] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1017 | value='88' | fill=00000000 | rows=[1016] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1018 | value='Depeche Mode' | fill=00000000 | rows=[1017] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1018 | value='A Broken Frame' | fill=00000000 | rows=[1017] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1018 | value='88' | fill=00000000 | rows=[1017] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1019 | value='Depeche Mode' | fill=00000000 | rows=[1018] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1019 | value='Best Of Depeche Mode Volume 1' | fill=00000000 | rows=[1018] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1019 | value='88' | fill=00000000 | rows=[1018] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1020 | value='Depeche Mode' | fill=00000000 | rows=[1019] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1020 | value='Black Celebration' | fill=00000000 | rows=[1019] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1020 | value='88' | fill=00000000 | rows=[1019] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1021 | value='Depeche Mode' | fill=00000000 | rows=[1020] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1021 | value='Construction Time Again' | fill=00000000 | rows=[1020] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1021 | value='88' | fill=00000000 | rows=[1020] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1022 | value='Depeche Mode' | fill=00000000 | rows=[1021] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1022 | value='Delta Machine' | fill=00000000 | rows=[1021] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1022 | value='88' | fill=00000000 | rows=[1021] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1023 | value='Depeche Mode' | fill=00000000 | rows=[1022] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1023 | value='Exciter' | fill=00000000 | rows=[1022] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1023 | value='88' | fill=00000000 | rows=[1022] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1024 | value='Depeche Mode' | fill=00000000 | rows=[1023] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1024 | value='Music For The Masses' | fill=00000000 | rows=[1023] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1024 | value='88' | fill=00000000 | rows=[1023] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1025 | value='Depeche Mode' | fill=00000000 | rows=[1024] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1025 | value='Playing The Angel' | fill=00000000 | rows=[1024] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1025 | value='88' | fill=00000000 | rows=[1024] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1026 | value='Depeche Mode' | fill=00000000 | rows=[1025] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1026 | value='Remixes 2 81-11' | fill=00000000 | rows=[1025] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1026 | value='88' | fill=00000000 | rows=[1025] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1027 | value='Depeche Mode' | fill=00000000 | rows=[1026] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1027 | value='Remixes 81-04' | fill=00000000 | rows=[1026] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1027 | value='88' | fill=00000000 | rows=[1026] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1028 | value='Depeche Mode' | fill=00000000 | rows=[1027] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1028 | value='Singles 81-85' | fill=00000000 | rows=[1027] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1028 | value='88' | fill=00000000 | rows=[1027] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1029 | value='Depeche Mode' | fill=00000000 | rows=[1028] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1029 | value='Singles 86-98' | fill=00000000 | rows=[1028] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1029 | value='88' | fill=00000000 | rows=[1028] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1030 | value='Depeche Mode' | fill=00000000 | rows=[1029] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1030 | value='Singles Collections' | fill=00000000 | rows=[1029] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1030 | value='65' | fill=00000000 | rows=[1029] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1031 | value='Depeche Mode' | fill=00000000 | rows=[1030] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1031 | value='Some Great Reward' | fill=00000000 | rows=[1030] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1031 | value='88' | fill=00000000 | rows=[1030] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1032 | value='Depeche Mode' | fill=00000000 | rows=[1031] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1032 | value='Songs Of Faith And Devotion' | fill=00000000 | rows=[1031] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1032 | value='88' | fill=00000000 | rows=[1031] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1033 | value='Depeche Mode' | fill=00000000 | rows=[1032] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1033 | value='Songs Of Faith And Devotion - Live' | fill=00000000 | rows=[1032] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1033 | value='88' | fill=00000000 | rows=[1032] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1034 | value='Depeche Mode' | fill=00000000 | rows=[1033] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1034 | value='Sounds Of The Universe' | fill=00000000 | rows=[1033] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1034 | value='88' | fill=00000000 | rows=[1033] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1035 | value='Depeche Mode' | fill=00000000 | rows=[1034] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1035 | value='Speak & Spell' | fill=00000000 | rows=[1034] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1035 | value='88' | fill=00000000 | rows=[1034] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1036 | value='Depeche Mode' | fill=00000000 | rows=[1035] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1036 | value='Spirit' | fill=00000000 | rows=[1035] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1036 | value='88' | fill=00000000 | rows=[1035] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1037 | value='Depeche Mode' | fill=00000000 | rows=[1036] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1037 | value='Ultra' | fill=00000000 | rows=[1036] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1037 | value='88' | fill=00000000 | rows=[1036] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1038 | value='Depeche Mode' | fill=00000000 | rows=[1037] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1038 | value='Violator' | fill=00000000 | rows=[1037] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1038 | value='88' | fill=00000000 | rows=[1037] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1039 | value='Derek and the Dominos' | fill=00000000 | rows=[1038] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1039 | value='Layla' | fill=00000000 | rows=[1038] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1039 | value='7' | fill=00000000 | rows=[1038] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1040 | value='Devo' | fill=00000000 | rows=[1039] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1040 | value='Are We Not Men We Are Devo' | fill=00000000 | rows=[1039] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1040 | value='101' | fill=00000000 | rows=[1039] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1041 | value='Devo' | fill=00000000 | rows=[1040] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1041 | value='Duty Now for the Future' | fill=00000000 | rows=[1040] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1041 | value='101' | fill=00000000 | rows=[1040] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1042 | value='Devo' | fill=00000000 | rows=[1041] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1042 | value='Freedom of Choice' | fill=00000000 | rows=[1041] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1042 | value='101' | fill=00000000 | rows=[1041] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1043 | value='Devo' | fill=00000000 | rows=[1042] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1043 | value='New Traditionalists' | fill=00000000 | rows=[1042] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1043 | value='101' | fill=00000000 | rows=[1042] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1044 | value='Devo' | fill=00000000 | rows=[1043] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1044 | value='Oh No it's Devo' | fill=00000000 | rows=[1043] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1044 | value='101' | fill=00000000 | rows=[1043] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1045 | value='Devo' | fill=00000000 | rows=[1044] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1045 | value='Shout' | fill=00000000 | rows=[1044] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1045 | value='101' | fill=00000000 | rows=[1044] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1046 | value='Devo' | fill=00000000 | rows=[1045] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1046 | value='Smooth Noodle Maps' | fill=00000000 | rows=[1045] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1046 | value='101' | fill=00000000 | rows=[1045] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1047 | value='Devo' | fill=00000000 | rows=[1046] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1047 | value='Something for Everybody' | fill=00000000 | rows=[1046] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1047 | value='101' | fill=00000000 | rows=[1046] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1048 | value='Devo' | fill=00000000 | rows=[1047] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1048 | value='Total Devo' | fill=00000000 | rows=[1047] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1048 | value='101' | fill=00000000 | rows=[1047] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1049 | value='Dexy's Midnight Runners' | fill=00000000 | rows=[1048] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1049 | value='Very Best Of' | fill=00000000 | rows=[1048] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1049 | value='52' | fill=00000000 | rows=[1048] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1050 | value='Dick Dale' | fill=00000000 | rows=[1049] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1050 | value='Better Shred than Dead' | fill=00000000 | rows=[1049] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1050 | value='82' | fill=00000000 | rows=[1049] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1051 | value='Dictators' | fill=00000000 | rows=[1050] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1051 | value='Go Girl Crazy' | fill=00000000 | rows=[1050] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1051 | value='79' | fill=00000000 | rows=[1050] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1052 | value='Dinah Washington' | fill=00000000 | rows=[1051] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1052 | value=''Round Midnight' | fill=00000000 | rows=[1051] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1052 | value='91' | fill=00000000 | rows=[1051] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1053 | value='Dinah Washington' | fill=00000000 | rows=[1052] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1053 | value='Sunnyside Of The Street' | fill=00000000 | rows=[1052] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1053 | value='91' | fill=00000000 | rows=[1052] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1054 | value='Dinah Washington' | fill=00000000 | rows=[1053] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1054 | value='After Hours With Miss D' | fill=00000000 | rows=[1053] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1054 | value='91' | fill=00000000 | rows=[1053] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1055 | value='Dinah Washington' | fill=00000000 | rows=[1054] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1055 | value='Back To The Blues (LP)' | fill=00000000 | rows=[1054] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1055 | value='91' | fill=00000000 | rows=[1054] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1056 | value='Dinah Washington' | fill=00000000 | rows=[1055] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1056 | value='Blue Gardenia' | fill=00000000 | rows=[1055] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1056 | value='91' | fill=00000000 | rows=[1055] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1057 | value='Dinah Washington' | fill=00000000 | rows=[1056] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1057 | value='Blues For A Day' | fill=00000000 | rows=[1056] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1057 | value='91' | fill=00000000 | rows=[1056] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1058 | value='Dinah Washington' | fill=00000000 | rows=[1057] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1058 | value='Compact Jazz' | fill=00000000 | rows=[1057] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1058 | value='91' | fill=00000000 | rows=[1057] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1059 | value='Dinah Washington' | fill=00000000 | rows=[1058] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1059 | value='Complete 1943-1951 Mercury Master Takes (4CD)' | fill=00000000 | rows=[1058] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1059 | value='91' | fill=00000000 | rows=[1058] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1060 | value='Dinah Washington' | fill=00000000 | rows=[1059] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C1060 | value='Destination Moon' | fill=00000000 | rows=[1059] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D1060 | value='91' | fill=00000000 | rows=[1059] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B1061 | value='Dinah Washington' | fill=00000000 | rows=[1060] | cols=[1] | col_header=False | row_header=False | metadata=False
