=== environment-table01.xlsx ===
Cell B1 | value='Climate hasard statistics - Regions' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell D72 | value='2.281' | fill=00000000 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E72 | value='2.274' | fill=00000000 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F72 | value='2.362' | fill=00000000 | rows=[71] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G72 | value='2.362' | fill=00000000 | rows=[71] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B73 | value='Queensland' | fill=FF00B050 | rows=[72] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D73 | value='7.553' | fill=00000000 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='7.531' | fill=00000000 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F73 | value='7.544' | fill=00000000 | rows=[72] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G73 | value='7.544' | fill=00000000 | rows=[72] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B74 | value='South Australia' | fill=FF00B050 | rows=[73] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D74 | value='4.798' | fill=00000000 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E74 | value='4.876' | fill=00000000 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F74 | value='4.962' | fill=00000000 | rows=[73] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G74 | value='4.962' | fill=00000000 | rows=[73] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B75 | value='Western Australia' | fill=FF00B050 | rows=[74] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D75 | value='2.469' | fill=00000000 | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E75 | value='2.461' | fill=00000000 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F75 | value='2.449' | fill=00000000 | rows=[74] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G75 | value='2.449' | fill=00000000 | rows=[74] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B76 | value='Tasmania' | fill=FF00B050 | rows=[75] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D76 | value='3.476' | fill=00000000 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='3.474' | fill=00000000 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F76 | value='3.47' | fill=00000000 | rows=[75] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G76 | value='3.47' | fill=00000000 | rows=[75] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B77 | value='Northern Territory' | fill=FF00B050 | rows=[76] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D77 | value='4.004' | fill=00000000 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='4.004' | fill=00000000 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F77 | value='3.693' | fill=00000000 | rows=[76] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G77 | value='3.693' | fill=00000000 | rows=[76] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Australian Capital Territory' | fill=FF00B050 | rows=[77] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D78 | value='0.024' | fill=00000000 | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='0.069' | fill=00000000 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F78 | value='0.069' | fill=00000000 | rows=[77] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G78 | value='0.069' | fill=00000000 | rows=[77] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B79 | value='Measure: Built-up area exposure to river flooding' | fill=FF00B0F0 | rows=[78] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B80 | value='Combined unit of measure: Percentage of built-up area' | fill=FF00B0F0 | rows=[79] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B81 | value='Return period: 50 years' | fill=FF00B0F0 | rows=[80] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B82 | value='Heat stress threshold: Not applicable' | fill=FF00B0F0 | rows=[81] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B83 | value='New South Wales' | fill=FF00B050 | rows=[82] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D83 | value='4.723' | fill=00000000 | rows=[82] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E83 | value='4.721' | fill=00000000 | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F83 | value='4.768' | fill=00000000 | rows=[82] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G83 | value='4.768' | fill=00000000 | rows=[82] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B84 | value='Victoria' | fill=FF00B050 | rows=[83] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D84 | value='2.439' | fill=00000000 | rows=[83] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E84 | value='2.431' | fill=00000000 | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='2.519' | fill=00000000 | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G84 | value='2.519' | fill=00000000 | rows=[83] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B85 | value='Queensland' | fill=FF00B050 | rows=[84] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D85 | value='7.915' | fill=00000000 | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='7.892' | fill=00000000 | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='7.905' | fill=00000000 | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G85 | value='7.905' | fill=00000000 | rows=[84] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B86 | value='South Australia' | fill=FF00B050 | rows=[85] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D86 | value='5.056' | fill=00000000 | rows=[85] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E86 | value='5.138' | fill=00000000 | rows=[85] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F86 | value='5.232' | fill=00000000 | rows=[85] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G86 | value='5.232' | fill=00000000 | rows=[85] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B87 | value='Western Australia' | fill=FF00B050 | rows=[86] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D87 | value='2.648' | fill=00000000 | rows=[86] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E87 | value='2.638' | fill=00000000 | rows=[86] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F87 | value='2.631' | fill=00000000 | rows=[86] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G87 | value='2.631' | fill=00000000 | rows=[86] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B88 | value='Tasmania' | fill=FF00B050 | rows=[87] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D88 | value='4.057' | fill=00000000 | rows=[87] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E88 | value='4.055' | fill=00000000 | rows=[87] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F88 | value='4.05' | fill=00000000 | rows=[87] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G88 | value='4.05' | fill=00000000 | rows=[87] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Northern Territory' | fill=FF00B050 | rows=[88] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D89 | value='4.333' | fill=00000000 | rows=[88] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E89 | value='4.333' | fill=00000000 | rows=[88] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F89 | value='3.995' | fill=00000000 | rows=[88] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G89 | value='3.995' | fill=00000000 | rows=[88] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B90 | value='Australian Capital Territory' | fill=FF00B050 | rows=[89] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D90 | value='0.024' | fill=00000000 | rows=[89] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E90 | value='0.069' | fill=00000000 | rows=[89] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F90 | value='0.069' | fill=00000000 | rows=[89] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G90 | value='0.069' | fill=00000000 | rows=[89] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B91 | value='Measure: Built-up area exposure to river flooding' | fill=FF00B0F0 | rows=[90] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B92 | value='Combined unit of measure: Percentage of built-up area' | fill=FF00B0F0 | rows=[91] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B93 | value='Return period: 100 years' | fill=FF00B0F0 | rows=[92] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B94 | value='Heat stress threshold: Not applicable' | fill=FF00B0F0 | rows=[93] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B95 | value='New South Wales' | fill=FF00B050 | rows=[94] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D95 | value='5.071' | fill=00000000 | rows=[94] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E95 | value='5.073' | fill=00000000 | rows=[94] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F95 | value='5.121' | fill=00000000 | rows=[94] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G95 | value='5.121' | fill=00000000 | rows=[94] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B96 | value='Victoria' | fill=FF00B050 | rows=[95] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D96 | value='2.471' | fill=00000000 | rows=[95] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E96 | value='2.463' | fill=00000000 | rows=[95] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F96 | value='2.553' | fill=00000000 | rows=[95] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G96 | value='2.553' | fill=00000000 | rows=[95] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B97 | value='Queensland' | fill=FF00B050 | rows=[96] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D97 | value='8.149' | fill=00000000 | rows=[96] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E97 | value='8.125' | fill=00000000 | rows=[96] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F97 | value='8.136' | fill=00000000 | rows=[96] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G97 | value='8.136' | fill=00000000 | rows=[96] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B98 | value='South Australia' | fill=FF00B050 | rows=[97] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D98 | value='5.11' | fill=00000000 | rows=[97] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E98 | value='5.193' | fill=00000000 | rows=[97] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F98 | value='5.288' | fill=00000000 | rows=[97] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G98 | value='5.288' | fill=00000000 | rows=[97] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B99 | value='Western Australia' | fill=FF00B050 | rows=[98] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D99 | value='2.893' | fill=00000000 | rows=[98] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E99 | value='2.886' | fill=00000000 | rows=[98] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F99 | value='2.88' | fill=00000000 | rows=[98] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G99 | value='2.88' | fill=00000000 | rows=[98] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B100 | value='Tasmania' | fill=FF00B050 | rows=[99] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D100 | value='4.107' | fill=00000000 | rows=[99] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E100 | value='4.104' | fill=00000000 | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F100 | value='4.099' | fill=00000000 | rows=[99] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G100 | value='4.099' | fill=00000000 | rows=[99] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B101 | value='Northern Territory' | fill=FF00B050 | rows=[100] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D101 | value='4.55' | fill=00000000 | rows=[100] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E101 | value='4.55' | fill=00000000 | rows=[100] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F101 | value='4.196' | fill=00000000 | rows=[100] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G101 | value='4.196' | fill=00000000 | rows=[100] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B102 | value='Australian Capital Territory' | fill=FF00B050 | rows=[101] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D102 | value='0.024' | fill=00000000 | rows=[101] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E102 | value='0.07' | fill=00000000 | rows=[101] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F102 | value='0.07' | fill=00000000 | rows=[101] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G102 | value='0.07' | fill=00000000 | rows=[101] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B103 | value='Measure: Land exposure to coastal flooding' | fill=FF00B0F0 | rows=[102] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B104 | value='Combined unit of measure: Percentage of area' | fill=FF00B0F0 | rows=[103] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B105 | value='Return period: 10 years' | fill=FF00B0F0 | rows=[104] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B106 | value='Heat stress threshold: Not applicable' | fill=FF00B0F0 | rows=[105] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B107 | value='New South Wales' | fill=FF00B050 | rows=[106] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D107 | value='0.008' | fill=00000000 | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E107 | value='0.008' | fill=00000000 | rows=[106] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F107 | value='0.008' | fill=00000000 | rows=[106] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G107 | value='0.008' | fill=00000000 | rows=[106] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B108 | value='Victoria' | fill=FF00B050 | rows=[107] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D108 | value='0.018' | fill=00000000 | rows=[107] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E108 | value='0.018' | fill=00000000 | rows=[107] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F108 | value='0.018' | fill=00000000 | rows=[107] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G108 | value='0.018' | fill=00000000 | rows=[107] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B109 | value='Queensland' | fill=FF00B050 | rows=[108] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D109 | value='0.334' | fill=00000000 | rows=[108] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E109 | value='0.334' | fill=00000000 | rows=[108] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F109 | value='0.334' | fill=00000000 | rows=[108] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G109 | value='0.334' | fill=00000000 | rows=[108] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B110 | value='South Australia' | fill=FF00B050 | rows=[109] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D110 | value='0.017' | fill=00000000 | rows=[109] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E110 | value='0.017' | fill=00000000 | rows=[109] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F110 | value='0.017' | fill=00000000 | rows=[109] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G110 | value='0.017' | fill=00000000 | rows=[109] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B111 | value='Western Australia' | fill=FF00B050 | rows=[110] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D111 | value='0.17' | fill=00000000 | rows=[110] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E111 | value='0.17' | fill=00000000 | rows=[110] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F111 | value='0.17' | fill=00000000 | rows=[110] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G111 | value='0.17' | fill=00000000 | rows=[110] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B112 | value='Tasmania' | fill=FF00B050 | rows=[111] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D112 | value='0.06' | fill=00000000 | rows=[111] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E112 | value='0.06' | fill=00000000 | rows=[111] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F112 | value='0.06' | fill=00000000 | rows=[111] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G112 | value='0.06' | fill=00000000 | rows=[111] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B113 | value='Northern Territory' | fill=FF00B050 | rows=[112] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D113 | value='0.403' | fill=00000000 | rows=[112] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E113 | value='0.403' | fill=00000000 | rows=[112] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F113 | value='0.403' | fill=00000000 | rows=[112] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G113 | value='0.403' | fill=00000000 | rows=[112] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B114 | value='Australian Capital Territory' | fill=FF00B050 | rows=[113] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D114 | value='0' | fill=00000000 | rows=[113] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E114 | value='0' | fill=00000000 | rows=[113] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F114 | value='0' | fill=00000000 | rows=[113] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G114 | value='0' | fill=00000000 | rows=[113] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B115 | value='Measure: Land exposure to coastal flooding' | fill=FF00B0F0 | rows=[114] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B116 | value='Combined unit of measure: Percentage of area' | fill=FF00B0F0 | rows=[115] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B117 | value='Return period: 20 years' | fill=FF00B0F0 | rows=[116] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B118 | value='Heat stress threshold: Not applicable' | fill=FF00B0F0 | rows=[117] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B119 | value='New South Wales' | fill=FF00B050 | rows=[118] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D119 | value='0.008' | fill=00000000 | rows=[118] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E119 | value='0.008' | fill=00000000 | rows=[118] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F119 | value='0.008' | fill=00000000 | rows=[118] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G119 | value='0.008' | fill=00000000 | rows=[118] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B120 | value='Victoria' | fill=FF00B050 | rows=[119] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D120 | value='0.019' | fill=00000000 | rows=[119] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E120 | value='0.019' | fill=00000000 | rows=[119] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F120 | value='0.019' | fill=00000000 | rows=[119] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G120 | value='0.019' | fill=00000000 | rows=[119] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B121 | value='Queensland' | fill=FF00B050 | rows=[120] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D121 | value='0.363' | fill=00000000 | rows=[120] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E121 | value='0.363' | fill=00000000 | rows=[120] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F121 | value='0.363' | fill=00000000 | rows=[120] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G121 | value='0.363' | fill=00000000 | rows=[120] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B122 | value='South Australia' | fill=FF00B050 | rows=[121] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D122 | value='0.019' | fill=00000000 | rows=[121] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E122 | value='0.019' | fill=00000000 | rows=[121] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F122 | value='0.019' | fill=00000000 | rows=[121] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G122 | value='0.019' | fill=00000000 | rows=[121] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B123 | value='Western Australia' | fill=FF00B050 | rows=[122] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D123 | value='0.181' | fill=00000000 | rows=[122] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E123 | value='0.181' | fill=00000000 | rows=[122] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F123 | value='0.181' | fill=00000000 | rows=[122] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G123 | value='0.181' | fill=00000000 | rows=[122] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B124 | value='Tasmania' | fill=FF00B050 | rows=[123] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D124 | value='0.062' | fill=00000000 | rows=[123] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E124 | value='0.062' | fill=00000000 | rows=[123] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F124 | value='0.062' | fill=00000000 | rows=[123] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G124 | value='0.062' | fill=00000000 | rows=[123] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B125 | value='Northern Territory' | fill=FF00B050 | rows=[124] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D125 | value='0.433' | fill=00000000 | rows=[124] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E125 | value='0.433' | fill=00000000 | rows=[124] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F125 | value='0.433' | fill=00000000 | rows=[124] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G125 | value='0.433' | fill=00000000 | rows=[124] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B126 | value='Australian Capital Territory' | fill=FF00B050 | rows=[125] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D126 | value='0' | fill=00000000 | rows=[125] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E126 | value='0' | fill=00000000 | rows=[125] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F126 | value='0' | fill=00000000 | rows=[125] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G126 | value='0' | fill=00000000 | rows=[125] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B127 | value='Measure: Land exposure to coastal flooding' | fill=FF00B0F0 | rows=[126] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B128 | value='Combined unit of measure: Percentage of area' | fill=FF00B0F0 | rows=[127] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B129 | value='Return period: 50 years' | fill=FF00B0F0 | rows=[128] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B130 | value='Heat stress threshold: Not applicable' | fill=FF00B0F0 | rows=[129] | cols=[1, 2, 3, 4, 5, 6] | col_header=False | row_header=False | metadata=True
Cell B131 | value='New South Wales' | fill=FF00B050 | rows=[130] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D131 | value='0.008' | fill=00000000 | rows=[130] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E131 | value='0.008' | fill=00000000 | rows=[130] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F131 | value='0.008' | fill=00000000 | rows=[130] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G131 | value='0.008' | fill=00000000 | rows=[130] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B132 | value='Victoria' | fill=FF00B050 | rows=[131] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D132 | value='0.019' | fill=00000000 | rows=[131] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E132 | value='0.019' | fill=00000000 | rows=[131] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F132 | value='0.019' | fill=00000000 | rows=[131] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G132 | value='0.019' | fill=00000000 | rows=[131] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B133 | value='Queensland' | fill=FF00B050 | rows=[132] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D133 | value='0.386' | fill=00000000 | rows=[132] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E133 | value='0.386' | fill=00000000 | rows=[132] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F133 | value='0.386' | fill=00000000 | rows=[132] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G133 | value='0.386' | fill=00000000 | rows=[132] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B134 | value='South Australia' | fill=FF00B050 | rows=[133] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D134 | value='0.021' | fill=00000000 | rows=[133] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E134 | value='0.021' | fill=00000000 | rows=[133] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F134 | value='0.021' | fill=00000000 | rows=[133] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G134 | value='0.021' | fill=00000000 | rows=[133] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B135 | value='Western Australia' | fill=FF00B050 | rows=[134] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D135 | value='0.189' | fill=00000000 | rows=[134] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E135 | value='0.189' | fill=00000000 | rows=[134] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F135 | value='0.189' | fill=00000000 | rows=[134] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G135 | value='0.189' | fill=00000000 | rows=[134] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell B136 | value='Tasmania' | fill=FF00B050 | rows=[135] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D136 | value='0.063' | fill=00000000 | rows=[135] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E136 | value='0.063' | fill=00000000 | rows=[135] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F136 | value='0.063' | fill=00000000 | rows=[135] | cols=[5] | col_header=False | row_header=False | metadata=False
